와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"윌리 기셀브레슈트, 트라디씨옹 뮈스카","Willy Gisselbrecht, Tradition Muscat",https://www.wine21.com/13_search/wine_view.html?Idx=164821&lq=LIST,윌리 기셀브레슈트  Willy Gisselbrecht,프랑스(France) / 알자스(Alsace),뮈스까 (Muscat) 100%,,12 %,10~12 ℃,"식전주, 아스파라거스, 청어, 고등어, 새우튀김, 샐럳,염소 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,배,"새우, 식전주, 아스파라거스, 치즈",,,
"윌리 기셀브레슈트, 트라디씨옹 게뷔르츠트라미너","Willy Gisselbrecht, Tradition Gewrztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=164822&lq=LIST,윌리 기셀브레슈트  Willy Gisselbrecht,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,Alsace AOC(AOP),13 %,10~12 ℃,"훈제 생선, 푸아그라, 아시안 푸드, 양고기 커리, 중식, 태국과 인도 음식, 향이 강한 치즈 등과 잘 어울린다.",*2017 Korea Sommelier Award 은메달*2016 빈티지: Wine Enthusiast 87점,,2/5,3/5,5/5,1/5,"리치, 장미","양고기, 푸아그라, 치즈",,,
"엠 드 리니, 스파클링 블랑 드 블랑 브뤼","M. de Ligny, Sparkling Blanc de blanc Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164823&lq=LIST,엠 드 리니  M. de Ligny,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) / 콜롱바르 (Colombard) / 우니 블랑 (Ugni Blanc),,11.5 %,6~8 ℃,"식전주, 해산물, 튀김, 초콜렛, 과일 베이스의 디저트, 케이크류 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,"미네랄, 효모","해산물, 튀김, 식전주, 과일",,,
"파밀리에 로쉐, 쎄라비","Famille Rochet, C'est la Vie",https://www.wine21.com/13_search/wine_view.html?Idx=164824&lq=LIST,파밀리에 로쉐  Famille Rochet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 100%,,13.5 %,16~18 ℃,"숙성된 치즈, 바비큐, 그릴 요리, 대부분의 육류 등과 잘 어울린다.",*2018 Korea Sommelier Award 은메달,,1/5,4/5,4/5,3/5,,"바비큐, 치즈",,,
샤또 말벳 블랑,Chateau Malbat Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=164825&lq=LIST,샤또 말벳  Chateau Malbat,프랑스(France) / 보르도(Bordeaux),소비뇽 블랑 (Sauvignon Blanc) 50% / 소비뇽 그리 (Sauvignon Gris) 50%,Bordeaux AOC(AOP),12.5 %,8~10 ℃,"샐러드, 크림소스 파스타, 해산물, 랍스타, 조개 요리 등과 잘 어울린다.",*2018 Korea Sommelier Award 은메달,,1/5,4/5,4/5,1/5,"시트러스, 꽃, 오크","해산물, 파스타, 샐러드",,,
샤또 라 크와 보넬,Chateau La Croix Bonnelle,https://www.wine21.com/13_search/wine_view.html?Idx=164826&lq=LIST,올리비에 쉴처  Olivier Sulzer,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 80% / 카베르네 프랑 (Cabernet Franc) 20%,Saint-Émilion AOC(AOP),13.5 %,16~18 ℃,"붉은 육류, 스테이크, 토마토 소스 베이스 파스타, 숙성된 치즈 등과 잘 어울린다.",*2009 Concours General de Paris 은메달*2014 Concours General de Paris 금메달*2017 Concours de Lyon 금메달*2018 Korea Sommelier Award 동메달,,1/5,4/5,4/5,3/5,,"스테이크, 파스타, 치즈",,,
"비에티, 바르베라 다스티 '트레 비그네'","Vietti, Barbera d'Asti 'Tre Vigne'",https://www.wine21.com/13_search/wine_view.html?Idx=164827&lq=LIST,비에티  Vietti,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera) 100%,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",*2020 Wine Spectator Top 100 '47위'*2020 대한민국 주류대상 - 구대륙 레드 와인 부문 대상,나라셀라,1/5,3/5,3/5,4/5,"체리, 오크",족발,Italian Asti,,바리끄와 스틸탱크에서 1년간 숙성
르 벨베데르 샤또 부롱,Le Belvedere De Chateau Bourron,https://www.wine21.com/13_search/wine_view.html?Idx=164828&lq=LIST,올리비에 쉴처  Olivier Sulzer,프랑스(France) / 보르도(Bordeaux) / 까스띠용 꼬뜨 드 보르도(Castillon Côtes de Bordeaux),메를로 (Merlot) 80% / 카베르네 프랑 (Cabernet Franc) 20%,Castillon-Côtes de Bordeaux AOC(AOP),13.5 %,18~20 ℃,"스테이크, 양갈비, 한우, 오리고기, 향이 진한 숙성된 치즈 등과 잘 어울린다.","*2016 Concours de Lyon 금메달, Concours de Bordeaux 은메달, Sakura Japan Women's Wine Awards 금메달",,1/5,4/5,4/5,4/5,블랙베리,"스테이크, 양갈비, 오리고기, 치즈",,,
샤또 부롱,Chateau Bourron,https://www.wine21.com/13_search/wine_view.html?Idx=164829&lq=LIST,올리비에 쉴처  Olivier Sulzer,프랑스(France) / 보르도(Bordeaux) / 까스띠용 꼬뜨 드 보르도(Castillon Côtes de Bordeaux),메를로 (Merlot) 80% / 카베르네 프랑 (Cabernet Franc) 20%,Castillon-Côtes de Bordeaux AOC(AOP),14.5 %,18~20 ℃,"스테이크, 양갈비, 한우, 오리고기, 향이 진한 숙성된 치즈 등과 잘 어울린다.",,,1/5,4/5,5/5,5/5,후추,"스테이크, 양갈비, 오리고기, 치즈",,,
샤또 데 그라비에 루즈,Chateau des Gravieres Rouge,https://www.wine21.com/13_search/wine_view.html?Idx=164830&lq=LIST,샤또 데 그라비에  Chateau des Gravieres,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),메를로 (Merlot) 80% / 카베르네 소비뇽 (Cabernet Sauvignon) 20%,Graves AOC(AOP),13 %,15~17 ℃,"붉은 육류, 사냥고기, 로스트한 양고기, 꽁테 치즈, 향이 진한 치즈 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,오크,"양고기, 치즈",,,
샤또 데 그라비에 블랑,Chateau des Gravieres Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=164831&lq=LIST,샤또 데 그라비에  Chateau des Gravieres,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),소비뇽 블랑 (Sauvignon Blanc) 50% / 세미용 (Semillon) 50%,Graves AOC(AOP),12.5 %,10~12 ℃,"구운 생선 요리, 굴, 칠면조, 양념이 가미된 치킨 요리, 연어, 해산물, 생선회, 염소 젖으로 만든 치즈, 버팔로, 모짜렐라 등과 잘 어울린다.",,,1/5,4/5,4/5,1/5,"복숭아, 시트러스, 꽃",해산물,,,
르 바롱 드 말르레,Le Baron de Malleret,https://www.wine21.com/13_search/wine_view.html?Idx=164832&lq=LIST,샤또 드 말르레  Chateau de Malleret,프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),메를로 (Merlot) 54% / 카베르네 프랑 (Cabernet Franc) 24% / 카베르네 소비뇽 (Cabernet Sauvignon) 22%,Haut-Médoc AOC(AOP),14 %,18~20 ℃,"등심, 소스를 가미한 붉은 육류, 향이 진한 양고기, 숙성된 치즈 등과 잘 어울린다.",*Gilvert & Gaillard 금메달*Bruxelles 은메달,,1/5,4/5,4/5,4/5,"바닐라, 오크","등심, 양고기, 치즈",,,
"몬카로, 마르케 산지오베제 오가닉","Moncaro, Marche Sangiovese Organic",https://www.wine21.com/13_search/wine_view.html?Idx=164833&lq=LIST,몬카로  Moncaro,이탈리아(Italy) / 마르케(Marche),산지오베제 (Sangiovese) 90% / 몬테풀치아노 (Montepulciano) 10%,,13 %,16~18 ℃,"미트 소스 파스타, 라자냐, 볼로네즈, 조린 소고기, 스튜,그릴에 구운 육류, 사냥고기, 숙성된 치즈 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,"체리, 오크",치즈,,,
"몬카로, 마르케 비앙코 오가닉","Moncaro, Marche Bianco Organic",https://www.wine21.com/13_search/wine_view.html?Idx=164834&lq=LIST,몬카로  Moncaro,이탈리아(Italy) / 마르케(Marche),트레비아노 (Trebbiano) 70% / 파세리나 (Passerina) 30%,,12.5 %,10~12 ℃,"식전주, 에피타이저, 생선요리, 파스타 등과 잘 어울린다.",,,1/5,3/5,4/5,1/5,꽃,"파스타, 식전주",,,
"몬카로, 마르케 로쏘 오가닉","Moncaro, Marche Rosso Organic",https://www.wine21.com/13_search/wine_view.html?Idx=164835&lq=LIST,몬카로  Moncaro,이탈리아(Italy) / 마르케(Marche),산지오베제 (Sangiovese) 75% / 몬테풀치아노 (Montepulciano) 25%,,13 %,14~16 ℃,"이탈리안 스타일의 에피타이저, 토마토 소스 파스타, 흰살 육류, 삶은 붉은 육류, 송아지 고기 스튜 등과 잘어울린다.",,,1/5,3/5,3/5,3/5,체리,파스타,,,
"콘티 사니, 떼레 디 끼에티 파쏘 페르페토","Conti Sani, Terre di Chieti Passo Perfetto",https://www.wine21.com/13_search/wine_view.html?Idx=164836&lq=LIST,카를로 콘티 사니  Carlo Conti Sani,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 산지오베제 (Sangiovese),,14 %,18~20 ℃,"붉은 육류, 그릴에 구운 육류, 파스타, 피자, 치즈 등과 잘 어울린다.",*Berliner Wine Trophy 금메달,,1/5,4/5,4/5,4/5,"체리, 감초",치즈,,,
"콘티 사니, 로쏘 토스카노 고베르노","Conti Sani, Rosso Toscano Governo",https://www.wine21.com/13_search/wine_view.html?Idx=164837&lq=LIST,카를로 콘티 사니  Carlo Conti Sani,이탈리아(Italy) / 아브루쪼(Abruzzo),산지오베제 (Sangiovese) / 카나이올로 네로 (Canaiolo nero),Toscana IGT(IGP),13.5 %,18~20 ℃,"붉은 육류, 스테이크, 파스타, 갈비구이, 숙성된 치즈 등과 잘 어울린다.",*2015 빈티지: Luca Maroni 94점*Berliner Wine Trophy 금메달*Asia Wine Trophy 금메달,,1/5,4/5,4/5,4/5,"체리, 꽃, 후추, 삼나무","스테이크, 파스타, 치즈",,,
"세인트 할렛, 부쳐스 카트","St Hallett, Butcher's Cart",https://www.wine21.com/13_search/wine_view.html?Idx=164838&lq=LIST,세인트 할렛 와인즈  St Hallett Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,14.5 %,15~17 ℃,"진한 소소의 육류요리, 샤퀴테리 플래터, 스테이크 등과 잘 어울린다.",,동원와인플러스,1/5,3/5,4/5,4/5,"블랙베리, 바닐라, 오크",,,,
"세인트 할렛, 게임키퍼스 SGT","St Hallet, Gamekeeper's SGT",https://www.wine21.com/13_search/wine_view.html?Idx=164839&lq=LIST,세인트 할렛 와인즈  St Hallett Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 53% / 그르나슈 (Grenache) 38% / 투리가 나시오날 (Touriga Nacional) 9%,,14 %,15~17 ℃,"오리고기, 샤퀴테르 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,오리고기,,,
"세인트 할렛, 게임키퍼스 카베르네 소비뇽","St Hallet, Gamekeeper's Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164840&lq=LIST,세인트 할렛 와인즈  St Hallett Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,14.5 %,15~17 ℃,"스테이크, 갈비찜, 불고기, 양갈비, 버섯, 하몽, 족발, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,5/5,"블랙커런트, 허브","스테이크, 양갈비, 하몽, 버섯",,,
"세인트 할렛, 게임키퍼스 쉬라즈","St Hallet, Gameskeeper's Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164841&lq=LIST,세인트 할렛 와인즈  St Hallett Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,14 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,동원와인플러스,1/5,3/5,4/5,4/5,"자두, 시나몬","양갈비, 자두",,,
"체끼, 라 캄파나 몬테팔코 사그란티노","Cecchi, La Campana Montefalco Sagrantino",https://www.wine21.com/13_search/wine_view.html?Idx=164842&lq=LIST,체키  Cecchi,이탈리아(Italy) / 움브리아(Umbria) / 몬테팔코(Montefalco),사그란티노 (Sagrantino) 100%,Montefalco Sagrantino DOCG(DOP),14~15 %,17~19 ℃,기름진 육류 요리와 잘 어울린다.,"*2011 빈티지: Mundus Vini–Silver Medal, Berliner Wine Trophy –Gold med*2010 빈티지: Wine Spectator 90점",비케이 트레이딩,1/5,3/5,3/5,5/5,,,Central Italy Red,,
퓌그 드 네넹,Fugue de Nenin,https://www.wine21.com/13_search/wine_view.html?Idx=164843&lq=LIST,샤또 네넹  Chateau Nenin,프랑스(France) / 보르도(Bordeaux) / 뽀므롤(Pomerol),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),Pomerol AOC(AOP),13~14 %,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.","*2016 빈티지: Wine Spectator 90점, James Suckling 92~93점, Jancis Robinson 16.5점*2015 빈티지: James Suckling 92점, Jancis Robinson 16점",,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
르 로제 드 포탕삭,Le Rose de Potensac,https://www.wine21.com/13_search/wine_view.html?Idx=164844&lq=LIST,샤또 포탕삭  Chateau Potensac,프랑스(France) / 보르도(Bordeaux),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),Bordeaux Rosé AOC(AOP),12~13.5 %,10~12 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"닭고기, 치즈",,,
라 쁘띠뜨 마끼즈,La Petite Marquise,https://www.wine21.com/13_search/wine_view.html?Idx=164845&lq=LIST,도멘 데롱  Domaines Delon,프랑스(France) / 보르도(Bordeaux) / 생-쥴리앙(Saint-Julien),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),Saint-Julien AOC(AOP),13.5~14.5 %,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.","*Clos du Maquis 세컨드 와인*2016 빈티지: Wine Enthusiast 89~91점, James Suckling 94점*2015 빈티지: Wine Enthusiast 90점, James Suckling 92~93점",,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
"덕 판드, 메를로","Duck Pond, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164846&lq=LIST,덕 판드 셀라즈  Duck Pond Cellars,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),메를로 (Merlot),Columbia Valley AVA,14~15 %,17~19 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,,1/5,2/5,4/5,3/5,,"스테이크, 파스타",,,
"옐로우 테일, 세미용 소비뇽 블랑","Yellow Tail, Semillon Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164847&lq=LIST,옐로우 테일 [카셀라 와인]  Yellow Tail [Casella Wines],호주(Australia),세미용 (Semillon) / 소비뇽 블랑 (Sauvignon Blanc),,,8~10 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,롯데칠성음료,1/5,4/5,2/5,1/5,"자두, 시트러스, 열대과일","생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
"몬타나, 리저브 메를로","Montana, Reserve Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164848&lq=LIST,몬타나  Montana,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),메를로 (Merlot),,,16~18 ℃,"스테이크, 바비큐, 소시지, 불고기, 파스타, 한국음식 과 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 파스타",,,
"코노 수르, 오가닉 소비뇽 블랑","Cono Sur, Organic Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164849&lq=LIST,코노 수르  Cono Sur,칠레(Chile) / 아콩카구아(Aconcagua) / 산 안토니오 밸리(San Antonio Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,,,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,,,,
빌라 욜란다 브라케토 다퀴,Villa Jolanda Brachetto d'Acqui,https://www.wine21.com/13_search/wine_view.html?Idx=164850&lq=LIST,산테로  Santero,이탈리아(Italy) / 피에몬테(Piemonte),브라케토 (Brachetto),Brachetto d'Acqui DOCG(DOP),,4~6 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,4/5,2/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
"베리 에스테이트, 카베르네 소비뇽","Berri Estates, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164851&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,12.5~13.5 %,15~17 ℃,"갈비, 우삼겹, 불고기, 토마토 소스 파스타 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,"바닐라, 코코넛, 크림","불고기, 파스타",,,
샤또 그라메,Chateau Gramet,https://www.wine21.com/13_search/wine_view.html?Idx=164852&lq=LIST,샤또 그라메  Chateau Gramet,프랑스(France) / 보르도(Bordeaux),보르도 블렌드 레드  (Bordeaux Blend Red),Bordeaux AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 딸몽,Chateau Talmont,https://www.wine21.com/13_search/wine_view.html?Idx=164853&lq=LIST,샤또 딸몽  Chateau Talmont,프랑스(France) / 보르도(Bordeaux),보르도 블렌드 레드  (Bordeaux Blend Red),Bordeaux AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 라 그라브 레 로셰,Chateau La Grave les Rochers,https://www.wine21.com/13_search/wine_view.html?Idx=164854&lq=LIST,샤또 라 그라브 레 로셰  Chateau La Grave les Rochers,프랑스(France) / 보르도(Bordeaux),보르도 블렌드 레드  (Bordeaux Blend Red),Bordeaux AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 라 로즈 드 비트락,Chateau La Rose de Vitrac,https://www.wine21.com/13_search/wine_view.html?Idx=164855&lq=LIST,샤또 라 로즈 드 비트락  Chateau La Rose de Vitrac,프랑스(France) / 보르도(Bordeaux),보르도 블렌드 레드  (Bordeaux Blend Red),Bordeaux AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 보네 리저브 화이트,Chateau Bonnet Reserve White,https://www.wine21.com/13_search/wine_view.html?Idx=164856&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 엉트르-두-메르(Entre-Deux-Mers),소비뇽 블랑 (Sauvignon Blanc) 55% / 세미용 (Semillon) 45%,Entre-Deux-Mers AOC(AOP),,10~12 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
"베리 에스테이트, 쉬라즈","Berri Estates, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164857&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),시라/쉬라즈 (Syrah/Shiraz) 100%,,13~14 %,15~17 ℃,"불고기, 우삼겹, 토마토 소스 파스타, 간장 소스 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"바닐라, 오크, 크림","불고기, 파스타",,,
"베리 에스테이트, 메를로","Berri Estates, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164858&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),메를로 (Merlot) 100%,,12.5~13.5 %,15~17 ℃,"우삼겹, 불고기, 토마토 소스 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 바닐라, 허브, 오크, 크림","불고기, 파스타",,,
"베리 에스테이트, 샤르도네","Berri Estates, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164859&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),샤르도네 (Chardonnay) 100%,,12.5~13.5 %,10~12 ℃,"비빔밥, 크림소스 해물 파스타, 튀김 요리, 치즈 요리 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"복숭아, 바닐라","비빔밥, 파스타, 튀김, 치즈",,,
"베리 에스테이트, 트레디셔널 드라이 레드 5L","Berri Estates, Traditional Dry Red 5L",https://www.wine21.com/13_search/wine_view.html?Idx=164860&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),블렌드 (Blend ),,12~13 %,13~15 ℃,"우삼겹, 불고기, 토마토 소스 파스타 등과 잘 어울린다.",,,1/5,3/5,4/5,3/5,"체리, 바닐라, 오크","불고기, 파스타",,,
"베리 에스테이트, 크리스피 드라이 화이트","Berri Estates, Crisp Dry White",https://www.wine21.com/13_search/wine_view.html?Idx=164861&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),블렌드 (Blend ),,11~12 %,10~12 ℃,"식전주, 샐러드, 크림소스 해물 파스타, 치킨, 튀김, 치즈 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"복숭아, 시트러스, 열대과일, 꽃","치킨, 파스타, 튀김, 식전주, 샐러드, 치즈",,,
"베리 에스테이트, 돌체 로쏘 5L","Berri Estates, Dolce Rosso 5L",https://www.wine21.com/13_search/wine_view.html?Idx=164862&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),블렌드 (Blend ),,10.5~11.5 %,13~15 ℃,"매콤한 소스의 파스타, 스튜 등과 잘 어울린다.",,,4/5,2/5,3/5,2/5,,"스튜, 파스타",,,
"베리 에스테이트, 돌체 비앙코 5L","Berri Estates, Dolce Bianco 5L",https://www.wine21.com/13_search/wine_view.html?Idx=164863&lq=LIST,베리 에스테이트  Berri Estates,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),블렌드 (Blend ),,11~12 %,8~10 ℃,"식전주, 샐러드, 크림 소스 해물 파스타, 치킨 요리 등과 잘 어울린다.",,,5/5,2/5,3/5,1/5,,"치킨, 파스타, 식전주, 샐러드",,,
로제 드 보네,Rose de Bonnet,https://www.wine21.com/13_search/wine_view.html?Idx=164864&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Rosé AOC(AOP),,10~12 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"닭고기, 치즈",,,
샤또 뚜르 드 보네 레드,Chateau Tour de Bonnet Red,https://www.wine21.com/13_search/wine_view.html?Idx=164865&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 뚜르 드 보네 그랑 뀌베 레드,Chateau Tour de Bonnet Grande Cuvee Red,https://www.wine21.com/13_search/wine_view.html?Idx=164866&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,Bordeaux AOC(AOP),,17~19 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 뚜르 드 보네 로제,Chateau Tour de Bonnet Rose,https://www.wine21.com/13_search/wine_view.html?Idx=164867&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,Bordeaux Rosé AOC(AOP),,11~13 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"닭고기, 치즈",,,
샤또 뚜르 드 보네 화이트,Chateau Tour de Bonnet White,https://www.wine21.com/13_search/wine_view.html?Idx=164868&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 엉트르-두-메르(Entre-Deux-Mers),소비뇽 블랑 (Sauvignon Blanc) 75% / 세미용 (Semillon) 23% / 뮈스까델 (Muscadelle) 2%,Entre-Deux-Mers AOC(AOP),,10~12 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
