와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
센스 캡 블랑,Sense Cap Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=172367&lq=LIST,셀러 드 캡케니스  Celler de Capcanes,스페인(Spain) / 몬산트(Montsant),가르나차 블랑카  (Garnacha Blanca) / 마카베오 (Macabeo),,,,8~10 ℃,"샐러드, 모든 종류의 생선요리, 해산물 또는 간단한 식전주와 잘 어울린다.",,1/5,3/5,1/5,1/5,"열대과일, 미네랄, 허브","해산물, 식전주, 샐러드",,13~14 %,
"수드 드 프랑스, 리저브 생 마르땡 샤도네이","Sud de France, Reserve St. Martin Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172368&lq=LIST,수드 드 프랑스  Sud de France,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
"수드 드 프랑스, 샤또 레 바르둘레","Sud de France, Chateau Les Bardoulets",https://www.wine21.com/13_search/wine_view.html?Idx=172369&lq=LIST,수드 드 프랑스  Sud de France,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),세미용 (Semillon) / 뮈스까델 (Muscadelle),,,,8~10 ℃,,,2/5,3/5,2/5,1/5,,,,,*Concours des grands vins de Macon 2016 – Medaille D'OR
"니콜라 포텔, 부르고뉴 샤르도네","Nicolas Potel, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172370&lq=LIST,니꼴라 포텔  Maison Nicolas Potel,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,,,20%만 오크 숙성,12~14 ℃,"아페리티프, 생선 및 조개류 요리, 양파 타르트, 가금류요리, 브리, 꽁떼 등의 치즈 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"배, 서양배, 시트러스, 흰꽃, 바닐라","바비큐, 돼지고기, 건육, 오리로스, 가금류, 생선찜, 해산물, 오일파스타, 중국요리, 탕수육, 난자완스, 아페리티프, 샐러드, 과일, 치즈, 고다, 브리, 모짜렐라, 타르트",Burgundy White,,"*비비노  4.1 pts*T.A 90(18')"""
"니꼴라 포텔, 샤블리","Maison Nicolas Potel, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=172371&lq=LIST,니꼴라 포텔  Maison Nicolas Potel,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,,쉬르리 방식으로 젖산발효,,8~10 ℃,"아페리티프, 생선 및 가금류 테린, 구운 생선, 커리, 탄도리, 염소치즈, 꽁떼, 에멘탈 등의 치즈 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"살구, 사과, 라임, 레몬껍질, 레몬, 미네랄, 허브","가금류, 초밥, 생선회, 해산물, 생굴, 새우, 중국요리, 탕수육, 동남아요리, 아시아요리, 튀김, 아페리티프, 샐러드, 과일, 치즈, 리코타, 모짜렐라",Burgundy Chablis,,*비비노  3.6 pts
"니콜라 포텔, 샤블리 프르미에 크뤼 바이용","Maison Nicolas Potel, Chablis Premier Cru Vaillons",https://www.wine21.com/13_search/wine_view.html?Idx=172372&lq=LIST,니꼴라 포텔  Maison Nicolas Potel,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 샤블리 프리미에 크뤼(Chablis Premier Cru),샤르도네 (Chardonnay) 100%,,젖산발효 진행.,쉬르리 방식으로 나무통에서 숙성.,12~14 ℃,"섬세한 해산물요리, 굴, 구운 생선, 사시미, 스시 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"서양배, 아카시아, 흰꽃, 미네랄, 브리오슈, 토스트","건육, 오리고기, 닭고기, 오리로스, 생선찜, 해산물, 씨푸드, 편육, 만두, 오일파스타, 중국요리, 탕수육, 아시아요리, 샐러드, 과일, 치즈, 고다, 브리, 리코타, 모짜렐라",Burgundy Chablis,,*비비노 -  4.4 pts
"니콜라 포텔, 부르고뉴 피노 누아","Nicolas Potel, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172373&lq=LIST,니꼴라 포텔  Maison Nicolas Potel,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,,,,14~16 ℃,,,1/5,3/5,3/5,2/5,"블랙베리, 딸기, 블루베리, 라스베리, 바닐라, 감초","로스트비프, 까르파치오, 육류요리, 바비큐, 양꼬치, 건육, 푸아그라, 훈제오리, 생선찜, 만두, 수육, 파스타, 오일파스타, 아시아요리, 치즈, 고다, 리코타, 모짜렐라",Burgundy Red,,*비비노  4.0 pts
"니꼴라 포텔, 오쎄-뒤레스 프리미에 크뤼 끌리마 뒤 발","Maison Nicolas Potel, Auxey-Duresses Premier Cru Climat du Val",https://www.wine21.com/13_search/wine_view.html?Idx=172374&lq=LIST,니꼴라 포텔  Maison Nicolas Potel,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 오쎄-뒤레쓰(Auxey-Duresses),피노 누아 (Pinot Noir) 100%,,"손수확을 통해, 줄기가 제거된 포도로 양조.",100% 부르고뉴 산 오크통에서 숙성.,14~16 ℃,,,1/5,3/5,3/5,2/5,"레드커런트, 딸기, 라스베리, 붉은꽃, 허브, 오크","로스트비프, 까르파치오, 양꼬치, 건육, 오리로스, 가금류, 치킨, 생선조림, 생선찜, 해산물, 편육, 만두, 오일파스타, 서양요리, 견과류, 치즈, 고다, 브리, 모짜렐라",Burgundy Côte de Beaune Red,,
"에이오, 에스 와인 피노누아","EIEIO, S-Wine Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172375&lq=LIST,에이오 & 컴퍼니 와이너리  EIEIO & Company winery,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,,,,14-16 ℃,,,1/5,3/5,3/5,2/5,"체리, 오렌지, 미네랄, 시나몬, 바질, 허브","로스트비프, 까르파치오, 육류요리, 바비큐, 건육, 불고기, 족발, 동그랑땡, 한식, 편육, 순대, 오일파스타, 크림파스타, 중국요리, 견과류, 치즈, 체다, 고다, 브리, 그라노파다노, 콩테",Oregon Pinot Noir,,
"에이오, 퀴베-E 샤도네이","EIEIO, Cuvee-E Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172376&lq=LIST,에이오 & 컴퍼니 와이너리  EIEIO & Company winery,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),샤르도네 (Chardonnay) 100%,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"레몬, 미네랄, 건초","꼬치구이, 소시지, 양꼬치, 건육, 오리고기, 가금류, 치킨, 생선구이, 생선회, 해산물, 한식, 순대, 만두, 서양요리, 중국요리, 탕수육, 난자완스, 샐러드, 치즈, 리코타, 모짜렐라",Oregon Chardonnay,,
"에이오, 퀴베-E 피노누아","Eieio, Cuvee-E Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172377&lq=LIST,에이오 & 컴퍼니 와이너리  EIEIO & Company winery,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,,,,14~16 ℃,,,1/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 딸기, 블루베리, 크랜베리, 오크, 버섯, 송로버섯","로스트비프, 스테이크, 바비큐, 양꼬치, 건육, 훈제오리, 불고기, 서양요리, 아시아요리, 치즈, 고다, 리코타, 콩테, 모짜렐라",Oregon Pinot Noir,,
"에이오, 매버릭 빈야드 피노 누아","Eieio, Maverick Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172378&lq=LIST,에이오 & 컴퍼니 와이너리  EIEIO & Company winery,미국(U.S.A) / 오리건(Oregon),피노 누아 (Pinot Noir) 100%,,,25%의 프랑스산 뉴 오크통에서 23개월 숙성.,14~16 ℃,,,1/5,3/5,3/5,2/5,"체리, 라스베리, 자두, 장미, 꽃, 허브, 호두","로스트비프, 까르파치오, 바비큐, 양꼬치, 건육, 프로슈토, 훈제오리, 만두, 오일파스타, 서양요리, 중국요리, 탕수육, 자두, 치즈, 고다, 브리, 모짜렐라",Oregon Pinot Noir,,
"에이오, 사프론 필즈 빈야드 피노 누아","Eieio, Saffron Fields Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172379&lq=LIST,에이오 & 컴퍼니 와이너리  EIEIO & Company winery,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,,,프랑스산 오크통에서 11개월 숙성.,14~16 ℃,,,1/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 무화과, 자두","로스트비프, 까르파치오, 소고기, 바비큐, 양꼬치, 건육, 훈제오리, 불고기, 편육, 수육, 오일파스타, 크림파스타, 피자, 중국요리, 견과류, 치즈, 체다, 고다, 브리, 모짜렐라",Oregon Pinot Noir,,
"소렐레 팔라찌, 토스카나 로쏘 산지오베제","Sorelle Palazzi, Toscana Rosso Sangiovese",https://www.wine21.com/13_search/wine_view.html?Idx=172380&lq=LIST,소렐레 팔라찌  Sorelle Palazzi,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 기타 품종 (Other Grapes),,"약 10일 동안 콘크리트 탱크에서 발효 진행, 7일에서 10일 정도 침용",,16~18 ℃,,호메오와인갤러리,1/5,3/5,4/5,3/5,,,,13~14 %,
"도멘 호프만 자이에, 부르고뉴 알리고테","Domaine Hoffmann Jayer, Burgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=172387&lq=LIST,도멘 호프만 자이에  Domaine Hoffmann Jayer,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote),,손으로 수확,18개월 간의 숙성,8~10 ℃,"샐러드, 조개, 치즈 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,2/5,1/5,,"샐러드, 치즈",Burgundy White,,
"벤티스꾸에로, 리제르바 샤도네이","Ventisquero, Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172388&lq=LIST,벤티스꾸에로  Ventisquero,칠레(Chile) / 아콩카구아(Aconcagua) / 카사블랑카 밸리(Casablanca Valley),샤르도네 (Chardonnay) 100%,,,,8~10 ℃,"기름진 생선, 치즈, 리소토, 파스타, 가금류 요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"레몬, 바닐라","가금류, 파스타, 치즈",Chilean Chardonnay,13~14 %,
"벤티스꾸에로, 리제르바 피노누아","Ventisquero, Reserva Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172389&lq=LIST,벤티스꾸에로  Ventisquero,칠레(Chile) / 아콩카구아(Aconcagua) / 카사블랑카 밸리(Casablanca Valley),피노 누아 (Pinot Noir) 100%,,,,14~16 ℃,"연어, 참치 등 기름진 생선, 파스타, 닭고기 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,"딸기, 바닐라","닭고기, 파스타",Chilean Pinot Noir,13~14 %,
"베르사노, 모스카토 다스티 '몬테올리보'","Bersano, Moscato d'Asti 'Monteolivo'",https://www.wine21.com/13_search/wine_view.html?Idx=172390&lq=LIST,베르사노 비니  Bersano Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ) 100%,,9월 중순 수확한 모스카토 포도를 압착 작업 후 발효 과정을 거쳐 병입 전까지 0℃ 를 유지,,6~8 ℃,"다양한 빵, 쿠키, 케이크 및 열대 과일, 식전주 및 디저트 와인으로 잘 어울린다.",티애니떼루와(주),3/5,3/5,2/5,1/5,"복숭아, 멜론, 꿀","식전주, 과일",Italian Moscato d'Asti,5~6 %,- Vinibuoni d'Italia 2022 4 Stars- Gambero Rosso 2016 2 Glasses- Bibenda Ass. Italiana Sommelier 2016 3 Grapes
"베르사노, 아스티 스푸만테","Bersano, Asti Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=172391&lq=LIST,베르사노 비니  Bersano Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ),,,,6~8 ℃,"빵, 과자류와 다양한 종류의 치즈, 상큼한 과일이나 복숭아 등의 핵과류, 매콤한 음식과도 잘 어울린다.",티애니떼루와(주),3/5,3/5,2/5,1/5,멜론,치즈,,7~8 %,
"샤토 벨뷔, 라 벨 크르와","Chateau Belvue, La Belle Croix",https://www.wine21.com/13_search/wine_view.html?Idx=172392&lq=LIST,샤토 벨뷔  Chateau Belvue,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec),,,,16~18 ℃,"소고기, 닭고기, 각종 치즈와 잘 어울린다.",티애니떼루와(주),1/5,3/5,4/5,4/5,,"소고기, 닭고기, 치즈",Bordeaux Red,13~14 %,*Concours des Grand Vins de France - Gold Medal
"샤토 오 릴루와, 보르도 슈페리어","Chateau Haut-Liloie, Bordeaux Superieur",https://www.wine21.com/13_search/wine_view.html?Idx=172393&lq=LIST,샤토 오 릴루와  Chateau Haut-Liloie,프랑스(France) / 보르도(Bordeaux) / 보르도 쒸뻬리외르(Bordeaux Superieur),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,"소고기, 닭고기, 각종 치즈와 잘 어울린다.",티애니떼루와(주),1/5,4/5,4/5,4/5,"자두, 허브, 초콜릿","소고기, 닭고기, 치즈",Bordeaux Red,13~14 %,*Brussels International Competition - Gold Medal*Cocours General Agricole Paris - Gold Medal*Gilber&Gaillard - Gold Medal
"템포레, 제네라시옹 50","Tempore, Generacion 50",https://www.wine21.com/13_search/wine_view.html?Idx=172394&lq=LIST,보데가스 템포레  Bodegas Tempore,스페인(Spain),가르나차 블랑카  (Garnacha Blanca),,껍질 분리 후 온도 조절 스테인리스 탱크에서 3주간 발효 후 콘크리트로 만든 특별한 수직 계란모양 탱크(Ovoid Tank)에서 9개월간 자연스러운 발효,,8~10 ℃,해산물 요리를 비롯 모든 종류의 고기 요리 모두 어울리며 매운 맛을 제외한 모든 종류의 향신료와 잘 어울린다.,티애니떼루와(주),1/5,3/5,1/5,1/5,,해산물,,14~15 %,*La Academia Aragonesa “아라곤 최고 와이너리 2018” 선정*Millesime BIO 2021 “Gold Medal” 수상
"템포레, 떼라에 로제","Tempore, Terrae Rosado",https://www.wine21.com/13_search/wine_view.html?Idx=172395&lq=LIST,보데가스 템포레  Bodegas Tempore,스페인(Spain),가르나차  (Garnacha),,,,12~14 ℃,"타코, 파히타, 토마토 요리와 잘 어울린다.",티애니떼루와(주),1/5,3/5,1/5,1/5,"딸기, 시트러스",,,13~14 %,
"레 콩트 드 메르시, 피노누아","Le Comte de Mercy, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172396&lq=LIST,레 콩트 드 메르시  Le Comte de Mercy,헝가리(Hungary),피노 누아 (Pinot Noir),,,,14~16 ℃,"파스타, 피자 및 가금류 요리와 잘 어울린다.",티애니떼루와(주),1/5,3/5,3/5,2/5,체리,가금류,,12~13 %,
"레 콩트 드 메르시, 샤도네이","Le Comte de Mercy, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172397&lq=LIST,레 콩트 드 메르시  Le Comte de Mercy,헝가리(Hungary),샤르도네 (Chardonnay),,,,8~10 ℃,"생선류, 흰 살 육고기 등과 잘 어울린다.",티애니떼루와(주),1/5,3/5,2/5,1/5,복숭아,,,13~14 %,
"알렉산더 밸리 빈야드, 홈스테드 레드 블렌드","Alexander Valley Vineyards, Homestead Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=172398&lq=LIST,알렉산더 밸리 빈야드  Alexander Valley Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 알렉산더 밸리(Alexander Valley),메를로 (Merlot) / 진판델 (Zinfandel) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz),,각 품종별로 별도 재배 및 발효와 숙성을 따로 진행 후 블렌딩,프랑스와 아메리칸 오크통(25% New Oak)에서 14개월 숙성,16~18 ℃,,티애니떼루와(주),1/5,3/5,4/5,4/5,꽃,,Californian Cabernet Sauvignon,,*95 Points & Gold Medal - Press Democrat North Coast Wine Challenge*94 Points & Double Gold Medal - Toast of the Coast Wine Competition*91 Points - California State Fair*91 Points & Gold Medal - Critics Challenge*90 Points & Highly Recommended - Ultimate Wine Challenge
"알렉산더 밸리 빈야드, 에스테이트 메를로","Alexander Valley Vineyards, Estate Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=172399&lq=LIST,알렉산더 밸리 빈야드  Alexander Valley Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),메를로 (Merlot) 100%,Alexander Valley AVA,보르도가 유지하는 온도 보다 다소 낮게 발효,프랑스 산 과 미국 산 오크를 사용하여 14개월 동안 숙성,16~18 ℃,"갈비 구이,스테이크와 잘 어울린다.",티애니떼루와(주),1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 블루베리, 자두, 바닐라, 초콜릿, 오크","스테이크, 불고기, 갈비찜, 족발, 한식, 라자냐, 리조토, 서양요리, 버섯, 자두, 치즈, 체다, 고다, 브리",Californian Merlot,14~15 %,
"인스파이어드 컴퍼니, 샤도네이","Inspired Company, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172400&lq=LIST,인스파이어드 컴퍼니  Inspired Company,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),샤르도네 (Chardonnay),,,,8~10 ℃,"굴, 생선 등 해산물, 닭고기, 파스타, 각종 치즈 등과 잘 어울린다.",티애니떼루와(주),1/5,3/5,2/5,1/5,"배, 브리오슈","닭고기, 해산물, 파스타, 치즈",Australian Chardonnay,13~14 %,
"인스파이어드 컴퍼니, 쉬라즈 까베르네","Inspired Company, Shiraz Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=172401&lq=LIST,인스파이어드 컴퍼니  Inspired Company,호주(Australia) / 사우스 이스턴 오스트레일리아(South Eastern Australia),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot),,,,16~18 ℃,"소고기, 돼지고기, 양고기, 닭고기 등 모든 육류 요리와 잘 어울린다.",티애니떼루와(주),1/5,3/5,4/5,4/5,"후추, 유칼립투스","소고기, 양고기, 닭고기",Australian Cabernet - Shiraz,14~15 %,
"미 떼루노, 라 에스퀴나 스위트 말벡","Mi Terruno, La Esquina Sweet Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=172402&lq=LIST,미 떼루노  Mi Terruno,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec),,,,16~18 ℃,"파스타, 각종 고기류와 잘 어울린다.",티애니떼루와(주),3/5,3/5,5/5,5/5,자두,파스타,,13~14 %,
"아달리아 비니, 발폴리첼라 라우테","Adalia Vini, Valpolicella 'Laute'",https://www.wine21.com/13_search/wine_view.html?Idx=172403&lq=LIST,아달리아 비니  Adalia Vini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비나 그로사 (Corvina Grossa) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),,줄기를 제거한 포도는 부드럽게 압착한 후 1주일 간 침용,스테인리스 탱크에서 몇 개월 간 숙성 후 병입,16~18 ℃,"소고기, 치즈와 잘 어울린다.",호메오와인갤러리,1/5,3/5,4/5,4/5,"체리, 석류","소고기, 치즈",Italian Valpolicella Red,,*FALSTAFF - 92
"아달리아 비니, 아마로네 델라 발폴리첼라 '루발'","Adalia Vini, Amarone della Valpolicella 'Ruvaln'",https://www.wine21.com/13_search/wine_view.html?Idx=172404&lq=LIST,아달리아 비니  Adalia Vini,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비나 그로사 (Corvina Grossa) / 론디넬라 (Rondinella),,"수확 후 3개월 간 자연건조, 건조한 포도를 부드럽게 압착한 후 스테인리스 스틸 탱크에서 토착 효모를 사용하여 1개월 간 발효",25HL 배럴에서 24개월 간 숙 성,16~18 ℃,"소고기, 치즈와 잘 어울린다.",호메오와인갤러리,1/5,3/5,4/5,4/5,체리,"소고기, 치즈",Italian Amarone,,*VIVINO – 4.2*FALSTAFF - 92
"샴페인 꼴렛, 밀레짐 브뤼","Champagne Collet, Millesime Brut",https://www.wine21.com/13_search/wine_view.html?Idx=172406&lq=LIST,샴페인 꼴렛  Champagne Collet,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),Champagne AOC(AOP),,수 세기의 유서 깊은 석회암 셀러 안 깊숙한 곳에서 최소 7년 이상 숙성함,8~10 ℃,"굴, 가리비, 생선, 해조류, 새우 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,,새우,French Champagne,12~13 %,
레 체케 바롤로 브리코 산 피에트로,Le Cecche Barolo Bricco San Pietro,https://www.wine21.com/13_search/wine_view.html?Idx=172407&lq=LIST,아그리멘트 이탈리아  Agriment Italia,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,Barolo DOCG(DOP),,"The wine is aged in French tonneaux as well as barriques, of which 30% are new, for at least 24 months.",16~18 ℃,,,1/5,4/5,3/5,4/5,,,Italian Barolo,14~15 %,
"카 라 비욘다, 발폴리첼라 클라시코","Ca' La Bionda, Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=172408&lq=LIST,아지엔다 아그리콜라 카 라 비욘다  Azienda Agricola Ca' La Bionda,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),,,최대 25도의 스테인리스 스틸 탱크에서 발효,병입 후 3개월 간 숙성,16~18 ℃,파스타에서 구운 고기요리까지 다양한 이탈리아 음식과 잘 어울린다.,호메오와인갤러리,1/5,4/5,4/5,4/5,,파스타,Italian Valpolicella Red,,
레 모레테 루가나 만도라라,Le Morette Lugana Mandolara,https://www.wine21.com/13_search/wine_view.html?Idx=172410&lq=LIST,아그리멘트 이탈리아  Agriment Italia,이탈리아(Italy) / 베네토(Veneto),투르비아노 (Turbiano),Lugana DOC(DOP),"In stainless steel containers, under teperature control, 16° C.","Ageing at least, 1 month in bottle",10~12 ℃,,,1/5,4/5,2/5,1/5,,,,13~14 %,
토라키아 델 피안타피냐 겜메 비냐 펠리짜네,Torraccia del Piantavigna Ghemme Vigna Pelizzane,https://www.wine21.com/13_search/wine_view.html?Idx=172412&lq=LIST,아그리멘트 이탈리아  Agriment Italia,이탈리아(Italy) / 피에몬테(Piemonte),네비올로 (Nebbiolo),Ghemme DOCG(DOP),In temperature controlled steel tanks followedby malolactic fermentation,At least 4 years in medium capacity French oak barrels of Allier,16~18 ℃,,,1/5,4/5,3/5,4/5,,,,13~14 %,
200 메트리 틴틸리아 델 몰리제,200 Metri Tintilia del Molise,https://www.wine21.com/13_search/wine_view.html?Idx=172415&lq=LIST,알마  Alma,이탈리아(Italy) / 몰리제(Molise),틴틸리아 (Tintilia),Molise DOC(DOP),,,16~18 ℃,"전채 요리, 구운 고기, 반경성치즈, 경성치즈, 샤퀴테리 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,,치즈,,13~14 %,*DECANTER 2022 SILVER MEDAL- GAMBERO ROSSO BEREBENE 2022 Award Best Value for Money
보스코 델레 구아르디에 비페르노 로쏘,Bosco delle Guardie Biferno Rosso,https://www.wine21.com/13_search/wine_view.html?Idx=172416&lq=LIST,알마  Alma,이탈리아(Italy) / 몰리제(Molise),몬테풀치아노 (Montepulciano) / 알리아니코 (Aglianico),Molise DOC(DOP),,,16~18 ℃,"바베큐, 스튜, 붉은 육류, 송아지, 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,,치즈,,13~14 %,*DENCANTER 2022 SILVER MEDAL - THE WINEHUNTER 2022 AWARD RED
파쏘 알레 트레미티 알리아니코,Passo Alle Tremiti Aglianico,https://www.wine21.com/13_search/wine_view.html?Idx=172417&lq=LIST,알마  Alma,이탈리아(Italy) / 몰리제(Molise),알리아니코 (Aglianico) 100%,Molise DOC(DOP),,,16~18 ℃,"육즙이 풍부한 붉은 육류, 숙성된 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,5/5,,치즈,,14~15 %,*THE WINEHUNTER 2022 AWARD GOLD
파쏘 알레 트레미티 팔랑기나,Passo Alle Tremiti Falanghina,https://www.wine21.com/13_search/wine_view.html?Idx=172418&lq=LIST,알마  Alma,이탈리아(Italy) / 몰리제(Molise),팔랑기나 (Falanghina) 100%,Molise DOC(DOP),,,10~12 ℃,"전채 요리, 생선, 튀김류, 흰 살 육류, 제철 치즈 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"튀김, 치즈",,13~14 %,*LUCA MARONI ANNUARIO DEI MIGLIORI VINI ITALIANI 2022 92pt
"르 메니에르, 브뤼 샴페인 그랑 크뤼","Le Mesnil, Brut Champagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=172419&lq=LIST,르 메니에르  Le Mesnil,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,,6~8 ℃,각종 치즈와 잘 어울린다.,루벵코리아 (루뱅쿱),1/5,4/5,2/5,1/5,,치즈,French Champagne,12~13 %,
"르 메니에르, 슈비메 브뤼 샴페인 그랑크뤼 밀레짐","Le Mesnil, Sublime Brut Champagne Grnad Cru Millesime",https://www.wine21.com/13_search/wine_view.html?Idx=172420&lq=LIST,르 메니에르  Le Mesnil,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,,6~8 ℃,각종 치즈와 잘 어울린다.,루벵코리아 (루뱅쿱),1/5,4/5,2/5,1/5,,치즈,French Champagne,12~13 %,
"르 메니에르, 브뤼 샴페인 그랑크뤼 밀레짐 블랑 드 블랑","Le Mesnil, Brut Champagne Grnad Cru Millesime Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=172421&lq=LIST,르 메니에르  Le Mesnil,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,,6~8 ℃,각종 치즈와 잘 어울린다.,루벵코리아 (루뱅쿱),1/5,4/5,2/5,1/5,,치즈,French Champagne,12~13 %,
"카 라 비욘다, 발폴리첼라 클라시코 슈페리오레 '카살베그리'","Ca' La Bionda, Valpolicella Classico Superiore 'Casalvergi'",https://www.wine21.com/13_search/wine_view.html?Idx=172422&lq=LIST,아지엔다 아그리콜라 카 라 비욘다  Azienda Agricola Ca' La Bionda,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone),,최대 25도로 유지되는 스테인리스 탱크에서 발효,"3,000리터 배럴에서 18개월간 숙성 후 추가로 6 개월 동안 병입 숙성",16~18 ℃,,호메오와인갤러리,1/5,3/5,4/5,4/5,,,Italian Valpolicella Red,,*Gambero Rosso - 3 Glasses
