와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,양조,숙성,수입사,등급,추천음식
"렌우드, 이스테이트 진판델","Renwood, Estate Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=176427&lq=LIST,렌우드  Renwood,미국(U.S.A) / 캘리포니아(California) / 아마도르 카운티(Amador County),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah) / 바르베라 (Barbera),Californian Zinfandel,,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙베리, 블루베리, 자두, 제비꽃, 장미, 꽃, 감초, 아니스, 카카오","소고기, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 파스타, 견과류, 치즈, 체다, 고다, 브리",,,도멘드제이,,
"로얄 프린스, 소노마 코스트 샤르도네","Royal Prince, Sonoma Coast Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176428&lq=LIST,로얄 프린스  Royal Prince,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay),Californian Chardonnay,,10~12 ℃,* 2019 빈티지 - Jeb Dunnuck 92점* 2018 빈티지 - Jeb Dunnuck 94점,1/5,3/5,3/5,1/5,"서양배, 시트러스, 오렌지, 레몬, 꽃, 미네랄, 젖은자갈","돼지고기, 건육, 가금류, 장어구이, 해산물, 편육, 수육, 파스타, 햄버거, 피자, 중국요리, 샐러드",,,도멘드제이,Sonoma Coast AVA,
"로얄 프린스, 리저브 까베르네 쇼비뇽","Royal Prince, Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176429&lq=LIST,로얄 프린스  Royal Prince,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),Californian Cabernet Sauvignon,,16~18 ℃,* 2019 빈티지 - Jeb Dunnuck 93 점* 2018 빈티지 - Jeb Dunnuck 93 점,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 바닐라, 타바코, 오크, 흑연","소고기, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 동그랑땡, 라자냐, 파스타, 서양요리, 피자, 버섯, 송이버섯, 견과류, 치즈, 파르미지아노, 체다, 고다, 에멘탈, 그라노파다노",,,도멘드제이,Napa Valley AVA,
"로얄 프린스, 산타 마리아 피노","Royal Prince, Santa Maria Pinot",https://www.wine21.com/13_search/wine_view.html?Idx=176430&lq=LIST,로얄 프린스  Royal Prince,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 마리아 밸리(Santa Maria Valley),피노 누아 (Pinot Noir),Californian Pinot Noir,,14~16 ℃,* 2019 빈티지 - Jeb Dunnuck 91점* 2018 빈티지 - Jeb Dunnuck 91점,1/5,3/5,4/5,3/5,"체리, 딸기, 라스베리, 제비꽃, 붉은꽃, 연기, 오크","소고기, 스테이크, 붉은육류, 양갈비, 건육, 불고기, 족발, 한식, 햄버거, 피자, 버섯, 견과류, 파르미지아노, 고다, 에멘탈, 브리, 그라노파다노",,,도멘드제이,Santa Maria Valley AVA,
"더 디베이트, 얼티메이트 디베이트","The Debate ,The Ultimate Debate",https://www.wine21.com/13_search/wine_view.html?Idx=176431&lq=LIST,더 디베이트   The Debate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),Californian Cabernet Sauvignon,,16~18 ℃,* 2018 빈티지 - Jeb Dunnuck  98점,1/5,3/5,4/5,3/5,"블랙베리, 블루베리, 라스베리, 자두, 미네랄, 커피, 오크","소고기, 스테이크, 육류요리, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 파스타, 서양요리, 피자, 버섯, 치즈, 체다, 고다, 에멘탈, 브리",,,도멘드제이,Napa Valley AVA,
"더 디베이트, 슬리핑 레이디 까베르네 프랑","The Debate, Sleeping Lady Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=176432&lq=LIST,더 디베이트   The Debate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc),Californian Cabernet Franc,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙베리, 블루베리, 꽃, 허브, 세이지, 코코아","로스트비프, 까르파치오, 소고기, 스테이크, 양꼬치, 건육, 불고기, 양념갈비, 갈비찜, 한식, 햄버거, 피자, 버섯, 견과류, 치즈, 체다, 고다, 에멘탈, 브리",,,도멘드제이,Napa Valley AVA,
"더 디베이트, 스테이지코치 까베르네 프랑","The Debate, Stagecoach Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=176433&lq=LIST,더 디베이트   The Debate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc),Californian Cabernet Franc,,16~18 ℃,* 2018 빈티지 - Jeb Dunnuck 95 점,1/5,3/5,3/5,3/5,"체리, 라스베리, 복숭아, 장미, 꽃, 미네랄, 부싯돌, 흑연","로스트비프, 소고기, 스테이크, 육류요리, 양꼬치, 양갈비, 건육, 불고기, 양념갈비, 족발, 햄버거, 피자, 버섯, 복숭아, 견과류, 치즈, 체다, 고다, 브리",,,도멘드제이,Napa Valley AVA,
"샤토 캉그루이, 크뤼 부르주아","Chateau Cangruey, Cru Bourgeois",https://www.wine21.com/13_search/wine_view.html?Idx=176434&lq=LIST,샤토 캉그루이  Chateau Cangruey,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Bordeaux Médoc,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 잼, 커피, 에스프레소","소고기, 스테이크, 육류요리, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 서양요리, 자두, 치즈, 파르미지아노, 에멘탈, 카망베르, 그라노파다노",평균수명 20년의 포도나무에서 수확한 포도로 양조.,,도멘드제이,,
"샤토 오 노브, 퀴베 손 알테세",Chateau Haut Nauve,https://www.wine21.com/13_search/wine_view.html?Idx=176435&lq=LIST,샤토 오-노브  Chateau Haut-Nauve,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 블랙베리, 블루베리, 커피, 오크","소고기, 스테이크, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 치즈",60년된 포도나무에서 수확한 포도로 양조.,새프렌치 오크 배럴에서 12개월 숙성.,도멘드제이,,
"시니 레 로즈, 코시 페숑 브뤼","Chigny Les Roses, Cossy- Pechon Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176436&lq=LIST,시니 레 로즈  Chigny Les Roses,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier) / 샤르도네 (Chardonnay),French Champagne,,10~12 ℃,,1/5,4/5,3/5,1/5,"백도, 복숭아, 시트러스, 흰꽃, 꽃, 브리오슈","건육, 스시, 생선회, 해산물, 오일파스타, 중국요리, 식전주, 샐러드, 복숭아, 치즈, 고다, 브리, 콩테",,,도멘드제이,Champagne AOC(AOP),
"두르동 비에야르, 레 피노츠 드 제피린 샴페인","Dourdon Vieillard, Les Pinots de Zephirine Champagne",https://www.wine21.com/13_search/wine_view.html?Idx=176437&lq=LIST,두르동 비에야르  Dourdon Vieillard,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),French Champagne,,10~12 ℃,,1/5,4/5,3/5,1/5,"후추, 감초, 헤이즐넛, 타바코","육회, 돼지고기, 건육, 오리로스, 붉은살생선, 장어구이, 해산물, 중국요리, 견과류, 치즈",,,도멘드제이,Champagne AOC(AOP),
"두르동 비에야르, 인스턴스 부야제","Dourdon Vieillard, L'Instant Boise",https://www.wine21.com/13_search/wine_view.html?Idx=176438&lq=LIST,두르동 비에야르  Dourdon Vieillard,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier),French Champagne,,10~12 ℃,,1/5,4/5,2/5,1/5,"사과, 바닐라, 감초, 헤이즐넛, 커피","로스트비프, 육회, 돼지고기, 건육, 오리로스, 붉은살생선, 사시미, 해산물, 중국요리, 치즈",,,도멘드제이,Champagne AOC(AOP),
샤토 드 라 그라벨리에르,Chateau de la Graveliere,https://www.wine21.com/13_search/wine_view.html?Idx=176439&lq=LIST,비노블스 버나드 리그랫 앤 필  Vignobles Bernard Reglat & Fils,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),Bordeaux White,,10~12 ℃,,1/5,3/5,2/5,1/5,"시트러스, 감귤, 꽃, 크림","씨푸드, 해산물, 샐러드","평균 수령 15년된 포도나무에서 얻은 포도로 양조. 바토나쥬, 리와 함께 발효.",,도멘드제이,Graves AOC(AOP),
샤토 드 라 마제로르 라 그라벨리에르,Chateau de la Mazerolle la Graveliere,https://www.wine21.com/13_search/wine_view.html?Idx=176440&lq=LIST,비노블스 버나드 리그랫 앤 필  Vignobles Bernard Reglat & Fils,프랑스(France) / 보르도(Bordeaux) / 그라브(Graves),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Bordeaux Graves Red,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 오크, 송로버섯","소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 파스타, 자두, 치즈, 파르미지아노, 고다, 에멘탈, 브리, 그라노파다노",평균 수명 28년의 포도나무에서 수확한 포도로 양조.,배럴에서 12개월 동안 숙성.,도멘드제이,Graves AOC(AOP),
"에스탐파, 델 비엔또 소비뇽 블랑","Estampa, Del Viento Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=176441&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),소비뇽 블랑 (Sauvignon Blanc),Chilean Sauvignon Blanc,13~14 %,8~10 ℃,* 2021 빈티지 - Tim Atkin 92점* 2022 빈티지 - Descorchados 92점* Maker - Johana Pereira(조아나 페레이라)* 콜차구아에 위치한 Paredones는 태평양에서 불과 8KM 떨어진 곳으로 해양성의 온화하고 구름이 많이 끼는 날씨를 보인다.,1/5,3/5,2/5,1/5,"시트러스, 자몽, 라임, 열대과일, 리치, 미네랄, 허브","스시, 초밥, 생선회, 해산물, 아시아요리, 샐러드, 과일","4월 초 수확, 이른 아침에 손 수확 후 선별되어 포도송이 채로로 압착. 포도원액은 14-16도의 스테인레스 스틸 탱크에서 발효. 각 클론에 맞춰 다양한 효모를 선별적으로 사용하며, 발효 후 4개월 동안 Lees 컨택을 진행. 연 3,240병 생산.",,동원와인플러스,,"초록빛이 도는 옅은 노란색. 라임, 자몽 같은 시트러스 아로마 , 은은한 허브노트에 달콤한 열대과실의 . 높은 산도가 지속적으로 입 맛을 돋운다. 부드럽고 복합적인 풍미에 미네랄감이 돋보이는 여운이 특징이다"
"에스탐파, 델 비엔또 피노누아","Estampa, Del Viento Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176442&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),피노 누아 (Pinot Noir),Chilean Pinot Noir,13~14 %,12~14 ℃,"* 2019 빈티지 - Tim Atkin 91점* 2020 빈티지 - Tim Atkin 90점* Maker - Johana Pereira(조아나 페레이라)* 연 3,240병 생산",1/5,3/5,3/5,2/5,"블랙베리, 체리, 딸기, 감초","로스트비프, 까르파치오, 돼지고기, 건육, 훈제오리, 보쌈, 불고기, 편육, 수육, 오일파스타, 크림파스타, 중국요리, 샐러드, 견과류, 치즈, 파르미지아노, 그라노파다노","3월 중순 수확, 이른 아침에 손 수확 후 선별되어 70%는 줄기를 제거한 후 뚜껑이 없는 탱크에서 발효. 30%는 포도송이채 발효. 발효는 20-23도에서 진행되며 밀도가 충분해질때까지 매일 펀치다운을 실시. 발효 후 Free-Run 주스는 24시간 동안 침용하고 젖산발효.",일반 배럴로 옮겨져 7개월 동안 숙성 후 출시.,동원와인플러스,,
"에스탐파, 인스피라시온 테롤데고","Estampa, Inspiracion Teroldego",https://www.wine21.com/13_search/wine_view.html?Idx=176443&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),테롤데고 (Teroldego),,13~14 %,16~18 ℃,* 2021 빈티지 - Descorchados 94점* 2019 빈티지 - Tim Atkin 92점)* 콜차구아에 위치한 Marchigue는 태평양에서 30KM 떨어진 곳으로 강한 캐릭터와 산도로 프리미엄 와인이 생산.,1/5,3/5,3/5,4/5,"블랙체리, 블랙베리, 체리, 자두, 후추","소고기, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 족발, 토마토파스타, 자두, 견과류, 랑그르, 치즈, 에멘탈, 페타",3월 말에 수확되어 사람 손으로 줄기를 제거. 23-25도를 유지한 스테인레스 스틸 탱크에서 발효. 탄닌 추출을 위한 펌프오버를 실시. 젖산발효가 진행.,Used 배럴로 옮겨 14개월 숙성.,동원와인플러스,,
"에스탐파, 인스피라시온 아글리아니코","Estampa, Inspiracion Aglianico",https://www.wine21.com/13_search/wine_view.html?Idx=176444&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),알리아니코 (Aglianico),,14~15 %,16~18 ℃,"* 2021 빈티지 - Descorchados 93점* 2020 빈티지 - Tim Atkin 91점* 아글리아니코- 이태리 남부 바실리카타주, 캄파니아주에서 주로 생산- 산지오베제, 네비올로와 더불어 3대 이태리 품종- 정제되고 복잡한 고급 와인으로 남쪽의 바롤로 별칭",1/5,4/5,4/5,4/5,"블랙체리, 블랙베리, 자두, 육두구, 후추, 정향, 감초","소고기, 스테이크, 육류요리, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 자두, 견과류, 치즈, 파르미지아노, 에멘탈, 그라노파다노, 페타",3월 말에 수확되어 사람 손으로 줄기를 제거. 23-25도를 유지한 스테인레스 스틸 탱크에서 발효. 탄닌 추출을 위한 펌프오버를 실시. 젖산발효가 진행.,Used 베럴로 옮겨 14개월 숙성.,동원와인플러스,,
"에스탐파, 인스피라시온 베르멘티노","Estampa, Inspiracion Vermentino",https://www.wine21.com/13_search/wine_view.html?Idx=176445&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),베르멘티노 (Vermentino),,13~14 %,,,1/5,3/5,2/5,1/5,"시트러스, 자몽, 라임, 허브","해산물, 나물, 어묵, 튀김, 샐러드, 과일, 견과류, 크림치즈, 모짜렐라","5월 말에 수확되어 포도송이 채로 압착. 서로 다른 품종을 함께 양조하며, 14-16도의 스테인레스 스틸 탱크에서 선별된 효모와 함께 발효. 이후 Lees 컨택이 진행. 2주 간 차가운 온도에서 침용.",필터링을 거쳐 8개월 간 병입숙성 후에 출시.,동원와인플러스,,
"에스탐파, 인스피라시온 화이트 블렌드","Estampa, Inspiracion Fiano Vermentino Greco",https://www.wine21.com/13_search/wine_view.html?Idx=176446&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),피아노 (Fiano) / 베르멘티노 (Vermentino) / 그레코 비앙코 (Greco Bianco),,13~14 %,10~12 ℃,* 2022 빈티지 - Descorchados 92점* 2021 빈티지 - Tim Atkin 94점* 2020 빈티지 - Decanter Silver Medal 92점,1/5,4/5,2/5,1/5,"시트러스, 자몽, 라임, 흰꽃, 꽃, 허브","생선회, 해산물, 오일파스타, 중국요리, 아시아요리, 샐러드, 과일, 치즈, 모짜렐라",5월 말에 수확되어 포도송이 채로 압착. 서로 다른 품종을 함께 양조. 14-16도의 스테인레스 스틸 탱크에서 선별된 효모와 함께 발효. Lees 컨택이 진행되며 2주 간 차가운 온도에서 침용.,필터링을 거쳐 8개월 간 병입숙성 후에 출시.,동원와인플러스,,
"에스탐파, 인스피라시온 리슬링","Estampa, Inspiracion Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=176447&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),리슬링 (Riesling),Chilean Riesling,12~13 %,10~12 ℃,* 2021 빈티지 - Descorchados 92점* 2020 빈티지 - Descorchados 91점* 2018 빈티지 - Tim Atkin 92점,1/5,4/5,3/5,1/5,"배, 서양배, 시트러스, 아카시아, 꽃, 허브","돼지고기, 건육, 오리로스, 붉은살생선, 해산물, 만두, 수육, 중국요리, 아시아요리, 샐러드",3월 말에 수확되어 포도송이 채로 압착. 서로 다른 품종을 함께 양조. 14-16도의 스테인레스 스틸 탱크에서 선별된 효모와 함께 발효. Lees 컨택이 진행. 2주 간 차가운 온도에서 침용.,필터링을 거쳐 8개월 간 병입숙성 후에 출시.,동원와인플러스,,
"에스탐파, 인스피라시온 네비올로","Estampa, Inspiracion Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=176448&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),네비올로 (Nebbiolo),,13~14 %,16~18 ℃,,1/5,4/5,4/5,4/5,"블랙체리, 체리, 붉은꽃, 꽃, 육두구, 후추","소고기, 스테이크, 양갈비, 양고기, 양념갈비, 갈비찜, 한식, 토마토파스타, 서양요리, 견과류, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 페타",4월 중순에 수확되어 사람 손으로 줄기를 제거. 23-25도를 유지한 스테인레스 스틸 탱크에서 발효. 탄닌 추출을 위한 펌프오버를 실시. 젖산발효가 진행.,Used 배럴로 옮겨 14개월 숙성.,동원와인플러스,,
"에스탐파, 인스피라시온 산지오베제","Estampa, Inspiracion Sangiovege",https://www.wine21.com/13_search/wine_view.html?Idx=176449&lq=LIST,에스탐파  Estampa,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),산지오베제 (Sangiovese),,14~15 %,16~18 ℃,* 2020 빈티지 - Tim Atkin 92점* 2020 빈티지 - Descorchados 92점* 2019 빈티지 - Tim Atkin 93점,1/5,4/5,3/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 붉은꽃, 꽃, 정향, 감초, 토스트","소고기, 육류요리, 돼지고기, 양갈비, 양고기, 건육, 갈비찜, 족발, 한식, 라자냐, 파스타, 서양요리, 피자, 중국요리, 자두, 견과류, 치즈, 파르미지아노, 그라노파다노, 콩테",2월 중순에 수확. 사람 손으로 줄기를 제거. 23-25도를 유지한 암포라(amphorae)에서 발효. 적절한 탄닌 추출을 위한 섬세한 펌프오버를 실시.,병입 전 까지 암포라에서 젖산발효가 진행.,동원와인플러스,,
"도나텔라 시넬리 콜롬비니, 끼안띠 슈페리오레","Donatella Cinelli Colombini, Chianti Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=176450&lq=LIST,도나텔라 치넬리 콜롬비니  Donatella Cinelli Colombini,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Italian Chianti,14~15 %,16~18 ℃,,1/5,3/5,3/5,3/5,"레드커런트, 블랙체리, 체리, 딸기, 붉은꽃, 꽃","소고기, 육류요리, 양고기, 한식, 서양요리, 치즈",,,,,
"라몬 빌바오, 에디시온 리미타다","Ramon Bilbao, Edicion Limitada",https://www.wine21.com/13_search/wine_view.html?Idx=176451&lq=LIST,라몬 빌바오  Ramon Bilbao,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo),Spanish Tempranillo,14~15 %,16~18 ℃,* 2018 빈티지 - Tim Atkin 93 점 / Guia Penin 91,1/5,4/5,3/5,3/5,"레드커런트, 블랙체리, 블랙베리, 감초, 허브, 코코아, 초콜릿, 오크, 크림","로스트비프, 바비큐, 돼지고기, 양꼬치, 건육, 훈제오리, 불고기, 족발, 순대, 서양요리, 피자, 중국요리, 양장피, 견과류, 치즈, 고다, 브리",자연효모로 전통방식 발효 진행.,15개월 간 프렌치 오크통 숙성. 병입하여 10개월 숙성.,베리타스비노,,
"지오반니 로쏘, 랑게 네비올로","Giovanni Rosso, Langhe Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=176452&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),네비올로 (Nebbiolo),Italian Nebbiolo,,14~16 ℃,,1/5,4/5,3/5,4/5,"레드커런트, 체리, 자두, 제비꽃, 장미, 정향, 감초, 말린허브","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 건육, 불고기, 갈비찜, 족발, 동그랑땡, 한식, 라자냐, 파스타, 리조토, 서양요리, 견과류, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",평균 수령 30년의 포도나무. 해발 340~520m에 위치한 빈야드.,50hl 프렌치 대형 오크 통에서 수개월간 숙성.,에노테카코리아,Langhe DOC(DOP),
"지오반니 로쏘, 로에로 아르네이스","Giovanni Rosso, Roero Arneis",https://www.wine21.com/13_search/wine_view.html?Idx=176453&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte),아르네이스 (Arneis),,,10~12 ℃,,1/5,4/5,3/5,1/5,"복숭아, 배, 열대과일, 아카시아, 꽃, 미네랄, 허브","생선구이, 해산물, 새우, 동남아요리, 아시아요리, 새우튀김, 튀김, 샐러드, 견과류",,"스테인리스 탱크에 6개월, 이후 병 숙성 3개월.",에노테카코리아,,
"지오반니 로쏘, 바롤로 델 코무네 디 세라룽가 달바","Giovanni Rosso, Barolo del Comune di Serralunga d'Alba",https://www.wine21.com/13_search/wine_view.html?Idx=176454&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Italian Barolo,,16~18 ℃,,1/5,4/5,3/5,4/5,"체리, 라스베리, 자두, 코코아, 초콜릿","스튜, 소고기, 스테이크, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 한식, 라자냐, 서양요리, 리조또, 자두, 견과류, 치즈, 파르미지아노, 그라노파다노, 고르곤졸라, 에푸아쓰","해발 300~350미터에 위치한 남동향, 남서향의 빈야드에서 포도 수확.",18~36개월동안 50hl 프렌치 오크 숙성 (퐁텐블로 숲 나무 오크 통),에노테카코리아,Barolo DOCG(DOP),
"지오반니 로쏘, 바롤로 세라","Giovanni Rosso, Barolo Serra",https://www.wine21.com/13_search/wine_view.html?Idx=176455&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Italian Barolo,,16~18 ℃,,1/5,4/5,3/5,4/5,"블랙베리, 라스베리, 시트러스, 오렌지, 정향, 민트, 초콜릿","스튜, 소고기, 스테이크, 붉은육류, 양고기, 양념갈비, 갈비찜, 족발, 한식, 라자냐, 리조토, 서양요리, 치즈, 파르미지아노, 그라노파다노, 고르곤졸라","해발 370~395미터에 위치한 남동향, 서향의 빈야드.",18~36개월동안 20~50hl 프렌치 오크 숙성,에노테카코리아,Barolo DOCG(DOP),
"지오반니 로쏘, 바롤로","Giovanni Rosso, Barolo",https://www.wine21.com/13_search/wine_view.html?Idx=176456&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),Italian Barolo,,16~18 ℃,,1/5,4/5,3/5,4/5,"체리, 라스베리, 석류, 제비꽃, 붉은꽃, 꽃, 감초, 아니스","소고기, 스테이크, 육류요리, 바비큐, 양꼬치, 양갈비, 건육, 불고기, 족발, 라자냐, 파스타, 리조토, 버섯, 치즈, 파르미지아노, 그라노파다노, 고르곤졸라, 테트드무안",해발 360~380m에 위치한 빈야드에서 포도 수확.,18~36개월동안 50hl 프렌치 오크 숙성.,에노테카코리아,Barolo DOCG(DOP),
"지오반니 로쏘, 바르베라 달바","Giovanni Rosso, Barbera d'Alba",https://www.wine21.com/13_search/wine_view.html?Idx=176457&lq=LIST,지오반니 로쏘 디 다비데 로쏘  Giovanni Rosso Di Davide Rosso,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera),Italian Barbera,,14~16 ℃,,1/5,4/5,3/5,3/5,"체리, 블루베리, 라스베리, 자두, 붉은꽃, 꽃, 오크","송아지, 까르파치오, 소고기, 베이컨, 돼지고기, 양꼬치, 건육, 불고기, 족발, 한식, 파스타, 서양요리, 리조또, 버섯, 견과류, 치즈, 파르미지아노, 그라노파다노","해발 350~520m 위치한 빈야드. 평균 수령 30년의 나무에서 포도 수확. 스테인리스 스틸통에서 약 10-15일 정도 껍질과 함께 발효하며, 매일 펌핑 오버와 중간에 델레스타주(délestage) 를 시행.",50HL 대형 오크 통에서 수개월간 숙성.,에노테카코리아,Barbera d'Alba DOC(DOP),
"벨라비스타, 알마 그랑 퀴베 로제","Bellavista, Alma Grande Cuvee Rose",https://www.wine21.com/13_search/wine_view.html?Idx=176458&lq=LIST,벨라비스타  Bellavista,이탈리아(Italy) / 롬바르디아(Lombardia) / 프란치아코르타(Franciacorta),샤르도네 (Chardonnay) / 피노 네로 (Pinot Nero),,,6~8 ℃,,2/5,3/5,3/5,1/5,"석류, 복숭아, 감귤, 리치, 흰꽃, 꽃, 아몬드, 코코아, 초콜릿","꼬치구이, 양꼬치, 건육, 닭강정, 소라, 해산물, 한식, 떡볶이, 만두, 파스타, 오일파스타, 중국요리, 난자완스, 아시아요리, 샐러드, 과일, 견과류",,,에노테카코리아,,
"벨라비스타, 알마 그랑데 퀴베 논 도사토","Bellavista, Alma Grande Cuvee Non Dosato",https://www.wine21.com/13_search/wine_view.html?Idx=176459&lq=LIST,벨라비스타  Bellavista,이탈리아(Italy) / 롬바르디아(Lombardia) / 프란치아코르타(Franciacorta),샤르도네 (Chardonnay) / 피노 네로 (Pinot Nero),,,8~10 ℃,,1/5,3/5,3/5,1/5,"배, 시트러스, 감귤, 멜론, 토스트","꼬치구이, 건육, 닭강정, 생선구이, 장어구이, 해산물, 오일파스타, 서양요리, 중국요리, 탕수육, 난자완스, 아시아요리, 식전주, 샐러드, 견과류",,,에노테카코리아,,
