와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"그레녹크릭, 포 커팅스 카버네 소비뇽","Greenock Creek, Four Cuttings Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178711&lq=LIST,그리녹 크릭  Greenock Creek,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,* VIVINO - 4.1,1/5,3/5,4/5,4/5,"블랙커런트, 블루베리, 바닐라, 감초, 유칼립투스, 타바코, 버섯, 흙","소고기, 스테이크, 붉은육류, 양갈비, 훈제오리, 불고기, 양념갈비, 족발, 라자냐, 파스타, 서양요리, 버섯, 치즈, 파르미지아노, 고다, 브리, 그라노파다노",,롯데칠성음료,Australian Cabernet Sauvignon,
"그레녹크릭, 바로사 밸리 쉬라즈","Greenock Creek, Barossa Valley Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178712&lq=LIST,그리녹 크릭  Greenock Creek,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙체리, 자두, 미네랄, 후추, 바닐라, 헤이즐넛, 커피, 카카오, 오크","그릴요리, 소고기, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 서양요리, 중국요리, 치즈, 파르미지아노, 고다, 브리, 그라노파다노, 스모크",,롯데칠성음료,Australian Shiraz,
"리버비, 시카다 게부르츠트라미너","Riverby, Cicada Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=178713&lq=LIST,리버비 에스테이트  Riverby Estate,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),게뷔르츠트라미너 (Gewurztraminer),시원한 저녁에 손수확. 압착 없는 프리런 주스가 스테인리스 스틸 탱크에서 발효.,최종 블렌드의 일부는 오크에서 숙성.,,6~8 ℃,"* 2021~2023 빈티지 - NZ Int'l Wine Show ""Gold Medal"" (3년연속 금메달 유일와인)* 2023 빈티지 : Wine Orbit 2023- 95점  / Tom Cannavan 2024-91점",2/5,2/5,4/5,1/5,"시트러스, 감귤, 레몬, 장미, 꽃, 생강","베이컨, 닭강정, 닭고기, 치킨, 생선조림, 해산물, 만두, 동남아요리, 아시아요리, 아시아음식, 동남아음식, 튀김, 샐러드, 치즈, 파르미지아노, 고다, 그라노파다노",,레드와인앤제이와이,,
"데 스테파니, 나뚜르 제로 스파클링","De Stefani, Natur Zero Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=178715&lq=LIST,데 스테파니  De Stefani,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),토착 효모. 유기농. 이산화황 무첨가(극소량),,0 %,4~6 ℃,,1/5,3/5,2/5,1/5,"사과, 시트러스, 레몬, 꽃, 허브","건육, 후라이드, 치킨, 생선회, 해산물, 떡볶이, 만두, 햄버거, 중국요리, 튀김, 식전주, 샐러드, 과일",,국순당,,
"트레드 소프틀리, 무알콜 쉬라즈","Tread Softly, Everything Except Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178716&lq=LIST,트레드 소프틀리  Tread Softly,호주(Australia) / 빅토리아(Victoria),시라/쉬라즈 (Syrah/Shiraz),,,0 %,10~12 ℃,,2/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 체리, 후추, 생강, 바닐라","건육, 편육, 만두, 수육, 햄버거, 서양요리, 피자, 중국요리, 튀김, 샐러드, 치즈, 체다, 고다, 브리, 리코타",,모노드림,,
"조지 미쉘, 센트럴 오타고 리저브 피노 누아","Georges Michel, Central Otago Reserve Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178717&lq=LIST,도멘 조지 미쉘  Domaine Georges Michel,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 누아 (Pinot Noir),발효 과정에서 20%의 Whole Cluster 방식을 사용.,28%의 New French Oak에서 12개월간 숙성.,13~14 %,10~12 ℃,"* Wine Orbit - 94점, 5 Stars",2/5,3/5,3/5,3/5,"블랙체리, 체리, 라스베리, 꽃, 미네랄, 정향, 시나몬, 삼나무, 오크","로스트비프, 까르파치오, 소고기, 건육, 훈제오리, 찜닭, 오리로스, 보쌈, 불고기, 족발, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노, 콩테",,와인투유코리아,New Zealand Pinot Noir,
"라 카 노바, 바르바레스코 몬테피코","La Ca'Nova, Barbaresco Montefinco",https://www.wine21.com/13_search/wine_view.html?Idx=178718&lq=LIST,라 까노바   La CaNova [La Ca'Nova],이탈리아(Italy) / 피에몬테(Piemonte) / 바르바레스코(Barbaresco),네비올로 (Nebbiolo),스테인리스 스틸 탱크에서 22일간 하루 2~4회 펌핑 오버하며 발효. 야생 효모 사용.,"오스트리아산 오크(3,000리터) 18개월 숙성. 병입 후 10개월 숙성 후 출시.",,14~16 ℃,* Antonip Galloni - 96 점* Vinous - To[ 100 Wines 2024,1/5,3/5,4/5,4/5,"체리, 딸기, 라스베리, 제비꽃, 꽃","로스트비프, 소고기, 붉은육류, 양꼬치, 양고기, 건육, 찜닭, 보쌈, 불고기, 족발, 순대, 파스타, 피자, 버섯, 치즈, 파르미지아노, 체다, 그라노파다노",,호메오와인갤러리,Italian Barbaresco,Barbaresco DOCG(DOP)
"카프라이아, 끼안티 클라시코 '에페 55' 그랑 셀레지오네","Capraia, Chianti Classico 'Effe 55' Gran Selezione",https://www.wine21.com/13_search/wine_view.html?Idx=178719&lq=LIST,테누타 디 카프라이아  Tenuta di Capraia,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico) / 카스텔리나(Castellina),산지오베제 (Sangiovese),10월 중순 수확. 28도에서 12~20일간 침용(토종 효모). 스틸에서 말로락틱 발효.,토노(Tonneaux)에서 15개월 숙성. 이후 23~32hl 대형 배럴에서 6개월 추가 숙성. 최소 12개월 병 숙성.,,16~18 ℃,,1/5,3/5,4/5,4/5,,,,호메오와인갤러리,Italian Chianti,Chianti Classico DOCG(DOP)
"카프라이아, 끼안티 클라시코 리제르바","Capraia, Chianti Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=178720&lq=LIST,테누타 디 카프라이아  Tenuta di Capraia,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico) / 카스텔리나(Castellina),산지오베제 (Sangiovese),10월 상반기 수확. 28도에서 10~12일간 침용. 스틸에서 말로락틱 발효.,전형적인 끼안티 배럴과 토노(Tonneaux)에서 최소 15개월 숙성. 그후 6개월 스틸 숙성. 1년간 병 숙성.,,16~18 ℃,,1/5,3/5,4/5,4/5,,,,호메오와인갤러리,Italian Chianti,Chianti Classico DOCG(DOP)
"카프라이아, 끼안티 클라시코","Capraia, Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=178721&lq=LIST,테누타 디 카프라이아  Tenuta di Capraia,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico) / 카스텔리나(Castellina),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 콜로리노 (Colorino),9월 하순~10월 상순까지 수확. 28도에서 10~12일간 침용. 스틸에서 말로락틱 발효.,"전형적인 끼안티 배럴에서 최소 1년 숙성 후, 3개월 스틸 숙성. 6개월 간 병 숙성.",,16~18 ℃,,1/5,3/5,3/5,3/5,,,,호메오와인갤러리,Italian Chianti,Chianti Classico DOCG(DOP)
"레 친치올레, 까말라이오네","Le Cinciole, Camalaione",https://www.wine21.com/13_search/wine_view.html?Idx=178722&lq=LIST,레 친치올레  Le Cinciole [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico) / 판자노(Panzano),산지오베제 (Sangiovese) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),선별적 손수확. 천연 효모 발효. 750리터 암포라에서 수동적 펀칭 다운. Lees 숙성을 통한 젖산 발효.,"24개월 프렌치 오크 숙성(반복적 바토나쥬) 후, 12개월 콘크리트 숙성. 12개월 병 숙성.",,16~18 ℃,,1/5,3/5,4/5,3/5,,,,호메오와인갤러리,Italian Chianti,
"레 친치올레, 페트레스코","Le Cinciole, Petresco",https://www.wine21.com/13_search/wine_view.html?Idx=178723&lq=LIST,레 친치올레  Le Cinciole [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico) / 판자노(Panzano),산지오베제 (Sangiovese),선별적 손수확. 줄기 제거 후 섬세하게 압착.,"24개월 프렌치 오크 & 작은 사이즈 바리끄 숙성 후, 12개월 콘크리트 숙성. 12개월 병 숙성(정제)",,16~18 ℃,,1/5,3/5,4/5,3/5,,,,호메오와인갤러리,Italian Chianti,
"허드슨, 레이디 버그 샤도네이 카네로스","Hudson, Ladybug Chardonnay Carneros",https://www.wine21.com/13_search/wine_view.html?Idx=178724&lq=LIST,허드슨 랜치  Hudson Ranch Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤도네이 (Chardonnay),80% New French Oak Barrels(Francois Freres  & Damy)에서 천연 효모와 알코올 발효를 진행.,"23개월간 쉬르 리(sur lie) 숙성을 거치며, 정제 및 여과 미실시.",14~15 %,10~12 ℃,"* 2021 빈티지 - Jeb Dunnuck 97점* 오베르(Aubert), 키슬러(Kistler), 콩스가드(Kongsgaard) 등 유명 와이너리의 포도를 책임지는 나파밸리 최고의 샤도네이 빈야드* 미슐랭 3스타 레스토랑 French Laundry 리스팅 와이너리",1/5,3/5,4/5,1/5,"시트러스, 감귤, 열대과일, 파인애플, 자스민, 꿀, 크림","후라이드, 닭고기, 치킨, 생선구이, 소라, 해산물, 새우, 파스타, 햄버거, 서양요리, 피자, 중국요리, 탕수육, 치즈",,와인투유코리아,Californian Chardonnay,
"허드슨, 리틀 빗 샤도네이 카네로스","Hudson, Little Bit Chardonnay Carneros",https://www.wine21.com/13_search/wine_view.html?Idx=178725&lq=LIST,허드슨 랜치  Hudson Ranch Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),"80% New French Oak Barrels에서 천연 효모와 알코올  발효를 진행,","23개월간 쉬르 리(sur lie) 숙성을 거치며, 정제 및 여과 미실시.",14~15 %,10~12 ℃,"* 오베르(Aubert), 키슬러(Kistler), 콩스가드(Kongsgaard) 등 유명 와이너리의 포도를 책임지는 나파밸리 최고의 샤도네이 빈야드* 미슐랭 3스타 레스토랑 French Laundry 리스팅 와이너리",1/5,3/5,4/5,1/5,"시트러스, 오렌지, 열대과일, 바닐라, 버터, 오크, 크림","돼지고기, 닭강정, 후라이드, 닭고기, 가금류, 생선구이, 해산물, 새우, 수육, 파스타, 햄버거, 서양요리, 피자, 중국요리, 탕수육, 견과류, 치즈",,와인투유코리아,Californian Chardonnay,
"허드슨, 올드 마스터 카네로스","Hudson, Old Master Carneros",https://www.wine21.com/13_search/wine_view.html?Idx=178726&lq=LIST,허드슨 랜치  Hudson Ranch Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),,,14~15 %,16~18 ℃,"* 2019 빈티지 - Jeb Dunnuck 96 점* 2018 빈티지 - Antonio Galloni 96점* 오베르(Aubert), 키슬러(Kistler), 콩스가드(Kongsgaard) 등 유명 와이너리의 포도를 책임지는 나파밸리 최고의 프리미엄 빈야드",1/5,3/5,4/5,3/5,"레드커런트, 블랙베리, 라스베리, 자두, 미네랄, 부싯돌, 바닐라, 정향, 아니스, 연기, 흙","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 훈제오리, 불고기, 양념갈비, 족발, 파스타, 햄버거, 서양요리, 피자, 버섯, 자두, 치즈, 파르미지아노, 파마산, 체다, 브리",,와인투유코리아,Californian Red Blend,
"허드슨, 씨쉘 샤도네이 카네로스","Hudson, Seashell Chardonnay Carneros",https://www.wine21.com/13_search/wine_view.html?Idx=178727&lq=LIST,허드슨 랜치  Hudson Ranch Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤도네이 (Chardonnay),,,14~15 %,10~12 ℃,"* 2020 빈티지 - Jeb Dunnuck* Recommended California Chardonnay - MaryAnn Worobiec* 오베르(Aubert), 키슬러(Kistler), 콩스가드(Kongsgaard) 등 유명 와이너리의 포도를 책임지는 나파밸리 최고의 샤도네이 빈야드* 미슐랭 3스타 레스토랑 French Laundry 리스팅 와이너리",1/5,3/5,4/5,1/5,"서양배, 시트러스, 열대과일, 파인애플, 미네랄, 바닐라, 허브, 레몬그라스, 크림","건육, 후라이드, 닭고기, 가금류, 치킨, 해산물, 파스타, 리조토, 서양요리, 피자, 중국요리, 과일, 견과류, 치즈",,와인투유코리아,,
"셀라 & 모스카, 알게로 토르바토 스푸만테","Sella & Mosca, Alghero Torbato Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=178728&lq=LIST,셀라 & 모스카  Sella & Mosca,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",토르바토 (Torbato),,,12~13 %,6~8 ℃,,1/5,4/5,3/5,1/5,"자몽, 아카시아, 꽃, 미네랄, 페이스트리","건육, 후라이드, 닭고기, 가금류, 치킨, 해산물, 중국요리, 아시아요리, 튀김, 식전주",,롯데칠성음료,Spumante,
"셀라 & 모스카, 칼라 레알레 베르멘티노","Sella & Mosca, Cala Reale Vermentino",https://www.wine21.com/13_search/wine_view.html?Idx=178729&lq=LIST,셀라 & 모스카  Sella & Mosca,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino),,,13~14 %,8~10 ℃,,1/5,4/5,3/5,1/5,"시트러스, 열대과일, 아카시아, 꽃, 미네랄, 허브","해산물, 문어숙회, 오일파스타, 서양요리, 중국요리, 아시아요리, 샐러드, 푸딩",,롯데칠성음료,,
"셀라 & 모스카, 메데우스 칸노나우","Sella & Mosca, Medeus Cannonau",https://www.wine21.com/13_search/wine_view.html?Idx=178730&lq=LIST,셀라 & 모스카  Sella & Mosca,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau),,,13~14 %,14~16 ℃,,1/5,4/5,4/5,3/5,"체리, 라스베리, 잼, 미네랄, 바닐라, 정향","육류요리, 바비큐, 돼지고기, 건육, 오리로스, 파스타, 서양요리, 버섯, 치즈",,롯데칠성음료,,
"펠리스 솔리스, 거브너 레드","Felix Solis, Guv'nor Red",https://www.wine21.com/13_search/wine_view.html?Idx=178731&lq=LIST,펠리스 솔리스  Felix Solis,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙체리, 체리, 블루베리, 라스베리, 바닐라","소고기, 돼지고기, 건육, 훈제오리, 불고기, 족발, 순대, 파스타, 버섯, 치즈",,롯데칠성음료,Spanish Tempranillo,
"펠리스 솔리스, 거브너 화이트","Felix Solis, Guv'nor White",https://www.wine21.com/13_search/wine_view.html?Idx=178732&lq=LIST,펠리스 솔리스  Felix Solis,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),베르데호 (Verdejo) / 샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc),,,12~13 %,10~12 ℃,,1/5,4/5,2/5,1/5,"시트러스, 꽃, 허브","닭고기, 생선회, 해산물, 튀김, 샐러드",,롯데칠성음료,,
"펠리스 솔리스, 거브너 VIP","Felix Solis, Guv'nor VIP",https://www.wine21.com/13_search/wine_view.html?Idx=178733&lq=LIST,펠리스 솔리스  Felix Solis,스페인(Spain),템프라니요 (Tempranillo),,,14~15 %,16~18 ℃,"* 2024 금메달 4관왕 – Berliner Wine Trophy, Frankfurt Trophy, The Drink Business 2회",1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 라스베리, 자두, 미네랄, 바닐라, 감초, 오크","로스트비프, 소고기, 베이컨, 바비큐, 양꼬치, 건육, 훈제오리, 불고기, 족발, 순대, 파스타, 서양요리, 피자, 치즈",,롯데칠성음료,Spanish Tempranillo,
"자플랭, 크레망 드 부르고뉴 블랑 드 블랑 성 술피트 아주떼","Jaffelin, Cremant de Bourgogne Blanc de Blancs Sans Sulfites Ajoutes",https://www.wine21.com/13_search/wine_view.html?Idx=178734&lq=LIST,자플랭  Jaffelin,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),,,12~13 %,6~8 ℃,,1/5,3/5,2/5,1/5,"자두, 열대과일, 망고, 멜론, 미네랄, 감초, 시나몬","육회, 건육, 생선회, 해산물, 파스타, 오일파스타, 서양요리, 아시아요리, 식전주, 과일, 견과류, 고다, 브리",,롯데칠성음료,French Crémant,
"자플랭, 크레망 드 부르고뉴 블랑 드 누아르 성 술피트 아주떼","Jaffelin, Cremant de Bourgogne Blanc de Noirs Sans Sulfites Ajoutes",https://www.wine21.com/13_search/wine_view.html?Idx=178735&lq=LIST,자플랭  Jaffelin,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),,,12~13 %,6~8 ℃,,1/5,3/5,3/5,2/5,"딸기, 라스베리, 자두, 꽃, 버터","건육, 후라이드, 닭고기, 치킨, 만두, 파스타, 중국요리, 아시아요리, 식전주, 치즈",,롯데칠성음료,French Crémant,
"자플랭, 라두아 블랑","Jaffelin, Ladoix Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178736&lq=LIST,자플랭  Jaffelin,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,2/5,3/5,1/5,"황도, 서양배, 열대과일, 리치, 바닐라, 오크","오리고기, 닭고기, 오리로스, 가금류, 생선구이, 생선찜, 해산물, 파스타, 오일파스타, 서양요리, 중국요리, 치즈",,롯데칠성음료,Burgundy White,
"자플랭, 쌩또방 프르미에 크뤼 '수 가메'","Jaffelin, Saint Aubin 1er Cru 'Sur Gamay'",https://www.wine21.com/13_search/wine_view.html?Idx=178737&lq=LIST,자플랭  Jaffelin,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 복숭아, 시트러스, 흰꽃, 꽃, 페이스트리, 효모","생선구이, 생선회, 해산물, 만두, 파스타, 중국요리, 아시아요리, 치즈",,롯데칠성음료,Burgundy White,
"도멘 J&J 아르샹보, 부르고뉴 오 꼬뜨 드 뉘","Domaine J&J Archambaud, Bourgogne Hautes Cotes de Nuits",https://www.wine21.com/13_search/wine_view.html?Idx=178738&lq=LIST,도멘 J&J 아르샹보  Domaine J&J Archambaud,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄","그릴요리, 로스트비프, 육회, 바비큐, 건육, 훈제오리, 불고기, 족발, 순대, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"도멘 J&J 아르샹보, 본 로마네","Domaine J&J Archambaud, Vosne-Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=178739&lq=LIST,도멘 J&J 아르샹보  Domaine J&J Archambaud,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 딸기, 라스베리, 꽃, 미네랄","소고기, 붉은육류, 훈제오리, 불고기, 파스타, 치즈, 브리",,롯데칠성음료,Burgundy Côte de Nuits Red,
"도멘 J&J 아르샹보, 본 로마네 오 레아","Domaine J&J Archambaud, Vosne-Romanée Aux Réas",https://www.wine21.com/13_search/wine_view.html?Idx=178740&lq=LIST,도멘 J&J 아르샹보  Domaine J&J Archambaud,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 크랜베리, 라스베리, 제비꽃, 꽃, 바닐라","스튜, 로스트비프, 소고기, 육회, 건육, 훈제오리, 불고기, 만두, 수육, 파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"도멘 J&J 아르샹보, 본 로마네 1er 레 쁘띠 몽","Domaine J&J Archambaud, Vosne-Romanée 1er Cru Les Petits Monts",https://www.wine21.com/13_search/wine_view.html?Idx=178741&lq=LIST,도멘 J&J 아르샹보  Domaine J&J Archambaud,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"체리, 라스베리, 붉은꽃, 꽃, 정향, 감초, 오크, 버섯","소고기, 육류요리, 바비큐, 건육, 훈제오리, 불고기, 양념갈비, 파스타, 치즈, 파르미지아노, 브리, 그라노파다노",,롯데칠성음료,Burgundy Côte de Nuits Red,
"도멘 J&J 아르샹보, 에쎄조","Domaine J&J Archambaud, Echezeaux",https://www.wine21.com/13_search/wine_view.html?Idx=178742&lq=LIST,도멘 J&J 아르샹보  Domaine J&J Archambaud,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블루베리, 라스베리, 후추, 정향, 연기","소고기, 스테이크, 양고기, 훈제오리, 닭고기, 보쌈, 불고기, 족발, 파스타, 피자, 치즈, 파르미지아노, 브리, 그라노파다노",,롯데칠성음료,Burgundy Côte de Nuits Red,
바이오 반 카네 로르 부르고뉴 꼬뜨 드 본 블랑,Laure Baillot Van Canney Bourgogne Hautes Cotes de Beaune Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=178743&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,2/5,1/5,"배, 서양배, 흰꽃, 꽃, 미네랄, 아몬드","생선구이, 초밥, 생선회, 해산물, 샐러드, 견과류",,롯데칠성음료,Burgundy Côte de Beaune White,
바이오 반 카네 로르 부르고뉴 꼬뜨 도르 루즈,Laure Baillot Van Canneyt Bourgogne Cote d'Or Rouge,https://www.wine21.com/13_search/wine_view.html?Idx=178744&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 도르(Cote d'Or),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 라스베리, 꽃","로스트비프, 소고기, 스테이크, 바비큐, 건육, 훈제오리, 불고기, 족발, 파스타, 서양요리, 치즈",,롯데칠성음료,Burgundy Red,
"아르노 바이오, 부르고뉴 꼬뜨 도르 블랑","Arnaud Baillot, Bourgogne Cote d'or Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178745&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 도르(Cote d'Or),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,2/5,1/5,"서양배, 시트러스, 열대과일, 리치, 꽃, 미네랄","초밥, 생선회, 해산물, 물냉면, 오일파스타, 서양요리, 중국요리, 아시아요리, 버섯, 샐러드, 치즈",,롯데칠성음료,Burgundy White,
"아르노 바이오, 오 꼬뜨 드 본 블랑","Arnaud Baillot, Bourgogne Hautes Cotes de Beaune Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178746&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,2/5,1/5,"시트러스, 감귤, 흰꽃, 꽃, 미네랄","스시, 초밥, 생선회, 사시미, 연어, 해산물, 물냉면, 오일파스타, 서양요리, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"아르노 바이오, 사사뉴 몽라쉐 1er 모르조","Arnaud Baillot, Chassagne-Montrachet 1er Morgeot Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178747&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay),,,,13~14 ℃,,1/5,3/5,3/5,1/5,"살구, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 바닐라, 허브","오리고기, 닭고기, 가금류, 초밥, 생선회, 참치, 해산물, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Morgeot'"
"아르노 바이오,사샤뉴 몽라쉐 1er 쉐네보 블랑","Arnaud Baillot, Chassagne Montrachet 1er Cru 'Chenevottes' Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178748&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,3/5,1/5,"모과, 살구, 서양배, 시트러스, 열대과일, 흰꽃, 꽃, 미네랄, 허브, 타바코","닭고기, 치킨, 스시, 초밥, 생선회, 참치, 해산물, 오일파스타, 서양요리, 아시아요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Les Chenevottes'"
"아르노 바이오, 퓔리니 몽라쉐 1er 샹 갱 블랑","Arnaud Baillot, Puligny Montrachet 1er Cru Champ Gain Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178749&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 사과, 시트러스, 꽃, 미네랄, 바닐라, 커피","스시, 초밥, 생선회, 사시미, 연어, 해산물, 오일파스타, 서양요리, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Puligny-Montrachet 1er Cru AOC(AOP), 'Champ Gain'"
"아르노 바이오, 퓔리니 몽라쉐 블랑","Arnaud Baillot, Puligny Montrachet Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178750&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"배, 서양배, 사과, 흰꽃, 꽃, 미네랄, 헤이즐넛, 아몬드","스시, 초밥, 생선회, 참치, 소라, 해산물, 새우, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Puligny-Montrachet AOC(AOP)
