와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
"그란데 알베로네, 진판델","Grande Alberone, Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=167839&lq=LIST,그란데 알베로네  Grande Alberone,이탈리아(Italy) / 뿔리아(Puglia),진판델 (Zinfandel),,Puglia IGT(IGP),,,16~18 ℃,"붉은육류, 양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 잼, 바닐라","불고기, 견과류",*2021 빈티지: Berlin Wine Trophy Gold Medal*2018 빈티지: Guida Luca Maroni 96 점*2015 빈티지: Berlin Wine Trophy Gold Medal,
"단티, 프리미티보","Danti, Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=167840&lq=LIST,단티  Danti,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),,Puglia IGT(IGP),,,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 블루치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,4/5,4/5,"자두, 허브","살라미, 견과류","*2017 빈티지: Luca Maroni 96점, Wine Report 91점",15 %
"보렐리, 발폴리첼라 리파소 수페리오레","Borelli, Valpolicella Ripasso Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=167841&lq=LIST,보렐리  Borelli,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 론디넬라 (Rondinella),Italian Valpolicella Red,Valpolicella Ripasso DOC(DOP),,6개월간 오크배럴에서 숙성,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,5/5,4/5,"체리, 건포도, 정향, 헤이즐넛","양고기, 치즈",*Berlin Wine Trophy 2012~2018*7년 연속 'Best Producer' 선정,
"보렐리, 아마로네 델라 발폴리첼라","Borelli, Amarone della Valpolicella",https://www.wine21.com/13_search/wine_view.html?Idx=167842&lq=LIST,보렐리  Borelli,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 몰리나라 (Molinara) / 론디넬라 (Rondinella),,Amarone della Valpolicella DOCG(DOP),,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",,1/5,3/5,5/5,4/5,"블랙베리, 자두, 건포도","바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",*2015 빈티지: Luca Maroni 94점*Berlin Wine Trophy 2012~2018*7년 연속 'Best Producer' 선정,
"바라키, 오릴라","Baracchi, O'lilla",https://www.wine21.com/13_search/wine_view.html?Idx=167843&lq=LIST,바라키  Baracchi,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) / 비오니에 (Viognier),,Toscana IGT(IGP),,,10~12 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"시트러스, 파인애플, 꽃, 허브",해산물,,
"보시오 비니, 피오레 모스카토 다스티","Bosio Vini, Fiore Moscato D'asti",https://www.wine21.com/13_search/wine_view.html?Idx=167844&lq=LIST,보시오 비니  Bosio Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ),,,,,8~10 ℃,"부드러운 식감의 푸딩, 쉬폰 케이크, 타르트와 같은 디저트 등과 잘 어울린다.",,4/5,3/5,3/5,1/5,"꽃, 꿀",,,
노 에스 피투코 카버네 소비뇽,No es Pituko Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=167845&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"샐러드, 카프레제, 베이컨 말이, 전채요리",지에프비노,1/5,4/5,3/5,2/5,꽃,베이컨,,14~15 %
노 에스 피투코 비오니에,No es Pituko Viognier,https://www.wine21.com/13_search/wine_view.html?Idx=167846&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),비오니에 (Viognier) 100%,,,,,10~12 ℃,"토마토 해산물 파스타, 성게알 요리, 문어 요리 등과 잘 어울린다.",지에프비노,1/5,4/5,2/5,1/5,"복숭아, 꽃","해산물, 파스타",,14~15 %
노 에스 피투코 샤도네이,No es Pituko Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=167847&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay) 100%,,,,,10~12 ℃,"흰살 생선회, 봉골레 파스타, 깔라마리 등과 잘 어울린다.",지에프비노,1/5,3/5,4/5,1/5,"바나나, 브리오슈","생선회, 파스타",,13~14 %
펫 낫 와일드 샤도네이,Pet Nat Wild Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=167848&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay) 100%,,,,,6~8 ℃,"생선구이, 기름진 생선회, 샐러드, 오일파스타 등과 잘 어울린다.",지에프비노,1/5,4/5,3/5,1/5,"사과, 파인애플",샐러드,,13~14 %
펫 낫 미아오 로제,Pet Nat Miao Rose,https://www.wine21.com/13_search/wine_view.html?Idx=167849&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay) 98% / 카베르네 프랑 (Cabernet Franc) 2%,,,,,7~9 ℃,"까프레제, 모짜렐라 치즈, 리코타 샐러드 등과 잘 어울린다.",지에프비노,1/5,4/5,3/5,1/5,"복숭아, 바나나",샐러드,,13~14 %
"보데가스 파밀리아 코네사, 라 돈셀라 샤르도네","Bodegas Familia Conesa, La Doncella Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167850&lq=LIST,Bodegas Famailia Conesa  보데가스 파밀리아 코네사,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),샤르도네 (Chardonnay),,Vino de la Tierra de Castilla IGP,,,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"사과, 미네랄","바비큐, 수육, 탕수육, 치즈",*2018 빈티지: International Wine Challenge Commended,
"보데가스 파밀리아 코네사, 라 돈셀라 로사도","Bodegas Familia Conesa, La Doncella Rosado",https://www.wine21.com/13_search/wine_view.html?Idx=167851&lq=LIST,Bodegas Famailia Conesa  보데가스 파밀리아 코네사,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),템프라니요 (Tempranillo),,Vino de la Tierra de Castilla IGP,,,10~12 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,카라멜,"파스타, 치즈",*2018 빈티지: International Wine Challenge Commended,
"보데가스 파밀리아 코네사, 라 돈셀라 로블","Bodegas Familia Conesa, La Doncella Roble",https://www.wine21.com/13_search/wine_view.html?Idx=167852&lq=LIST,Bodegas Famailia Conesa  보데가스 파밀리아 코네사,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"무화과, 바닐라, 코코아","하몽, 견과류, 치즈","*2018 빈티지: International Wine Challenge Commended, Premios España Selección Gold",
"보데가스 파밀리아 코네사, 라 돈셀라 템프라니요","Bodegas Familia Conesa, La Doncella Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=167853&lq=LIST,Bodegas Famailia Conesa  보데가스 파밀리아 코네사,스페인(Spain) / 레온(Leon) / 카스티야 이 레옹(Castilla Y Leon),템프라니요 (Tempranillo),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"감초, 토스트, 오크","하몽, 견과류, 치즈","*2017 빈티지: Concours Challenge Mellésime BIO Silver, International Wine Challenge Bronze, Decanter Bronze, The Guide 'Intervinos 2018' 90점",
"리오 아네호, 마카보 샤르도네","Rio Anejo, Macabeo Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167854&lq=LIST,리오 아네호  Rio Anejo,스페인(Spain) / 라 만차(La Mancha),마카베오 (Macabeo) / 샤르도네 (Chardonnay),,,,,10~12 ℃,"생선회, 스시, 회, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"배, 꽃","해산물, 떡볶이, 아시아요리, 샐러드",,
"리오 아네호, 템프라니요 메를로","Rio Anejo, Tempranillo Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=167855&lq=LIST,리오 아네호  Rio Anejo,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) / 메를로 (Merlot),,,,,16~18 ℃,"붉은육류, 불고기, 치킨, 바비큐, 견과류, 치즈, 한국음식과 잘 어울린다.",,1/5,3/5,3/5,3/5,"레드커런트, 허브","붉은육류, 바비큐, 치킨, 견과류, 치즈",,
"사티스 데이, 메를로","Satis Dei, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=167856&lq=LIST,사티스 데이  Satis Dei,스페인(Spain) / 라 만차(La Mancha),메를로 (Merlot),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,토스트,"붉은육류, 치즈",,
"사티스 데이, 시라 그르나슈","Satis Dei, Syrah Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=167857&lq=LIST,사티스 데이  Satis Dei,스페인(Spain) / 라 만차(La Mancha),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"스테이크, 양갈비",*2016 빈티지: Mundus Vini Gold Medal,
"사티스 데이, 까베르네 소비뇽 템프라니요","Satis Dei, Cabernet Sauvignon Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=167858&lq=LIST,사티스 데이  Satis Dei,스페인(Spain) / 라 만차(La Mancha),카베르네 소비뇽 (Cabernet Sauvignon) / 템프라니요 (Tempranillo),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"미네랄, 후추","하몽, 견과류, 치즈",,
"사티스 데이, 센텀 템프라니요 그르나슈","Satis Dei, Centum Exclusive Tempranillo Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=167859&lq=LIST,사티스 데이  Satis Dei,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) / 그르나슈 (Grenache),,Vino de la Tierra de Castilla IGP,,,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"바닐라, 카카오","하몽, 견과류, 치즈",,
"블랑비 내추럴, 화이트","Blanc Vi Natural, White",https://www.wine21.com/13_search/wine_view.html?Idx=167860&lq=LIST,블랑 비 내추럴  Blanc Vi Natural,스페인(Spain) / 타라고나(Tarragona),자렐로 (Xarel.lo),,,,,8~10 ℃,"샐러드, 야채, 튀킴, 회, 스시, 다양한 치즈, 샌드위치, 스낵 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"꽃, 미네랄, 허브","스시, 치즈, 스낵",,
"블랑비 내추럴, 레드","Blanc Vi Natural, Red",https://www.wine21.com/13_search/wine_view.html?Idx=167861&lq=LIST,블랑 비 내추럴  Blanc Vi Natural,스페인(Spain) / 타라고나(Tarragona),가르나차  (Garnacha) / 카베르네 소비뇽 (Cabernet Sauvignon) / 자렐로 (Xarel.lo),,,,,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,1/5,4/5,3/5,3/5,"자두, 미네랄, 감초, 로즈마리","바비큐, 탕수육, 치즈",,
"블랑비 내추럴, 스파클링","Blanc Vi Natural, Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=167862&lq=LIST,블랑 비 내추럴  Blanc Vi Natural,스페인(Spain) / 타라고나(Tarragona),자렐로 (Xarel.lo),,,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"브리오슈, 아몬드","스시, 해산물, 식전주, 전채요리, 스낵",,
"코일레, 싱글 빈야드 까베르네 소비뇽","Koyle, Single Vinyard Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167863&lq=LIST,비나 코일레  Vina Koyle,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot) / 템프라니요 (Tempranillo),,,,,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"미네랄, 허브, 흙","버섯, 치즈","*2015 빈티지: James Suckling 91점, Robert Parker 90점",
"코일레, 싱글 빈야드 까르메네르","Koyle, Single Vinyard Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=167864&lq=LIST,비나 코일레  Vina Koyle,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카르메네르 (Carmenere) / 템프라니요 (Tempranillo) / 쁘띠 베르도 (Petit Verdot),,,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식과 잘 어울린다.",,1/5,3/5,3/5,3/5,"미네랄, 정향","스테이크, 양갈비",,
"코일레, 싱글 빈야드 시라","Koyle, Single Vinyard Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=167865&lq=LIST,비나 코일레  Vina Koyle,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),시라/쉬라즈 (Syrah/Shiraz) / 말벡 (Malbec),,,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙베리, 자두, 미네랄, 허브, 토스트, 에스프레소","스테이크, 양갈비",,
"메종 누아, 인 쉽스 클로딩","Maison Noir, In Sheep's Clothing",https://www.wine21.com/13_search/wine_view.html?Idx=167866&lq=LIST,메종 누아  Maison Noir,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),카베르네 소비뇽 (Cabernet Sauvignon),,Columbia Valley AVA,,,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,아니스,"버섯, 치즈",*2016 빈티지: Cellar Tracker 90점,
"메종 누아, 홀스 슈즈 앤 핸드 그레네이즈","Maison Noir, Horse Shoes & Hand Grenades",https://www.wine21.com/13_search/wine_view.html?Idx=167867&lq=LIST,메종 누아  Maison Noir,미국(U.S.A) / 오리건(Oregon),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"허브, 가죽","스테이크, 양갈비",,
"메종 누아, 바인 앤 서플라이","Maison Noir, Vine & Supply",https://www.wine21.com/13_search/wine_view.html?Idx=167868&lq=LIST,메종 누아  Maison Noir,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir),,Willamette Valley AVA,,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,"체리, 아니스, 삼나무","파스타, 버섯, 치즈",,
"호프 패밀리 와인, 오스틴 호프 까베르네 소비뇽","Hope Family Wines, Austin Hope Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167869&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon),,Paso Robles AVA,,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,4/5,4/5,4/5,"블루베리, 허브","양갈비, 치즈",*2017 빈티지: Wine Enthusiast 95점*'Top 10위' 'Most Wanted Cabernet Sauvignon in the world' - WineSearcher,
"호프 패밀리 와인, 리버티 스쿨 샤르도네","Hope Family Wines, Liberty School Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167870&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),샤르도네 (Chardonnay) / 비오니에 (Viognier) / 소비뇽 블랑 (Sauvignon Blanc),Californian Chardonnay,Central Coast AVA,배럴 발효 후 10개월 아메리칸 오크통 앙금 접촉 발효,,16~18 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"사과, 오렌지, 감귤, 레몬, 바닐라, 카라멜","베이컨, 꼬치구이, 소시지, 살라미, 하몽, 양념치킨, 해산물, 동남아요리, 아시아요리, 매운요리",,
"호프 패밀리 와인, 리버티 스쿨 까베르네 소비뇽","Hope Family Wines, Liberty School Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167871&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 쁘띠 시라  (Petite Sirah),,Paso Robles AVA,,,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"건포도, 바닐라, 오크","버섯, 치즈",,
"호프 패밀리 와인, 퀘스트","Hope Family Wines, Quest",https://www.wine21.com/13_search/wine_view.html?Idx=167872&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 메를로 (Merlot) / 쁘띠 시라  (Petite Sirah) / 카베르네 프랑 (Cabernet Franc),,Paso Robles AVA,,,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 바닐라, 민트, 오크","버섯, 치즈",*2017 빈티지: Vinous Antonio Galloni 90점,
"호프 패밀리 와인, 오스틴 호프 시라","Hope Family Wines, Austin Hope Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=167873&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),,Paso Robles AVA,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙베리, 정향, 모카","스테이크, 양갈비",*2015 빈티지: Wine Enthusiast 91점,
"호프 패밀리 와인, 오스틴 호프 그르나슈","Hope Family Wines, Austin Hope Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=167874&lq=LIST,호프 패밀리 와인  Hope Family Wines,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),그르나슈 (Grenache) / 루산느 (Roussanne),,Paso Robles AVA,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,4/5,4/5,3/5,"아니스, 가죽","스테이크, 양갈비",*2014 빈티지: Robert Parker 90점,
"게리 패럴, 러시안 리버 셀렉션 샤르도네","Gary Farrell, Russian River Selection Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167875&lq=LIST,게리 패럴  Gary Farrell,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),,Russian River Valley AVA,,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"자스민, 미네랄","바비큐, 수육, 탕수육, 치즈","*2017 빈티지: Wine Enthusiast 92점, Wine Spectator 91점, Robert Parker 89점",
"게리 패럴, 올리벳 레인 빈야드 샤르도네","Gary Farrell, Olivet Lane Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167876&lq=LIST,게리 패럴  Gary Farrell,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),,Russian River Valley AVA,,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"배, 미네랄, 허브, 브리오슈, 버터, 크림","바비큐, 수육, 탕수육, 치즈",,
"게리 패럴, 러시안 리버 셀렉션 피노 누아","Gary Farrell, Russian River Selection Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167877&lq=LIST,게리 패럴  Gary Farrell,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),,Russian River Valley AVA,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,"체리, 미네랄, 호두","파스타, 버섯, 치즈","*2016 빈티지: James Suckling 94점, Wine Enthusiast 93점, Robert Parker 90+점, Wine Spectator 90점",
"게리 패럴, 홀버그 빈야드 피노 누아","Gary Farrell, Hallberg Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167878&lq=LIST,게리 패럴  Gary Farrell,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),,Russian River Valley AVA,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,정향,"파스타, 버섯, 치즈","*2015 빈티지: Jeb Dunnuck 93점,, Cellar Tracker 91점",
"레 륀, 포퓰리스 소비뇽 블랑","Les Lunes, Populis Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=167879&lq=LIST,레 륀  Les Lunes,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),소비뇽 블랑 (Sauvignon Blanc) 100%,Californian Sauvignon Blanc,,"포도 송이채 압축, 1/3은 French used oak에서 나머지 2/3은 polymer tank에서 발효",정제 또는 여과과정 없이 병입,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,미네랄,,,
"레 륀, 포퓰리스 로제","Les Lunes, Populis Rose",https://www.wine21.com/13_search/wine_view.html?Idx=167880&lq=LIST,레 륀  Les Lunes,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),까리냥 (Carignan/Carignane) / 진판델 (Zinfandel) / 뮈스까 (Muscat),,,,,10~12 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"체리, 장미","파스타, 치즈",,
"레 륀, 포퓰리스 마세래이티드 샤르도네","Les Lunes, Populis Macerated Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167881&lq=LIST,레 륀  Les Lunes,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),샤르도네 (Chardonnay),,,,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 참치, 새송이, 다양한 치즈, 동그랑땡, 전, 피자, 파스타 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,,"동그랑땡, 새송이, 치즈",,
"레 륀, 레 륀 코스믹 블렌드","Les Lunes, Les Lunes Cosmic Blend",https://www.wine21.com/13_search/wine_view.html?Idx=167882&lq=LIST,레 륀  Les Lunes,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),,,,,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,동물,"버섯, 치즈",,
발라드 레인 샤르도네,Ballard Lane Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=167883&lq=LIST,밀러 패밀리 와인 컴패니  Miller Family Wine Company,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),샤르도네 (Chardonnay) 100%,,Central Coast AVA,"특별히 엄선된 몽라셰, M2, PDM, D254 효모와 함께 스테인레스 탱크에서 12.7℃로 저온 발효",25% 뉴 프렌치 오크 배럴에서 6-8개월간 숙성,10~12 ℃,"프라이드 치킨, 크림소스 파스타, 그릴에 구운 생선요리등과 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,1/5,꽃,"치킨, 파스타",* 2018 빈티지 - The Tasting Panel - 91점* Wine Spectator - TOP VALUE CA Chardonnay 와인선정,
