와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"퀸타스 두 호멤, 와일드 퍼멘트","Quintas do Homem, Wild Ferment",https://www.wine21.com/13_search/wine_view.html?Idx=175727&lq=LIST,퀸타스 두 호멤  Quintas do Homem [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"도멘 보트 프레레,리즐링 그랑크뤼 가이스베르그","Domaine Bott Freres, Riesling Grand Cru Geisberg",https://www.wine21.com/13_search/wine_view.html?Idx=175728&lq=LIST,도멘 보트 프레레  Domaine Bott Freres,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),공압프레스에서 3~5시간 동안 부드럽게 압착. 온도 조절이 가능한 스테인리스 스틸 탱크,7개월간 미세한 찌꺼기와 숙성. 여과 후 병입.,,8~10 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"복숭아, 서양배, 시트러스, 감귤, 레몬, 흰꽃, 꽃, 미네랄, 부싯돌, 허브","바비큐, 돼지고기, 건육, 오리고기, 닭고기, 치킨, 생선구이, 참치, 해산물, 편육, 떡볶이, 만두, 오일파스타, 중국요리, 중국음식, 과일, 치즈, 리코타, 모짜렐라",,,
"퀸타스 두 호멤, 발레 두 호멤 에스타지아도","Quintas do Homem, Vale do Homem Estagiado",https://www.wine21.com/13_search/wine_view.html?Idx=175729&lq=LIST,퀸타스 두 호멤  Quintas do Homem [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto) / 알바리뇨 (Albarino(Alvarinho)) / 로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타스 두 호멤, 발레 두 호멤 에스푸멘타 슈퍼 레제르바","Quintas do Homem, Vale do Homem Espumenta Super Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175730&lq=LIST,퀸타스 두 호멤  Quintas do Homem [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)) / 아린토 (Arinto) / 로우레이루 (Loureiro),,,12~13 %,4~6 ℃,,,1/5,3/5,2/5,1/5,,,,,
"도멘 보트 프레레, 리즐링 그랑크뤼 오스터베르그","Domaine Bott Freres, Riesling Grand Cru Osterberg",https://www.wine21.com/13_search/wine_view.html?Idx=175731&lq=LIST,도멘 보트 프레레  Domaine Bott Freres,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),온도 조절의 스테인리스 스틸 배럴 숙성. 수확 후 공압 프레스로 부드럽고 섬세하게 추출. 수직형 필터 시스템으로 여과 후 병입,,,8~10 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"살구, 복숭아, 시트러스, 라임, 레몬, 미네랄, 부싯돌, 허브","바비큐, 돼지고기, 건육, 오리고기, 닭고기, 치킨, 생선구이, 해산물, 편육, 순대, 떡볶이, 만두, 오일파스타, 중국요리, 중국음식, 아시아요리, 샐러드, 치즈, 리코타, 모짜렐라",,,
"퀸타 데 산타 크리스티나, 로제","Quinta de Santa Cristina, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175732&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),비냐웅 (Vinhao) / 에스파데이루 (Espadeiro),,,11~12 %,8~10 ℃,,,1/5,3/5,2/5,2/5,,,,,Vinho Verde DOC(DOP)
"도멘 뵐러, 게뷔르츠트라미너 생 조지","Domaine Boehler, Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=175733&lq=LIST,도멘 뵐러  Domaine Boehler,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer),"손 수확 후 줄기 제거, 12시간 동안 천천히 압착 발효: 포도 껍질의 천연 효모 사용, 젖산 발효. 온도 조절되는 2,530L 베럴에서 발효 (22°C 이하)","스테인리스 스틸 탱크, 수확한 다음해 4월까지 효모 찌꺼기와 숙성.",,8~10 ℃,"돼지고기, 꼬치구이, 베이컨, 오리로스, 치킨, 동남아요리, 아시아요리 등과 잘 어울린다.",호메오와인갤러리,1/5,2/5,3/5,1/5,"시트러스, 자몽, 오렌지, 감귤, 장미, 흰꽃, 꽃, 정향, 감초","베이컨, 꼬치구이, 돼지고기, 오리로스, 치킨, 동남아요리, 아시아요리, 샐러드, 치즈, 리코타, 모짜렐라",,,
"퀸타 다 릭사, 구이가스 화이트","Quinta da Lixa, Guigas White",https://www.wine21.com/13_search/wine_view.html?Idx=175734&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,9~10 %,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 구이가스 로제","Quinta da Lixa, Guigas Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175735&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,10~11 %,10~12 ℃,,,1/5,3/5,2/5,2/5,,,,,
"퀸타 다 릭사, 툭 툭 화이트","Quinta da Lixa, Tuk Tuk White",https://www.wine21.com/13_search/wine_view.html?Idx=175736&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,9~10 %,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,Portuguese Vinho Verde White,
"도멘 뵐러, 몰스","Domaine Boehler, Molse",https://www.wine21.com/13_search/wine_view.html?Idx=175737&lq=LIST,도멘 뵐러  Domaine Boehler,프랑스(France) / 알자스(Alsace),피노 블랑 (Pinot Blanc) / 실바너 (Silvaner) / 피노 그리 (Pinot Gris),약 5시간 동안 부드럽게 압착. 천연 효모로 발효. 젖산발효 실시.,봄 철 병입 전까지 천연 효모 숙성 및 효모찌꺼기 숙성.,14~15 %,8~10 ℃,,호메오와인갤러리,1/5,3/5,3/5,1/5,,,,,
"퀸타 데 산타 크리스티나, 알바리뇨 트라자두라","Quinta de Santa Cristina, Alvarinho Trajadura",https://www.wine21.com/13_search/wine_view.html?Idx=175738&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura)",,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"도멘 뵐러, 홀더허스트 리즐링","Domaine Boehler, Holderhurst Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=175739&lq=LIST,도멘 뵐러  Domaine Boehler,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),"약 5시간 동안 부드럽게 압착. 포도 껍질의 천연 효모 사용, 젖산 발효. 온도 조절되는 스테인리스 스틸 탱크 발효 (22°C 이하)","스테인리스 스틸 탱크 숙성, 수확한 다음해 4월까지 효모 찌꺼기와 숙성.",,8~10 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"시트러스, 자몽, 감귤, 레몬, 꽃, 미네랄, 허브, 꿀","바비큐, 돼지고기, 양꼬치, 건육, 오리고기, 닭고기, 생선구이, 연어, 해산물, 편육, 떡볶이, 오일파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 샐러드, 과일, 치즈, 파르미지아노, 그라노파다노, 리코타",,,
"퀸타 다 릭사, 툭 툭 로제",Quinta da Lixa. Tuk Tuk Rose,https://www.wine21.com/13_search/wine_view.html?Idx=175740&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,10~11 %,10~12 ℃,,,1/5,3/5,2/5,2/5,,,,,
"퀸타 다 릭사, 에스콜냐","Quinta da Lixa, Escolha",https://www.wine21.com/13_search/wine_view.html?Idx=175741&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 로우레이루 (Loureiro) / 트라자두라 (Trajadura, Treixadura)",,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다 릭사, 로우레이루","Quinta da Lixa, Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175742&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 트라자두라","Quinta da Lixa, Trajadura",https://www.wine21.com/13_search/wine_view.html?Idx=175743&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"트라자두라 (Trajadura, Treixadura)",,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 아로마스 카스타스 알씨","Quinta da Lixa, Aromas Castas RC",https://www.wine21.com/13_search/wine_view.html?Idx=175744&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 알바리뇨 푸코 코뭉","Quinta da Lixa, Alvarinho Pouco Comum",https://www.wine21.com/13_search/wine_view.html?Idx=175745&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 투리가 나시오날 푸코 코뭉","Quinta da Lixa, Touriga Nacional Pouco Comum",https://www.wine21.com/13_search/wine_view.html?Idx=175746&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),투리가 나시오날 (Touriga Nacional),,,12~13 %,14~16 ℃,,,1/5,3/5,3/5,3/5,,,,Northern Portugal Red,
"퀸타 다 릭사, 알바리뇨","Quinta da Lixa, Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175747&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 레제르바 레드","Quinta da Lixa, Reserva Red",https://www.wine21.com/13_search/wine_view.html?Idx=175748&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,12~13 %,14~16 ℃,,,1/5,3/5,3/5,3/5,,,,Northern Portugal Red,
"도멘 뵐러, 판 피노그리","Domaine Boehler, Pfann Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=175749&lq=LIST,도멘 뵐러  Domaine Boehler,프랑스(France) / 알자스(Alsace),피노 그리 (Pinot Gris),"약 5시간 동안 부드럽게 압착 후, 여름철 병입 전까지 베럴에서 천연 효모 발효, 젖산발효",효모찌거기 숙성.,,8~10 ℃,"생선구이, 해산물, 게, 치즈, 리코타, 크림치즈, 샐러드, 자장면, 튀김 등과 잘 어울린다.",호메오와인갤러리,1/5,3/5,1/5,1/5,"살구, 서양배, 사과, 시트러스, 오렌지, 꽃, 허브","건육, 닭강정, 치킨, 생선구이, 해산물, 게살, 중국요리, 짜장면, 중국음식, 동남아요리, 아시아요리, 튀김, 치즈, 리코타, 크림치즈",,,
"퀸타 다 릭사, 레제르바 화이트","Quinta da Lixa, Reserva White",https://www.wine21.com/13_search/wine_view.html?Idx=175750&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,13~14 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 콜리나스 두 아베수","Quinta da Lixa, Colinas do Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175751&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,11~12 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,Portuguese Vinho Verde White,
"도멘 뵐러, 그랑 크뤼 부흐델타르 게뷔르츠트라미너","Domaine Boehler, Grand Cru Bruderthal Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=175752&lq=LIST,도멘 뵐러  Domaine Boehler,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer),"약 5시간 동안 부드럽게 압착. 포도 껍질의 천연 효모 사용, 젖산 발효. 온도 조절되는 스테인리스 스틸 탱크 발효 (22°C 이하).",스테인리스 스틸 탱크 숙성. 수확한 다음해 4월까지 효모 찌꺼기와 숙성.,,8~10 ℃,"돼지고기, 꼬치구이, 베이컨, 오리로스, 치킨, 동남아요리, 아시아요리 등과 잘 어울린다.",호메오와인갤러리,1/5,2/5,3/5,1/5,"복숭아, 자몽, 감귤, 구아바, 리치, 장미, 정향, 감초, 허브","베이컨, 꼬치구이, 돼지고기, 오리로스, 치킨, 중국요리, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 치즈, 리코타, 모짜렐라",,,
"퀸타 다 릭사, 콜리나스 두 아베수 마세라상","Quinta da Lixa, Colinas do Avesso Maceracao",https://www.wine21.com/13_search/wine_view.html?Idx=175753&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,11~12 %,6~8 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다 릭사, 멀티빈티지","Quinta da Lixa, Multivintage",https://www.wine21.com/13_search/wine_view.html?Idx=175754&lq=LIST,퀸타 다 릭사  Quinta da Lixa,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,11~12 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,,
"퀸타 데 커르보스, 커르보스","Quinta de Curvos, Curvos",https://www.wine21.com/13_search/wine_view.html?Idx=175755&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,12~13 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,Portuguese Vinho Verde White,
샤또 라유 테레포,Chateau Larrieu Terrefort,https://www.wine21.com/13_search/wine_view.html?Idx=175756&lq=LIST,샤또 라유 테레포  Chateau Larrieu Terrefort,프랑스(France) / 보르도(Bordeaux) / 마고(Margaux),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,12개월간 배럴 숙성(1/3 뉴 오크),,16~18 ℃,,호메오와인갤러리,1/5,3/5,4/5,3/5,"딸기, 라스베리, 자두, 건포도, 붉은꽃, 육두구, 정향, 오크","소고기, 스테이크, 육류요리, 양갈비, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 토마토파스타, 중국요리, 새송이, 치즈, 파르미지아노, 체다, 고다, 그라노파다노",,,Margaux AOC(AOP)
"퀸타 데 산타 크리스티나, 화이트","Quinta de Sante Cristina, White",https://www.wine21.com/13_search/wine_view.html?Idx=175757&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"아잘 블랑코 (Azal Blanco) / 아린토 (Arinto) / 로우레이루 (Loureiro) / 트라자두라 (Trajadura, Treixadura)",,,11~12 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 데 커르보스, 커르보스 로우레이루","Quinta de Curvos, Curvos Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175758&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 데 커르보스, 커르보스 알바리뇨","Quinta de Curvos, Curvos Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175759&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,Portuguese Vinho Verde White,
"퀸타 데 산타 크리스티나, 알바리뇨","Quinta de Santa Cristina, Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175760&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"마담 드 몽브리종, 마고","Madame de Monbrison, Margaux",https://www.wine21.com/13_search/wine_view.html?Idx=175761&lq=LIST,마담 드 몽브리종  Madame de Monbrison,프랑스(France) / 보르도(Bordeaux) / 마고(Margaux),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),,2개월간 프랑스 오크 숙성.,,16~18 ℃,,호메오와인갤러리,1/5,3/5,4/5,3/5,"블랙커런트, 자두, 육두구, 정향, 오크","소고기, 스테이크, 육류요리, 양갈비, 불고기, 양념갈비, 갈비찜, 족발, 서양요리, 치즈, 파르미지아노, 체다, 고다, 그라노파다노",,,
"퀸타 데 산타 크리스티나, 스파클링 리제르바","Quinta de Santa Cristina, Sparkling Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175762&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto),,,12~13 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 데 커르보스, 커르보스 아베수","Quinta de Curvos, Curvos Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175763&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 데 커르보스, 얼리 하베스트 커르보스","Quinta de Curvos, Early Harvest Curvos",https://www.wine21.com/13_search/wine_view.html?Idx=175764&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,9~10 %,6~8 ℃,,,1/5,4/5,1/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 데 커르보스, 레제르바 커르보스","Quinta de Curvos, Reserva Curvos",https://www.wine21.com/13_search/wine_view.html?Idx=175765&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 데 산타 크리스티나, 소비뇽 블랑","Quinta de Santa Cristina, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175766&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),소비뇽 블랑 (Sauvignon Blanc),,,13~14 %,6~8 ℃,,,1/5,4/5,2/5,1/5,,,,,
"퀸타 데 커르보스, 알바리뇨 레제르바","Quinta de Curvos, Alvarinho Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175767&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"구아포스 와인 프로젝트, 아르디나 아린토","Guapos Wine Project, Ardina Arinto",https://www.wine21.com/13_search/wine_view.html?Idx=175768&lq=LIST,구아포스 와인 프로젝트  Guapos Wine Project,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"구아포스 와인 프로젝트, 아르디나 아베수","Guapos Wine Project, Ardina Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175769&lq=LIST,구아포스 와인 프로젝트  Guapos Wine Project,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 데 커르보스, 스파클링 그랑 레제르바 아린토 아베수","Quinta de Curvos, Sparkling G. Reserva Arinto Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175770&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto) / 아베수 (Avesso),,,12~13 %,4~6 ℃,,,1/5,3/5,3/5,1/5,,,,,
"엘렌 보그랑, 블랑 드 블랑 샤르도네 브륏 내츄럴","Helene Beaugrand, Cuvee Carte Blanche Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175771&lq=LIST,엘렌 보그랑  Helene Beaugrand,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),젖산 발효 후 그대로 5년간 숙성. 바토나쥬 미 실시.,,,10~12 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"복숭아, 서양배, 사과, 망고, 파인애플, 흰꽃, 꽃, 미네랄, 페이스트리","돼지고기, 건육, 오리고기, 닭고기, 오리로스, 초밥, 생선회, 참치, 해산물, 조개구이, 새우, 중국요리, 중국음식, 동남아요리, 아시아요리, 식전주, 샐러드, 과일, 견과류, 치즈, 리코타, 콩테, 모짜렐라",* Zero Dosage* 비오디나미 인증 HVE 3,French Champagne,Champagne AOC(AOP)
"구아포스 와인 프로젝트, 카스텔로 네그로 알바리뇨 아베수","Guapos Wine Project, Castelo Negro Alvarinho Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175772&lq=LIST,구아포스 와인 프로젝트  Guapos Wine Project,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)) / 아베수 (Avesso),,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"엘렌 보그랑, 뀌베 리저브 브륏","Helene Beaugrand, Cuvee Reserve Vintage Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175773&lq=LIST,엘렌 보그랑  Helene Beaugrand,프랑스(France) / 생 베랑(Saint Veran),샤르도네 (Chardonnay),,젖산 발효 후 배럴에서 숙성.,12~13 %,10~12 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"서양배, 사과, 말린과일, 흰꽃, 꽃, 브리오슈, 아몬드, 버터","돼지고기, 건육, 오리고기, 닭고기, 초밥, 생선회, 참치, 해산물, 오일파스타, 중국요리, 중국음식, 동남아요리, 아시아요리, 과일, 견과류, 치즈, 테트드무안, 콩테",,French Champagne,Champagne AOC(AOP)
"구아포스 와인 프로젝트, 카스텔로 네그로 아베수","Guapos Wine Project, Castelo Negro Avesso",https://www.wine21.com/13_search/wine_view.html?Idx=175774&lq=LIST,구아포스 와인 프로젝트  Guapos Wine Project,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아베수 (Avesso),,,13~14 %,8~10 ℃,,,1/5,3/5,4/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 데 커르보스, 스파클링 그랑 레제르바 알바리뇨","Quinta de Curvos, Sparkling G. Reserva Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175775&lq=LIST,퀸타 데 커르보스  Quinta de Curvos [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,4~6 ℃,,,1/5,3/5,2/5,1/5,,,,,
"퀸타 다스 아르카스, 아르카 노바","Quinta das Arcas, Arca Nova",https://www.wine21.com/13_search/wine_view.html?Idx=175776&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"로우레이루 (Loureiro) / 아린토 (Arinto) / 트라자두라 (Trajadura, Treixadura)",,,10~11 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,* London Wine Competition 2023  - Silver Medal* Paris Wine Cup and Sommeliers Choice Awards 2023 - Silver Medal,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 아르카 노바 로우레이루","Quinta das Arcas, Arca Nova Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175777&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 아르카 노바 로제","Quinta das Arcas, Arca Nova Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175778&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),에스파데이루 (Espadeiro) / 투리가 나시오날 (Touriga Nacional),,,11~12 %,10~12 ℃,,,1/5,3/5,2/5,2/5,,,* Sommeliers Choice Awards 2023 - Gold Medal* Sommeliers Choice Awards 2023 - Rosé Wine of the Year* London Wine Competition 2023 - Bronze Medal,,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 아르카 노바 알바리뇨 아린토","Quinta das Arcas, Arca Nova Alvarinho Arinto",https://www.wine21.com/13_search/wine_view.html?Idx=175779&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)) / 아린토 (Arinto),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프리모르디오 와인즈, 딜레마 알바리뇨 캔","Primordio Wines, Dilemma Alvarinho Can",https://www.wine21.com/13_search/wine_view.html?Idx=175780&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,
