와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급,추천음식
"보시오, 보스키 델 시뇨리 모스카토 다스티","Bosio, Boschi Del Signori Moscato d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=177519&lq=LIST,보시오 패밀리 이스테이트  Bosio Family Estates srl [B2B],이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ),,,5~6 %,8~10 ℃,리커밸리,3/5,2/5,2/5,1/5,"복숭아, 사과, 시트러스, 라임, 레몬, 리치, 파인애플, 꽃","초밥, 동남아요리, 아시아요리, 매운요리, 튀김, 식전주, 샐러드, 과일, 견과류, 치즈, 파르미지아노, 케이크, 초콜렛, 티라미수",,Italian Moscato d'Asti,Moscato d’Asti DOCG(DOP),
"바니타, 바니타 프리미티보 디 만두리아","Vanita, Vanita Primitivo di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=177520&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),약간 과숙된 상태로 수확한 포도의 줄기를 제거하고 으깬 후 정기적인 펌핑 오버를 통해 제어된 온도에서 10~12일 동안의 침용. 이후 스테인레스 스틸 탱크에서 말로락틱 발효.,7~8개월 동안 미국산 및 프랑스산 오크 배럴에서 숙성.,,16~18 ℃,(주)와이넬,2/5,3/5,3/5,3/5,"블랙베리, 체리, 감초, 민트, 타바코, 커피, 코코아","소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 건육, 보쌈, 양념갈비, 갈비찜, 라자냐, 리조토, 치즈, 페타",* 2022 Concours International de Lyon: Gold Medal* 2021 Mundus Vini: Gold Medal,Southern Italy Primitivo,Primitivo di Manduria DOC(DOP),
"리포르타, 리포르타 네로 다볼라","Riporta, Riporta Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=177521&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),가볍게 압착된 포도는 10~12일 동안 스킨 컨택 상태로 조절된 온도에서 발효.,4개월 정도의 짧은 오크 숙성.,,16~18 ℃,(주)와이넬,1/5,3/5,3/5,4/5,"블랙커런트, 블랙베리, 체리, 자두, 정향, 감초","소고기, 스테이크, 붉은육류, 바비큐, 건육, 불고기, 양념갈비, 족발, 라자냐, 파스타, 리조또, 치즈, 파르미지아노, 그라노파다노",* 2021 Mundus Vini: Silver Medal* 2021 Frankfurt International Trophy: Gold Medal* 2021 Berliner Wine Trophy: Gold Medal,Southern Italy Red,Sicilia DOC(DOP),
"샴페인 드 브노쥬, 제네시스 코드 원 블랑 드 블랑","Champagne de Venoge,  Genesis Code 1 Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=177522&lq=LIST,샴페인 드 브노쥬  Champagne de Venoge,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,,6~8 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 레몬, 꽃, 미네랄, 브리오슈, 삼나무","초밥, 생선회, 해산물, 전복, 전복, 생굴, 오일파스타, 중국요리, 아시아요리, 식전주, 샐러드","* 5,000병만 한정 생산* 2018년 샴페인 드 브노쥬의 CEO 질 드 라 바스티에르와 두 명의 절친한 사업가 라초 바자드잔(Racho Bajadjan)과 라스 카크딕(Lars Kalkdijk)에게 샴페인 세계의 새로운 혁신을 일으키기 위해 첨단기술과 샴페인 세계를 융합하는 아이디어를 냈다. 그 후 5년간의 헌신적인 코딩 작업과 세심한 샴페인 숙성과정을 거친 후, 샴페인 드 브노쥬의 제네시스 코드는 전통적인 샴페인 풍경을 뒤엎는데 성공했다.제네시스 코드 원은 메타버스(Metaverse)를 통해 Web3 기반에 진입했으며, 5,000병만 한정 생산 되었다. 제네시스 코드1 보틀을 구매하면 모바일 폰으로 병 뒷면에 삽입된 NFC칩을 스냅챗을 통해 스캔하여 프리미엄 디지털 세계에 독점적으로 접근할 수 있다.",French Champagne,Champagne AOC(AOP),
"샴페인 드 브노쥬, 라 플람 드 브노쥬","Champagne de Venoge,  La Flamme de Venoge",https://www.wine21.com/13_search/wine_view.html?Idx=177523&lq=LIST,샴페인 드 브노쥬  Champagne de Venoge,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),,,,6~8 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 말린과일, 꽃, 미네랄, 브리오슈, 비스켓","건육, 프로슈토, 초밥, 생선회, 해산물, 게살, 오일파스타, 중국요리, 튀김, 식전주, 버섯, 샐러드, 치즈, 파르미지아노, 그라노파다노","* 밝고 따뜻한 이미지의 라 플람은 샴페인 지역에 햇볕이 유독 좋았던 2018년을 기억하며 2018 빈티지로 탄생되었다. 유연하면서도 복합미가 뛰어난 라 플람 드 브노쥬는 폭발적인 에너지 혹은 매우 화창하게 좋은 날을 상기시키는 특볗한 매력을 품은 샴페인이다.* 라 플람은 1/3 피노누아, 1/3 샤르도네, 1/3 뫼니에로 구성되었으며 각각 그랑 크뤼와 프리미에 크뤼 밭에서 수확했다. 피노 누아 - 오빌레(Hautvillers), 앙보네(Ambonnay), 레 리쎄(les Riceys), 뤼드(Ludes) 등, 뫼니에 – 다므리(Damery), 쉬니(Chigny), 오빌레(Hautvillers), 부르소(Boursault) 등, 샤르도네 메닐 쉬르 오제(Mesnil sur Oger), 트레파이(Trepail), 베르튀(Vertus), 몽틀롱(Monthelon)의 포도로 생산된다.* 샴페인 드 브노쥬의 새로운 뀌베 라 플람(La Flamme)! 라 플람은 현재 샴페인 드 브노쥬 하우스의 중앙 계단을 밝히는 스테인 글라스 작품에서 영감을 받아 탄생되었다.* 이 작품은 낭시 학파(Nancy School -  École de Nancy: 1890년에서 1914년 사이 프랑스 낭시에서 활동한 아르 누보 예술가 및 디자이너 그룹)의 아이콘이자 유리세공 마스터 자크 그뤼버(Jaques Grüber)의 걸작으로 역사적 기념물로 등재된 아르 누보(Art Nouveau) 스타일의 스테인 글라스 작품이다.* 라 플람의 특별한 패키징에 새겨져 있는 가느다란 불꽃의 형태는 아르 누보의 상징적인 테마이자 스테인 글라스 창문 중앙에 그려진 태양의 따뜻한 색조, 즉 신성한 에너지의 미학적 코드가 반영된 것이다. 샴페인 드 브노쥬는 끊임없이 영감을 주는 보물같은 작품에 라 플람이라는 스페셜 뀌베를 통해 심심한 경의를 표한다",French Champagne,Champagne AOC(AOP),
"파워스, 문드 오 쉬라","Powers, Monde eau Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=177524&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),"스테인리스 스틸 발효. 796효모를 사용해 쉬라 발효, PDM 효모를 사용해 메를로 발효.",100% 프렌치 오크통에서 3년간 와인 숙성.,14~15 %,14~16 ℃,비니더스코리아,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 블랙베리, 딸기, 라스베리, 오렌지, 건포도, 라벤더, 후추, 로즈마리, 세이지, 오크","소고기, 스테이크, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 리조토, 서양요리, 치즈",* 워싱턴 주 최초 유기농 인증 밭(WASHINGTON STATE DEPARTMENT OF AGRICULTURE ORGANIC PROGRAM),,,
"프린스 힐, 리저브 피노누아 CL95","Prince Hill, Reserve Pinot Noir CL95",https://www.wine21.com/13_search/wine_view.html?Idx=177525&lq=LIST,프린스 힐  Prince Hill,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 던디 힐(Dundee Hills),피노 누아 (Pinot Noir),부르고뉴 끌로드 부조에서 가져와 오리건에 식재된 클론95 사용.,,13~14 %,14~16 ℃,비니더스코리아,1/5,4/5,2/5,2/5,"블랙체리, 블랙베리, 체리, 라스베리, 석류, 오렌지, 감귤, 시나몬, 코코아, 다크초콜릿","까르파치오, 소고기, 돼지고기, 건육, 훈제오리, 오리로스, 족발, 서양요리, 버섯, 치즈",,,,
"안트 무어, 와이 와이 소비뇽 블랑","Ant Moore, Wai Wai Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177526&lq=LIST,안트 무어  Ant Moore,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),12도에서 16도 사이의 온도에서 아로마틱 효모를 사용하여 스테인리스 스틸 탱크에서 발효.,,12~13 %,8~10 ℃,비니더스코리아,1/5,4/5,3/5,1/5,"시트러스, 라임, 레몬, 흰꽃, 꽃, 미네랄","생선구이, 생선회, 해산물, 조개구이, 오일파스타, 중국요리, 아시아요리, 튀김",,,,
"안트 무어, 와이 와이 피노 누아","Ant Moore, Wai Wai Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=177527&lq=LIST,안트 무어  Ant Moore,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),"평균 5일 동안 낮은 온도로 보관하여 색과 풍미 추출. 일부 탱크는 효모를 추가하여 발효하고, 다른 탱크는 자연 발효 진행. 5~7일 후 발효가 완료되면 껍질과 분리된 와인을 48시간 동안 탱크에서 안정화.",배럴에서 말로락틱 발효 진행 후 9개월 숙성,12~13 %,14~16 ℃,비니더스코리아,1/5,4/5,2/5,2/5,"체리, 딸기, 라스베리, 오렌지, 꽃, 미네랄, 바닐라, 허브, 삼나무","까르파치오, 소고기, 건육, 훈제오리, 오리로스, 불고기, 족발, 한식, 파스타, 서양요리, 중국요리, 버섯, 치즈",,,,
"도멘 뒤 페고, 샤또네프 뒤 빠쁘 뀌베 레 구뜨 드 디유","Domaine du Pegau, Chateauneuf-du-Pape Cuvée Les Gouttes de Dieu",https://www.wine21.com/13_search/wine_view.html?Idx=177528&lq=LIST,도멘 뒤 페고  Domaine du Pegau,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 기타 품종 (Other Grapes),No destemming  / Natural yeasts   /  Spontaneous fermentation in cement tanks   /  Maceration 12 days,2 years in 50 hL old oak cask,,16~18 ℃,크리스탈와인,1/5,3/5,4/5,4/5,,,"* 도멘 뒤 페고의 뀌베 레 구뜨 드 디유는 ≪신의 물방울≫이라는 뜻으로 일본의 유명 와인 만화와 콜라보레이션한 스페셜 뀌베이다.매그넘으로만 생산되었으며 총 생산량은 100병이다.뀌베의 레이블은 만화 작가가 디자인 했으며 100병 모두 동일하지만, 나무 상자 케이스의 디자인은 각각 다르다.",Southern Rhône Châteauneuf-du-Pape Red,Châteauneuf-du-Pape AOC(AOP),
"도멘 쥘 데주르네, 플뢰리 사크레 그랄","Domaine Jules Desjourneys, Fleurie Sacree Graal",https://www.wine21.com/13_search/wine_view.html?Idx=177529&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 플뢰리(Fleurie),가메이 (Gamay),Whole cluster  / 2-3 weeks of semi-carbonic maceration in neutral tank  /  No sulfur   Wild yeast  No chaptalisation,"24 months in 600L French oak and then 4 months in stainless steel tank for stabilization  /  No finning, no filtration",,14~16 ℃,크리스탈와인,1/5,4/5,2/5,2/5,,,,,,
"도멘 쥘 데주르네, 물랭 아 방 르 스틱스","Domaine Jules Desjourneys, Moulin à Vent Le Styx",https://www.wine21.com/13_search/wine_view.html?Idx=177530&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 물랭-아-방(Moulin-a-Vent),가메이 (Gamay),Whole cluster   / 2-3 weeks of semi carbonic maceration in neutral tank  /  No sulfur  /  Wild yeast  /  No chaptalisation,"18 months in 600L French oak and then 4 months in stainless steel tank for stabilization  /  No finning, no filtration",,14~16 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,"* 그 지역에서는 흔히 물랭 아 방은 왕, 플뢰리는 여왕과 같은 와인을 생산한다고 알려져있다. 그만큼 물랭 아 방은 힘이 있고 타닉하지만 플뢰리의 경우 바이올렛, 아이리스, 로즈와 같은 플라워 아로마가 풍부한 여성스러운 와인이 생산된다.",,,
"쥘 데주르네, 모르공 비에이으 비뉴","Jules Desjourneys, Morgon Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=177531&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 모르공(Morgon),가메이 (Gamay),70% grapes destemmed and 30% whole grapes destemmed  / No sulfur  /  Malolactic fermentation,22 months in 10% oak barrel and 90% stainless steel tank  /  Light filtration,,14~16 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,,,,
"쥘 데주르네, 보졸레 루즈","Jules Desjourneys, Beaujolais Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=177532&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),가메이 (Gamay),Whole cluster 2-3 weeks of semi carbonic maceration in neutral tank  / No sulfur,22 months in stainless steel tank,,14~16 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,"* 파워풀하고 높은 집중미가 느껴지는 레드 와인이다. 붉은 과실향이 핵심적으로 느껴지며 얼씨하고 스파이시한 노트가 인상적이다. 우아한 타닌감과 미네랄리티가 돋보이며, 균형미와 복합미까지 갖추어 와인의 깊이를 느낄 수 있다.",,,
"쥘 데주르네, 뱅 드 프랑스 피노누아 쏭쥬","Jules Desjourneys, Vin de France Pinot Noir Songe",https://www.wine21.com/13_search/wine_view.html?Idx=177533&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France),피노 누아 (Pinot Noir),Whole cluster  /  2-3 weeks of semi carbonic maceration in neutral tank  /  No sulfur,12 months in oak barrel and cement tank,,14~16 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,* 쥘 데주르네의 뱅 드 프랑스 레드 와인으로 피에르 도레(Pierres Dorées) 지역에서 경작한 포도로 양조되었다. 산도가 좋은 베리와 체리를 떠올리게 만드는 레드 와인이다. 보라색 제비꽃 향과 후추향도 느낄 수 있으며 타닌은 과실향에 우아한 뉘앙스를 부여하면서 피니시에 은은하게 남는다.,,,
"발레 프리오, 로투스 그란 레세르바 카베르네 소비뇽","Valle Frio, Lothus Gran Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=177534&lq=LIST,밸레 프리오 와인  Valle Frio Wine,칠레(Chile),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,금양인터내셔날,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 바닐라, 정향, 오크","소고기, 스테이크, 육류요리, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 버섯, 치즈, 파르미지아노, 그라노파다노",,Chilean Cabernet Sauvignon,,
"발레 프리오, 로투스 그란 레세르바 카르미네르","Valle Frio, Lothus Gran Reserva Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=177535&lq=LIST,밸레 프리오 와인  Valle Frio Wine,,카르메네르 (Carmenere),,,13~14 %,16~18 ℃,금양인터내셔날,1/5,3/5,3/5,2/5,"체리, 블루베리, 꽃, 바닐라, 정향, 허브","소고기, 붉은육류, 양고기, 불고기, 족발, 라자냐, 토마토파스타, 서양요리, 치즈, 파르미지아노, 브리, 그라노파다노",,Chilean Carménère,,
"쥘 데주르네, 뿌이 퓌쎄 1er 베르 크라","Jules Desjourneys, Pouilly-Fuissé 1er Vers Cras",https://www.wine21.com/13_search/wine_view.html?Idx=177536&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-퓌세(Pouilly-Fuisse),샤르도네 (Chardonnay),Indigenous yeast  / Using minimal sulfur  / Fermentation in oak barrel and stainless steel tank,11 months in oak barrel and 6~11 months in stainless steel tank  /  No filtration,,10~12 ℃,크리스탈와인,1/5,3/5,3/5,1/5,,,"* 뿌이 퓌쎄 베르 크라는 매우 한정된 수량만을 생산한다. 베르 크라 지역의 와인은 생산자와 빈야드 위치에 따라 스타일이 다를 수 있지만, 일반적으로 좋은 미네랄리티와 우아함을 보여주는 와인이 생산된다.",,,
"쥘 데주르네, 뿌이 퓌쎄 쀠 드 루미에르","Jules Desjourneys, Pouilly-Fuissé Puits de Lumière",https://www.wine21.com/13_search/wine_view.html?Idx=177537&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-퓌세(Pouilly-Fuisse),샤르도네 (Chardonnay),"Indigenous yeast  / Using minimal sulfur  /  Fermentation in oak barrel and ball shaped glass container (from WineGlobe), stainless steel tank",18~22 months in oak barrel and then 11 months in stainless steel tank,,10~12 ℃,크리스탈와인,1/5,3/5,3/5,1/5,,,* 쥘 데주르네의 화이트 와인은 파비앙 뒤페레(Fabien Duperray)와 도멘 티베르(Domaine Thibert)의 협업으로 만들어지며 도멘 티베르에서 수확한 포도로 양조한다. 뿌이 퓌쎄 쀠 드 루미에르는 매우 한정된 수량만을 생산한다.,,,
"쥘 데주르네, 뿌이 퓌쎄 비뉴 드 라 꼬뜨","Jules Desjourneys, Pouilly-Fuissé Vignes de la Cote",https://www.wine21.com/13_search/wine_view.html?Idx=177538&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-퓌세(Pouilly-Fuisse),샤르도네 (Chardonnay),Indigenous yeast  /  Using minimal sulfur  /  Malolactic fermentation,11 months in oak barrel and 11 months in stainless steel tanks Light filtration,,10~12 ℃,크리스탈와인,1/5,3/5,3/5,1/5,,,,,,
"쥘 데주르네, 보졸레 빌라쥬 블랑","Jules Desjourneys, Beaujolais Villages Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177539&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),샤르도네 (Chardonnay),Indigenous yeast  /  Using minimal sulfur  /  Malolactic fermentation,22 months in 10% oak barrel and 90% stainless steel tank  /  Light filtration,,10~12 ℃,크리스탈와인,1/5,3/5,3/5,1/5,,,,,,
"쥘 데주르네, 뱅 드 프랑스 비오니에 오마르","Jules Desjourneys, Vin de France Viognier Omar",https://www.wine21.com/13_search/wine_view.html?Idx=177540&lq=LIST,도멘 쥘 데주르네  Domaine Jules Desjourneys,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),비오니에 (Viognier),Indigenous yeast  /  Using minimal sulfur  /  Malolactic fermentation,12 months in oak barrel and stainless steel tank  /  Light filtration,,8~10 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,"* 쥘 데주르네의 뱅 드 프랑스 화이트 와인으로 피에르 도레(Pierres Dorées) 지역에서 경작한 포도로 양조되었다. 노즈에서는 오렌지 블라썸, 패션 후르츠, 후추, 레몬향이 느껴진다. 섬세하고 파워풀한 와인으로 심지어 약간의 타닌감도 느낄 수 있다. 고수와 레몬 그라스 향신료가 들어간 아시안 음식과의 페어링을 추천한다.",,,
"티스팟, 블랑","T Spot, Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177541&lq=LIST,티스팟  T Spot,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬뜨 드 루씨용(Côtes de Roussillon),그르나슈 그리 (Grenache Gris) 100%,,,,10~12 ℃,금양인터내셔날,1/5,3/5,3/5,1/5,"시트러스, 파인애플, 흰꽃, 미네랄","돼지고기, 생선회, 해산물, 아시아요리",* BAD BOY라는 별명을 가진 프랑스 생떼밀리옹 가라지 와인 선구자 장 뤽 뛰느뱅 팀이 직접 재배와 수확을 진행.,,,
"앙리 지로, 아이 그랑 크뤼","Henri Giraud,  Ay Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=177542&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),"Whole cluster pressing  / Alcoholic, malolactic fermentation in oak barrel",12 months in oak barrel with full lees  / 50% new oak  /  5-6 years in bottle with lees  /  228L Argonne oak  /  Tonnellerie Jérome Viard,,10~12 ℃,크리스탈와인,1/5,3/5,3/5,1/5,,,"* Robert Parker: 95(MV16), 96(MV15), 96(MV13), 92(MV12)* Vinous: 93(MV19), 94(MV18), 97(MV16), 94(MV15), 97(MV13), 96(MV12)* James Suckling: 96(MV18), 95(MV17), 97(MV16), 97(MV15), 96(MV13), 94(MV12)*MV18 대한항공 퍼스트 클래스 기내 와인 선정*MV18 싱가포르항공 퍼스트 클래스 기내 와인 선정",,,
"앙리 지로, 누벨 에스쁘리 나뚜르 브뤼","Henri Giraud, Nouvel Esprit Nature Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177543&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),"Alcoholic, malolactic fermentation in oak barrel","20% new oak  / Min 24 months on the lees (Argonne oak, Tonnellerie Jérôme Viard)",,,크리스탈와인,1/5,4/5,3/5,1/5,,,"* 엔트리급인 Esprit는 단어 그 자체로 알 수 있듯이 와이너리의 '정신', '본질'을 의미하는 샴페인입니다. 셀러 마스터인 세바스티앙 르 골베는 어떻게 하면 에스쁘리를 더 잘 정의할 수 있을까 고민했고 드디어 수년간의 여정 끝에 누벨 에스쁘리 나뚜르(Nouvel Esprit Nature)가 탄생했습니다.세바스티앙은 아르곤 숲 – 샤트리스(Chatrice) 떼루아의 오크 비율을 증량시켜 와인에 더 프레시한 느낌을 주고 텐션감을 높이고자 했습니다. 2016년부터 이어진 'Zero 스테인리스 스틸 탱크 무브먼트'에 따라, 와인 양조 및 숙성은 전부 오크통만 사용되었습니다. 쁘띠 무스(Petit mousse)라고 불리는 병을 사용함으로써 병 안의 압력을 낮게 주어 더 크리미한 기포감을 연출하고자 노력했고, 알코올 함량도 11.65%로 낮아졌습니다.노즈에서 얇게 썬 파인애플과 말린 복숭아 향이 은은하게 풍겨져오며 팔렛에서는 신선하고 강렬하며 날카로운 텐션감을 느낄 수 있습니다.",French Champagne,Champagne AOC(AOP),
"도멘 A.F. 그로, 부르고뉴 오뜨 꼬뜨 드 뉘 블랑","Domaine A.F. Gros, Bourgogne Hautes Cotes de Nuits Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177544&lq=LIST,도멘 A.F. 그로  Domaine A.F. Gros,,샤르도네 (Chardonnay),"After slowly pressed for 90min, stay in stainless steel tank for 48hours.  /  Alcoholic and malolactic fermentation in 228L oak barrel","12 months of aging in 228L oak barrel  /  Bottling in December  /  10% new oak (medium toasting)  /  Fining, no filtration",,10~12 ℃,크리스탈와인,0/5,0/5,0/5,0/5,,,* 뉘 쌩 조르주의 서쪽에 위치한 아르스낭(Arcenant)이라는 마을에 1.9ha 크기의 밭에서 수확한 샤르도네로 양조한다.2021 빈티지는 서리 피해와 많은 비로 생산량이 50% 이상 줄었으며 화이트의 경우 70%까지 소실되었기 때문에 희소성이 높다.,,,
"도멘 A.F. 그로, 부르고뉴 오뜨꼬뜨 드 뉘 무이산화황","Domaine A.F. Gros, Bourgogne Hautes-Cotes de Nuits sans SO2",https://www.wine21.com/13_search/wine_view.html?Idx=177545&lq=LIST,도멘 A.F. 그로  Domaine A.F. Gros,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),피노 누아 (Pinot Noir),Alcoholic fermentation for about 10 days  /  Malolactic fermentation in oak barrels for about 45 days,Aging in French oak barrels for 12 months (50% new oak on average)  / No fining  / Filtration in case of need  / No SO2,,,크리스탈와인,0/5,0/5,0/5,0/5,,,"* A.F. Gros의 Bourgogne Hautes-Cotes de Nuits는 가격 대비 굉장히 뛰어난 와인으로 Burghound로부터 거의 매년 Outstanding top value 와인으로 선정되고 있다. A.F. Gros가 소유한 Bourgogne Hautes-Cotes de Nuits 포도밭은 나무숲과 함께 언덕 경사면에 위치하고 있는데 이 나무숲이 강한 바람으로부터 포도를 보호해주는 역할을 한다. 그리고 포도밭이 경사지에 위치해 있어 이로 인해 토양의 부식이 전혀 없으므로 양질의 포도를 재배할 수 있다.2016년 빈티지부터 AF 그로는 일부 와인에 SO2 미첨가 버전을 함께 출시한다. SO2를 타닌을 포함하고 있는 자연적인 혼합물로 대체했기 때문이다. SO2 미첨가의 첫 주자는 '2016 부르고뉴 오뜨 꼬뜨 드 뉘'이다. 2,200병이 생산되었다. SO2 미첨가 와인은 그 해 밀레짐이 무SO2 와인 생산에 적합하다고 판단될 때만 생산될 예정이다.",,,
"에이에프 그로, 샤름 샹베르탱","A.F. Gros, Charme Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=177546&lq=LIST,에이에프 그로  A.F. Gros,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),Alcoholic fermentation for about 10 days  /  Malolactic fermentation in oak barrels,Aging in French oak barrels for 15~18 months  / 50~80% new oak (2021 vintage)  /  No fining   / Filtration in case of need,,,크리스탈와인,0/5,0/5,0/5,0/5,,,,,,
"에이에프 그로, 끌로 드 부조","A.F. Gros, Clos de Vougeot",https://www.wine21.com/13_search/wine_view.html?Idx=177547&lq=LIST,에이에프 그로  A.F. Gros,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부조(Vougeot),피노 누아 (Pinot Noir),Alcoholic fermentation for about 10 days  /  Malolactic fermentation in oak barrels,Aging in French oak barrels for 15~18 months  /  50~80% new oak (2021 vintage)  /  No fining   /  Filtration in case of need,,,크리스탈와인,0/5,0/5,0/5,0/5,,,,,,
"에이에프 그로, 라두아 라 토프 다비뇽","A.F. Gros, Ladoix La Toppe d'Avignon",https://www.wine21.com/13_search/wine_view.html?Idx=177548&lq=LIST,에이에프 그로  A.F. Gros,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 라두와(Ladoix),피노 누아 (Pinot Noir),Alcoholic fermentation for about 10 days  /  Malolactic fermentation in oak barrels,Aging in French oak barrels for 12~18 months  / 30% new oak (2021 vintage)  /  No fining  /  Filtration in case of need,,,크리스탈와인,0/5,0/5,0/5,0/5,,,"* 라두아(Ladoix)는 꼬뜨 드 뉘 지역이 끝나고 꼬드 드 본 지역이 시작되는 초입에 위치해 있다. 피노 누아 레드, 샤르도네 화이트 와인이 생산되는 AOC이다. 라 토프 다비뇽이라는 이름의 싱글 빈야드 와인으로 포도를 구매하여 양조하지만 수확 전까지 면밀히 빈야드를 모니터링하며 도멘의 와인과 양조 방법이 동일하다.",,,
