와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"클리프 레이디, 까베르네 소비뇽","Cliff Lede, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171284&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 79% / 메를로 (Merlot) 11% / 쁘띠 베르도 (Petit Verdot) 8% / 카베르네 프랑 (Cabernet Franc) 2%,Napa Valley Cabernet Sauvignon,손 수확. 발효 후 추가로 4주에서 5주 침용 과정을 거치면서 탄닌의 질감과 복합미를 얻어냄,21개월 동안 프렌치 오크에서 숙성하며 그 중 49%는 새로운 오크를 사용함,16~18 ℃,,비케이 트레이딩,1/5,2/5,5/5,4/5,무화과,,15~16 %,,Napa Valley AVA
"클리프 레이디, 매직 나이트","Cliff Lede, Magic Nights",https://www.wine21.com/13_search/wine_view.html?Idx=171285&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 92% / 쁘띠 베르도 (Petit Verdot) 5% / 메를로 (Merlot) 3%,Napa Valley Cabernet Sauvignon,손 수확. 발효 후 6주 침용 과정을 거치면서 탄닌의 질감과 복합미를 얻어냄,21개월 동안 프렌치 오크에서 숙성하며 그 중 80%는 새로운 오크를 사용함,16~18 ℃,,비케이 트레이딩,1/5,3/5,5/5,4/5,,,15~16 %,*2018 빈티지: Jeb Dunnuck 93점*2018 빈티지: Antonio Galloni 95점,Napa Valley AVA
"클리프 레이디, 소비뇽 블랑","Cliff Lede, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171286&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) 87% / 세미용 (Semillon) 10% / 소비뇽 베르트 (Sauvignon Vert) 3%,Californian Sauvignon Blanc,"손 수확. 67% 프렌치 오크, 29% 스테인리스 스틸 4% 콘크리트에서 발효",앙금 접촉과 함께 숙성되며 주 단위로 젓는 작업을 실행함,8~10 ℃,,비케이 트레이딩,1/5,3/5,2/5,1/5,"살구, 잼, 생강",,14~15 %,*2019 빈티지: Tasting Panel Magazine 90점,Napa Valley AVA
"클리프 레이디, 클라렛","Cliff Lede, Claret",https://www.wine21.com/13_search/wine_view.html?Idx=171287&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 32% / 말벡 (Malbec) 30% / 쁘띠 베르도 (Petit Verdot) 20% / 메를로 (Merlot) 13% / 카베르네 프랑 (Cabernet Franc) 5%,Napa Valley Cabernet Sauvignon,손 수확. 발효 후 추가로 3주에서 4주 침용 과정을 거치면서 탄닌의  질감과 복합미를 얻어냄,21개월 동안 프렌치 오크에서 숙성,16~18 ℃,"와인 소스를 곁들인 미트볼, 비프 스튜, 훈제 삼겹살 등과 잘 어울린다",비케이 트레이딩,1/5,2/5,5/5,4/5,초콜릿,삼겹살,15~16 %,,Napa Valley AVA
"알파 에스테이트, 에코시스템 아시르티코","Alpha Estate, Ecosystem Assyrtiko",https://www.wine21.com/13_search/wine_view.html?Idx=171290&lq=LIST,알파 에스테이트  Alpha Estate,그리스(Greece) / 마케도니아(Macedonia),아시르티코 (Assyrtiko) 100%,,,"스텐리스 스틸에서 발효, 8개월간 쉬르 리 숙성",8~10 ℃,,,1/5,4/5,3/5,1/5,"복숭아, 시트러스, 꽃",복숭아,13~14 %,,
"웨이페어러, 에스테이트 샤도네이","Wayfarer, Estate Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171291&lq=LIST,웨이페어러 에스테이트  Wayfarer Estate,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,Californian Chardonnay,,63%를 뉴 프렌치 오크(37% 올드 오크)에서 15개월 간 숙성,8~10 ℃,"가금류, 신선한 치즈류, 양념이 된 생선음식과 어울린다.",동원와인플러스,1/5,3/5,2/5,1/5,"복숭아, 레몬, 자스민","가금류, 치즈",14~15 %,*Jeb Dunnuck 95+ (2018 vintage) 97 (2019 vintage),Sonoma Coast AVA
"웨이페어러, 에스테이트 피노누아","Wayfarer, Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171292&lq=LIST,웨이페어러 에스테이트  Wayfarer Estate,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,100% 자연효모 발효,58%를 뉴 프렌치 오크(42% 올드 오크)에서 15개월 간 숙성,14~16 ℃,"신선한 치즈, 가금류 요리 등과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,2/5,"블랙베리, 리치, 초콜릿","가금류, 치즈",14~15 %,*Jeb Dunnuck 94 (2019vintage),
"웨이페어러, 골든 민 피노누아","Wayfarer, Golden Mean Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171293&lq=LIST,웨이페어러 에스테이트  Wayfarer Estate,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,7~10일 간 Cold Maceration 후 100% 자연 효모 발효,. 67%를 뉴 프렌치 오크(33% 올드 오크)에서 15개월 간 숙성,14~16 ℃,"신선한 치즈, 가금류 요리 등과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,2/5,아니스,"가금류, 치즈",14~15 %,*Jeb Dunnuck 98 (2018),
"알파 에스테이트, 에코시스템 시노마브로 리저브 비에유 비뉴","Alpha Estate, Ecosystem Xinomavro Reserve Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=171294&lq=LIST,알파 에스테이트  Alpha Estate,그리스(Greece) / 마케도니아(Macedonia) / 아민데오(Amindeo),시노마브로 (Xinomavro) 100%,,,"18개월 쉬르 리 방식 사용, 24개월 새 프렌치 알리에-버트랑쥬 오크 숙성 후 12개월 병에서 숙성",16~18 ℃,,,1/5,4/5,4/5,3/5,"자두, 토마토, 감초, 허브, 오크",자두,14 %,,
"웨이페어러, 마더 락 피노누아","Wayfarer, Mother Rock Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171295&lq=LIST,웨이페어러 에스테이트  Wayfarer Estate,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,7~10일 간 Cold Maceration 후 100% 자연 효모 발효,. 67%를 뉴 프렌치 오크(33% 올드 오크)에서 15개월 간 숙성,14~16 ℃,"신선한 치즈, 가금류 요리 등rhk wkfdjdnfflsek.",동원와인플러스,1/5,3/5,2/5,1/5,미네랄,"가금류, 치즈",14~15 %,*Jeb Dunnuck - 98pts(2018),
"웨이페어러, 더 트레블러 피노누아","Wayfarer ,The Traveler Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171296&lq=LIST,웨이페어러 에스테이트  Wayfarer Estate,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,7~10일 간 Cold Maceration 후 100% 자연 효모 발효 진행,83%를 뉴 프렌치 오크(17% 올드 오크)에서 15개월 간 숙성,14~16 ℃,"신선한 치즈, 가금류 요리 등과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,2/5,"딸기, 오렌지, 아몬드","가금류, 치즈",14~15 %,*Jeb Dunnuck - 97pts (2018),
"샤토 부에라, 르카치텔리","Chateau Buera, Rkatsiteli",https://www.wine21.com/13_search/wine_view.html?Idx=171297&lq=LIST,샤토 부에라  Chateau Buera,조지아(Georgia) / 카헤티(Kakheti),르카치텔리 (Rkatsiteli) 100%,,나파레올리 지역의 마이크로존 빈야드에서 수확하여 양조,6개월 병입 숙성,8~10 ℃,"토끼, 닭, 칠면조와 같은 가금류 요리에 가장 잘 어울리며, 샐러드 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,샐러드,12~13 %,,
"샤토 부에라, 키시 크베브리 리저브","Chateau Buera, Kisi Qvevri Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=171298&lq=LIST,샤토 부에라  Chateau Buera,조지아(Georgia) / 카헤티(Kakheti),키시 (Kisi) 100%,,,리저브 기준에 맞춰 12개월 프렌치 오크에서 숙성 후 12개월 병입 숙성20158,8~10 ℃,"조지아 전통 요리에 잘 어울리며, 붉은 고기류 요리 및 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,1/5,"배, 호두, 타바코",치즈,12~13 %,"*Decanter WWA 2022 – Silver*Hong Kong IWSC 2021 – Trophy, Best Wine from Georgia*Hong Kong IWSC 2021 – Gold",
"샤토 부에라, 사페라비 리저브","Chateau Buera, Saperavi Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=171299&lq=LIST,샤토 부에라  Chateau Buera,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi) 100%,,,손 수확 후 프렌치 오크에서 14개월 숙성 후 18개월 병입 숙성,16~18 ℃,"스테이크, 스튜, 양갈비, 소시지, 숙성 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"꽃, 오크","소시지, 양갈비, 치즈",13~14 %,"*Korea Wine Challenge 2022 – Gold*Decanter WWA 2022 - Gold*Hong Kong IWSC 2021 – Trophy, Best Indigenous Grape*Hong Kong IWSC 2021 – Gold",
"그랜드 토카이, 클래식 토카이 푸르민트 드라이","Grand Tokaj, Classic Tokaji Furmint Dry",https://www.wine21.com/13_search/wine_view.html?Idx=171300&lq=LIST,그랜드 토카이  Grand Tokaj,헝가리(Hungary),푸르민트 (Furmint) 100%,,,"완전히 익은 상태로 수확, 최첨단 기술 사용해 가공된 후 스테인리스에서 숙성",8~10 ℃,,,1/5,3/5,3/5,1/5,"사과, 민트, 꿀",,12~13 %,,Tokaji PDO
"클리프 레이디, 하이 피델리티","Cliff Lede, High Fidelity",https://www.wine21.com/13_search/wine_view.html?Idx=171301&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 프랑 (Cabernet Franc) 50% / 메를로 (Merlot) 25% / 카베르네 소비뇽 (Cabernet Sauvignon) 23% / 쁘띠 베르도 (Petit Verdot) 2%,,,발효 후 추가로 5주 동안 침용 과정을 거치면서 탄닌의 질감과 복합미를 얻어냄. 22개월 동안 프렌치 오크에서 숙성하며 그 중 66%는 새로운 오크를 사용.,16~18 ℃,,비케이 트레이딩,1/5,3/5,5/5,4/5,홍차,,15~16 %,"*2018 빈티지: Jeb Dunnuck 94점, Antonio Galloni 92점",
"클리프 레이디, 포이트리 까베르네 소비뇽","Cliff Lede, Poetry Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171302&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 86% / 카베르네 프랑 (Cabernet Franc) 6% / 메를로 (Merlot) 6% / 쁘띠 베르도 (Petit Verdot) 2%,,,손 수확. 발효 후 추가로 최대 6주까지 침용 과정을 거치면서 보다 섬세한 추출을 하며 탄닌의 구조감을 섬세하게 쌓아냄. 21개월 동안 프렌치 오크에서 숙성하며 그 중 81%는 새로운 오크를 사용.,16~18 ℃,,비케이 트레이딩,1/5,2/5,5/5,4/5,"자두, 감초",자두,14~15 %,*2017 빈티지: Jeb Dunnuck 99점*2016 빈티지: Jeb Dunnuck 99점*2015 빈티지: Jeb Dunnuck 100점,Napa Valley AVA
세인트 프란시스 리저브 진판델,ST. FRANCIS Reserve Zinfandel,https://www.wine21.com/13_search/wine_view.html?Idx=171303&lq=LIST,세인트 프란시스  Saint Francis,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 드라이 크릭 밸리(Dry Creek Valley),진판델 (Zinfandel) 83% / 쁘띠 시라  (Petite Sirah) 14% / 시라/쉬라즈 (Syrah/Shiraz) 3%,Californian Zinfandel,,프렌치 오크 20개월 숙성 (60% New),16~18 ℃,,비케이 트레이딩,2/5,2/5,4/5,3/5,,,15~16 %,"*2017 빈티지: Connoisseur's Guide 91점, Sonoma County Harvest Fair - Gold Medal",Dry Creek Valley AVA
"바넷 빈야즈, 래틀스네이크 카버네 소비뇽","Barnett Vineyards, Rattlesnake Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171304&lq=LIST,바넷 빈야즈  Barnett Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 스프링 마운틴 디스트릭트(Spring Mountain district),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Napa Valley Cabernet Sauvignon,,22개월 프렌치 오크 숙성,16~18 ℃,,나라셀라,1/5,3/5,4/5,4/5,"미네랄, 유칼립투스",,,*2017 빈티지: Wilfred Wong 96점,Spring Mountain District AVA
"램스 게이트, 셀러 노트 샤도네이","Ram's Gate, Cellar Note Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171305&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay),,,,10~12 ℃,,와인투유코리아,1/5,4/5,3/5,1/5,"사과, 오렌지, 캐모마일",,14~15 %,,Sonoma Coast AVA
"램스 게이트, 소노마 코스트 샤도네이","Ram's Gate, Sonoma Coast Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171306&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,,,25%의 New French Oak에서 10개월 숙성,10~12 ℃,,와인투유코리아,1/5,4/5,3/5,1/5,"브리오슈, 아몬드",,13~14 %,,
"램스 게이트, 하이드 빈야드 카네로스 샤도네이","Ram's Gate, Hyde Vineyard Carneros Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171307&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),샤르도네 (Chardonnay),,,33%의 New French Oak에서 11개월 숙성,10~12 ℃,,와인투유코리아,1/5,4/5,3/5,1/5,"배, 레몬",,13~14 %,,Los Carneros AVA
"램스 게이트, 허드슨 빈야드 샤도네이","Ram's Gate, Hudson Vineyard Chardonna",https://www.wine21.com/13_search/wine_view.html?Idx=171308&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),샤르도네 (Chardonnay),,,33%의 New French Oak에서 11개월 숙성,10~12 ℃,,와인투유코리아,1/5,4/5,3/5,1/5,"레몬, 아니스",,14~15 %,,Los Carneros AVA
"램스 게이트, 플로라 마리에 빈야드 샤도네이","Ram's Gate, Flora Marie Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171309&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),,,30%의 New French Oak에서 18개월 숙성,10~12 ℃,,와인투유코리아,1/5,4/5,3/5,1/5,"사과, 오크",,14~15 %,,Russian River Valley AVA
"램스 게이트, 소노마 코스트 피노 누아","Ram's Gate, Sonoma Coast Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171310&lq=LIST,램스 게이트 와이너리  Ram's Gate Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,,,28%의 New French Oak에서 10개월 숙성,14~16 ℃,,와인투유코리아,1/5,4/5,3/5,3/5,"오렌지, 장미, 아니스",,14~15 %,,Sonoma Coast AVA
"보데가스 피놀드, 까바 디봉 아이스","Bodegas Pinord, Cava Dibon ICE",https://www.wine21.com/13_search/wine_view.html?Idx=171311&lq=LIST,보데가스 피놀드   Bodegas Pinord,스페인(Spain) / 페네데스(Penedes),자렐로 (Xarel.lo) / 마카베오 (Macabeo) / 빠레야다 (Parellada),Spanish Cava,"와인에서 과실의 아로마를 최대한 표현 하기 위해 수확한 포도는 저온 상태에서 선별되고 발효가 진행, 샴페인 방식으로 양조하였고 2차 발효는 병속에서  12개월에 걸쳐 진행",,6~8 ℃,디저트와 애피타이저로도 훌륭하며 얼음을 넣어 시원하게 마셔도 잘 어울린다.,,1/5,4/5,2/5,1/5,,디저트,,,
"샹파뉴 드 로슈, 브뤼 셀렉시옹","Champagne de L'AUCHE, Brut Selection",https://www.wine21.com/13_search/wine_view.html?Idx=171312&lq=LIST,샹파뉴 드 로슈  Champagne de L'AUCHE,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 85% / 피노 누아 (Pinot Noir) 15%,French Champagne,40% 리저브 와인,42개월 숙성,6~8 ℃,,,1/5,4/5,2/5,1/5,헤이즐넛,,12~13 %,*Wine&Spirit Competition 2015 : Gold*Concours General Agricole 2015 : Silver*Concours General Agricole 2014 : Silver,
알 프레스코 상그리아,Al Fresco Sangria,https://www.wine21.com/13_search/wine_view.html?Idx=171314&lq=LIST,보데가스 까스따뇨  Bodegas Castano,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell),,,,6~8 ℃,,더블유에스통상,3/5,4/5,2/5,2/5,"체리, 자두",자두,5~6 %,,
"샤토 생 미셸, 콜드 크릭 메를로","Chateau Ste Michelle, Cold Creek Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=171317&lq=LIST,샤토 생미셸  Chateau Ste.Michelle,미국(U.S.A) / 워싱턴(Washington State),메를로 (Merlot) 85% / 카베르네 소비뇽 (Cabernet Sauvignon) 10% / 시라/쉬라즈 (Syrah/Shiraz) 5%,Washington State Merlot,10일 발효,프렌치 오크 18개월 숙성,16~18 ℃,"양고기, 파스타, 소고기와 잘 어울린다.",,1/5,3/5,3/5,4/5,,"소고기, 양고기, 파스타",13~14 %,*Connoisseurs' Guide - 92 pts(1998),
"라피스 루나, 샤도네이","Lapis Luna, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171318&lq=LIST,라피스 루나 와인스  Lapis Luna Wines,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),샤르도네 (Chardonnay) 100%,Californian Chardonnay,,"일부 9개월 간 오크 숙성, 10% 뉴 오크 사용",8~10 ℃,"버터에 구운 해산물, 구운 연어",비케이 트레이딩,1/5,3/5,2/5,1/5,"오렌지, 파인애플, 바닐라, 토스트, 버터","연어, 해산물",14~15 %,,North Coast AVA
"라피스 루나, 피노 누아","Lapis Luna, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171319&lq=LIST,라피스 루나 와인스  Lapis Luna Wines,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,,"마세레이션 기간 중 매일 2회에 걸쳐 펌핑 오버. 8개월 10% 뉴 오크, 90% 올드 오크 숙성",14~16 ℃,"송아지 고기, 닭고기",비케이 트레이딩,1/5,3/5,2/5,2/5,"체리, 꽃","송아지, 닭고기",14~15 %,,California AVA
"와인컵, 메를로","Wine Cup, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=171321&lq=LIST,데안젤리 무스티 노블리스  DeAngeli Musti Noblis,이탈리아(Italy),메를로 (Merlot) 100%,,,,16~18 ℃,,에노테카코리아,1/5,3/5,4/5,4/5,,,12~13 %,,
"와인컵, 샤도네이","Wine Cup, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171322&lq=LIST,데안젤리 무스티 노블리스  DeAngeli Musti Noblis,이탈리아(Italy),샤르도네 (Chardonnay),,,,8~10 ℃,,에노테카코리아,1/5,3/5,2/5,1/5,꽃,,12~13 %,,
"그르기치 힐스 이스테이트, 나파 밸리 로제","Grgich Hills Estate, Napa Valley Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171323&lq=LIST,그르기치 힐스 이스테이트  Grgich Hills Estate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 60% / 메를로 (Merlot) 18% / 진판델 (Zinfandel) 17% / 카베르네 프랑 (Cabernet Franc) 4% / 기타 품종 (Other Grapes) 1%,,"100% 자가 소유밭 포도로 생산, 100% 유기재배 및 바이오다이나믹 인증, 프랑스 전통 세녜 방식(Saignee, Bleeding Method)으로 만든 로제 와인으로, 압착하지 않은 적포도의 신선한 과즙만을 추출하여 5~6주간 저온발효",,12~14 ℃,"매콤한 음식들과 천생연분이며, 타코, 태국음식, 바베큐 립 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,2/5,"딸기, 꽃",,13~14 %,,
"코일레, 체로 바살토 메디떼라네오","Kyole, Cerro Basalto Mediterraneo",https://www.wine21.com/13_search/wine_view.html?Idx=171324&lq=LIST,비나 코일레  Vina Koyle,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),모나스트렐 (Monastrell) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane) / 시라/쉬라즈 (Syrah/Shiraz),,"철분, 마그네슘, 칼슘 등 미네랄이 풍부한 현무암 토양에서 수확된 포도는 각 품종별 오크배럴과 스테인레스 스틸 탱크에서 번갈아 가며 발효","모나스트렐, 시라는 500L 오크 배럴&까리냥은 18hl foudre & 그르나슈는 17hl의 계란 모양의 콘크리트에서 12개월의 개별 숙성 기간 후 병입 6개월 전 블렌딩",16~18 ℃,,,1/5,3/5,4/5,4/5,"블루베리, 자두, 감초, 허브, 토스트",,,*Tim Atkin – 94pts(2019)*Descorchados – 94pts(2019),
"코일레, 체로 바살토 꾸아르뗄 G2","Kyole, Cerro Basalto Cuartel G2",https://www.wine21.com/13_search/wine_view.html?Idx=171325&lq=LIST,비나 코일레  Vina Koyle,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카르메네르 (Carmenere) / 카베르네 프랑 (Cabernet Franc),Chilean Carménère,"철분, 마그네슘, 칼슘 등 미네랄이 풍부한 현무암 토양에서 까르미네르는 3월 말, 까베르네 프랑은 3월 중순에 수확, . 모든 과정은 Bio-Dynamic 농법으로 관리",3000L oak foudre에서 18개월의 숙성기간을 거쳐 출시,16~18 ℃,,,1/5,3/5,4/5,4/5,"자두, 미네랄, 아니스, 허브, 삼나무",,,"*Tim Atkin 95pts, Descorchados 96pts(2018)*Tim Atkin 95pts, Descorchados 94pts(2019)",
로제 프리잔테,Rose Frizzante,https://www.wine21.com/13_search/wine_view.html?Idx=171326&lq=LIST,마스 드 도마스 가삭  Mas de Daumas Gassac,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) / 피노 누아 (Pinot Noir),,,,6~8 ℃,"식전주나 샐러드, 과일 등의 가볍고 산뜻한 음식과 잘 어울린다.",,1/5,4/5,2/5,1/5,"시트러스, 미네랄","식전주, 샐러드, 과일",11~12 %,,
"도멘 드 라 본 톤, 모르공 '꼬뜨 뒤 피'","Domaine de la Bonne Tonne, Morgon 'Cote Du Py'",https://www.wine21.com/13_search/wine_view.html?Idx=171327&lq=LIST,도멘 드 라 본 톤  Domaine de la Bonne Tonne,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 모르공(Morgon),가메이 (Gamay),Beaujolais Red,야생효모를 사용하여 발효,,14~16 ℃,,,1/5,3/5,3/5,3/5,"체리, 오크, 효모",,13~14 %,,
"도멘 드 라 본 톤, 모르공 '레 샤름'","Domaine de la Bonne Tonne, Morgon 'Les Charmes'",https://www.wine21.com/13_search/wine_view.html?Idx=171328&lq=LIST,도멘 드 라 본 톤  Domaine de la Bonne Tonne,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 모르공(Morgon),가메이 (Gamay) 100%,,자연효모를 사용하여 발효시켰으며 따로 필터링 하지 않았고 18일간 저온 침용 상태를 거쳐 프레싱 후 2차 블랜딩,,14~16 ℃,,,1/5,3/5,3/5,2/5,효모,,13~14 %,,
"씨다 실바, 프레지덴셜 포트 화이트","C.da Silva, Presidential Porto White",https://www.wine21.com/13_search/wine_view.html?Idx=171329&lq=LIST,씨다 실바  C.da Silva,포르투갈(Portugal),투리가 나시오날 (Touriga Nacional),,,,10~12 ℃,,,3/5,3/5,2/5,2/5,,,19~20 %,,
"바론 도베른, 델리스 드 부지","Baron Dauvergne, Delice Du Bouzy",https://www.wine21.com/13_search/wine_view.html?Idx=171330&lq=LIST,바론 도베른  Baron Dauvergne,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,,
"바론 도베른, 투르 에펠 그랑 크뤼","Baron Dauvergne, Tour Eiffle Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=171331&lq=LIST,바론 도베른  Baron Dauvergne,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,,
"바론 도베른, 썅빠뉴 싸피르","Baron Dauvergne, Cuvée Saphir Champagne",https://www.wine21.com/13_search/wine_view.html?Idx=171332&lq=LIST,바론 도베른  Baron Dauvergne,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),French Champagne,,,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,,
"바론 도베른, 썅빠뉴 로제","Baron Dauvergne, Rosé Elégance Champagne",https://www.wine21.com/13_search/wine_view.html?Idx=171333&lq=LIST,바론 도베른  Baron Dauvergne,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir),French Champagne,,,6~8 ℃,,,1/5,3/5,2/5,2/5,,,,,
"도메인 드 라 슈페트, 부르고뉴 마랑쥐","Domaine De La Choupette, Maranges Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=171334&lq=LIST,도멘 드 라 슈페트  Domaine de la Choupette,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,Burgundy Red,,,14~16 ℃,,,1/5,3/5,3/5,2/5,,,,,
"도멘 데 크레, 마콩 샤도네이","Domaine Des, Crets Macon Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171335&lq=LIST,도멘 데 크레  Domaine Des Crets,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
