와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"크룩, 컬렉션","Krug, Collection",https://www.wine21.com/13_search/wine_view.html?Idx=170058&lq=LIST,크룩  Krug,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),French Champagne,,,12~13 %,8~10 ℃,"버섯 리조또, 트러플, 오리고기, 디저트, 치즈 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"시나몬, 브리오슈, 타르, 꿀","오리고기, 리조또, 치즈, 디저트",,
"아스트랄, 스푸만테 엑스트라 드라이","Astrale, Spumante Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=170059&lq=LIST,아스트랄  Astrale,이탈리아(Italy) / 베네토(Veneto),샤르도네 (Chardonnay) 20% / 글레라 (Glera) 80%,,,,11~12 %,6~8 ℃,"흰살생선, 새우, 파스타, 다양한 치즈, 건육, 하몽, 프로슈토, 동남아요리, 매운음식 등과 잘 어울린다.",한산더블유앤비,1/5,3/5,2/5,1/5,"시트러스, 미네랄","흰살생선, 새우, 파스타, 치즈",*91pts - Luca Maroni,
"아스트랄, 비앙코","Astrale, Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=170060&lq=LIST,아스트랄  Astrale,이탈리아(Italy),그릴로 (Grillo) / 소비뇽 블랑 (Sauvignon Blanc) / 베르멘티노 (Vermentino),,,,13~14 %,8~10 ℃,"흰살생선, 새우, 파스타, 다양한 치즈, 건육, 하몽, 프로슈토, 동남아요리, 매운음식 등과 잘 어울린다.",한산더블유앤비,1/5,4/5,1/5,1/5,,"흰살생선, 새우, 파스타, 치즈",90pts - Luca Maroni,
"아스트랄, 로쏘","Astrale, Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=170061&lq=LIST,아스트랄  Astrale,이탈리아(Italy),프리미티보 (Primitivo) / 산지오베제 (Sangiovese) / 몬테풀치아노 (Montepulciano) / 네로 다볼라 (Nero d'Avola),,,12개월 오크 숙성,14~15 %,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",한산더블유앤비,1/5,4/5,3/5,4/5,"자두, 커피","바비큐, 양갈비, 훈제오리, 파스타, 난자완스",*Luca Maroni-97*IWC 2021 Bronze Medal*Sakura Award Japan 2021 Silver Medal,
"아스트랄, 로쏘 스페셜 에디션","Astrale, Rosso Special Edition",https://www.wine21.com/13_search/wine_view.html?Idx=170063&lq=LIST,아스트랄  Astrale,이탈리아(Italy),네로 다볼라 (Nero d'Avola) / 프리미티보 (Primitivo) / 산지오베제 (Sangiovese) / 몬테풀치아노 (Montepulciano) / 알리아니코 (Aglianico),,,,13~14 %,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,4/5,"잼, 감초, 타바코","바비큐, 양갈비, 훈제오리, 파스타, 난자완스",*96pts - Luca Maroni(2018)*Berlin Wine Trophy 2020 Gold(2018),
"아스트랄, 키안티","Astral, Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=170064&lq=LIST,아스트랄  Astrale,이탈리아(Italy) / 토스카나(Toscana),카나이올로 (Canaiolo) / 칠리에졸로 (Ciliegiolo) / 산지오베제 (Sangiovese),Italian Chianti,,,12~13 %,16~18 ℃,"스테이크, 로스트비프, 양갈비, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,4/5,,"양갈비, 프로슈토, 오리고기, 수육",Luca Maroni 90pts (2020),
"아스트랄, 키안티 리제르바","Astrale, Chianti Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=170065&lq=LIST,아스트랄  Astrale,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon),Italian Chianti,,,13~14 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,4/5,바닐라,족발,Luca Maroni - 91pts(2018),
"빌라 알 코르틸레, 로쏘 디 몬탈치노","Villa Al Cortile, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=170066&lq=LIST,빌라 알 코르틸레  Villa Al Cortile,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),Tuscan Red,,12개월 숙성(6개월 오크통 숙성),13~14 %,16~18 ℃,"스테이크, 불고기, 그릴요리, 갈비찜, 리조또, 라자냐, 피자, 파스타와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,3/5,,,,Rosso di Montalcino DOC(DOP)
"빌라 알 코르틸레, 부르넬로 디 몬탈치노","Villa Al Cortile, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=170067&lq=LIST,빌라 알 코르틸레  Villa Al Cortile,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,Tuscan Red,,"5년 숙성(24개월 오크통 숙성), 병입 후 6개월 숙성",14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 족발, 라자냐, 파스타와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,3/5,체리,"족발, 트러플",,Brunello di Montalcino DOCG(DOP)
"빌라 알 코르틸레, 부르넬로 디 몬탈치노 리제르바","Villa Al Cortile, Brunello di Montalcino Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=170068&lq=LIST,빌라 알 코르틸레  Villa Al Cortile,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,Tuscan Red,,"6년 숙성(36개월 오크통 숙성), 병입 후 6개월 숙성",14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 족발, 라자냐, 파스타와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,3/5,"배, 가죽","족발, 트러플",*2015 - Wine Critics 93,Brunello di Montalcino DOCG(DOP)
"보데가스 라 푸리시마, 캄풀러스 엘 모레노 레드","Bodegas La Purisima, Campules El Moreno Red",https://www.wine21.com/13_search/wine_view.html?Idx=170069&lq=LIST,보데가스 라 푸리시마  Bodegas La Purisima,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) 100%,Spanish Monastrell,"기계 수확 후, 12시간 동안 추출과정 진행, 낮은 온도에서 발효과정 진행",,13~14 %,16~18 ℃,"붉은 육류, 스테이크, 그릴요리, 소시지, 불고기, 갈비찜, 양념갈비, 한국음식 등 과 잘 어울린다.",,1/5,3/5,4/5,4/5,자두,소시지,,
"보데가스 라 푸리시마, 캄풀러스 라 루비아 화이트","Bodegas La Purisima, Camplues La Rubia White",https://www.wine21.com/13_search/wine_view.html?Idx=170070&lq=LIST,보데가스 라 푸리시마  Bodegas La Purisima,스페인(Spain) / 예클라(Yecla),마카베오 (Macabeo) 100%,,"기계 수확 후, 12시간 동안 추출과정 진행. 낮은 온도에서 발효과정 진행",,12~13 %,8~10 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"시트러스, 꽃, 꿀","해산물, 떡볶이, 아시아요리, 샐러드",,
"보데가스 라 푸리시마, 아줄러스 레드","Bodegas La Purisima, Azules Red",https://www.wine21.com/13_search/wine_view.html?Idx=170071&lq=LIST,보데가스 라 푸리시마  Bodegas La Purisima,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) 100%,Spanish Red,"기계 수확 후, 12시간 동안 추출과정 진행. 낮은 온도에서 발효과정 진행",,13~14 %,16~18 ℃,"붉은 육류, 스테이크, 그릴요리, 소시지, 불고기, 갈비찜 등 과 잘 어울린다.",,1/5,3/5,3/5,3/5,자두,소시지,,
"라 보데가스 푸리시마, 아줄러스 화이트","La Bodegas Purisima, Azules White",https://www.wine21.com/13_search/wine_view.html?Idx=170072&lq=LIST,보데가스 라 푸리시마  Bodegas La Purisima,스페인(Spain) / 예클라(Yecla),마카베오 (Macabeo),,"기계 수확 후, 12시간 동안 추출과정 진행. 낮은 온도에서 발효과정 진행",,12~13 %,8~10 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"시트러스, 꽃, 꿀","해산물, 떡볶이, 아시아요리, 샐러드",,
"테누타 살바테라, 팔리아 로쏘","Tenuta Salvaterra, Falia Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=170073&lq=LIST,테누타 살바테라  Tenute SalvaTerra,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 메를로 (Merlot),,,,13~14 %,14~16 ℃,"오리로스, 닭고기, 버섯, 튀김, 프로슈토, 피자, 파스타와 잘 어울린다.",,1/5,3/5,4/5,3/5,배,"프로슈토, 튀김, 버섯",,
"테누타 살바테라, 팔리아 비앙코","Tenuta Salvaterra, Falia Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=170074&lq=LIST,테누타 살바테라  Tenute SalvaTerra,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) / 피노 그리지오 (Pinot Grigio) / 샤르도네 (Chardonnay) / 트레비아노 (Trebbiano),,,,12~13 %,8~10 ℃,"흰살생선, 새우, 파스타, 다양한 치즈, 건육, 하몽, 프로슈토, 동남아요리, 매운음식 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,꽃,"흰살생선, 새우, 파스타, 치즈",,
"테누타 살바테라, 팔리아 로제","Tenuta Salvaterra, Falia Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170075&lq=LIST,테누타 살바테라  Tenute SalvaTerra,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina),,,,12~13 %,12~14 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"체리, 꽃","해산물, 떡볶이, 아시아요리, 샐러드",,
"발레피치올라, 퍼르시모","Vallepicciola, Persimo",https://www.wine21.com/13_search/wine_view.html?Idx=170076&lq=LIST,발레피치올라  Vallepicciola,이탈리아(Italy) / 토스카나(Toscana) / 시에나(Siena),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 산지오베제 (Sangiovese),,,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 체리, 블루베리, 라스베리, 후추, 바닐라, 정향, 오크","로스트비프, 소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 양고기, 건육, 육포, 족발, 순대, 파스타, 크림파스타, 과일, 치즈, 파르미지아노, 그라노파다노, 스모크",* 2018 빈티지 : 2021 Korea Wine Challenge - Gold Medal* 2018 빈티지 : LUCA MARONI - 95점,
"산 마르티노, 피노 네로 로사토","San Martino, Pinot Nero Rosato Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170077&lq=LIST,산 마르티노  San Martino,이탈리아(Italy) / 베네토(Veneto),피노 네로 (Pinot Nero) 100%,,"엄벌 선별한 피노  네로 품종만으로 와인을 양조, 킨 컨택을 낮은 온도에서 짧게 하여 색상을 추출",,12~13 %,6~8 ℃,"음식의 첫 코스와 같이 마시거나, 아니면 치즈나 생선 요리와 잘 어울린다.",,1/5,4/5,2/5,1/5,꽃,치즈,Silver : Mundus Vini 2019,
시스티나 프리미티보,Sistina Primitivo,https://www.wine21.com/13_search/wine_view.html?Idx=170078&lq=LIST,코디스 씨트라  CODICE CITRA,이탈리아(Italy) / 아브루쪼(Abruzzo),프리미티보 (Primitivo),Southern Italy Primitivo,,,14~15 %,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 블루치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,4/5,3/5,자두,"살라미, 견과류",,
시스티나 아파시멘토,Sistina Appassimento,https://www.wine21.com/13_search/wine_view.html?Idx=170079&lq=LIST,코디스 씨트라  CODICE CITRA,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,,,14~15 %,16~18 ℃,"로스트비프, 오리고기, 치킨, 토마토파스타, 피자, 견과류, 말린과일, 티라미슈 와 잘 어울린다.",,1/5,3/5,3/5,3/5,"자두, 삼나무","자두, 견과류, 티라미슈",,
시스티나 몬테풀치아노 다부르쪼,Sistina Montepulciano d'Abruzzo,https://www.wine21.com/13_search/wine_view.html?Idx=170080&lq=LIST,코디스 씨트라  CODICE CITRA,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%,Italian Montepulciano d'Abruzzo,,,13~14 %,16~18 ℃,"바비큐, 소시지, 훈제오리, 오리고기, 양갈비, 리조토, 버섯, 프로슈토와 잘 어울린다.",,1/5,3/5,3/5,3/5,"체리, 코코아","양갈비, 프로슈토, 리조토, 버섯",,
시스티나 몬테풀치아노 다부르쪼 리제르바,Sistina Montepulciano d'Abruzzo Riserva,https://www.wine21.com/13_search/wine_view.html?Idx=170081&lq=LIST,코디스 씨트라  CODICE CITRA,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) 100%,Italian Montepulciano d'Abruzzo,,,14~15 %,16~18 ℃,"바비큐, 소시지, 훈제오리, 오리고기, 양갈비, 리조토, 버섯, 프로슈토와 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 코코아","양갈비, 프로슈토, 리조토, 버섯",,
"미도우크로프트, 나파 밸리 샤도네이","Meadowcroft, Napa Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170082&lq=LIST,마지토  Magito,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),Napa Valley Chardonnay,,"25% 뉴 오크 사용, 약 6개월간 오크 숙성 진행",13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"미네랄, 바닐라, 오크","바비큐, 수육, 탕수육, 치즈",,
넘버 식스 카베르네 소비뇽,No.6 Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=170083&lq=LIST,브라더스 인 암즈  Brothers in Arms,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,,"5% 뉴오크, 95%사용한 프렌치오크 에서  18개월 동안 숙성",14~15 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"블랙베리, 가죽","양갈비, 치즈",* 2022 Korea Wine Challenge 대상* Red Trophy : 2021 Korea Wine Challenge (2016)* Bronze Medal : 2018 INTERNATIONAL WINE CHALLENGE U.K (2016),
퀸 오브 더 하이브,The Queen of the Hive,https://www.wine21.com/13_search/wine_view.html?Idx=170084&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) / 템프라니요 (Tempranillo) / 그르나슈 (Grenache),Australian Shiraz,,,14~15 %,16~18 ℃,"스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 자두, 오크, 꿀","스테이크, 양고기, 불고기",,
"라스 비노, 알비노 피앤오","L.A.S. Vino, Albino PNO",https://www.wine21.com/13_search/wine_view.html?Idx=170085&lq=LIST,라스 비노  L.A.S Vino,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),피노 누아 (Pinot Noir) 80% / 샤르도네 (Chardonnay) 20%,,,"피노누아와 샤르도네를 따로 발효와 숙성과정을 따로 진행하며, 프렌치 오크에서 10개월간 숙성기간을 거침",13~14 %,12~14 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"딸기, 오크, 크림","해산물, 떡볶이, 아시아요리, 샐러드",*95 POINTS: The Real Review (2019 VIN)*95 POINTS: The Real Review (2018 VIN),
"라스 비노, 와일드베리 스프링스 샤도네이","L.A.S. Vino, Wildberry Springs Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170086&lq=LIST,라스 비노  L.A.S Vino,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay) 100%,Australian Chardonnay,"1차 발효를 9개월 동안 오크에서 자연적으로 이뤄지며, 이 기간동안  젖산발효가 자연스럽게 진행","9개월 1차 발효 기간을 건친 후에 오크에서 1~2년 숙성, 총 8개의 프렌치 오크통을 사용하고1~2년 발효 숙성기간을 거침",14~15 %,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"배, 부싯돌, 오크","바비큐, 수육, 탕수육, 치즈",,
"로젠베일, 에스테이트 그로운 쉬라즈","Rosenvale, Estate Grown Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=170087&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,더 바인 베일 샌드 빈야드 70%와 The Rosenweig Vineyard 30% 블랜딩하여 만든 와인,,15~16 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,,양갈비,*96 POINTS : Wine Orbit(2018),
"로젠베일, 에스테이트 그로운 카베르네 소비뇽","Rosenvale, Estate Grown Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170088&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,,24개월 프렌치 오크숙성,14~15 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"자두, 바닐라, 타임","양갈비, 치즈",*95 POINTS : Wine Orbit(2018),
"로젠베일, 에스테이트 그로운 그르나슈","Rosenvale, Estate Grown Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=170089&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache) 100%,,,24개월 프렌치 오크숙성,15~16 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,체리,"스테이크, 양갈비",*94 POINTS : Wine Orbit(2018),
"로젠베일, 에스테이트 그로운 마타로","Rosenvale, Estate Grown Mataro",https://www.wine21.com/13_search/wine_view.html?Idx=170090&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),무르베드르 (Mourvedre) 100%,,"총 3개의 클론으로 구성되어 있으며, 매년 생산량 관리를 통하여 우수한 품질의 포도로 양조",프렌치 오크숙성,15~16 %,16~18 ℃,"오리고기, 닭고기, 훈제오리, 치킨, 튀김, 튀김, 파스타, 피자와 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 자두, 감초, 허브",튀김,,
"로젠베일, 에스테이트 그로운 GSM","Rosenvale, Estate Grown GSM",https://www.wine21.com/13_search/wine_view.html?Idx=170091&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),무르베드르 (Mourvedre) / 그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),,"그르나슈, 쉬라, 마타로 블랜딩한 와인",프렌치 오크와 아메리칸 오크에 숙성 후 병입시 블랜딩,14~15 %,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 자두, 감초, 삼나무","바비큐, 양념갈비, 치즈",,
"로젠베일, 스톡웰 페리쉬 쉬라즈","Rosenvale, Stockwell Parish Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=170092&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,,32 개월 프렌치 오크 숙성,14~15 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙베리, 자두, 감초, 가죽","스테이크, 양갈비, 자두",,
"로젠베일, 바인 베일 페리쉬 쉬라즈","Rosenvale, Vine Vale Parish Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=170093&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,32 개월 프렌치 오크 숙성,14~15 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 초콜릿, 가죽","스테이크, 양갈비",,
"로젠베일, 라이트 패스 페리쉬 쉬라즈","Rosenvale, Light Pass Parish Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=170094&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,32 개월 프렌치 오크 숙성,,14~15 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 꽃","스테이크, 양갈비",,
"로젠베일, 리서치 로드 카베르네 소비뇽","Rosenvale, Research Road Cabenet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170095&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,,15~16 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"타임, 삼나무","양갈비, 치즈",*96 POINTS : Wine Orbit(2019),
"로젠베일, 바인 베일 로드 그르나슈","Rosenvale, Vine Vale Road Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=170096&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache),,,17 개월 프렌치 오크 숙성,15~16 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,"자두, 감초","스테이크, 양갈비",,
"로젠베일, 올드 바인 리저브 카베르네 소비뇽","Rosenvale, Old Vine Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170097&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,24 개월  프렌치 오크 숙성,15~16 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"자두, 유칼립투스, 삼나무","양갈비, 치즈",,
"로젠베일, 올드 바인 리저브 쉬라즈","Rosenvale, Old Vine Reserve Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=170098&lq=LIST,로젠베일  Rosenvale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,22 개월  프렌치 오크 숙성,15~16 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,"자두, 삼나무","스테이크, 양갈비, 자두",*95 POINTS : Wine Showcase Magazine(2014),
"미구엘, 토니 포트","Miguels, Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=170099&lq=LIST,미구엘  Miguels,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,"콜 발효가 어느정도 일어나면, 77도 브랜디를 넣어 발효를 정지를 한 후에 병 입 전까지 오크 숙성",19~20 %,8~10 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,4/5,3/5,3/5,"바닐라, 오크",,,
"미구엘, 화이트 스윗 포트","Miguels, White Sweet Port",https://www.wine21.com/13_search/wine_view.html?Idx=170100&lq=LIST,미구엘  Miguels,포르투갈(Portugal) / 도우루(Douro),말바시아 피나 (Malvasia Fina) / 라비가토 (Rabigato) / 코데가 (Codega),Portuguese Port,,"알콜 발효가 어느정도 일어나면, 77도 브랜디를 넣어 발효를 정지를 한 후에 병 입 전까지 오크 숙성",19~20 %,8~10 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,5/5,4/5,4/5,3/5,"시트러스, 꽃, 오크",샐러드,,
"미구엘, 루비 포트","Miguels, Ruby Port",https://www.wine21.com/13_search/wine_view.html?Idx=170101&lq=LIST,미구엘  Miguels,포르투갈(Portugal) / 도우루(Douro),틴토 까오 (Tinto Cao) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 투리가 프란카 (Touriga Franca) / 투리가 나시오날 (Touriga Nacional),Portuguese Port,,"알콜 발효가 어느정도 일어나면, 77도 브랜디를 넣어 발효를 정지를 한 후에 병 입 전까지 오크 숙성",19~20 %,10~12 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,5/5,4/5,4/5,3/5,"체리, 오크",,,
