포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
피뇰레또Pignoletto,피뇰레또(Pignoletto)는 이탈리아 화이트 품종이다. 복숭아 아로마와 견과류의 풍미를 지닌다.,0/5,0/5,1/5,1/5,"복숭아, 견과류, 흰 후추, 백합","파스타, 트러플 리조또, 간장 치킨"
벨로네 비앙코Bellone Bianco,벨로네 비앙코(Bellone Bianco)는 이탈리아 화이트 품종이다. 라이트 바디 그리고 신선한 느낌을 가진다.,3/5,4/5,1/5,1/5,"허브, 시트러스, 미네랄","양고기 요리, 치킨 타진, 레몬과 브로콜리를 곁들인 파스타"
알바나Albana,"알바나(Albana)는 이탈리아 화이트 품종이다. 알바나 디 로마냐(Alana di Romagna)가 1987년 DOCG등급을 받는데 주요 역할을 했다. 알바나 품종은 이국적인 과실향이 좋으며, 드라이한 와인부터 오프-드라이, 달콤한 와인, 파시토(Passito)와인까지 만들어진다. 가벼운 바디, 견과류향과 부드럽고 매끈한 감촉, 약간 쓴 아몬드 맛의 여운이 있다.",0/5,0/5,2/5,1/5,"견과류, 아몬드, 부드러운 과일",
청포도 즙Mout Blanc,,,,,,,
돈펠더Dornfelder,"돈펠더(Dornfelder)는 독일에서 개발된 포도 품종이다. 1955년에 처음 재배되기 시작했으며, 주로 레드 와인 양조에 사용된다. 이 포도는 색이 짙고, 바디가 풍부하며, 과일 맛이 강한 특징을 가지고 있다. 당도가 높은 것으로도 알려져 있어, 세미스위트부터 드라이한 와인까지 다양한 스타일의 와인을 생산할 수 있다.",1/5,3/5,3/5,2/5,"블랙베리, 블랙커런트, 자두, 체리","양고기 무사카, 돼지고기 전통식, 게 요리, 카레"
인크로시오 만조니Incrocio Manzoni,인크로시오 만조니 (Incrocio Manzoni) 혹은 만조니(Manzoni)라 부르기도 한다. 이 품종은 이탈리아의 베네토 지역에 위치한 가장 오래된 와인 양조 학교의 교수인 루이지 만조니(Luigi Manzoni)교수에 의해 개발된 새로운 품종이다. 화이트 와 레드 품종들을 다양하게 접목하여 개발된 이 품종은 이탈리아 북동부 지역에서 재배되고 있다.,0/5,3/5,0/5,1/5,"블랙 체리, 자두, 제비꽃, 라일락, 세이지","스틸턴 치즈, 바베큐, 비프 스튜, 멕시코 음식"
보스케라Boschera,"보스케라(Boschera)는 이탈리아 베네토, 특히 트레비조(Treviso) 지역에서 잘 자라는 백포도 품종이다. 보스케라는 포도밭에서 단독으로 발견되는 일이 드물며, 대부분 토르키아토 디 프레고나(Torchiato di Frego)품종과 섞여 자라고 있다. 2000년대 초반부터는 단일 품종으로 양조되는 경향이 뚜렷하다. 보스케라 송이는 매우 조밀하며, 중간 정도 피라미드 형태다. 포도알은 점박이며 노란색이 감도는 녹색을 띤다. 보스케라",1/5,4/5,3/5,1/5,"사과, 시트러스, 복숭아, 망고, 인동덩굴, 장미, 바닐라","렌틸 수프, 타르타르 소스와 샐러드, 치즈와 마카로니와 같은 가벼운 음식"
피넬라Pinella,"피넬라(Pinela)는 이탈리아 북동부 프리울리 고리치아(Gorizia)지방에서 유래한 것으로 보인다. 슬로베니아어로 피넬라로 쓰는 경우, 비파브스카 돌리나에서 유래했을 가능성이 높다. 이 두 가지 품종에 대한 유전자 분석은 아직 진행되지 않았다. 피넬라는 적당한 시기에 완숙되며, 껍질이 얇아 쉽게 썩는다. 태양과 바람에도 취약하다. 피넬라 와인은 드라이하며, 부드럽고, 적당하게 고소하며 파인애플 향이 상당히 진하다.",2/5,3/5,3/5,1/5,,"비골리, 도피느와, 후라이드 치킨"
벨쉬리슬링Welschriesling,"벨쉬리슬링(Welschriesling)은 오스트리아 화이트 품종이다. 리슬링이라는 말이 들어있지만 독일 리슬링과 다르며, 독일에선 재배되지 않는다. 이 품종은 드라이한 와인이 되며, 꽃 향과 시트러스 풍미가 있으나 그리 진하지는 않다.",2/5,4/5,2/5,1/5,"시트러스, 청사과","레몬 파운드 케이크, 라임 샤베트, 디저트 음식"
블라우프랜키쉬Blaufrankisch,"블라우프랜키쉬(Blaufränkisch)는 오스트리아 레드 품종이다. 이 품종은 독일에서는 렘베르거(Lemberger)로 불린다. 유럽 외 미국 워싱턴 주에서 렘베르거 이름으로 재배된다. 최상급 블라우프랜키쉬는 농축된 체리와 레드 커런트 향을 지니며, 산미와 탄닌이 풍부하다. 와인은 오크 통 숙성을 통해 좀 더 부드럽게 양조되기도 한다. 풍부한 타닌과 도드라지게 스파이시 한 아로마를 지니고 있다.",1/5,3/5,3/5,2/5,"스파이스, 후추, 다크 초콜릿, 블랙 체리","구운 치킨, 라타투유, 구운 적후추와 양파를 얹은 치킨 넓적다리"
투르비아노Turbiano,베르디키오 비앙코(Verdicchio Bianco)와 동일한 품종이다. * 베르디키오 비앙코(Verdicchio Bianco) 참고,1/5,4/5,3/5,1/5,"망고, 인동덩굴, 장미","렌틸 수프, 타르타르 소스와 샐러드, 치즈와 마카로니와 같은 가벼운 음식"
모스카텔Moscatel,모스카텔(Moscatel) 은 포르투갈에서 뮈스까(Muscat) 품종을 일컬을때 표현된다. 주로 달콤한 스타일의 강화와인을 주로 만든다. 크게 2가지 유형이 있는데 뮈스까 오브 알렉산드리아(Muscat of Alexandria) 로 알려진 모스카텔 드 세투발(Moscatel de Setúbal) 과 뮈스까 블랑 쁘띠 그랑(Muscat Blanc à Petits Grains) 을 사용한 모스카텔 갈레고 브랑코(Moscatel Galego Branco) 는 도우로 지역에서 발견된다.,2/5,2/5,3/5,1/5,"메이어 레몬, 만다린 오렌지, 배, 오렌지 꽃, 인동덩굴","브루스케타, 과일 샐러드, 하와이안 피자"
롤Rolle,"롤(Rolle)은 프랑스 랑그독-루시용(Laguedoc-Roussillon) 화이트 품종이다. 롤은 마르산느, 루산느, 비오니에, 그르나슈 블랑 등과 잘 어울린다. 롤은 와인에 풀 바디와 산미를 준다.",0/5,3/5,4/5,1/5,"레몬, 노란 사과, 배, 꿀, 카모마일","칠면조 요리, 돼지 갈비, 브리 치즈"
모스까뗄 데 알레한드리아Moscatel del Alejandria,뮈스까 오브 알렉산드리아(Muscat of Alexandria)와 동일한 품종이다. * 뮈스까 오브 알렉산드리아(Muscat of Alexandria) 참고,3/5,4/5,3/5,1/5,"꿀, 마멀레이드, 쟈스민, 토스트 향","비스코티, 샤퀴테리, 톡 쏘는 치즈"
사바냥Savagnin,"사바냥(Savagnin)은 프랑스 화이트 품종이다. 사바냥은 뱅 존(Vin Jaune)와인과 뱅 드 빠이으(Vin de Paille)에 사용되는 유일한 포도 품종이다. 유전자 분석에 따르면, 트라미너(Traminer)와 관련이 있으며, 유전적으로 매우 불안정하다. 사바냥은 만생종으로 알코올 도수가 13~15%가 나온다. 사바냥은 스페인의 셰리(Sherry)를 만드는 솔레라(Solera)방식으로 만든다. 와인 표면에 효모 막인 플로(Flo)가 있어 독특한 견과류, 고구마 향을 지닌 와인이 된다.",3/5,3/5,3/5,1/5,"견과류, 고구마, 노란 사과, 스타푸르트, 파인애플, 버터, 분필","버터나 견과를 이용한 요리, 새우나 게 요리, 가벼운 조개류 음식, 레몬 리조또, 까망베르나 체다 치즈"
아부리우Abouriou,"아부리우(Abouriou)는 프랑스 남서부에서 자라는 레드 품종이다. 이 품종은 탄닌이 많으며, 산미가 적다.",1/5,2/5,3/5,4/5,"배, 모과, 복숭아","콩피, 바베큐 돼지고기 립, 폴렌타"
테레 블랑Terret Blanc,"테레 블랑(Terret Blanc)은 프랑스 남부 화이트 품종이다. 이 품종은 점차 재배 면적이 줄고 있으며, 와인은 신선하고 가볍고 드라이하다.",2/5,3/5,3/5,1/5,"자두, 배, 열대 과일","구운 생선, 담치류 요리, 마살라 카레"
테레 그리Terret Gris,"테레 그리(Terret Gris)는 프랑스 남부 화이트 품종이다. 이 품종은 점차 재배 면적이 줄고 있으며, 와인은 신선하고 가볍고 드라이하다. 크리스피한 산도와 독특한 미네랄 노트를 지닌 풀바디 와인",2/5,3/5,3/5,1/5,"자두, 배, 열대 과일","구운 생선, 담치류 요리, 마살라 카레"
베르딜Verdil,"베르딜(Verdil)은 스페인 발렌시아 지방에서 거의 멸종 위기에 처했다가 다니엘 벨다(Daniel Belda)라는 와인 생산자에 의해 부활 중인 백포도 품종이다. 와인은 사과와 파인애플 풍미를 지니며, 가벼운 드라이한 화이트 와인 혹은 달콤한 와인으로 양조 된다.",2/5,3/5,1/5,1/5,"사과, 파인애플","아귀 요리, 레몬 케이크, 고등어 튀김 요리"
꼬Cot,꼬(Cot)는 말벡(Malbec)과 같은 품종이다. * 말벡(Malbec) 참고,3/5,3/5,4/5,3/5,"레드 자두, 블루베리, 바닐라, 달콤한 담배, 코코아","비프 엠파나다, 블루 치즈 버거, 볼레네제 파스타, 파히타"
프로세코Prosecco,프로세코(Prosecco)는 이탈리아의 발포성 와인을 의미한다.,2/5,4/5,1/5,1/5,"풋사과, 허니듀 멜론, 배, 인동덩굴, 크림","리치, 구운 연어, 세이지 링귀네"
플라바치 말리Plavac Mali,"플라바치 말리(Plavac Mali)는 크로아티아 남서부 달마티아 해안에서 상업적으로 가장 중요한 적포도 품종이다. 1941년 트뤼메르(Trümmer)가 플라바치 말리를 언급했으나 실제 재배는 훨씬 일찍 시작된 것으로 추정된다. 플라바치 말리의 플라보(Plavo)는 '푸른색', 말리(mali)는 '작은'을 의미한다. 플라바치 말리는 트리비드라그(Tribidrag)와 베르데카(Verdeca) 사이 접합종인 플라비나(Plavina) 그리고 크릴제낙 크르니(Cr",3/5,1/5,3/5,3/5,"체리, 자두, 블랙베리","소시지, 스테이크, 비프 립, 구운 양고기, 블루 치즈"
포십Posip,"포십 비젤리(Pošip Bijeli)는 크로아티아 코르쿨라(Korčula) 섬 토착 백포도 품종이다. 포십 비젤리는 유전자 분석에 따라 즐라타리카 블라트스카 비젤리(Zlatarica Blatska Bijeli), 브라트코비나 비젤라(Bratkovina Bijela) 접합으로 탄생한 품종이다. 포십 비젤리는 자주 푸르민트(Furmint)와 혼동되지만 전혀 관계가 없다. 포십 비젤리는 싹이 일찍 나오고 수확도 빠른 품종이다. 바람, 햇빛에 굉장히 취약하며, 가뭄이",1/5,2/5,2/5,1/5,"사과, 바나나, 장미, 자두, 딜","구운 정어리, 문어 및 해산물, 그린 허브 샐러드"
보그다누샤Bogdanusa,"보그다누샤(Bogdanusa)는 '신이 선물한'이란 의미를 지닌 스타리 그라드 평원(Stari Grad Plain)에서 온 백포도 품종이다. 보그다누샤는 만생종으로 귀부균과 썩음에 몹시 취약하다. 보그다누샤는 크로아티아 흐바르(Hvar)섬에서 주로 재배되는데, 와인은 신선한 산미, 적절한 알코올, 끝에 살짝 쓴맛을 느낄 수 있다. *동의어: Bogdanjuša, Bogdanuša Bijela, Bojdanuša (Hvar and Makarska), Hvarka, Vrbanjka",1/5,4/5,1/5,1/5,,"터키 샌드위치, 해산물 스튜, 오징어 요리"
말바지아 비앙카 루가Malvasia Bianca Luga,"말바지아 비앙카 루가(Malvasia Bianca Luga)는 유전자 분석에 따라 크로아티아 마라슈티나(Mareština) 그리고 그리스 파블로스(Pavlos)와 동일한 품종임이 밝혀졌다. 또한 이 품종은 말바지아 이스타르스카(Mavasia Istarska)와 말바지아 디 리파리(Malvasia di Lipari)와 유연관계가 가깝다. 말바지아 비앙카 루가는 다소 늦게 완숙되는 품종으로 노균병과 백분병, 귀부균에 모두 취약하다. 말바지아 비앙카 루가는 토스카나",2/5,3/5,3/5,1/5,"복숭아, 살구, 화이트, 커런트, 훈연향, 견과류","교자 만두, 무쉬러우, 팟타이"
바빅Babic,"바빅(Babic)은 크로아티아 레드 품종이다. 잉크같이 짙은 색깔, 풀바디, 풍부한 타닌, 그리고 자두, 어두운 베리류, 무화과, 담배 와 향신료 아로마 를 지닌다.",0/5,3/5,4/5,4/5,"자두, 어두운 베리류, 무화과, 담배, 향신료","사슴고기 굴라쉬, 버섯과 스테이크, 소&돼지고기 안심살"
모스카토 비앙코Moscato Bianco,모스카토 비앙코(Moscato Bianco)는 모스카토(Moscato)라고도 부르는데 이탈리아에서 통용되는 화이트 품종명으로 뮈스까 (Muscat)의 동의어.,,,,,"살구, 꿀, 인동덩굴, 레몬, 리치, 복 숭아, 배, 모과, 익은 멜론, 바닐라빈","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
라크리마Lacrima,"라크리마(Lacrima)는 이탈리아 마르케(Marche)지역 레드 품종이다. 이 품종은 매우 희귀한 마르케 지역 토착 품종으로 라크리마 디 모로 달바(Lacrima di Morro d'Aba)와인으로 DOC등급을 받았다. 라크리마는 이탈리아어로 '눈물(Tear)'를 의미하며, 눈물 방울처럼 생긴 포도알 혹은 얇은 껍질 사이로 포도즙이 눈물처럼 베어 나오는 모습을 보고 명명했다고 알려져 있다. 라크리마 와인은 꽃 향이 풍부해 그 향이 아주 화사하며, 탄닌이 적고 출시 직후 즐기는 부담이 적은 레드 와인으로 주로 양조된다. 진한 꽃향의 향신료의 아로마 와 상쾌하면서 풍부한 베리류가 두드러진 풍미를 지니고 있다.",0/5,4/5,0/5,0/5,"장미, 바이올렛, 다크 체리, 계피","중간 숙성된 치즈, 파스타, 구운 양고기"
옐로우 머스캣Yellow Muscat,* 모스카토 지알로(Moscato Giallo) 참고,2/5,3/5,2/5,1/5,"리치, 복숭아, 배, 모과","인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림, 브루스케타, 과일 샐러드, 하와이안 피자"
가르나차 틴토레라Garnacha Tintorera,가르나차 틴토레라(Garnacha Tintorera)는 알리칸테 부쉐(Alicante Bouschet) 동의어이다.,,,,,"블랙 체리, 블랙 자두, 담배잎, 블랙 후추","데리야끼, 바베큐, 구운 채소"
페르나오 피레스Fernao Pires,"페르나오 피레스(Fernao Pires)는 포르투갈 화이트 품종이다. 레몬, 라임, 오렌지 아로마 와 약간의 향신료, 꿀, 미네랄의 풍미를 지님",1/5,4/5,3/5,1/5,"오렌지, 향신료, 꿀, 미네랄","해산물 파스타, 베이컨, 돼지고기 안심살, 폴트리, 닭이나 칠면조, 송아지 고기"
카마라테Camarate,"카마라테(Camarate)는 포르투갈 레드 품종이다. 온화한 타닌, 낮은 산미, 그리고 풀바디를 지닌다.",0/5,2/5,5/5,3/5,라즈 베리,"돼지고기 샐러드, 삼겹살"
엔크루자도Encruzado,"엔크루자도(Encruzado)는 포르투갈 다웅(Dão)지역 화이트 품종이다. 와인생산자들을 이 품종을 오크통에서 발효하고, 효모와 접촉시키며 효모와 저어주기 작업을 하고, 오크 통에서 숙성 시켜 완성도가 높은 와인을 만든다. 와인은 매우 우아하며, 잎사귀 향과 탁월한 균형을 자랑한다. 풍부한 풀바디, 그리고 레몬, 나무재질의 허브향, 스톤과일류, 멜론, 꽃향의 아로마 그리고 왁스느낌의 질감의 풍미를 지니고 있다.",0/5,0/5,5/5,1/5,"레몬, 허브, 스톤 프루트, 멜론, 꽃","돼지고기 스튜, 리조또, 생선 요리"
비오시뉴Viosinho,비오시뉴(Viosinho)는 포르투갈 화이트 품종이다. 이 품종은 도우로 지역에서 주로 자란다. 와인은 레드 품종과의 블렌딩에서 구조감과 풍미를 더해준다. 높은 산도. 구조감과 플레이버를 더해주는 역할. 스틸 와인과 주정 강화 와인을 모두 만드는데 사용됨.,4/5,3/5,3/5,1/5,"스톤푸르트, 살구, 복숭아","빠에야, 렌틸콩 수프, 올리브 오일, 타파스"
로우레이라Loureira,"로우레이라(Loureira)는 이베리아반도 북쪽 리마 강(Lima River)에서 유래한 백포도 품종이다. 로우레이라는 월계수를 의미한다. 생장이 왕성하며, 송이는 길이가 길며 황록색 포도알이 다소 빽빽하게 자란다.",2/5,4/5,3/5,1/5,"오렌지, 아카시아, 라임","흰 살 생선, 담치류, 훈제 연어, 오리 고기"
그로 만생Gros Manseng,"그로 만생(Gros Manseng)은 프랑스 남서부 화이트 품종이다. 이 품종의 재배는 감소하였다가 와인생산자들이 그로 만생의 최상의 모습을 끌어내는 법을 깨치게 되면서 다시 그 생산량이 늘고 있다. 이 품종은 쥐랑송(Juranson)과 가스코니(Gascony)지역에서도 재배된다. 와인은 산미가 매우 높으며, 꽃, 스파이스, 살구와 모과 풍미를 낸다. 그로 만생은 화이트 품종이라고 하기엔 껍질이 색을 띠고 있어 와인 양조시 껍질에서 지나친 색, 탄닌이 나오지 않도록 유의해야 한다. 그로 만생은 달콤한 와인으로 만들어지는 데 오크 숙성을 살짝 해도 자신의 특성을 잃지 않고 잘 드러낸다는 긍정적인 평가를 받고 있다. 진하게 아로마가 있는편이며 상쾌한 레몬느낌의 풍미를 지닌다.",2/5,3/5,3/5,1/5,"꾳, 스파이스, 살구, 모과","해산물 리조또, 크림 소스를 이용한 요리, 염소 치즈, 가리비, 구운 연어나 송어"
에지오돌라Egiodola,"에지오돌라(Egiodola)는 프랑스 레드 품종이다. 짙고 어두운 색깔, 라이트 바디, 적절한 타닌, 그리고 붉은 베리류의 아로마를 지닌다.",0/5,2/5,1/5,3/5,"붉은 베리, 자두, 블랙 베리","버섯 라구, 바베큐"
보르도 블렌드 레드Bordeaux Blend Red,"보르도의 와인들은 여러 품종들이 블렌딩 되는 경우가 많다. 대표적인 보르도 블렌드는 대표적으로 5가지의 보르도 품종들이 혼합되는 경우인데 카베르네 소비뇽(Cabernet Sauvignon), 메를로(Merlot), 까베르네 프랑(Cabernet Franc), 말벡(Malbec) 그리고 쁘띠 베르도(Petit Verdot) 등이다. 지역과 생산자에 따라 그 혼합 비율이 달라지며 그에 따른 와인 스타일도 달라진다.",5/5,3/5,5/5,4/5,"자두, 블랙 커런트, 제비꽃, 흑연, 삼나무","비프 스튜, 구운 양고기, 미트볼 스파게티"
투리가 프란체사Touriga Francesa,투리가 프란카(Touriga Franca) 참조.,1/5,2/5,4/5,4/5,"장미, 야생 꽃, 블랙 베리","검은 콩, 소시지, 렌틸 캐서롤, 브리스킷, 비프 스튜"
틴토 프란시스카Tinto Francisca,틴타 프란시스카(Tinta Francisca)와 동일한 품종이다. * 틴타 프란시스카(Tinta Francisca) 참고,4/5,3/5,3/5,1/5,"레드 베리, 자두, 후추향, 다크 초콜렛","바베큐, 칠면조 요리, 콤비네이션 피자, 만체고 치즈"
파르디나Pardina,파르디나(Pardina)는 카예타나(Cayetana)의 동의어로 스페인 화이트 품종이다. 밀짚 색깔과 익은 사과 와 바나나 풍미를 지니고 있다.,1/5,3/5,2/5,1/5,"바나나, 익은 사과, 아니스 열매","타르트, 가리비, 송어, 그라나 파다노와 뮌스터 치즈"
베바Beba,"베바(Beba)는 스페인 남부 안달루시아(Andalusia)에서 주로 재배되는 백포도 품종이다. 베바는 포도알이 햇빛에 황금빛(Dorada)으로 보여서 흔히 베바 도라다 데 헤레즈(Beba Dorada de Jerez)로 불린다. 2013년 진행된 유전자 분석 결과, 베바는 에벤(Hebén)과 알려지지 않은 품종 간 교배로 탄생했다. 베바는 송이가 성글게 나며 포도알은 중간에서 약간 큰 편이다. 베바는 만생종으로 생장이 왕성하다, 만약, 기후가 나쁘면",0/5,4/5,0/5,1/5,,
두렐라Durella,"두렐라(Durella)는 이탈리아 베네토 지방에서 생산되는 화이트 품종이다. 적당한 라이트 바디, 꽃향과 감귤류, 미네랄의 아로마 그리고 섬세한 풍미를 지닌다.",0/5,5/5,1/5,1/5,"꽃, 감귤, 미네랄","생선 필레, 생선 테린, 쿠키 스콘"
마몰로Mammolo,"마몰로(Mammolo)는 이탈리아 레드 품종이다. 마몰로라는 이름은 이탈리아어로 '바이올렛(Violet)'을 의미한다. 토스카나 지역에서 주로 재배되는 마몰로는 이름처럼 바이올렛 향, 즉 제비꽃 향이 좋은 와인을 만든다.",1/5,3/5,3/5,3/5,"바이올렛, 제비꽃, 허브, 후추","폴렌타, 토마토와 참치, 양고기 미트볼, 견과류, 올리브와 바질"
피노타주Pinotage,피노타주(Pinotage)는 남아공을 대표하는 레드 품종이다. 이 품종은 1925년 남아공 스텔렌보쉬(Stellenbosch)대학의 페롤드(Perold)교수가 피노 누아(Pinot Noir)와 쌩쏘(Cinsault)를 접합해 탄생시켰다. 쌩쏘가 프랑스 에르미타주에서 전해졌기에 피노 누아의 피노와 에르미타주를 혼합해 피노타주가 되었다.,1/5,4/5,3/5,4/5,"블랙 체리, 블랙베리, 무화과, 멘톨, 구운 고기","사슴고기, 양고기 케밥, 햄버거, 매운 인도 카레 요리, 샤르퀴트리, 양송이버섯"
틴타 데 또로Tinta de Toro,틴타 데 토로 (Tinta de Toro)는 스페인의 토로 지방에서 생산되는 레드 품종으로 스페인의 대표 품종인 템프라니요(Tempranillo)와 동일 품종이다. * 템프라니요(Temprnillo) 참고,5/5,4/5,4/5,5/5,"체리, 말린 무화과, 삼나무, 담배, 딜","토마토 소스 베이스의 라자냐, 피자, 바베큐 그릴에 구운 고기, 폴렌타(옥수수 스프의 일종), 타코와 나초 등 멕시코 음식"
알비노 마조르Albino Mayor (Albillo Mayor),"알비노 마조르(Albino Mayor)는 스페인의 화이트 품종이다. 스페인 북서부에서, 특히 Galicia에서 재배되는 품종이다. 라틴어에서 온 이름이다. DNA 분석 결과 여러 종이 확인되며, 세 가지 주요 품종은 오래된 Albillo Mayor와 Albillo Real과 Albillo de Albacete이다.",1/5,3/5,2/5,1/5,"회향, 배, 시트러스","피킬로 고추, 도미 요리, 호박꽃 요리, 타르트, 가리비, 송어, 그라나 파다노와 뮌스터 치즈"
뮈스까 오브 알렉산드리아Muscat of Alexandria,"뮈스까 오브 알렉산드리아(Muscat of Alexandria)는 뮈스까 블랑 쁘띠 그랑(Muscat Blanc a Petits Grains)과 함께 고대 화이트 품종으로 알려져 있다. 최초로 북미 혹은 이집트에서 이 품종이 자란 것으로 추정하고 있다. 이 포도나무는 더운 기후에서 잘 자라고 포도가 익을 때도 더운 날씨가 필요하다. 이러한 제한된 조건 속에서도 뮈스까 오브 알렉산드리아는 프랑스 전역과 스페인, 포르투갈, 이탈리아, 그리스, 사",3/5,4/5,3/5,1/5,"장미, 마멀레이드, 살구","비스코티, 샤퀴테리, 톡 쏘는 치즈"
사바티아노Savatiano,"사바티아노(Savatiano)는 그리스 화이트 품종이다. 사바티아노는 그리스에서 가장 많이 생산되는 품종이다. 사바티아노는 풍미가 중성적이며, 산미가 작아 값싼 와인 혹은 송진을 넣어 만드는 레치나(Retsina)와인을 만드는데 사용된다. 레치나를 만들 때는 보다 산미가 높은 아시르티코(Assyrtiko)혹은 로디티스(Roditis)품종을 혼합해 균형을 맞춘다. 사바티아노 품종은 조기 수확할 경우 더 좋은 구조를 지닌 와인이 된다.",0/5,3/5,0/5,1/5,"배, 그린 애플, 복숭아, 자스민, 인동","그리스 비프 케밥, 스테이크, 수블라키"
바이스부르군더Weissburgunder,바이스부르군더(Weissburgunder)는 독일과 오스트리아에서 피노 블랑(Pinot Blanc)을 뜻한다.,1/5,5/5,4/5,1/5,"감귤류, 꽃향기, 아몬드, 훈연향, 미네랄","감자 요리, 태국 음식, 바베큐, 칠면조 요리, 구운 닭고기, 타이 국수"
츠바이겔트Zweigelt,"츠바이겔트(Zweigelt)는 오스트리아 레드 품종이다. 츠바이겔트는 오스트리아에서 가장 많이 재배되는 레드 품종으로 생상량이 많고 기르기 쉽다. 와인은 풍부한 체리 향을 지니며, 매력적인 후추향을 풍긴다. 이 품종은 1922년 츠바이겔트(Zweigelt)가 상크트 라우렌트(Sankt Laurent)품종과 블라우프랜키쉬(Blaufränkisch) 접합해 만들었다. 서늘한 기후에서 잘 자란다.",1/5,2/5,3/5,3/5,"호두, 블랙베리, 바닐라, 신양벚나무","스테이크, 비프 립, 구운 양고기, 블루 치즈"
베르디키오 비앙코Verdicchio Bianco,"베르디키오 비앙코(Verdicchio Bianco)는 이탈리아 중부의 마르케 지역에서 주로 재배되는 청포도 품종이다. 이 포도는 전통적으로 이 지역의 Verdicchio dei Castelli di Jesi 및 Verdicchio di Matelica DOC 와인을 생산하는 데 사용된다. 그 이름에서 알 수 있듯이, 녹색빛이 도는 특징적인 색상을 가지고 있으며, 이는 와인에도 반영된다. 신선하고 과일 향이 나면서도 약간의 허브향이 나는 것이 특징이다.",1/5,4/5,3/5,1/5,"망고, 인동덩굴, 장미","렌틸 수프, 타르타르 소스와 샐러드, 치즈와 마카로니와 같은 가벼운 음식"
생로랑St. Laurent,생로랑(St. Laurent)는 오스트리아 레드 품종이다. 독일어로는 상크트 라우렌트(Sankt Laurent)라 부른다. 니더외스터라이히(Niederosterreich)와 부르겐란트(Burgenland)에서 주로 재배된다.,1/5,4/5,4/5,4/5,"검은 체리, 블랙 베리, 훈연향","볼로네제 파스타, 구운 오리, 버섯 리조또, 그릴에 구운 연어"
세이발 블랑Seyval Blanc,"세이발 블랑(Seyval Blanc)은 프랑스 화이트 품종이다. 세이발 블랑은 2종류의 세이벨(Seibel)품종 간 접합종이다. 이 품종은 온전히 양조용 포도가 아니어서 유럽 연합에서는 금지되어 있다. 영국에서 세이발 블랑이 잘 자라며, 와인은 구조와 산미가 좋아 샤블리(Chablis)와인과 비슷하다. 세이발 블랑 와인이 병 숙성을 거치면, 복합적인 풍미 특히 꿀과 밀납 향을 낸다. 감귤류 아로마와 미네랄 특징이 있다.",2/5,4/5,3/5,1/5,"꿀, 밀랍, 감귤류, 미네랄","구운 리크와 연어, 아보카도 샐러드, 새우 요리, 조개류 요리"
아콜론Acolon,아콜론(Acolon)은 독일 레드 품종이다. 색이 짙으며 미디움 바디를 지닌 와인이 만들어 진다. 진한 색과 마일드한 타닌을 지닌다.,0/5,1/5,3/5,3/5,"자두, 체리, 베리류, 스파이스","오리 고기, 순대, 보쌈"
론도Rondo,"론도(Rondo)는 헬무트 베커(Helmut Becker)가 1964년 가이젠하임에서 자르야 세베라(Zarya Severa)와 상크트 라우렌트(Sankt Laurent) 접합해서 만든 적포도 품종이다. 론도는 성장이 왕성하며, 매우 빨리 익는 조생종으로 노균병에는 강하지만, 백분병에는 취약하다. 론도는 1999년 독일에서 정식 인증을 받았으며, 영국에서 재배가 활발하다. 그 외 겨울이 매우 추운 벨기에, 폴란드, 네덜란드, 덴마크, 스웨덴 등지에서 재배",1/5,2/5,3/5,3/5,"검은 체리, 블랙베리","양 커틀렛, 미트로프, 비프 캐서롤"
비토브스카Vitovska,비토브스카(Vitovska)는 이탈리아와 슬로베니아에서 생산되는 화이트 품종이다. 달지 않은 화이트 와인으로 생산된다.,2/5,4/5,0/5,1/5,"건초, 세이지, 배, 마르멜루, 레몬","치즈 타르트, 게 요리, 문어 숙회"
그롤로 그리Grolleau Gris,"그롤로 그리(Grolleau Gris)는 프랑스 루아르 계곡 지역, 특히 앙주, 투렌, 소뮈르 지역에서 주로 재배되는 연한 핑크빛 회색 또는 분홍색의 포도 품종이다. 이것은 레드 품종인 그롤로 누아(Grolleau Noir)의 돌연변이로, 그롤로 로제(Grolleau Rose) 또는 그롤로 그리 로제(Grolleau Gris Rose)라고 불리기도 한다. 불린다.",1/5,4/5,2/5,2/5,"딸기, 레몬, 장미","연어, 구운 치킨, 샐러드, 조개류 구이"
뮈스카데Muscadet,뮈스카데(Muscadet)는 프랑스 루아르 지역에서 생산되는 포도품종이자 지명이기도 하다. 실제로 이 지역에서는 뮈스카데를 멜롱 드 부르고뉴(Melon de Bourgogne)라 부른다.,1/5,5/5,1/5,1/5,"라임, 레몬, 풋사과, 배, 조개 껍질","조개류 음식, 생선, 감자칩, 굴 요리"
