와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"그랜트 버지, 피프스(5th) 제네레이션 바로사 카버네 메를로","Grant Burge, 5th Generation Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168950&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 시라/쉬라즈 (Syrah/Shiraz),Australian Bordeaux Blend,,14~15 %,16~18 ℃,"BBQ, 치즈 등과 잘 어울린다.",,롯데칠성음료,1/5,3/5,4/5,4/5,"배, 민트",치즈,프렌치 & 아메리칸 오크통에서 숙성,
"그랜트 버지, 리그오브쓰리 카버네 소비뇽","Grant Burge, League of 3 Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168951&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,14~15 %,16~18 ℃,"BBQ, 치즈 등과 잘 어울린다.",*2020 Adelaide Royal Bronze Medal,롯데칠성음료,1/5,3/5,4/5,3/5,"민트, 크림",치즈,,
"그랜트 버지, 리그오브쓰리 쉬라즈","Grant Burge, League of 3 Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=168952&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,13~14 %,16~18 ℃,신선한 굴 요리와 잘 어울린다.,,롯데칠성음료,1/5,3/5,2/5,2/5,블루베리,,,
"그랜트 버지, 리그오브쓰리 피아노","Grant Burge, League Of 3 Fiano",https://www.wine21.com/13_search/wine_view.html?Idx=168953&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia) / 리버랜드(Riverland),피아노 (Fiano) / 리슬링 (Riesling),Australian Shiraz,,13~14 %,10~12 ℃,신선한 굴 요리와 잘 어울린다.,*Riverand Wine Show Gold Medal (95점)*Adelaide Loyal Wine Show Silver Medal (95점),롯데칠성음료,1/5,4/5,2/5,1/5,"허브, 헤이즐넛",,,
"그랜트 버지, 베리필드 바로사 쉬라즈","Grant Burge, Berryfield Barossa Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=168954&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,14~15 %,16~18 ℃,"비프 스트르가노프, 양 어깨 고기, 바베큐 등과 잘 어울린다.",,롯데칠성음료,1/5,3/5,4/5,4/5,"라벤더, 후추, 초콜릿",비프,22개월 동안 100% 1-6년의 French & American Oak 숙성,100% MLF
"그랜트 버지, 리틀 킹 바로사 GSM","Grant Burge, Little Kings Barossa GSM",https://www.wine21.com/13_search/wine_view.html?Idx=168955&lq=LIST,그랜트 버지  Grant Burge,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 마타로 (Mataro),,,14~15 %,16~18 ℃,하드 치즈와 잘 어울린다.,*Barossa Wine Show 92점,롯데칠성음료,1/5,3/5,4/5,3/5,"오렌지, 슬레이트, 꿀",치즈,12개월 동안 Old Puncheons 숙성,
"로건, 애플 트리 플랫 로제","Logan, Apple Tree Flat Rose",https://www.wine21.com/13_search/wine_view.html?Idx=168957&lq=LIST,로건 와인즈  Logan Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 오렌지(Orange),메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 템프라니요 (Tempranillo),,,12~13 %,10~12 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,2/5,1/5,체리,"파스타, 치즈",,"2시간동안침용, 16일간 스테인레스 스틸에서 야생 효모 발효"
"로건, 샤르도네","Logan, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168958&lq=LIST,로건 와인즈  Logan Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 오렌지(Orange),샤르도네 (Chardonnay),Australian Chardonnay,,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,2/5,1/5,"자몽, 꽃, 오크","바비큐, 수육, 탕수육, 치즈","76%는French & Russian oak 에서8개월간 야생효모와 lees(앙금접촉)숙성, 24%는 스테인레스 스틸 숙성",
"로건, 위말라 템프라니요","Logan, Weemala Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=168959&lq=LIST,로건 와인즈  Logan Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 멋지(Mudgee),템프라니요 (Tempranillo),,,13~14 %,16~18 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 한국음식 과 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,3/5,"자두, 흙","하몽, 자두, 견과류, 치즈",French oak에서 18개월간 젖산 발효 및 숙성,콘크리트에서 7일간 야생 효모 발효
"로건, 위말라 피노 누아","Logan, Weemala Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168960&lq=LIST,로건 와인즈  Logan Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 멋지(Mudgee),피노 누아 (Pinot Noir),Australian Pinot Noir,,,,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*기존 피노누아는 야라밸리에서 생산하나 2020년 화재로 인해 애들레이드, 모닝턴 페닌슐라에서 자란 포도로 로건 스타일로 만든 와인",에노테카코리아,1/5,4/5,3/5,3/5,"체리, 자두, 꽃, 시나몬, 버섯","파스타, 버섯, 자두, 치즈",French oak 에서 숙성,야생 효모 발효
"샴페인 드라피에, 블랑 드 콰투아","Champagne Drappier, Quattuor",https://www.wine21.com/13_search/wine_view.html?Idx=168961&lq=LIST,샴페인 드라피에  Champagne Drappier,프랑스(France) / 샹빠뉴(Champagne),아르반 (Arbanne) 25% / 쁘띠 메슬리에 (Petit Meslier ) 25% / 피노 블랑 (Pinot Blanc) 25% / 샤르도네 (Chardonnay) 25%,French Champagne,Champagne AOC(AOP),12~13 %,6~8 ℃,"알리오 올리오 파스타, 송아지 카르파쵸, 연어 스테이크, 치즈 등과 잘 어울린다.",,씨에스알와인,1/5,5/5,3/5,1/5,"잼, 꽃, 미네랄, 꿀","연어, 파스타, 치즈",,
"조셉 데뤼에, 뀌베 시그니처","Joseph Desruets, Cuvee Signature",https://www.wine21.com/13_search/wine_view.html?Idx=168962&lq=LIST,샴페인 조셉 데뤼에  Champagne Joseph Desruets,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),French Champagne,Champagne AOC(AOP),12~13 %,6~8 ℃,"튀긴 야채나 새우, 오일 파스타, 치즈 등과 잘 어울린다.","*Gold medal, International Fair Moscou 2018*Gold medal, Asia Wine Trophy 2017*Gold medal, China Wine Spirits Awards 2016*Prizewinner, International Wine Challenge 2016",,1/5,4/5,3/5,1/5,"사과, 꽃, 브리오슈, 버터, 꿀","새우, 파스타, 야채, 치즈",,
"피케라스, 와일드 퍼멘티드 베르데호","Piqueras, Wild Femented Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=168963&lq=LIST,보데가스 피케라스  Bodegas Piqueras,스페인(Spain) / 알만사(Almansa),베르데호 (Verdejo) 100%,,,13~14 %,10~12 ℃,"전체 요리와 풍미가 가득한 생선, 해산물 흰살 생선 요리, 리코타 치즈 샐러드 등과 잘 어울린다.",*Challenge Millésime Bio - Gold*Gilbert & Gaillard - Gold*Internationa Wine Challenge - Commended*Decanter - Commended*Decanter - Bronze*Internationa Wine Challenge - Commended*Singapore Awards - Silver,비케이 트레이딩,1/5,2/5,3/5,1/5,"미네랄, 삼나무","해산물, 샐러드",,"고랭지에서 9월에 중순에 재배한 베르데호를 손 수확한 후, 약하게 내부를 토스트한 300L 프렌치 오크배럴에서 야생의 효모들을 이용해 2달간 발효"
제프 까렐 쁠랑라뷔,Plein La Vue by Jeff Carrel,https://www.wine21.com/13_search/wine_view.html?Idx=168964&lq=LIST,제프 까렐  Jeff Carrel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),소비뇽 블랑 (Sauvignon Blanc) 100%,,,,,"와인 자체로만 즐겨도 좋고, 샐러드 또는 해산물과 잘 어울린다.","*유기농 와인. (바이오 다이나믹 와인 인증단계로 전환중)*저온에서 리(Lees)와 함께 양조 및 숙성*양조 와 숙성기간동안 SO2 무첨가*병입시 SO2 극소량 첨가*연평균 생산량: 20,000병*Plein La Vue: '멋지다, 근사하다'라는 뜻",하이트진로,1/5,4/5,3/5,1/5,시트러스,"해산물, 샐러드",,
"아멜리아 파크, 리저브 샤도네이","Amelia Park, Reserve Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168965&lq=LIST,아멜리아 파크  Amelia Park,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay) 100%,,,13~14 %,11~13 ℃,"버터를 듬뿍넣고 만든 생선구이, 치즈, 오일 파스타, 등심 스테이크와도 잘 어울린다.",,,1/5,4/5,4/5,1/5,"꽃, 미네랄, 버터","생선구이, 파스타, 치즈",,
"아멜리아 파크, 까베네 멜롯","Amelia Park, Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168966&lq=LIST,아멜리아 파크  Amelia Park,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"블랙베리, 배, 코코아, 흙","양갈비, 치즈",,
"아멜리아 파크, 샤도네이","Amelia Park, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168967&lq=LIST,아멜리아 파크  Amelia Park,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"라임, 멜론, 꿀","바비큐, 수육, 탕수육, 치즈",,
"아멜리아 파크, 리저브 까베네 쇼비뇽","Amelia Park, Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168968&lq=LIST,아멜리아 파크  Amelia Park,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),카베르네 소비뇽 (Cabernet Sauvignon) 95% / 말벡 (Malbec) 2.5% / 쁘띠 베르도 (Petit Verdot) 2.5%,,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,3/5,5/5,4/5,"체리, 허브, 오크, 흑연","양갈비, 치즈",,
"아멜리아 파크, 리저브 쉬라즈","Amelia Park, Reserve Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=168969&lq=LIST,아멜리아 파크  Amelia Park,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),시라/쉬라즈 (Syrah/Shiraz),,,14~15 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"체리, 오크",양갈비,,
"스몰타운 빈야드, 클로벨라","Smalltown Vineyards, Clovella",https://www.wine21.com/13_search/wine_view.html?Idx=168970&lq=LIST,스몰타운 빈야드  Smalltown Vineyards,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),마타로 (Mataro) 70% / 그르나슈 (Grenache) 30%,,,,16~18 ℃,"그릴에 구운 양고기, 유린기, 양념치킨, 피자 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,자두,"양고기, 피자, 자두",22개월간 Neutral  French Oak에서 숙성,
"엠 샤푸티에, 데샹트 생 조셉 '아티스트 레이블'","M. Chapoutier, Deschants Saint Joseph",https://www.wine21.com/13_search/wine_view.html?Idx=168971&lq=LIST,엠 샤푸티에  M. Chapoutier,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz) 100%,Northern Rhône Saint-Joseph,Saint-Joseph AOC(AOP),13~14 %,16~18 ℃,"붉은 육류, 치즈, 피자, 파스타 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,4/5,4/5,"배, 꽃, 감초",치즈,,
"스톤캡, 리슬링","Stonecap, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=168972&lq=LIST,스톤캡  Stonecap,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),리슬링 (Riesling) 100%,Washington State Riesling,Columbia Valley AVA,12~13 %,8~10 ℃,"해산물, 샐러드, 오일 파스타, 삼겹살, 치즈 등과 잘 어울린다.",*Wine Spectator – Top Value Wines*Wine Enthusiast – Best Buy,,1/5,2/5,3/5,1/5,미네랄,"삼겹살, 해산물, 파스타, 샐러드, 치즈",아메리칸 오크 숙성,
"칼라브리아, 가이딩 스타 샤르도네","Calabria, Guiding Star Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168973&lq=LIST,칼라브리아 패밀리 와인즈  Calabria Family Wines,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay),Australian Chardonnay,,12~13 %,10~12 ℃,"해산물과 크리미한 파스타, 신선한 치즈를 곁들인 무화과가 잘 어울린다.",,에노테카코리아,1/5,3/5,2/5,1/5,"레몬, 미네랄","해산물, 파스타, 치즈",,
"칼라브리아, 가이딩 스타 쉬라즈","Calabria, Guiding Star Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=168974&lq=LIST,칼라브리아 패밀리 와인즈  Calabria Family Wines,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,14~15 %,16~18 ℃,"로즈마리 향을 입힌 양고기와 발사믹 소스, 매콤한 아라비아따 파스타, 그릴에 구운 버섯과 마늘을 곁들인 소고기 스테이크 등이 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,3/5,"자두, 잼","양고기, 파스타, 버섯",,
"칼라브리아, 가이딩 스타 카베르네 소비뇽","Calabria,Guiding Star Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168975&lq=LIST,칼라브리아 패밀리 와인즈  Calabria Family Wines,호주(Australia) / 사우스 오스트레일리아(South Australia),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,14~15 %,16~18 ℃,그릴에 구운 파프리카를 곁들인 소고기 스테이크가 잘 어울린다.,,에노테카코리아,1/5,3/5,4/5,3/5,"자두, 바닐라, 오크",,,
"칼라브리아, 가이딩 스타 모스카토","Calabria, Guiding Star Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=168976&lq=LIST,칼라브리아 패밀리 와인즈  Calabria Family Wines,호주(Australia) / 사우스 오스트레일리아(South Australia),모스카토  (Moscato ) 100%,,,6~7 %,8~10 ℃,부드러운 치즈나 과일 플래터와 잘 어울린다.,,에노테카코리아,3/5,2/5,3/5,1/5,"복숭아, 레몬, 패션프루트, 장미","복숭아, 과일, 치즈",,
"칼라브리아, 나인 스톤즈 아들레이드 힐즈 샤르도네","Calabria, Nine Stones Adelaide Hills Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168977&lq=LIST,칼라브리아 패밀리 와인즈  Calabria Family Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 애들레이드 힐즈(Adelaide Hills),샤르도네 (Chardonnay),Australian Chardonnay,,13~14 %,10~12 ℃,"허브를 곁들인 닭 요리와 스팀 채소, 연한 치즈와 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,1/5,"복숭아, 시트러스, 오크","채소, 치즈",,스테인레스 발효 후 프렌치 오크로 추가 발효
"티나찌, 말네라","Tinazzi, Malnera",https://www.wine21.com/13_search/wine_view.html?Idx=168978&lq=LIST,티나찌  Tinazzi,이탈리아(Italy) / 뿔리아(Puglia),메를로 (Merlot) / 말바시아 네라 (Malvasia nera),,,14~15 %,16~18 ℃,"애피타이저, 소고기, 돼지고기, 그릴요리, 숙성치즈 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,3/5,"딸기, 자두, 후추",치즈,,
"로건, 릿지 오브 티어스 쉬라즈 '머지'","Logan, Ridge of Tears Shiraz 'Mudgee'",https://www.wine21.com/13_search/wine_view.html?Idx=168979&lq=LIST,로건 와인즈  Logan Wines,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 멋지(Mudgee),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,13~14 %,16~18 ℃,"스테이크, 갈비, 스튜, 양고기, 그릴요리, 치즈, 탕수육, 한국음식 과 잘 어울린다.",,에노테카코리아,1/5,5/5,5/5,5/5,"체리, 자두, 타임, 타바코, 가죽","양고기, 탕수육, 자두, 치즈","15개월 French oak(225L,300L,500L) 숙성 후 블렌딩",
"티나찌, 메갈레","Tinazzi, Magale",https://www.wine21.com/13_search/wine_view.html?Idx=168980&lq=LIST,티나찌  Tinazzi,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro),,,14~15 %,16~18 ℃,"애피타이저, 소고기, 돼지고기, 그릴요리, 숙성치즈 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,3/5,3/5,"체리, 시나몬",치즈,아메리칸 오크에서 4-8개월 숙성,
"티나찌, 프리미티보","Tinazzi, Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=168981&lq=LIST,티나찌  Tinazzi,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),Southern Italy Primitivo,,14~15 %,16~18 ℃,"양고기, 경성 치즈, 프리모 피아토(이탈리아 정찬 코스 첫 번째 요리)",,에노테카코리아,1/5,3/5,3/5,3/5,체리,"양고기, 치즈",프렌치 & 아메리칸 오크에서 4-6개월 숙성,
"카스텔로 디 아마, 퍼플 로제","Castello di Ama, Purple Rose",https://www.wine21.com/13_search/wine_view.html?Idx=168982&lq=LIST,카스텔로 디 아마 [까스텔로 디 아마]   Castello di Ama,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,Toscana IGT(IGP),13~14 %,10~12 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,2/5,1/5,"꽃, 미네랄","파스타, 치즈",,"압착한 포도즙 중 일부를 오크(Used)에서 발효, 그 후 12시간동안 스킨 컨택을 거치는 세니에 방식으로 만들어졌다."
"페트라, 10주년 스페셜 에디션","Petra, 10th Special Edition",https://www.wine21.com/13_search/wine_view.html?Idx=168983&lq=LIST,페트라  Petra,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,에노테카코리아,1/5,3/5,4/5,4/5,"블루베리, 잼, 코코아, 가죽","바비큐, 양갈비, 파스타, 치즈",양조 후 10년동안 셀러 숙성,
"알레그리니, 루가나","Allegrini, Lugana",https://www.wine21.com/13_search/wine_view.html?Idx=168984&lq=LIST,알레그리니  Allegrini,이탈리아(Italy) / 베네토(Veneto) / 베로나(Verona) / 루가나(Lugana),투르비아노 (Turbiano) / 코르테제 (Cortese),,Lugana DOC(DOP),12~13 %,10~12 ℃,"식전주로도 좋고, 흰살 생선 요리, 생선회(연어, 참치 등), 스시와도 좋은 페어링을 보여주는 와인이다.",,에노테카코리아,1/5,4/5,3/5,1/5,"꽃, 아몬드",식전주,4개월간 스테인리스 스틸 숙성,
"카사 로호, 라 가바차","Casa Rojo, La Gabacha",https://www.wine21.com/13_search/wine_view.html?Idx=168985&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 루에다(Rueda),소비뇽 블랑 (Sauvignon Blanc),Spanish Sauvignon Blanc,,13~14 %,8~10 ℃,"해산물 요리, 특히 가재,크랩 요리에 잘 어울린다.",,금양인터내셔날 / 에노테카코리아,1/5,3/5,2/5,1/5,"살구, 복숭아, 시트러스, 감귤, 잔디, 허브","초밥, 생선회, 해산물, 식전주, 샐러드, 과일",,
제프 까렐 가주이,Gazouillis by Jeff Carrel,https://www.wine21.com/13_search/wine_view.html?Idx=168986&lq=LIST,제프 까렐  Jeff Carrel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),말벡 (Malbec) 100%,,,,16~18 ℃,"붉은 육류, 숙성된 치즈와 잘 어울린다.","*2019 빈티지: Gilbert & Gaillard: Gold Medal*유기농 와인*천연 효모만을 사용하며, 양조와 숙성시 SO2 무첨가*병입시 SO2 극소량 첨가*연평균 생산량: 40,000병",하이트진로,1/5,3/5,3/5,3/5,"체리, 모카",치즈,,
"브롤리아, 로베렐로","Broglia, Roverello",https://www.wine21.com/13_search/wine_view.html?Idx=168988&lq=LIST,브롤리아  Broglia,이탈리아(Italy) / 피에몬테(Piemonte) / 가비(Gavi),코르테제 (Cortese) 100%,,,,6~8 ℃,"칵테일 새우, 카나페, 광어 카르파쵸, 스낵이나 크림 치즈 등과 잘 어울린다.",,씨에스알와인,1/5,4/5,2/5,1/5,"세이지, 오크","광어, 새우, 치즈, 스낵",,
"라포스톨, 아팔타","Lapostolle, Apalta",https://www.wine21.com/13_search/wine_view.html?Idx=168989&lq=LIST,라포스톨 [까사 라포스톨]  Lapostolle [Casa Lapostolle],칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley) / 아팔타 밸리(Apalta Valley),카베르네 소비뇽 (Cabernet Sauvignon) 75% / 시라/쉬라즈 (Syrah/Shiraz) 15% / 카르메네르 (Carmenere) 10%,,,14~15 %,16~18 ℃,"불고기, 양갈비, 돼지갈비, 스테이크, 피자 등과 잘 어울린다.","*2018 빈티지: Tim Atkin 90점*라포스톨의 뛰어난 블렌딩 기술, 철학, 떼루아가 1병으로 모두 압축된 와인*칠레 최고의 와인 끌로 아팔타의 3rd Wine으로 데일리로 즐기는 프리미엄 와인",레뱅,1/5,3/5,4/5,3/5,,"스테이크, 돼지, 양갈비, 불고기, 피자",프렌치 오크배럴 13개월 숙성,
"리오 마지오, 발로네 로쏘 피케노","Rio Maggio, Vallone Rosso Piceno",https://www.wine21.com/13_search/wine_view.html?Idx=168990&lq=LIST,리오 마지오  Rio Maggio,이탈리아(Italy) / 마르케(Marche),몬테풀치아노 (Montepulciano) 70% / 산지오베제 (Sangiovese) 30%,Central Italy Red,Rosso Piceno DOC(DOP),13~14 %,16~18 ℃,"육류 요리, 숙성된 치즈, 트러플 요리 등과 잘 어울린다.",,지에프비노,1/5,3/5,4/5,4/5,"블랙커런트, 자두, 건포도, 말린과일, 정향, 시나몬, 다크초콜릿, 오크","소고기, 스테이크, 육류요리, 양갈비, 양고기, 양념갈비, 갈비찜, 족발, 라자냐, 크림파스타, 버섯, 트러플, 치즈, 파르미지아노, 그라노파다노","프렌치 바리크에서 최소 8~10개월 숙성, 병입되어 4-6개월 숙성",껍질째로 12~15일 동안 18~26도로 제어된 온도에서 발효
"리오 마지오, 텔루시아노 비앙코 마르케","Rio Maggio, Telusiano Bianco Marche",https://www.wine21.com/13_search/wine_view.html?Idx=168991&lq=LIST,리오 마지오  Rio Maggio,이탈리아(Italy) / 마르케(Marche),트레비아노 (Trebbiano) / 페코리노 (Pecorino) / 베르디키오 비앙코 (Verdicchio Bianco),Central Italy White,Marche IGT(IGP),13~14 %,10~12 ℃,"생선구이, 생선 수프, 닭고기 등과 잘 어울린다.",,지에프비노,1/5,3/5,2/5,1/5,"아카시아, 꿀","닭고기, 생선구이",,
"리오 마지오, 꼴레 몬테베르데 팔레리오 페코리노","Rio Maggio, Colle Monteverde Falerio Pecorino",https://www.wine21.com/13_search/wine_view.html?Idx=168992&lq=LIST,리오 마지오  Rio Maggio,이탈리아(Italy) / 마르케(Marche),페코리노 (Pecorino),Central Italy White,Falerio dei Colli Ascolani DOC(DOP),13~14 %,10~12 ℃,"흰 육류, 해산물 요리, 치즈 등과 잘 어울린다.",,지에프비노,1/5,4/5,3/5,1/5,백도,"해산물, 치즈",,
바롱 드 보삭 오크 샤르도네,Baron de Baussac Oak Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=168993&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) 100%,,Pays d'Oc IGP,12~13 %,8~10 ℃,"치즈 바게트, 구운 닭 요리와 해산물 구이 등과 잘 어울린다.",*2023 대한민국 주류대상 '화이트와인 구대륙 부문 대상',,1/5,3/5,2/5,1/5,"배, 바닐라, 꿀","해산물, 치즈, 바게트",,"저온 발효, French Oak 사용, 랙킹 전 젖산발효"
"리오 마지오, 비눔 62 비앙코 마르케","Rio Maggio, Vinum 62 Bianco Marche",https://www.wine21.com/13_search/wine_view.html?Idx=168994&lq=LIST,리오 마지오  Rio Maggio,이탈리아(Italy) / 마르케(Marche),트레비아노 (Trebbiano) / 베르디키오 비앙코 (Verdicchio Bianco),Central Italy White,Marche IGT(IGP),13~14 %,10~12 ℃,"말린 대구, 숙성된 치즈, 푸아그라 등과 잘 어울린다.",,지에프비노,2/5,3/5,3/5,1/5,"리치, 미네랄, 꿀","푸아그라, 치즈",,
바롱 드 보삭 메를로,Baron de Baussac Merlot,https://www.wine21.com/13_search/wine_view.html?Idx=168995&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),,Pays d'Oc IGP,13~14 %,15~17 ℃,"돼지고기, 버섯구이, 살라미, 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"블루베리, 자두, 민트","살라미, 버섯, 치즈",Amerian Oak 5개월 숙성,과일향을 향상시키고 타닌과 색을 추출하기 위해 전통적인 프랑스 와인 제조 기술과 현대시술의 조합으로 양조
