와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
젤소 비앙코,Gelso Bianco,https://www.wine21.com/13_search/wine_view.html?Idx=166871&lq=LIST,포데레 29  Podere 29,이탈리아(Italy) / 뿔리아(Puglia),피아노 (Fiano) 100%,13~14 %,10~12 ℃,"생선, 치킨, 샐러드 등과 잘 어울린다.",* 2016 빈티지 : 2017 Decanter Asian Wine Awards 동메달,,1/5,4/5,3/5,1/5,,"치킨, 샐러드",Puglia IGT(IGP),스테인리스 스틸통에서 6개월간 숙성,,
라 불 무스 드 씨거,La Bulle Moose de Cigare,https://www.wine21.com/13_search/wine_view.html?Idx=166872&lq=LIST,보니 둔 빈야드  Bonny Doon Vineyard,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),그르나슈 (Grenache) / 그르나슈 블랑 (Grenache Blanc) / 까리냥 (Carignan/Carignane) / 쌩쏘 (Cinsault) / 루산느 (Roussanne) / 무르베드르 (Mourvedre),13 %,8~10 ℃,"샐러드, 신선한 과일, 가벼운 디저트 등과 잘 어울린다.",,보틀샤크,2/5,4/5,2/5,1/5,허브,"샐러드, 과일, 디저트",,,,
라 불 무스 루즈,La Bulle Moose Rousse,https://www.wine21.com/13_search/wine_view.html?Idx=166873&lq=LIST,보니 둔 빈야드  Bonny Doon Vineyard,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),13 %,10~12 ℃,"가벼운 샐러드와 과일, 크림치즈 등과 잘 어울린다.",,보틀샤크,2/5,4/5,2/5,2/5,"크랜베리, 오렌지, 감초, 흙","샐러드, 과일",,,,
샤또 라리베 오 브리옹 블랑,Chateau Larrivet Haut Brion Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=166874&lq=LIST,샤또 라리베 오브리옹  Chateau Larrivet Haut Brion,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon) / 소비뇽 그리 (Sauvignon Gris),,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.","*Soil: Sand, Gravel, Limestone bedrock",,1/5,4/5,3/5,1/5,,,Pessac-Léognan AOC(AOP),50% 새 오크통에서 11개월간 숙성,,Bordeaux Pessac-Léognan
뱅 블랑 드 팔머,Vin Blanc de Palmer,https://www.wine21.com/13_search/wine_view.html?Idx=166875&lq=LIST,"샤또 팔머   Chateau Palmer, Grand Cru Classe,3rd Cru",프랑스(France) / 보르도(Bordeaux),뮈스까델 (Muscadelle) / 로제 (Lauzet) / 소비뇽 그리 (Sauvignon Gris),,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,,,,,,
샤또 라 미씨옹 오 브리옹 블랑,Chateau La Mission Haut Brion Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=166876&lq=LIST,"샤또 라 미숑 오 브리옹  Chateau La Mission Haut Brion, Grand Cru Classé de Grave",프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,,,,,,
샤또 가쟁 로껑꾸르 블랑,Chateau Gazin Rocquencourt Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=166877&lq=LIST,샤또 가쟁 로껑꾸르  Chateau Gazin Rocquencourt,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) 100%,,10~12 ℃,"연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,5/5,3/5,1/5,,,Pessac-Léognan AOC(AOP),,,
듀오 드 꽁세이앙뜨,Duo de Conseillante,https://www.wine21.com/13_search/wine_view.html?Idx=166878&lq=LIST,샤또 라 꽁세이앙뜨  Chateau La Conseillante,프랑스(France) / 보르도(Bordeaux) / 뽀므롤(Pomerol),메를로 (Merlot) 95% / 카베르네 프랑 (Cabernet Franc) 5%,,16~18 ℃,"스테이크, 로스트비프, 훈제오리, 불고기, 파스타, 다양한 치즈 등과 잘 어울린다.",,,1/5,3/5,5/5,4/5,,"훈제오리, 불고기, 파스타, 치즈",Pomerol AOC(AOP),,,
클레망땡 드 빠쁘 끌레망,Clementin de Pape Clement,https://www.wine21.com/13_search/wine_view.html?Idx=166879&lq=LIST,"샤또 빠쁘 클레망   Chateau Pape Clement, Grand Cru Classé de Grave",프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 30%,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,"바비큐, 양갈비, 파스타, 치즈",Pessac-Léognan AOC(AOP),,,
클레망땡 드 빠쁘 클레망 블랑,Clementin de Pape Clement Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=166880&lq=LIST,"샤또 빠쁘 클레망   Chateau Pape Clement, Grand Cru Classé de Grave",프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) 75% / 세미용 (Semillon) 20% / 뮈스까델 (Muscadelle) 5%,,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,4/5,4/5,1/5,,,Pessac-Léognan AOC(AOP),,,
르 쁘띠 슈발 블랑,Le Petit Cheval Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=166881&lq=LIST,샤또 슈발 블랑  Chateau Cheval Blanc,프랑스(France) / 보르도(Bordeaux),소비뇽 블랑 (Sauvignon Blanc) 100%,,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,,,Bordeaux AOC(AOP),,,
마고 뒤 샤또 마고,Margaux du Chateau Margaux,https://www.wine21.com/13_search/wine_view.html?Idx=166882&lq=LIST,"샤또 마고  Chateau Margaux, 1st Grand Cru Classe",프랑스(France) / 보르도(Bordeaux) / 마고(Margaux),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,꽃,"바비큐, 양갈비, 파스타, 치즈",Margaux AOC(AOP),,,
라 담므 드 페리에르,La Dame de Ferriere,https://www.wine21.com/13_search/wine_view.html?Idx=166883&lq=LIST,"샤또 페리에르  Chateau Ferriere, Grand Cru Classe,3rd Cru",프랑스(France) / 보르도(Bordeaux) / 마고(Margaux),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),,16~18 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 버섯, 숙성치즈, 파스타 와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,"파스타, 버섯, 치즈",Margaux AOC(AOP),,,
지엠에스,GMS,https://www.wine21.com/13_search/wine_view.html?Idx=166884&lq=LIST,투 핸즈 와인즈  Two Hands Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 시라/쉬라즈 (Syrah/Shiraz),,16~18 ℃,"허브를 곁들인 육류요리, 소스를 곁들인 양고기, 로스팅한 가금류 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"배, 꽃, 허브, 오크","육류요리, 양고기, 가금류",,,,
"도츠, 로제 '벚꽃 에디션'","Deutz, Rose 'Cherry Blossom'",https://www.wine21.com/13_search/wine_view.html?Idx=166885&lq=LIST,도츠   Deutz [Champagne Deutz],프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 90% / 피노 누아 (Pinot Noir) 10%,,6~8 ℃,"버섯을 곁들인 익힌 연어 요리, 레드 베리 소스의 오리 구이 요리 등과 잘 어울린다.","* 2022 빈티지 - Korea Wine Challenge Gold* 2021 빈티지 - Korea Wine Challenge Gold* 2018 빈티지 - Gilbert&Gaillard 95점 / Falstaff 93점* 2017 빈티지 - Champagne & Sparkling Wine World Silver* 2016 빈티지 - Champagne World Championship Silver """,레뱅,1/5,5/5,3/5,1/5,"석류, 꽃","연어, 버섯",Champagne AOC(AOP),,,
블라송 드 레방질,Blason de L'evangile,https://www.wine21.com/13_search/wine_view.html?Idx=166886&lq=LIST,샤또 레방질  Chateau L'evangile,프랑스(France) / 보르도(Bordeaux) / 뽀므롤(Pomerol),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,"붉은육류, 치즈",Pomerol AOC(AOP),,,
"메오 까뮈제, 뽀마르","Meo Camuzet, Pommard",https://www.wine21.com/13_search/wine_view.html?Idx=166887&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,,Pommard AOC(AOP),,,
"메오 까뮈제, 꼬르통 샤를마뉴","Meo Camuzet, Corton Charlemagne",https://www.wine21.com/13_search/wine_view.html?Idx=166888&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir),,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,,Corton-Charlemagne Grand Cru AOC(AOP),,,
"메오 까뮈제, 에세조","Meo Camuzet, Echezeaux",https://www.wine21.com/13_search/wine_view.html?Idx=166889&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,,Échezeaux Grand Cru AOC(AOP),,,
"메오 까뮈제, 뉘 생 조르쥬 프르미에 크뤼","Meo Camuzet, Nuits Saint Georges 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=166890&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,신세계엘앤비,1/5,4/5,3/5,3/5,,,Nuits-Saint-Georges 1er Cru AOC(AOP),,,
"메오 까뮈제, 뫼르소","Meo Camuzet, Meursault",https://www.wine21.com/13_search/wine_view.html?Idx=166891&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,4/5,4/5,1/5,,"해산물, 수육, 탕수육, 치즈",Meursault AOC(AOP),,,
"메오 까뮈제, 픽생","Meo Camuzet, Fixin",https://www.wine21.com/13_search/wine_view.html?Idx=166892&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,,Fixin AOC(AOP),,,
"메오 까뮈제, 끌로 드 부죠 그랑 크뤼 ' 그랑 모페르튀이'","Meo Camuzet, Clos de Vougeot Grand Cru 'Grand Maupertuis'",https://www.wine21.com/13_search/wine_view.html?Idx=166893&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부조(Vougeot),피노 누아 (Pinot Noir) 100%,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,5/5,4/5,3/5,,,Clos de Vougeot Grand Cru AOC(AOP),,,
"메오 까뮈제, 끌로 드 부죠 그랑 크뤼 '프레 르 셀리에'","Meo Camuzet, Clos de Vougeot Grand Cru 'Pres Le Cellier'",https://www.wine21.com/13_search/wine_view.html?Idx=166894&lq=LIST,도멘 메오 까뮈제  Domaine Meo Camuzet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부조(Vougeot),피노 누아 (Pinot Noir) 100%,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,,Clos de Vougeot Grand Cru AOC(AOP),,,
"도멘 샤를로팽, 꼬뜨 드 뉘 빌라쥬","Domaine Charlopin, Cotes de Nuits Villages",https://www.wine21.com/13_search/wine_view.html?Idx=166895&lq=LIST,도멘 필립 샤를로팽 빠리죠  Domaine Philippe Charlopin Parizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,"파스타, 버섯, 치즈",Côte de Nuits-Villages AOC(AOP),,,
"도멘 샤를로팽, 꼬르통 샤를마뉴 그랑 크뤼","Domaine Charlopin, Corton Charlemagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=166896&lq=LIST,도멘 필립 샤를로팽 빠리죠  Domaine Philippe Charlopin Parizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,,Corton-Charlemagne Grand Cru AOC(AOP),,,
"도멘 샤를로팽, 끌로 생 드니","Domaine Charlopin, Clos Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=166897&lq=LIST,도멘 필립 샤를로팽 빠리죠  Domaine Philippe Charlopin Parizot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir) 100%,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,5/5,4/5,3/5,,,Clos Saint-Denis Grand Cru AOC(AOP),,,
"드니 모르떼, 픽생 비에이 비뉴","Denis Mortet, Fixin Vielles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=166898&lq=LIST,도멘 드니 모르떼  Domaine Denis Mortet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 픽상(Fixin),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,,Fixin AOC(AOP),,,
"드니 모르떼, 쥬브레 샹베르땅 ' 메 생크 뗴루아'","Denis Mortet, Gevrey Chambertin 'Mes Cinq Terroirs'",https://www.wine21.com/13_search/wine_view.html?Idx=166899&lq=LIST,도멘 드니 모르떼  Domaine Denis Mortet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,4/5,3/5,,,Gevrey-Chambertin AOC(AOP),,,
"막뜰레 쉐리지, 뫼르소 뀌베 레오","Martelet Cherisey, Meursault Cuvee Leo",https://www.wine21.com/13_search/wine_view.html?Idx=166900&lq=LIST,막뜰레 쉐리지  Martelet Cherisey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,,"해산물, 수육, 탕수육, 치즈",Meursault AOC(AOP),,,
"막뜰레 쉐리지, 뫼르소 '부아 드 블라니'","Martelet Cherisey, Meursault 'Bois de Blagny'",https://www.wine21.com/13_search/wine_view.html?Idx=166901&lq=LIST,막뜰레 쉐리지  Martelet Cherisey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,,"해산물, 수육, 탕수육, 치즈","Meursault AOC(AOP), 'Le Bois de Blagny'",,,
"크루셰, 소비뇽 블랑","Cruce, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166902&lq=LIST,비냐 프레이 레옹  Vina Fray Leon,칠레(Chile) / 센트럴 밸리(Central Valley),소비뇽 블랑 (Sauvignon Blanc),,8~10 ℃,"식전주로도 좋으며 해산물 샐러드, 깔라마리 튀김 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"미네랄, 허브","해산물, 튀김, 식전주, 샐러드",,,,
알렉산드린 코르나스,"Les Alexandrins, Cornas",https://www.wine21.com/13_search/wine_view.html?Idx=166903&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 꼬르나스(Cornas),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,"소고기, 양고기, 향신료가 첨가된 요리 등과 잘 어울린다.",*2016 빈티지: Robert Parker 91점,에노테카코리아,1/5,4/5,5/5,5/5,"딸기, 꽃, 오크","소고기, 양고기",Cornas AOC(AOP),,,
"알렉산드린, 코트 뒤 론 블랑","Les Alexandrins, Cotes du Rhone Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166904&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 블랑 (Grenache Blanc) 60% / 비오니에 (Viognier) 30% / 마르산느 (Marsanne) 10%,13~14 %,8~10 ℃,"사프론이 들어간 요리, 그릴한 생선요리 등과 잘 어울린다.",,에노테카코리아,1/5,4/5,2/5,1/5,"꽃, 세이지",,Côtes du Rhône AOC(AOP),,,
"알렉산드린, 코트 뒤 론 루즈",Les Alexandrins Cotes du Rhone Rouge,https://www.wine21.com/13_search/wine_view.html?Idx=166905&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) 60% / 시라/쉬라즈 (Syrah/Shiraz) 40%,13~15 %,16~18 ℃,"양고기, 돼지고기 등과 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,3/5,"배, 오크",양고기,Côtes du Rhône AOC(AOP),,,
"알렉산드린, 에르미타주 블랑","Les Alexandrins, Hermitage Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166906&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),마르산느 (Marsanne) 50% / 루산느 (Roussanne) 50%,13~14 %,12~13 ℃,"샐러드, 해산물 세비체, 오리고기 등과 잘 어울린다.",,에노테카코리아,1/5,5/5,4/5,1/5,"파인애플, 미네랄, 오크, 꿀","오리고기, 생선구이, 해산물, 새우, 동남아요리, 샐러드",Hermitage AOC(AOP),12개월 오크 숙성,,Northern Rhône Hermitage
알렉산드린 에르미타주 루즈,"Les Alexandrins, Hermitage Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=166907&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,16~18 ℃,"잘 숙성된 치즈, 앙념갈비, 불고기 등과 잘 어울린다.",*2013 빈티지: Wine Spectator 93점,에노테카코리아,1/5,4/5,5/5,5/5,"홍차, 오크","불고기, 치즈",Hermitage AOC(AOP),,,
"알렉산드린, 시라","Les Alexandrins, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=166908&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) 95% / 비오니에 (Viognier) 5%,13~14 %,16~18 ℃,"그릴에 구운 육류, 향신료가 들어간 음식과 잘 어울린다.",,에노테카코리아,1/5,4/5,3/5,3/5,오크,,,,,
"알렉산드린, 코트 로티 루즈","Les Alexandrins, Cote Rotie Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=166909&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 꼬뜨 로띠(Côte-Rotie),시라/쉬라즈 (Syrah/Shiraz) 98% / 비오니에 (Viognier) 2%,13~14 %,16~18 ℃,"양갈비, 양념에 재운 고기, 향신료가 들어간 음식 등과 잘 어울린다.","*2017 빈티지: Decanter 96점, Wine Spectator 94점",에노테카코리아,1/5,4/5,5/5,4/5,"블랙베리, 감초, 오크",양갈비,Côte-Rôtie AOC(AOP),,,
도멘 알렉산드린 생 조셉,Domaines Les Alexandrins Saint Joseph,https://www.wine21.com/13_search/wine_view.html?Idx=166910&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,"그릴에 구운 고기, 야채와 양갈비 등이 잘 어울린다.",*2017 빈티지: Robert Parker 88-90점,에노테카코리아,1/5,4/5,5/5,5/5,"블랙베리, 오크","양갈비, 야채",Saint-Joseph AOC(AOP),,,
"알렉산드린, 크로즈 에르미타주 블랑","Les Alexandrins, Crozes Hermitage Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166911&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 크로즈-에르미타주(Crozes-Hermitage),마르산느 (Marsanne) 65% / 루산느 (Roussanne) 35%,13~14 %,10~12 ℃,"버터를 넣은 파스타나 음식, 새우 요리 등과 잘 어울린다.","*2018 빈티지: Wine Spectator 93점, James Suckling 90점",에노테카코리아,1/5,4/5,3/5,1/5,"멜론, 오크","새우, 파스타",Crozes-Hermitage AOC(AOP),,,
도멘 알렉산드린 크로즈 에르미타주 루즈,Domaines Les Alexandrins Crozes Hermitage Rouge,https://www.wine21.com/13_search/wine_view.html?Idx=166912&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 크로즈-에르미타주(Crozes-Hermitage),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,"숙성된 치즈, 붉은 육류, 파스타 등과 잘 어울린다.","*2016 빈티지: Wine Spectator 92점, Decanter 91점, Robert Parker 91점",에노테카코리아,1/5,4/5,4/5,4/5,"미네랄, 후추","파스타, 치즈",Crozes-Hermitage AOC(AOP),,,
"알렉산드린, 콩드리유","Les Alexandrins, Condrieu",https://www.wine21.com/13_search/wine_view.html?Idx=166913&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 꽁드리유(Condrieu),비오니에 (Viognier) 100%,13~14 %,10~12 ℃,버터로 조리한 음식이나 새우요리와 잘 어울린다.,"*2017 빈티지: Decanter 93점, Wine Spectator 93점, Robert Parker 91점",에노테카코리아,1/5,3/5,4/5,1/5,"오크, 효모",새우,Condrieu AOC(AOP),,,
알렉산드린 크로즈 에르미타주 루즈,"Les Alexandrins, Crozes Hermitage Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=166914&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 크로즈-에르미타주(Crozes-Hermitage),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,"양고기, 버터 파스타, 스테이크 등과 잘 어울린다.",*2017 빈티지: Wine Spectator 93점,에노테카코리아,1/5,4/5,4/5,3/5,"월계수, 오크","스테이크, 양고기, 파스타",Crozes-Hermitage AOC(AOP),,,
"알렉산드린, 생 조셉","Les Alexandrins, Saint Joseph",https://www.wine21.com/13_search/wine_view.html?Idx=166915&lq=LIST,도멘 & 메종 레 알렉산드린  Domaine & Maison Les Alexandrins,프랑스(France) / 론(Rhone) / 생-죠셉(Saint-Joseph),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,그릴에 구운 고기요리와 치즈와 잘 어울린다.,,에노테카코리아,1/5,3/5,4/5,4/5,미네랄,치즈,Saint-Joseph AOC(AOP),,,
