와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"엑셀시오르, 메를로","Excelsior, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=162646&lq=LIST,엑셀시오르  Excelsior,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),메를로 (Merlot) 100%,South African Merlot,16~18 ℃,"야채, 허브를 곁들인 양고기",,1/5,4/5,3/5,3/5,커피,"양고기, 야채",,14 %,,,
"엑셀시오르, 소비뇽 블랑","Excelsior, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162647&lq=LIST,엑셀시오르  Excelsior,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),소비뇽 블랑 (Sauvignon Blanc) 100%,South African Sauvignon Blanc,8~10 ℃,구운 레몬과 그린올리브랑 케이퍼을 곁들인 닭가슴살요리,,1/5,5/5,2/5,1/5,"무화과, 자몽, 패션프루트",,,13 %,,,
"엑셀시오르, 퓨어브레드 쉬라즈 메를로","Excelsior, Purebred Shiraz Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=162648&lq=LIST,엑셀시오르  Excelsior,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),시라/쉬라즈 (Syrah/Shiraz) 50% / 메를로 (Merlot) 50%,,16~18 ℃,"햄버거, 파스타",,1/5,4/5,4/5,4/5,,햄,,14 %,,,
"엑셀시오르, 퓨어브레드 소비뇽 블랑","Excelsior, Purebred Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162649&lq=LIST,엑셀시오르  Excelsior,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),소비뇽 블랑 (Sauvignon Blanc) 100%,South African Sauvignon Blanc,8~10 ℃,"에피타이저, 생선 요리",,1/5,5/5,2/5,1/5,시트러스,,,13 %,,,
"오드펠, 오르자다 까리냥","Odfjell, Orzada Carignan",https://www.wine21.com/13_search/wine_view.html?Idx=162650&lq=LIST,오드펠  Odfjell Vineyards,칠레(Chile) / 마울레 밸리(Maule Valley),까리냥 (Carignan/Carignane) 100%,,16~18 ℃,"육류, 치즈 등과 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,4/5,"자스민, 아니스, 버섯",치즈,,13 %,"*2016 빈티지: Robert Parker 90점, Wine Spectator 87점*2015 빈티지: Robert Parker 88점, Wine Spectator 88점, James Suckling 92점",,
"까스뗄린 빌라, 키안티 클라시코 리제르바","Castell'in Villa, Chianti Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=162651&lq=LIST,까스뗄린 빌라  Castell'in Villa,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,16~18 ℃,"기름진 육류 요리, 트러플 오일 파스타, 크림 리조또",레뱅,1/5,4/5,4/5,3/5,"체리, 오크",트러플,,14.5 %,*2009 빈티지: Antonio Galloni 92점*2008 빈티지: Antonio Galloni 91점,,
"카를로 사니, 네로 디 트로이아","Carlo Sani, Nero di Troia",https://www.wine21.com/13_search/wine_view.html?Idx=162652&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia),네로 디 트로이아  (Nero di Troia) 100%,Southern Italy Red,16~18 ℃,"붉은 육류, 등심, 안심, 양갈비, 초리죠, 프로슈토, 리조토, 라자냐, 파스타와 잘 어울린다.",하이트진로,1/5,3/5,3/5,3/5,,"양갈비, 프로슈토",Salento IGT(IGP),15~16 %,,,
"카를로 사니, 수수마니엘로","Carlot Sani, Susumaniello",https://www.wine21.com/13_search/wine_view.html?Idx=162653&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia),수수마니엘로 (Susumaniello) 100%,Southern Italy Red,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",하이트진로,1/5,3/5,3/5,3/5,,"살라미, 견과류, 치즈",Salento IGT(IGP),15~16 %,,,
와이낫 네그로아마로 진판델,Whynot Negroamaro Zinfandel,https://www.wine21.com/13_search/wine_view.html?Idx=162654&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro) / 진판델 (Zinfandel),Southern Italy Red,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,15~16 %,,,
와이낫 네로다볼라 시라 리제르바,Whynot Nero d'Avola Syrah Reserva,https://www.wine21.com/13_search/wine_view.html?Idx=162655&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia),네로 다볼라 (Nero d'Avola) / 시라/쉬라즈 (Syrah/Shiraz),Southern Italy Red,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 프로슈토, 파스타와 잘 어울린다.",,1/5,3/5,4/5,4/5,,"바비큐, 양갈비, 프로슈토, 훈제오리, 파스타",,14 %,,,
"카를로 사니, 네그로아마로 파씨토","Carlot Sani, Negroamaro Passito",https://www.wine21.com/13_search/wine_view.html?Idx=162656&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro),Southern Italy Red,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 블루치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",하이트진로,1/5,3/5,4/5,4/5,,"살라미, 견과류",Salento IGT(IGP),14~15 %,,,
"카를로 사니, 프리미티보 디 만두리아","Carlot Sani, Primitivo di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=162657&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo) 100%,Southern Italy Red,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",하이트진로,1/5,3/5,4/5,3/5,,"살라미, 견과류, 치즈",,14~15 %,,,
"카를로 사니, 프리미티보 디 만두리아 리제르바","Carlot Sani, Primitivo di Manduria Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=162658&lq=LIST,카를로 사니  Carlo Sani,이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo) 100%,Southern Italy Red,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",하이트진로,1/5,2/5,5/5,3/5,바닐라,"살라미, 견과류, 치즈",,15~16 %,,,
"하디스, 리저브 카베네 쇼비뇽 백인박스 5리터","Hardys, Reserve Cabernet Sauvignon Bag in Box 5L",https://www.wine21.com/13_search/wine_view.html?Idx=162659&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"붉은육류, 돼지고기, 양고기, 피자, 파스타, 불고기, 중국음식, 한국음식 등과 잘 어울린다.",,2/5,3/5,2/5,3/5,,"붉은육류, 양고기, 중국음식",,13.5 %,,,
드 샹스니 임페투스 브뤼,De Chanceny Impetus Brut,https://www.wine21.com/13_search/wine_view.html?Idx=162660&lq=LIST,까브 데 빈너롱  Cave Des Vignerons,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine) / 부브레(Vouvray),샤르도네 (Chardonnay) / 슈냉 블랑 (Chenin Blanc) / 카베르네 프랑 (Cabernet Franc) / 그롤로 누아 (Grolleau Noir),,6 ~ 8 ℃,"전채요리, 해산물 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"사과, 서양배, 레몬, 라임, 오크","해산물, 전채요리",Crémant de Loire AOC(AOP),12~13 %,,48개월간 숙성,
"도멘 세르 마자르, 뀌베 앙리 세르","Domaine Serre Mazard, Cuvee Henri Serres",https://www.wine21.com/13_search/wine_view.html?Idx=162661&lq=LIST,도멘 세르 마자르  Domaine Serre Mazard,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬르비에르(Corbieres),시라/쉬라즈 (Syrah/Shiraz) / 까리냥 (Carignan/Carignane) / 그르나슈 (Grenache),Languedoc-Roussillon Red,16~18 ℃,"돼지고기, 소고기, 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 제비꽃, 장미, 후추, 시가박스","소고기, 돼지고기, 치즈",,14~15 %,"*2009 빈티지: Le Guide Hachette des Vins: 1 Star*2004 빈티지: Concours General Agricole Paris: Silver, Le Guide Hachette des Vins: 1 Star*2004 빈티지; Le Guide Hachette des Vins: 2 Stars",,
"타라파카, 에티케타 아쑬","Tarapaca, Etiqueta Azul",https://www.wine21.com/13_search/wine_view.html?Idx=162662&lq=LIST,비냐 산 페드로 타라파카  Viña San Pedro Tarapaca,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) 65% / 쁘띠 베르도 (Petit Verdot) 14% / 시라/쉬라즈 (Syrah/Shiraz) 11% / 카베르네 프랑 (Cabernet Franc) 5% / 기타 품종 (Other Grapes) 5%,,16~18 ℃,"그릴에 구운 육류 요리, 부드러운 치즈, 토마토 소스 또는 페스토 소스 파스타, 다크 초콜릿 등과 잘 어울린다.",하이트진로,1/5,3/5,5/5,4/5,배,"파스타, 치즈, 초콜릿",,14~15 %,*2014 빈티지: James Suckling 91점*2013 빈티지: James Suckling 94점*2012 빈티지: James Suckling 93점,,
"타라파카, 그란 레세르바 에티케타 네그라","Tarapaca, Gran Reserva Etiqueta Negra",https://www.wine21.com/13_search/wine_view.html?Idx=162663&lq=LIST,비냐 산 페드로 타라파카  Viña San Pedro Tarapaca,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"야생 육류나 트뤼플을 이용한 풍부한 풍미의 음식, 숙성  치즈 등과 잘 어울린다.",하이트진로,1/5,3/5,5/5,5/5,바닐라,치즈,,14~15 %,"*2015 빈티지: James Suckling 92점, Wine Enthusiast 91점, Robert Parker 95점",,
"타라파카, 그란 레세르바 시라","Tarapaca, Gran Reserva Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=162664&lq=LIST,비냐 산 페드로 타라파카  Viña San Pedro Tarapaca,칠레(Chile) / 마이포 밸리(Maipo Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Chilean Syrah,16~18 ℃,"토끼, 야생 멧돼지, 칠면조 등 복합적인 향을 가진 음식과 잘 어울린다.",하이트진로,1/5,3/5,4/5,3/5,"체리, 꽃, 후추, 오크","돼지, 칠면조",,14~15 %,"*2015 빈티지: Descorchados 90점*2014 빈티지: Wine Spectator 91점, James Suckling 90점",,
"타라파카, 그란 레세르바 소비뇽 블랑","Tarapaca, Gran Reserva Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162665&lq=LIST,비냐 산 페드로 타라파카  Viña San Pedro Tarapaca,칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Chilean Sauvignon Blanc,8~10 ℃,"조개류 및 갑각류를 곁들인 샐러드, 허브 소스를 곁들인 생선요리 등과 잘 어울린다.",하이트진로,1/5,4/5,3/5,1/5,"구즈베리, 미네랄, 허브",샐러드,,13~14 %,*2016 빈티지: Descorchados 92점*2015 빈티지: Descorchados 90점*2014 빈티지: James Suckling 91점,,
"타라파카, 그란 레세르바 샤르도네","Tarapaca, Gran Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162666&lq=LIST,비냐 산 페드로 타라파카  Viña San Pedro Tarapaca,칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,10~12 ℃,"훈제 연어, 토끼요리, 그뤼에르 같은 숙성 치즈 등과 잘 어울린다.",하이트진로,1/5,3/5,4/5,1/5,미네랄,연어,,13~14 %,*2016 빈티지: Descorchados 92점*2015 빈티지: Descorchados 90점*2014 빈티지: James Suckling 91점,,
"프리시전, 네비게이터 카베르네 소비뇽","Precision, Navigator Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162667&lq=LIST,프리시전 와인  Precision Wine,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 템프라니요 (Tempranillo) / 쁘띠 시라  (Petite Sirah),Californian Cabernet Sauvignon,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 피자, 순대, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,4/5,"리치, 코코아","바비큐, 양갈비, 치즈",Napa Valley AVA,14~15 %,,"50% New, 50% Used Oak 숙성",
"프리시전, 메쏘드","Precision, Method",https://www.wine21.com/13_search/wine_view.html?Idx=162668&lq=LIST,프리시전 와인  Precision Wine,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 멘도치노(Mendocino),카베르네 소비뇽 (Cabernet Sauvignon),Californian Cabernet Sauvignon,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",에노테카코리아,1/5,2/5,5/5,4/5,"꽃, 카카오","양갈비, 치즈",California AVA,14~15 %,,8개월 동안 50% New American Oak 숙성,
비유 텔레그라프 샤또네프 뒤 파프 '텔레그램',Vieux Télégraphe Châteauneuf-du-Pape 'Télégramme',https://www.wine21.com/13_search/wine_view.html?Idx=162669&lq=LIST,도멘 뒤 비유 텔레그라  Domaine du Vieux Telegraphe,프랑스(France),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre) / 쌩쏘 (Cinsault),,17 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 숙성 치즈, 파스타 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"배, 허브, 오크","스테이크, 양갈비, 파스타, 치즈",,14~15 %,"*2015 빈티지: Wine Spectator 91점, Robert Parker 88점*2014 빈티지: Wine Spectator 90점, Robert Parker 87점*2013 빈티지: Wine Spectator 90점, Robert Parker 87점",,
오버츄어,Overture,https://www.wine21.com/13_search/wine_view.html?Idx=162670&lq=LIST,오퍼스 원  Opus One,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec),Californian Bordeaux Blend,18 ℃,"스테이크, 육류요리",에노테카코리아,1/5,3/5,4/5,4/5,"배, 바닐라, 오크",,Napa Valley AVA,,,,
카제 바쎄 솔데라,CASE BASSE SOLDERA,https://www.wine21.com/13_search/wine_view.html?Idx=162671&lq=LIST,카제 바쎄   Case Basse,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,Central Italy Red,18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자, 콩테치즈와 잘 어울린다.",에노테카코리아,1/5,2/5,3/5,5/5,"딸기, 감초, 허브, 효모","프로슈토, 오리고기",Toscana IGT(IGP),14~15 %,Decanter “Italy's 50 Greatest Wines Ever”,,
"프리시전, 힐트 앤 블레이드 진판델","Precision, Hilt & Blade Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=162672&lq=LIST,프리시전 와인  Precision Wine,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) 100%,Californian Zinfandel,16~18 ℃,"붉은육류, 양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",에노테카코리아,1/5,2/5,4/5,3/5,"바닐라, 크림","불고기, 견과류",California AVA,14~15 %,*2015 빈티지: Wine Enthusiast 91pts,,
"한, 에스엘에이치 피노누아","Hahn, SLH Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162673&lq=LIST,한 패밀리 와인즈  Hahn Family Wines,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,13~15 ℃,"연어구이, 찜닭, 크림 파스타, 허브를 곁들인 로스티드 치킨 , 레어 스테이크, 카르파초, 그릴드 랍스터, 브리 치즈, 블루 치즈 등과 잘 어울린다.",동원와인플러스,1/5,3/5,2/5,2/5,"배, 오크, 흙","스테이크, 연어, 랍스터, 파스타",California AVA,14.5 %,"*2016 빈티지: Robert Parker 92점, Wine Spectator 92점*2014 빈티지: 2016 Wine Spectator Top 100 67위 92점, Robert Parker 92점",,
"샤또 드 루, 무스캇 드 리브잘트","Château de L'Ou, Muscat de Rivesaltes",https://www.wine21.com/13_search/wine_view.html?Idx=162674&lq=LIST,샤또 드 루  Chateau de I'Ou,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 리브잘트(Rivesaltes),뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains) 100%,,6~8 ℃,"푸아그라, 로크포르 치즈와 같은 질감이 있는 음식과 잘 어울린다.",,5/5,1/5,4/5,1/5,"배, 꿀",푸아그라,Muscat de Rivesaltes AOC(AOP),15~16 %,,,
"후버, 리슬링 엔젤스베르크","Huber, Riesling Engelsberg",https://www.wine21.com/13_search/wine_view.html?Idx=162675&lq=LIST,바인굿 마르쿠스 후버  Weingut Markus Huber,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 트라이젠탈(Traisental),리슬링 (Riesling) 100%,Austrian Riesling,6~8 ℃,"송어 또는 연어 요리, 매콤한 음식, 아시아 음식 등과 잘 어울린다.",,2/5,4/5,3/5,1/5,"꽃, 타르",연어,Traisental DAC,12~13 %,*2018 Korea Wine Challenge - Gold,,
"덕혼, 나파 밸리 샤도네이","Duckhorn, Napa Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162676&lq=LIST,덕혼 와인 컴퍼니   Duckhorn Wine Company,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,10~12 ℃,"굴, 조개, 생선류, 기타 해산물, 굽거나 크림소스를 곁들인 닭고기 등과 잘 어울린다.",나라셀라,1/5,3/5,4/5,1/5,"미네랄, 바닐라, 오크, 크림","닭고기, 해산물",Napa Valley AVA,14.1 %,"*2018 빈티지: Wine Enthusiast 90점, US Wine Review Online 94점*Wine & Spirits, 2018 Year's Best Chardonnay 선정*2016 빈티지: Robert Parker 90점*2015 빈티지: Robert Parker 90점*2014 빈티지: Wine Enthusiast 90점",,
"덕혼, 디코이 로제","Duckrhon, Decoy Rose",https://www.wine21.com/13_search/wine_view.html?Idx=162677&lq=LIST,덕혼 와인 컴퍼니   Duckhorn Wine Company,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),시라/쉬라즈 (Syrah/Shiraz) 69% / 베르멘티노 (Vermentino) 14% / 까리냥 (Carignan/Carignane) 9% / 피노 누아 (Pinot Noir) 8%,,10~12 ℃,"그릴 고기나 샐러드 야외 피크닉, 파티, 스프링 롤 등과 잘 어울린다.",나라셀라,1/5,3/5,2/5,1/5,"딸기, 레몬",샐러드,Napa Valley AVA,,*2016 빈티지: Wine Enthusiast 90점*2017 빈티지: Wine Enthusiast 91점*2018 대한민국 주류대상 - 로제 와인 부문 대상*와인21닷컴 2019년 4월 이달의 와인으로 선정 - BEST WINE,,
"죠셉 펠프스, 프리스톤 샤도네이","Joseph Phelps, Freestone Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162678&lq=LIST,조셉 펠프스빈야드  Joseph Phelps Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,Californian Chardonnay,10~12 ℃,"전체요리, 가벼운 해산물, 샐러드, 치즈 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,1/5,"미네랄, 브리오슈, 오크","해산물, 치즈",Sonoma Coast AVA,,*2016 빈티지: Robert Parker 94점*2015 빈티지 : Robert Parker 93점*2014 빈티지 : Robert Parker 91점,,
"랭 트윈스, 올드 바인 진판델","Lange Twins, Old Vine Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=162679&lq=LIST,랭 트윈스  Lange Twins,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) 100%,Californian Zinfandel,16~18 ℃,"경성 치즈, 소시지 & 스테이크, 부야베스, 스파이시한 요리, 라구 소스 요리",나라셀라,2/5,3/5,4/5,3/5,후추,"스테이크, 소시지, 치즈",California AVA,15 %,"*2013 빈티지: Wine Enthusiast 87점*2016 California State Fair 98점, Double Gold, - Best of Class of Region*2016 San Francisco International Wine Competition - Double Gold*2016 San Francisco Chronicle Wine Competition - Gold",,
"랭 트윈스, 카버네 소비뇽","Lange Twins, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162680&lq=LIST,랭 트윈스  Lange Twins,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,16~18 ℃,"숙성 치즈, 양고기, 소고기 등 육류 요리와 잘 어울린다.",나라셀라,1/5,3/5,4/5,4/5,"배, 꽃, 오크","소고기, 양고기, 치즈",California AVA,14.2 %,*2013 빈티지: Wine Enthusiast 89점*2017 Tasters Guild International Wine Competition Silver*2017 San Francisco Chronicle Wine Competition  Silver*2020 대한민국 주류대상 - 신대륙 레드 와인 부문 대상,,
"랭 트윈스, 피노 누아","Lange Twins, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162681&lq=LIST,랭 트윈스  Lange Twins,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,15~17 ℃,"브리 치즈, 양고기, 참치, 가벼운 레드소스 베이스의 요리 크렘블레 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,3/5,"배, 꽃, 오크","양고기, 참치",California AVA,14.2 %,*2017 Tasters Guild International Wine Competition Silver*2017 LAIWC (Los Angeles International Wine Competition) Silver,,
"랭 트윈스, 샤도네이","Lange Twins, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162682&lq=LIST,랭 트윈스  Lange Twins,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) 100%,Californian Chardonnay,6~10 ℃,"크림소스의 돼지고기, 가자미와 광어 등 흰살 생선류 요리 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,1/5,"감귤, 바닐라, 크림",광어,California AVA,14.5 %,*2016 빈티지: Wine Enthusiast 86점*2017 Tasters Guild International Wine Competition Gold*2017 LAIWC (Los Angeles International Wine Competition) Silver,,
"스택스 립 와인 셀라, 핸즈 오브 타임 샤도네이","Stag's Leap Wine Cellars, Hands of Time Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162683&lq=LIST,스택스 립 와인 셀라  Stag's Leap Wine Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),Californian Chardonnay,13~14 ℃,"구운 칼라마리, 구운 관자 또는 신선한 파스타 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,1/5,"배, 오렌지, 파인애플, 꽃, 오크",파스타,Napa Valley AVA,14~15 %,,뉴 프렌치 오크에서 16%를 배럴 숙성,"52%는 배럴에서 발효되고, 48%는 스테인레스 스틸에서 발효"
"리베라, 프렐루디오 넘버 원 샤도네이","Rivera, Preludio N.1 Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162684&lq=LIST,리베라  Rivera,이탈리아(Italy) / 뿔리아(Puglia),샤르도네 (Chardonnay) 100%,Southern Italy White,10~12 ℃,"오리로스, 치킨, 훈제연어, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",나라셀라,2/5,4/5,3/5,1/5,"꽃, 효모","수육, 탕수육, 치즈",,10~12 %,*2015 빈티지: Robert Parker 90점,,
슈발리에 뒤 샤또 라그레제트,Chevaliers du Chateau Lagrezette,https://www.wine21.com/13_search/wine_view.html?Idx=162685&lq=LIST,샤또 라그레제트  Chateau Lagrezette,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 85% / 메를로 (Merlot) 14% / 따나 (Tannat) 1%,Southwest France Malbec,17~18 ℃,"모든 붉은 육류, 푸아그라, 라구파스타, 치즈 등",나라셀라,1/5,4/5,5/5,5/5,"체리, 오크","푸아그라, 파스타, 치즈",,,"*2015 빈티지: Wine Enthusiast 93점, Wine Spectator 90점",,
퍼플 오리지널 말벡,Purple Original Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=162686&lq=LIST,샤또 라그레제트  Chateau Lagrezette,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 94% / 메를로 (Merlot) 6%,Southwest France Malbec,16~18 ℃,"모든 붉은 육류, 크림 파스타, 치즈, 피자 등과 잘 어울린다.",나라셀라,1/5,3/5,5/5,5/5,,치즈,,,*2018 대한민국 주류대상 구대륙 레드 와인 부문 대상*2016 빈티지: Wine Spectator 86점*2015 빈티지: Wine Spectator 86점,,
"포지오 레 볼피, 로마 로쏘","Poggio Le Volpi, Roma Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=162688&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio) / 로마(Roma),몬테풀치아노 (Montepulciano) 50% / 시라/쉬라즈 (Syrah/Shiraz) 30% / 체사네세 (Cesanese) 20%,Central Italy Red,16~18 ℃,"토마토 소스 베이스의 파스타 또는 살라미, 구운 고기 요리등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,4/5,4/5,"체리, 라스베리, 자두, 말린자두, 장미, 붉은꽃, 바닐라, 감초, 허브, 삼나무, 오크","소고기, 스테이크, 양갈비, 살라미, 양념갈비, 갈비찜, 족발, 파스타, 리조또, 자두, 치즈, 까망베르, 리코타, 블루치즈, 크림치즈",Roma DOC(DOP),14~15 %,"*2017 빈티지: Luca Maroni 98점, Berliner Wine Trophy Gold, Mundus Vini Silver*2016 빈티지: Luca Maroni 98점 1st Best Italian Red Wine, Berliner Wine Trophy Gold, Mundus Vini Silver",다양한 바리끄와 토뇨에서 오크 숙성.,손수확. 장기 발효 랙킹 후 부드럽게 포마셰 압착.
"포지오 레 볼피, 로마 로쏘 리제르바","Poggio Le Volpi, Roma Rosso Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=162689&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio) / 로마(Roma),몬테풀치아노 (Montepulciano) 50% / 시라/쉬라즈 (Syrah/Shiraz) 30% / 체사네세 (Cesanese) 20%,Central Italy Red,16~18 ℃,"치즈, 육류",비케이 트레이딩,1/5,3/5,5/5,4/5,"블랙커런트, 블랙체리, 자두, 말린자두, 후추, 바닐라, 감초, 아몬드, 삼나무, 다크초콜릿, 오크, 흑연","그릴요리, 소고기, 바비큐, 양갈비, 양념갈비, 갈비찜, 파스타, 토마토파스타, 리조또, 자두, 치즈, 파르미지아노, 브리, 그라노파다노, 페타, 꽁떼",Roma DOC(DOP),14~15 %,*2016 Luca Maroni 99점 만점,,
