와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"비노블스 포레, 샤또 데 트로스 물랭","Vinobles Faure, Chateau Des Trois Moulins",https://www.wine21.com/13_search/wine_view.html?Idx=174541&lq=LIST,비노블스 포레  Vinobles Faure,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec),Bordeaux Red,Bordeaux AOC(AOP),평균 30년 수령의 나무에서 포도 수확.,온도 조절 가능한 탱크에서 3주간 발효 후13개월 프렌치오크 숙성.,16~18 ℃,,바쿠스,3/5,2/5,3/5,2/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 미네랄, 바닐라, 정향, 오크","베이컨, 꼬치구이, 돼지고기, 양꼬치, 불고기, 족발, 햄버거, 피자, 난자완스, 과일, 견과류, 케이크, 초콜렛, 티라미수",14~15 %,
"비노블스 포레, 샤또 르핌플렛","Vinobles Faure, Chateau Repimplet",https://www.wine21.com/13_search/wine_view.html?Idx=174542&lq=LIST,비노블스 포레  Vinobles Faure,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,Bordeaux AOC(AOP),"평균 50년 수령의 나무에서 포도 수확,","25% 프렌치 오크, 75% 올드 배럴에서 평균 20일 숙성.",16~18 ℃,,바쿠스,2/5,2/5,3/5,2/5,"블랙체리, 블랙베리, 자두, 바닐라, 정향, 허브","육류요리, 베이컨, 바비큐, 소시지, 양꼬치, 훈제오리, 족발, 동그랑땡, 햄버거, 피자, 크림치즈, 모짜렐라, 페스트리, 크로아상, 스낵",14~15 %,
"비노블스 포레, 샤또 레 아르두앵","Vinobles Faure, Chateau Les Ardouins",https://www.wine21.com/13_search/wine_view.html?Idx=174543&lq=LIST,비노블스 포레  Vinobles Faure,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,Bordeaux AOC(AOP),"평균 32년 수령의 나무에서 포도 수확,",온도 조절 가능한 콘크리트 탱크에서 20일간 숙성 후14개월 프렌치오크 숙성.,16~18 ℃,* 70 Millions de degustateurs – gold* Feminalise Paris – gold* Concours des Vins de Coutras – gold* International Wine & Spirits Awards - gold,바쿠스,3/5,2/5,3/5,3/5,"블랙커런트, 블랙베리, 라스베리, 바닐라, 감초, 버섯, 송로버섯","그릴요리, 붉은육류, 베이컨, 바비큐, 양꼬치, 불고기, 양념갈비, 갈비찜, 족발, 햄버거, 피자, 치즈, 고다, 그라노파다노, 콩테, 초콜릿, 브루스케타, 티라미수",14~15 %,
"피케라스, 그랑 마리우스 리제르바 수페리오레","Piqueras, Gran Marius Reserva Superior",https://www.wine21.com/13_search/wine_view.html?Idx=174544&lq=LIST,보데가스 피케라스  Bodegas Piqueras,스페인(Spain) / 알만사(Almansa),모나스트렐 (Monastrell) / 가르나차  (Garnacha) / 시라/쉬라즈 (Syrah/Shiraz) / 템프라니요 (Tempranillo),,,,프렌치 오크(500L) 14개월 숙성,16~18 ℃,* Concours Mondial de Bruxelles 2019-Grand Gold* Challenge Millesime Bio 2020– Gold* Gilbert&gaillard 2020- Gold* Asia Wine Trophy-Gold* IWC 2019 - Commended* Decanter 2019– Commended,바쿠스,1/5,2/5,4/5,3/5,"블랙베리, 블루베리, 자두, 후추, 바닐라, 삼나무","스테이크, 붉은육류, 돼지고기, 양꼬치, 양갈비, 건육, 불고기, 족발, 순대, 수육, 파스타, 피자",14~15 %,
"클럼프, 핸드 인 핸드 슈패트부르군더","Klumpp, Hand in Hand Spätburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=174545&lq=LIST,바인굿 클럼프  Weingut Klumpp,독일(Germany) / 바덴(Baden),슈페트부르군더 (Spatburgunder),German Spätburgunder,,"손수확, 2주간 발효.",12개월 오크숙성,14~16 ℃,,바쿠스,2/5,2/5,3/5,2/5,"체리, 딸기, 붉은꽃, 감초, 연기, 코코아","로스트비프, 바비큐, 돼지고기, 건육, 찜닭, 게살, 불고기, 족발, 동그랑땡, 편육, 파스타, 피자, 탕수육, 그라노파다노, 콩테",13~14 %,
존 맥크렐랜드 셀러스 샤도네이,J.McClelland Cellars Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=174546&lq=LIST,스코토 패밀리 셀러스   Scotto Family Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),,,,프렌치 오크 24개월 숙성 (70% new),10~12 ℃,* Ultimate Wine Challenge – 93pts* James Suckling – 91pts* Artisan Awards – gold* Dan Berger Wine Competition - Silver,바쿠스,1/5,2/5,4/5,1/5,"서양배, 사과, 시트러스, 감귤, 구아바, 열대과일, 바닐라, 아몬드, 호두, 오크","돼지고기, 닭강정, 오리로스, 치킨, 생선구이, 생선찜, 시푸드, 해산물, 오일파스타, 중국요리, 탕수육, 동남아요리, 아시아요리",13~14 %,
존 맥크렐랜드 셀러스 까베르네 소비뇽,J.McClelland Cellars Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=174547&lq=LIST,스코토 패밀리 셀러스   Scotto Family Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),Californian Bordeaux Blend,,,프렌치 오크 30개월 숙성,16~18 ℃,* Orange County Fair Wine Comp – Silver* James Suckling – 93pts* Stateways Magazine – 95pts* Artisan Awards - gold,바쿠스,1/5,2/5,4/5,3/5,"블랙커런트, 블랙베리, 구아바, 열대과일, 바나나, 바닐라, 정향, 오크","스테이크, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 피자, 치즈, 파르미지아노, 그라노파다노, 블루치즈, 콩테",14~15 %,
"대시우드, 대시우드 말보로 소비뇽 블랑","Dashwood, Marlborough Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174548&lq=LIST,대시우드  Dashwood,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),,,"압착과 동시에 차가운 스테인리스 스틸 탱크로 이동, 소비뇽 블랑의 향을 해치지 않는 특정 효모 균주 사용. 신선한 아로마, 과일향 보존위해 저온 발효.",,8~10 ℃,* Wine orbit - 93pts* Decanter Asia Wine Awards - 90pts* Wine Spectator – 90pts* New Zealand international wine show - Gold medal,바쿠스,1/5,4/5,2/5,1/5,"구즈베리, 시트러스, 레몬, 구아바, 열대과일, 흰꽃, 꽃, 미네랄, 허브","초밥, 생선회, 사시미, 시푸드, 해산물, 나물, 오일파스타, 중국요리, 동남아요리, 아시아요리, 식전주, 샐러드, 리코타, 크림치즈, 모짜렐라",12~13 %,
"대시우드, 말보로 피노누아","Dashwood, Marlborough Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174549&lq=LIST,대시우드  Dashwood,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),,,수확 이후 포도의 줄기를 즉시 제거해 스테인리스 스틸 탱크에 넣어 장시간 저온 숙성 이후 발효.,프렌치 오크에서 11개월 숙성.,14~16 ℃,* Wine orbit - 91pts,바쿠스,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 정향","로스트비프, 까르파치오, 바비큐, 돼지고기, 건육, 훈제오리, 생선구이, 생선찜, 보쌈, 불고기, 편육, 수육, 오일파스타, 크림파스타, 콩테",13~14 %,
"칸티나 칼테른, 메를로 카베르네","Cantina Kaltern, Merlot Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=174550&lq=LIST,칸티나 칼테른  Cantina Kaltern,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),메를로 (Merlot) 45% / 카베르네 소비뇽 (Cabernet Sauvignon) 55%,,,,,16~18 ℃,,씨에스알와인,1/5,4/5,3/5,3/5,체리,"소고기, 치즈",,
"칸티나 칼테른, 피노 네로 리제르바 잘트너","Cantina Kaltern, Pinot Nero Reserva Saltner",https://www.wine21.com/13_search/wine_view.html?Idx=174551&lq=LIST,칸티나 칼테른  Cantina Kaltern,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 네로 (Pinot Nero) 100%,,,,,14~16 ℃,,씨에스알와인,1/5,4/5,2/5,2/5,"체리, 라스베리, 꽃","소고기, 스테이크, 그라노파다노, 치즈",,
"칸티나 칼테른, 피노 그리지오","Cantina Kaltern, Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=174552&lq=LIST,칸티나 칼테른  Cantina Kaltern,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 그리지오 (Pinot Grigio) 100%,,,,,14~16 ℃,,씨에스알와인,1/5,3/5,1/5,1/5,"배, 파인애플, 바나나","생선 까르파치오, 버섯",,
"칸티나 칼테른, 게부르츠트라미너 캄파너","Cantina Kaltern, Gewurztraminer Campaner",https://www.wine21.com/13_search/wine_view.html?Idx=174553&lq=LIST,칸티나 칼테른  Cantina Kaltern,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,,,,,10~12 ℃,,씨에스알와인,1/5,3/5,2/5,1/5,"리치, 장미, 시나몬, 세이지","생선조림, 동남아요리",,
"스토리텔러, 피노 누아","Storyteller, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174554&lq=LIST,스토리텔러  Storyteller,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir),Californian Pinot Noir,,,6~8개월간 프렌치 오크(35~40%)에서 숙성,14~16 ℃,"* 미국 내수 판매용으로 시작하였으며, 2022년부터 해외 수출이 허융된 후 2023년 한국에 최초 출시된 와인.* 2022 Las Vegas Global Wine Awards - Silver",롯데칠성음료,1/5,3/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 바닐라, 오크","로스트비프, 까르파치오, 꼬치구이, 바비큐, 건육, 훈제오리, 오리로스, 연어, 해산물, 보쌈, 편육, 수육, 치즈, 파르미지아노, 그라노파다노, 콩테, 모짜렐라",14~15 %,
"브레드&버터, 리저브 샤도네이","Bread&Butter, Reserve Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174555&lq=LIST,브레드&버터  Bread&Butter,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),샤르도네 (Chardonnay),Californian Chardonnay,,,35% 프렌치 뉴오크에서 숙성,10~12 ℃,,롯데칠성음료,1/5,3/5,4/5,1/5,"시트러스, 자몽, 구아바, 열대과일, 리치, 바닐라, 오크","그릴요리, 꼬치구이, 건육, 닭강정, 후라이드, 닭고기, 중국요리, 탕수육",14~15 %,
"키무라 셀러, 소비뇽 블랑","Kimura Cellars, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174556&lq=LIST,키무라 셀라  Kimura Cellars,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),New Zealand Sauvignon Blanc,,,,8~10 ℃,,에노테카코리아,1/5,3/5,2/5,1/5,"시트러스, 자몽, 열대과일, 멜론, 패션프루트, 미네랄, 허브","초밥, 생선회, 해산물, 중국요리, 동남아요리, 아시아요리, 샐러드, 과일, 견과류",,
"키무라 셀러, 와인메이커스 블렌드","Kimura Cellars, Winemaker's blend",https://www.wine21.com/13_search/wine_view.html?Idx=174557&lq=LIST,키무라 셀라  Kimura Cellars,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),게뷔르츠트라미너 (Gewurztraminer) / 리슬링 (Riesling) / 피노 그리 (Pinot Gris),New Zealand Riesling,,부드럽게 압착. 대부분의 주스는 저온에서 스테인리스 탱크에서 발효.,"일부(8%) 프렌치 오크통에서 발효, 병입 전 블렌딩.",8~10 ℃,,에노테카코리아,1/5,3/5,3/5,1/5,"시트러스, 열대과일, 패션프루트, 잭프루트, 꽃, 허브","베이컨, 꼬치구이, 소시지, 돼지고기, 건육, 양념치킨, 닭강정, 후라이드, 오리고기, 닭고기, 생선구이, 생선 까르파치오, 조개구이, 동남아요리, 아시아요리, 튀김, 샐러드, 과일, 치즈",,
"올 세인츠 이스테이트, 루더글렌 머스캣","All Saints Estate, Rutherglen Muscat",https://www.wine21.com/13_search/wine_view.html?Idx=174558&lq=LIST,올 세인츠 이스테이트  All Saints Estate,호주(Australia) / 빅토리아(Victoria) / 루더글렌(Rutherglen),뮈스까 (Muscat),,,,,8~10 ℃,,,3/5,4/5,2/5,3/5,"건포도, 비스켓, 버터, 오크","서양요리, 중국요리, 아시아요리, 전채요리",,
"지공다스 라 까브, 시테르 드 보아 뇌프","Gigondas la Cave, Syterres de Bois Neuf",https://www.wine21.com/13_search/wine_view.html?Idx=174559&lq=LIST,지공다스 라 까브  Gigondas la Cave,프랑스(France) / 론(Rhone) / 지공다스(Gigondas),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre) / 쌩쏘 (Cinsault),Southern Rhône Red,Gigondas AOC(AOP),,12개월간 100% 새 오크 통에서 숙성.,16~18 ℃,* 2017 빈티지 - Jeb Dunnuck 94,하이트진로,1/5,3/5,0/5,4/5,"블랙체리, 블랙베리, 블루베리, 육두구, 후추, 정향, 페이스트리, 삼나무, 코코아, 오크","스튜, 스테이크, 붉은육류, 양갈비, 양고기, 푸아그라, 찜닭, 양념갈비, 갈비찜, 서양요리, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,"스튜, 양고기와 잘 어울린다."
"마리타나 빈야즈, 레 루스 피노 누아","Maritana Vineyards, Le Russe Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174560&lq=LIST,마리타나 빈야즈  Maritana Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),Californian Pinot Noir,,"러시안 리버밸리의 마르텔라 빈야드, 브라운 과 마르티넬리 리버로드 에서 재배한 고품질 피노 누아를 블렌딩.","프렌치 오크배럴 (뉴오크 75%, 한번 쓴 오크 25%)에서 숙성.",14~16 ℃,,나라셀라,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 오크","로스트비프, 까르파치오, 바비큐, 건육, 오리고기, 훈제오리, 보쌈, 불고기, 크림파스타, 치즈, 체다, 그라노파다노, 리코타",,
"마리타나 빈야즈, 젠킨스 랜치 싱글 빈야드 피노 누아","Maritana Vineyards, Jenkins Ranch Single Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174561&lq=LIST,마리타나 빈야즈  Maritana Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),Californian Pinot Noir,,,,14~16 ℃,,나라셀라,1/5,0/5,3/5,2/5,"체리, 딸기, 라스베리, 헤이즐넛, 오크","로스트비프, 까르파치오, 바비큐, 양꼬치, 건육, 훈제오리, 보쌈, 불고기, 편육, 치즈, 까망베르, 그라노파다노, 리코타, 크림치즈, 모짜렐라",,
"킨타 두 노발, 나시오날 빈티지 포트","Quinta do Noval, Nacional Vintage",https://www.wine21.com/13_search/wine_view.html?Idx=174562&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 까오 (Tinta Cao),Portuguese Port,Porto DOC(DOP),최고의 특별한 떼루아의 포도원 구획에서 생산한 포도로 만들며 뛰어난 빈티지만 생산.,2년간 오크 캐스크에서 숙성.,14~16 ℃,"* 2011 빈티지 - 로버트 파커 100대 와인, 제임스 서클링 100대 와인* 죽기 전에 꼭 마셔봐야 할 와인 1001* 와인서쳐 발표, 세계 최고의 와인 베스트 10",하이트진로,4/5,2/5,5/5,2/5,,,19~20 %,
"킨타 두 노발, 빈티지 포트","Quinta do Noval, Vintage",https://www.wine21.com/13_search/wine_view.html?Idx=174563&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴토 까오 (Tinto Cao),Portuguese Port,Porto DOC(DOP),,18개월 오크 캐스크에서 숙성.,14~16 ℃,,하이트진로,4/5,2/5,5/5,2/5,,,19~20 %,
"킨타 두 노발, 콜레이타 토니 포트","Quinta do Noval, Colheita Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=174564&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 까오 (Tinta Cao),Portuguese Port,Porto DOC(DOP),싱글 빈야드에서 작황이 뛰어난 해에만 한정 생산. 라갸르(Lagares)라고 불리는 전통 발효조에서 포도를 발로 밟아 으깨어 과즙 추출.,병입 전까지 오크 배럴에서 숙성을 하는데 약 15년간 숙성 후 첫번째로 병입한 와인.,12~14 ℃,,하이트진로,4/5,2/5,5/5,2/5,,,21~22 %,
"킨타 두 노발, 노발 20년 토니 포트","Quinta do Noval, Noval 20 Year Old Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=174565&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 까오 (Tinta Cao),Portuguese Port,Porto DOC(DOP),,각기 다른 빈티지를 평균 20년간 오크 캐스크에서 숙성 후 병입.,12~14 ℃,* Wine Spectator-95 / Decanter-96,하이트진로,4/5,2/5,4/5,2/5,,,19~20 %,
"킨타 두 노발, 노발 10년 토니 포트","Quinta do Noval, Noval 10 Year Old Tawny Por",https://www.wine21.com/13_search/wine_view.html?Idx=174566&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 까오 (Tinta Cao) / 틴타 로리즈 (Tinta Roriz),Portuguese Port,Porto DOC(DOP),,각기 다른 빈티지를 평균 10년간 오크 캐스크에서 숙성 후 병입.,12~14 ℃,,하이트진로,4/5,2/5,4/5,2/5,,,19~20 %,
"킨타 두 노발, 레이트 보틀드 빈티지 포트","Quinta do Noval, LBV Port",https://www.wine21.com/13_search/wine_view.html?Idx=174567&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 까오 (Tinta Cao) / 틴타 로리즈 (Tinta Roriz),Portuguese Port,Porto DOC(DOP),라갸르(Lagares)라고 불리는 전통 발효조에서 포도를 발로 밟아 으깨어 과즙 추출.,큰 오크 배럴에서 4년간 숙성한 뒤 병입. 30년간 사용된 나무 배럴을 사용,14~16 ℃,,하이트진로,4/5,2/5,5/5,2/5,,,19~20 %,
"킨타 두 노발, 노발 리져브 토니 포트","Quinta do Noval, Noval Tawny Reserve Port",https://www.wine21.com/13_search/wine_view.html?Idx=174568&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),틴타 로리즈 (Tinta Roriz) / 틴타 프란카  (Tinta Franca) / 틴타 바로카 (Tinta Barroca),Portuguese Port,Porto DOC(DOP),온도 조절 스테인레스 스틸 탱크에서 발효.,5~6년간 오크통에서 숙성.,12~14 ℃,,하이트진로,4/5,2/5,4/5,2/5,,,19~20 %,
"킨타 두 노발, 노발 토니 포트","Quinta do Noval, Noval Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=174569&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 투리가 프란카 (Touriga Franca),Portuguese Port,Porto DOC(DOP),,엄선한 오크 통에서 3년간 숙성.,12~14 ℃,,하이트진로,4/5,2/5,4/5,2/5,,,19~20 %,
"킨타 두 노발, 노발 파인 루비 포트","Quinta do Noval, Noval Fine Ruby Port",https://www.wine21.com/13_search/wine_view.html?Idx=174570&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 프란카  (Tinta Franca),Portuguese Port,Porto DOC(DOP),,2~3년 간 큰 오크 통에서 숙성.,14~16 ℃,,하이트진로,4/5,2/5,4/5,2/5,,,19~20 %,
"킨타 두 노발, 노발 엑스트라 드라이 화이트 포트","Quinta do Noval, Noval Extra Dry White Port",https://www.wine21.com/13_search/wine_view.html?Idx=174571&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 포르토(Porto),말바시아 피나 (Malvasia Fina) / 고바이오 (Gouveio) / 라비가토 (Rabigato) / 코데가 (Codega),Portuguese Port,Porto DOC(DOP),"원액의 반은 침용을 하고, 다른 반은 침용 없이 발효.","90%는 오래된 나무에서 숙성하고, 10% 스테인레스 스틸 통에서 약 2년간 숙성한 뒤 블렌딩.",12~14 ℃,,하이트진로,3/5,3/5,3/5,1/5,,,19~20 %,
"킨타 두 노발, 투리가 나시오날","Quinta do Noval, Touriga Nacional",https://www.wine21.com/13_search/wine_view.html?Idx=174572&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional),Portuguese Douro Red,Porto DOC(DOP),,"프렌치 오크 배럴에서 11개월간 숙성하는데, 30%는 새 오크 배럴을 사용.",16~18 ℃,,하이트진로,1/5,2/5,4/5,3/5,,,14~15 %,
"킨타 두 노발, 세드루 두 노발 레드","Quinta do Noval, Cedro do Noval Red",https://www.wine21.com/13_search/wine_view.html?Idx=174573&lq=LIST,킨타 두 노발  Quinta do Noval,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 시라/쉬라즈 (Syrah/Shiraz) / 틴타 까오 (Tinta Cao),Portuguese Douro Red,Duriense IGP,,"프렌치 오크 배럴에서 10개월간 숙성하는데, 12%는 새 오크 배럴을 사용.",16~18 ℃,,하이트진로,1/5,3/5,4/5,3/5,,,14~15 %,
"제라르 베르트랑, 아트 비브르 루즈","Gerard Bertrand, Art de Vivre Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=174574&lq=LIST,제라르 베르트랑  Gerard Bertrand,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre),Languedoc-Roussillon Red,Languedoc AOC(AOP),늦은 수확 진행(9월말~10월중순). 손 수확. 스테인레스 탱크 발효,일부 8개월간 오크배럴에서 숙성,16~18 ℃,* 2015 빈티지 -2019 Wine Spectator Top 100,하이트진로,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 체리, 라스베리, 자두, 후추, 바닐라, 허브","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양고기, 불고기, 양념갈비, 갈비찜, 체다, 고다, 에멘탈, 고르곤졸라, 스모크",,
"펠리스 솔리스, 킹핀 화이트","Felix Solis, Kingpin White",https://www.wine21.com/13_search/wine_view.html?Idx=174575&lq=LIST,펠리스 솔리스  Felix Solis,스페인(Spain) / 라 만차(La Mancha),소비뇽 블랑 (Sauvignon Blanc) / 샤르도네 (Chardonnay) / 베르데호 (Verdejo),Spanish Verdejo,,최대 15도에서 20~25일 스테인레스 탱크에서 발효. 2~3개월 낮은 온도 숙성.,프렌치 오크에서 3개월 숙성. 지속적 펌핑 오버.,6~8 ℃,,동원와인플러스,1/5,2/5,3/5,1/5,"살구, 복숭아, 배, 서양배, 시트러스, 감귤, 열대과일, 리치, 바닐라","항정살, 돼지고기, 닭강정, 오리로스, 치킨, 연어, 참치, 장어, 해산물, 편육, 만두, 수육, 파스타, 서양요리, 중국요리, 탕수육, 복숭아, 크림치즈, 모짜렐라",12~13 %,
"디흘레 까데, 메모아","Dirler Cade, Memoire",https://www.wine21.com/13_search/wine_view.html?Idx=174576&lq=LIST,디흘레 까데  Dirler Cade,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) / 게뷔르츠트라미너 (Gewurztraminer) / 피노 그리 (Pinot Gris) / 뮈스까 (Muscat) / 오쎄후와 (Auxerrois),Alsace Riesling,Alsace AOC(AOP),,,8~10 ℃,"* 유기농 인증(AB), 비오디나미 인증(Biodyvin)",하이트진로,1/5,4/5,3/5,1/5,"청사과, 복숭아, 배, 시트러스, 미네랄","꼬치구이, 돼지고기, 양념치킨, 닭강정, 문어숙회, 조개구이, 오일파스타, 중국요리, 동남아요리, 아시아요리, 치즈, 크림치즈, 모짜렐라",,
"비냐 사스트레, 로사도","Vina Sastre, Rosado",https://www.wine21.com/13_search/wine_view.html?Idx=174577&lq=LIST,비냐 사스트레  Vina Sastre,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo),,,평균 수령 30년.,,10~12 ℃,,하이트진로,1/5,2/5,3/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 허브","돼지고기, 건육, 닭강정, 후라이드, 훈제오리, 연어, 참치, 보쌈, 족발, 순대, 떡볶이, 오일파스타, 햄버거, 중국요리, 치즈, 크림치즈, 모짜렐라",,
"라 콘레리아, 레스 브루게레스 프리오랏 네그레","La Conreria, Les Brugueres Priorat Negre",https://www.wine21.com/13_search/wine_view.html?Idx=174578&lq=LIST,라 콘레리아 디스칼라 데이  La Conreria d'Scala Dei,스페인(Spain) / 까탈루냐(Cataluna) / 프리오랏(Priorat),가르나차 (Garnatxa) / 시라/쉬라즈 (Syrah/Shiraz),Spanish Priorat Red,Priorat DOCa(DOQ),토착 효모로 첫 발효를 진행.,"70%는 300리터 오크에서, 나머지 30%는 스테인리스에서 10개월간 숙성.",16~18 ℃,,하이트진로,1/5,3/5,3/5,3/5,"블랙체리, 체리, 딸기, 자두, 붉은꽃, 미네랄, 후추, 바닐라, 정향, 허브","그릴요리, 스테이크, 붉은육류, 바비큐, 돼지고기, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 족발, 순대, 파스타, 리조토, 자두, 치즈",,"흰살과 붉은살 육류, 등푸른생선, 리조토, 치즈, 파스타와 잘 어울린다."
"마스 덴 질, 코마 벨라 프르미에 크뤼","Mas d'en Gil, Coma Vella 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=174579&lq=LIST,마스 덴 질  Mas d'en Gil,스페인(Spain) / 까탈루냐(Cataluna) / 프리오랏(Priorat),가르나차 네그라 (Garnatxa Negra) 50% / 가르나차 펠루다 (Garnatxa Peluda) 20% / 까리네나 (Carinena) 20% / 시라/쉬라즈 (Syrah/Shiraz) 10%,Spanish Priorat Red,Priorat DOCa(DOQ),,,16~18 ℃,,하이트진로,1/5,4/5,3/5,3/5,"레드커런트, 블랙체리, 체리, 자두, 미네랄, 감초, 오크","그릴요리, 스테이크, 붉은육류, 바비큐, 양고기, 건육, 보쌈, 불고기, 족발, 순대, 서양요리, 자두, 견과류, 치즈, 파르미지아노, 브리, 고르곤졸라, 스모크",14~15 %,"스테이크, 그릴요리, 바비큐, 양고기, 치즈와 잘 어울린다."
