와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
"보글, 올드 바인 진판델","Bogle, Old Vine Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=165717&lq=LIST,보글 빈야드  Bogle Vineyards,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),진판델 (Zinfandel) 100%,,15~17 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,4/5,,"살라미, 견과류, 치즈",*2018 Wine Enthusiast Best Buy,,14~15 %,,
"마크 헤롤드, 콜라이드","Mark Herold, Collide Red Wine",https://www.wine21.com/13_search/wine_view.html?Idx=165719&lq=LIST,마크 헤롤드  Mark Herold,미국(U.S.A) / 캘리포니아(California),쁘띠 시라  (Petite Sirah) 42% / 템프라니요 (Tempranillo) 30% / 그라시아노 (Graciano) 25% / 까리냥 (Carignan/Carignane) 3%,,15~17 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,4/5,,"붉은육류, 햄, 양갈비, 치킨",*2015 빈티지: Antonio Galloni Vinous 92점*2013 빈티지: Robert Parker 89점,California AVA,15~16 %,,
"마크 헤롤드, 플럭스","Mark Herold, Flux Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=165720&lq=LIST,마크 헤롤드  Mark Herold,미국(U.S.A) / 캘리포니아(California),그르나슈 (Grenache) 77% / 무르베드르 (Mourvedre) 13% / 시라/쉬라즈 (Syrah/Shiraz) 10%,Californian Red Blend,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,4/5,,양갈비,*2015 빈티지: Antonio Galloni Vinous 90점*2014 빈티지: Robert Parker 87점,California AVA,14~15 %,,
"마크 헤롤드, 아차","Mark Herold, Acha Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=165721&lq=LIST,마크 헤롤드  Mark Herold,미국(U.S.A) / 캘리포니아(California),템프라니요 (Tempranillo) 100%,,15~17 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 순대, 한국음식 과 잘 어울린다.",동원와인플러스,1/5,4/5,4/5,3/5,,"하몽, 견과류, 치즈",*2010 빈티지: Robert Parker 92점,California AVA,15~16 %,,
"링구아 프랑카, 벙커 힐 샤르도네","Lingua Franca, Bunker Hill Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165723&lq=LIST,링구아 프랑카  Lingua Franca,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),샤르도네 (Chardonnay) 100%,Oregon Chardonnay,10~12 ℃,"오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,1/5,"시트러스, 레몬껍질, 레몬, 꽃, 미네랄, 부싯돌, 건초, 허브","오리로스, 연어, 참치, 장어, 해산물, 랍스터, 조개구이, 킹크랩, 중국요리, 탕수육, 치즈, 고다, 브리",* 2021 빈티지 - 2024 미-일 정상회담 만찬주 선정* 2019 빈티지 - Jeb Dunnuck 97점,,12~13 %,발효 후 11개월 숙성. 말로락틱 발효 후 밀폐된 탱크에서 5개월 앙금 숙성 후 병입,"전송이 압착. 평균 24시간 동안 탱크에 침전. 다양한 통에서 얻은 새 600리터 펀천 22%와, 올드 프렌치 오크 바리크 78%를 발효."
"링구아 프랑카, 더 플로우 피노 누아","Lingua Franca,The Plow Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=165724&lq=LIST,링구아 프랑카  Lingua Franca,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,Oregon Pinot Noir,14~16 ℃,,(주)와이넬,1/5,4/5,3/5,3/5,"블랙커런트, 블랙체리, 체리, 자두, 장미, 꽃, 바닐라, 시나몬, 홍차, 삼나무, 흑연","송아지, 로스트비프, 스테이크, 양갈비, 푸아그라, 훈제오리, 파스타, 크림파스타, 리조토, 버섯, 트러플, 자두, 치즈, 그라노파다노, 테트드무안, 콩테",* 2021 빈티지 - Jeb Dunnuck 98점,Eola-Amity Hills AVA,13~14 %,"와인의 25%는 뉴 오크, 75%는 올드 프렌치 오크 바리크에서 각각 12개월 동안 숙성된 후, 밀폐된 탱크에 블렌딩되어 5개월간 추가 숙성을 거친 후 병입.",손 수확. 야생 효모 발효. 25% 전송이 발효.
"링구아 프란카, 피노누아 텅 앤 치크","Lingua Franca, Pinot Noir Tongue'n Cheek",https://www.wine21.com/13_search/wine_view.html?Idx=165725&lq=LIST,링구아 프랑카  Lingua Franca,미국(U.S.A) / 오리건(Oregon),피노 누아 (Pinot Noir) 100%,Oregon Pinot Noir,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",동원와인플러스,1/5,5/5,3/5,3/5,,"파스타, 버섯, 치즈","*2015 빈티지: Wine Spectator 94점, Wine Enthusiast 92점*2017 Wine Spectator Top 100 70위",,13~14 %,,
"링컨 에스테이트, 샤르도네","Lincoln Estate, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165726&lq=LIST,링컨 에스테이트 와인즈  Lincoln Estate Wines,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay) 100%,Australian Chardonnay,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",동원와인플러스,1/5,3/5,2/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,12~13 %,,
"슈베르트, 셀력센 S 피노 누아","Schubert, Selection S Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=165727&lq=LIST,슈베르트 와인즈  Schubert Wines,뉴질랜드(New Zealand),피노 누아 (Pinot Noir) 100%,New Zealand Pinot Noir,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,,"파스타, 버섯, 치즈",,,15~16 %,,
"몽그라스, 까베르네 소비뇽","Montgras, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165728&lq=LIST,몽그라스  MontGras,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,15~17 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,,"버섯, 치즈",,,13~14 %,,
"몽그라스, 에스테이트 쉬라","Montgras, Estate Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=165729&lq=LIST,몽그라스  MontGras,칠레(Chile) / 센트럴 밸리(Central Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Chilean Syrah,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",동원와인플러스,1/5,3/5,4/5,3/5,,"스테이크, 양갈비",,,13~14 %,,
"몽그라스, 아우라 까베르네 소비뇽","Montgras, Aura Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165730&lq=LIST,몽그라스  MontGras,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,15~17 ℃,"붉은 육류, 양념갈비, 갈비찜, 불고기, 보쌈, 족발, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,,"버섯, 치즈",,,13~14 %,,
"몽그라스, 아우라 멜롯","Montgras, Aura Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=165731&lq=LIST,몽그라스  MontGras,칠레(Chile) / 센트럴 밸리(Central Valley),메를로 (Merlot) 100%,Chilean Merlot,15~17 ℃,"로스트비프, 바비큐, 소시지, 오리고기, 닭고기, 치킨, 파스타, 피자와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,,,,,13~14 %,,
"몽그라스, 아우라 샤도네","Montgras, Aura Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165732&lq=LIST,몽그라스  MontGras,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",동원와인플러스,1/5,3/5,2/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,12~13 %,,
"몽그라스, 레이트 하비스트","Montgras, Late Harvest",https://www.wine21.com/13_search/wine_view.html?Idx=165733&lq=LIST,몽그라스  MontGras,칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),소비뇽 블랑 (Sauvignon Blanc) 75% / 게뷔르츠트라미너 (Gewurztraminer) 25%,,10~12 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",동원와인플러스,5/5,1/5,3/5,1/5,,샐러드,,,13~14 %,,
"몽그라스, 안투 샤도네이","Montgras, Antu Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165734&lq=LIST,몽그라스  MontGras,칠레(Chile) / 아콩카구아(Aconcagua) / 카사블랑카 밸리(Casablanca Valley),샤르도네 (Chardonnay) 100%,Chilean Chardonnay,10~12 ℃,"파스타, 치킨, 칠면조, 허브를 곁들인 생선 요리와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,1/5,"감귤, 열대과일, 토스트",파스타,,,13.5~14.5 %,,
"끌로 케브라다 드 마쿨, 페냐롤렌","Clos Quebrada de Macul, Penalolen",https://www.wine21.com/13_search/wine_view.html?Idx=165735&lq=LIST,끌로 케브라다 드 마쿨  Clos Quebrada de Macul,칠레(Chile),카베르네 소비뇽 (Cabernet Sauvignon) 75% / 카베르네 프랑 (Cabernet Franc) 10% / 메를로 (Merlot) 8% / 쁘띠 베르도 (Petit Verdot) 7%,Chilean Bordeaux Blend,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",동원와인플러스,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈","*2015 빈티지: Wine Spectator 86점, Wine Enthusiast 82점",,13~14 %,,
"깔리아, 블렌드 말벡","Callia, Blended Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=165737&lq=LIST,보데가 깔리아  Bodegas Callia,아르헨티나(Argentina) / 산 후안(San Juan),말벡 (Malbec),Argentinian Malbec,15~17 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",동원와인플러스,1/5,3/5,4/5,3/5,,"스테이크, 중국요리",,,14~15 %,,
"니콜라 로시뇰, 볼네 프리미에 크뤼 '타이으피에'","Nicolas Rossignol, Volnay 1er Cru 'Taillepieds'",https://www.wine21.com/13_search/wine_view.html?Idx=165739&lq=LIST,니콜라 로시뇰  Nicolas Rossignol,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,미네랄,,,,,,
"도멘 아르노 에 소피, 본 로마네","Domaine Arnaud et Sophie, Vosne Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=165742&lq=LIST,도멘 아르노 에 소피  Domaine Arnaud et Sophie,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,체리,,,Vosne-Romanée AOC(AOP),,,
"도멘 아르노 에 소피, 부르고뉴 파스투그랭 로제","Domaine Arnaud et Sophie, Bourgogne Passetoutgrains Rose",https://www.wine21.com/13_search/wine_view.html?Idx=165743&lq=LIST,도멘 아르노 에 소피  Domaine Arnaud et Sophie,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 가메이 (Gamay),Burgundy Red,12~14 ℃,가벼운 음식 등과 잘 어울린다.,에노테카코리아,1/5,4/5,3/5,2/5,,,,Bourgogne Passe-Tout-Grains AOC(AOP),,,
"라 마테오, 가르나차","La Mateo, Garnacha",https://www.wine21.com/13_search/wine_view.html?Idx=165744&lq=LIST,보데가스 디. 마테오스  Bodegas D. Mateos,스페인(Spain) / 리오하(Rioja),가르나차  (Garnacha) 100%,Spanish Grenache,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,4/5,3/5,2/5,,"스테이크, 양갈비",,,15~16 %,,
"라 마테오, 싱글 빈야드","La Mateo, Parcelas Singulares",https://www.wine21.com/13_search/wine_view.html?Idx=165745&lq=LIST,보데가스 디. 마테오스  Bodegas D. Mateos,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 가르나차  (Garnacha) / 마주엘로 (Mazuelo),Spanish Red,15~17 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 순대, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"하몽, 견과류, 치즈",,,14~15 %,,
"라 마테오, 이셀렌 틴토","La Mateo, Iselen Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=165746&lq=LIST,보데가스 디. 마테오스  Bodegas D. Mateos,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) 80% / 가르나차  (Garnacha) 20%,Spanish Red,15~17 ℃,"양념갈비, 불고기, 하몽, 말린과일, 견과류, 크림 치즈, 순대, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"하몽, 견과류, 치즈",,,13~14 %,,
"루이 로드레, 크리스탈 로제 비노테크","Louis Roederer, Cristal Rose Vinotheque 96",https://www.wine21.com/13_search/wine_view.html?Idx=165747&lq=LIST,루이 로드레  Louis Roederer,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),French Champagne,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",에노테카코리아,1/5,4/5,2/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",,,,,
"루이 로드레, 크리스탈 비노테크","Louis Roederer, Cristal Vinotheque",https://www.wine21.com/13_search/wine_view.html?Idx=165748&lq=LIST,루이 로드레  Louis Roederer,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 40% / 피노 누아 (Pinot Noir) 60%,French Champagne,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",에노테카코리아,1/5,4/5,2/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",,,,,
"마르케스 데 무리에타, 카스틸로 이가이 블랑","Marques de Murrieta, Castillo Ygay Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165749&lq=LIST,마르케스 데 무리에타  Marques de Murrieta,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),비우라 (Viura) 97% / 말바시아 (Malvasia) 3%,Spanish Rioja White,13~15 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,"레몬, 파인애플, 꽃, 아몬드, 오크","스시, 해산물, 식전주, 전채요리, 스낵","*1986 빈티지: Robert Parekr 100점, James Suckling 100점",,13~14 %,,
"클레인 콘스탄시아, 메티스 소비뇽 블랑","Klein Constantia, Metis Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165750&lq=LIST,클레인 콘스탄시아  Klein Constantia,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 콘스탄시아(Constantia),소비뇽 블랑 (Sauvignon Blanc) 100%,South African Sauvignon Blanc,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",비티스 / 에노테카코리아,1/5,3/5,3/5,1/5,"시트러스, 라임, 레몬, 미네랄, 밀싹","가금류, 해산물, 오일파스타, 식전주, 샐러드, 치즈",,,13~14 %,"80%는 스테인리스 스틸 탱크에서, 20%는 오크통에서 12개월간 숙성 후 블렌딩.",
"무릴라, 프락시스 샤르도네 뮈스케","Moorilla, Praxis Chardonnay Muque",https://www.wine21.com/13_search/wine_view.html?Idx=165751&lq=LIST,무릴라  Moorilla,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) 98.5% / 게뷔르츠트라미너 (Gewurztraminer) 1.5%,Australian Chardonnay,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,"복숭아, 자스민, 사향","바비큐, 수육, 탕수육, 복숭아, 치즈",,,,,
"무릴라, 프락시스 스파클링 리슬링","Moorilla, Praxis Sparkling Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=165752&lq=LIST,무릴라  Moorilla,호주(Australia) / 태즈매니아(Tasmania),리슬링 (Riesling) 100%,,6~8 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,"열대과일, 꽃",해산물,,,13~14 %,,
브루노 지아코사 네비올로 달바 비냐 발마지오레,Bruno Giacosa Nebbiolo d'Alba Vigna Valmaggiore,https://www.wine21.com/13_search/wine_view.html?Idx=165753&lq=LIST,부르노 지아코사  Bruno Giacosa,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),네비올로 (Nebbiolo) 100%,Italian Nebbiolo,15~17 ℃,"붉은육류, 트러플, 훈제오리, 치킨, 바비큐, 라자냐, 파스타, 치즈와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,4/5,아몬드,"붉은육류, 바비큐, 트러플, 치즈","*2016 빈티지: Robert Parker 93점, Wine Spectator 90점",,14~15 %,,
"브루노 지아코사, 돌체토 달바 팔레또","Bruno Giacosa, Dolcetto d'Alba Falletto",https://www.wine21.com/13_search/wine_view.html?Idx=165754&lq=LIST,부르노 지아코사  Bruno Giacosa,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),돌체토 (Dolcetto) 100%,Northern Italy Red,15~17 ℃,"돼지고기, 햄, 베이컨, 바비큐, 닭고기, 흰살생선, 생선찜, 프로슈토, 전, 동그랑땡, 편육, 파스타 와 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,미네랄,"프로슈토, 닭고기, 파스타",*2015 빈티지: Wine Spectator 92점,,,,
비유 텔레그라프 샤또네프 뒤 파프 '피에롱',Vieux Telegraphe Chateauneuf du Pape 'Piedlong',https://www.wine21.com/13_search/wine_view.html?Idx=165755&lq=LIST,도멘 뒤 비유 텔레그라  Domaine du Vieux Telegraphe,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) 90% / 무르베드르 (Mourvedre) 10%,Southern Rhône Red,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,3/5,"배, 후추","바비큐, 양념갈비, 치즈","*2014 빈티지: Wine Spectator 92점*2013 빈티지: Wine Spectator 92점, Robert Parker 90점",,14~15 %,,
"와인 컵, 메를로","Wine Cup, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=165756&lq=LIST,보테르  Botter,이탈리아(Italy) / 베네토(Veneto),메를로 (Merlot) 100%,Northern Italy Red,18~20 ℃,"로스트비프, 바비큐, 소시지, 오리고기, 닭고기, 치킨, 파스타, 피자와 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,3/5,,,,,12 %,,
"와인 컵, 샤르도네","Wine Cup, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165757&lq=LIST,보테르  Botter,이탈리아(Italy) / 베네토(Veneto),샤르도네 (Chardonnay) 100%,Northern Italy White,6~8 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,꽃,"바비큐, 수육, 탕수육, 치즈",,,12 %,,
"쟝 클로드 쿠르토, 샤블리 프르미에 크뤼 '보루아'","Jean-Claude Courtault, Chablis 1er Cru 'Beauroy'",https://www.wine21.com/13_search/wine_view.html?Idx=165758&lq=LIST,도멘 쟝 클로드 쿠르토  Domaine Jean-Claude Courtault,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 샤블리 프리미에 크뤼(Chablis Premier Cru),샤르도네 (Chardonnay) 100%,Burgundy Chablis,8~10 ℃,"크림 소스의 생선요리, 가금류, 송아지 요리, 익힌 굴 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,"미네랄, 바닐라, 토스트, 아몬드, 오크","송아지, 가금류",,,,,
"쟝테 팡시오, 모레 생 드니","Geantet Pansiot, Morey Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=165759&lq=LIST,쟝테 팡시오  Geantet-Pansiot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,2/5,,"파스타, 버섯, 치즈",,,,,
"쟝테 팡시오, 샹볼 뮈지니 프리미에 크뤼 샤름","Geantet Pansiot, Chambolle Musigny 1er Cru Charmes",https://www.wine21.com/13_search/wine_view.html?Idx=165760&lq=LIST,쟝테 팡시오  Geantet-Pansiot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,,,,,,,
"프랑수아 럼, 지브리 1er 크뤼 아 비뉴 루즈","Francois Lumpp, Givry 1er Cru A Vigne Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=165762&lq=LIST,프랑수아 럼  Francois Lumpp,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 지브리(Givry),피노 누아 (Pinot Noir) 100%,Burgundy Côte Chalonnaise Red,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",에노테카코리아,1/5,4/5,2/5,2/5,,,,,,,
"프랑수아 프이예, 모레 생 드니","Francois Feuillet, Morey Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=165763&lq=LIST,도멘 프랑수아 프이예  Domain Francois Feuillet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,2/5,,"파스타, 버섯, 치즈",,,,,
"프랑수아 프이예, 모레 생 드니 1er 크뤼 클로 소르베","Francois Feuillet, Morey Saint Denis 1er Cru Clos Sorbe",https://www.wine21.com/13_search/wine_view.html?Idx=165764&lq=LIST,도멘 프랑수아 프이예  Domain Francois Feuillet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir) 100%,,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,3/5,배,,,,,,
"고스트 블락, 펠리사 빈야드 진판델","Ghost Blcok, Pelissa Vineyard  Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=165765&lq=LIST,고스트 블락 와이너리   Ghost Block Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),진판델 (Zinfandel) 100%,Californian Zinfandel,15~17 ℃,"붉은육류, 양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",와인투유코리아,1/5,2/5,5/5,3/5,"블랙베리, 바닐라, 오크","불고기, 견과류",* 2017 빈티지 - Connoisseurs' Guide 91점.,Napa Valley AVA,15~16 %,,
지 데스뚜르넬,G d'Estournel,https://www.wine21.com/13_search/wine_view.html?Idx=165767&lq=LIST,샤또 꼬스 데스뚜르넬  Chateau Cos d'Estournel,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),메를로 (Merlot) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Bordeaux Médoc,16~18 ℃,"붉은육류, 훈제오리, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",국순당,1/5,3/5,4/5,3/5,"체리, 라스베리, 미네랄, 유칼립투스, 민트, 카카오","붉은육류, 훈제오리, 파스타, 치즈",,Médoc AOC(AOP),,,
레리타쥬 드 샤스 스플린,L'Heritage De Chasse Spleen,https://www.wine21.com/13_search/wine_view.html?Idx=165768&lq=LIST,샤또 샤스 스플린  Chateau Chasse Spleen,프랑스(France) / 보르도(Bordeaux),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Bordeaux Red,15~17 ℃,"가금류, 송아지 고기, 치즈 플래터 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,바닐라,"송아지, 가금류, 치즈",,Haut-Médoc AOC(AOP),13~14 %,,
르 오 메독 드 라그랑쥬,Le Haut Medoc de Lagrange,https://www.wine21.com/13_search/wine_view.html?Idx=165769&lq=LIST,"샤또 라그랑쥬  Chateau Lagrange, Grand Cru Classe,3rd Cru",프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Bordeaux Médoc,15~17 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 파스타, 치즈",,Haut-Médoc AOC(AOP),,,
