와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"라 뚜레즈, 레 디 불레","La Touraize, Les Dix Bulles",https://www.wine21.com/13_search/wine_view.html?Idx=173401&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay) / 트루소 (Trousseau),8~10 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 허브","샐러드, 치즈",,,,,,,
"라 뚜레즈, 끄레망 드 쥐라","La Touraize, Cremant du Jura",https://www.wine21.com/13_search/wine_view.html?Idx=173402&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay),8~10 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"청사과, 배, 서양배, 시트러스, 꽃, 미네랄, 아몬드","샐러드, 치즈",Crémant du jura AOC(AOP),,,,,,
"라 뚜레즈, 샤르도네 레 부아진","La Touraize, Chardonnay Les Voisines",https://www.wine21.com/13_search/wine_view.html?Idx=173403&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay),10~12 ℃,"샐러드, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브","튀김, 샐러드, 치즈",,,,,,,
"라 뚜레즈, 제스테 데 샤르도네","La Touraize, Zeste de Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=173404&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay),10~12 ℃,"샐러드, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 서양배, 시트러스, 꽃, 미네랄, 허브","튀김, 샐러드, 치즈",,,,,,,
"밥 카브랄 와인즈, 큐베 앤 로즈 샤르도네 소노마 코스트","Bob Cabral Wines, Cuvee Anne Rose Chardonnay Sonoma Coast",https://www.wine21.com/13_search/wine_view.html?Idx=173405&lq=LIST,밥 카브랄 와인즈  Bob Cabral Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay),8~10 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"황도, 복숭아, 배, 사과, 열대과일, 패션프루트, 미네랄, 젖은자갈, 바닐라, 카라멜","오리고기, 훈제오리, 닭고기, 가금류, 치킨, 생선구이, 생선찜, 시푸드, 해산물, 새우, 오일파스타, 탕수육, 복숭아, 견과류, 치즈, 카망베르, 그라노파다노, 스모크",,,보틀샤크,Californian Chardonnay,,,
"라 뚜레즈, 레 물린","La Touraize, Les Moulins",https://www.wine21.com/13_search/wine_view.html?Idx=173406&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay) / 사바냥 (Savagnin),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브, 오크","튀김, 샐러드, 치즈",,,,,,,
"라 뚜레즈, 테르 블뢰","La Touraize, Terres Bleues",https://www.wine21.com/13_search/wine_view.html?Idx=173407&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,4/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브, 오크","튀김, 샐러드, 치즈",,,,,,,
"라 뚜레즈, 사바냥 옥시다티브","La Touraize, Savanin Oxydatif",https://www.wine21.com/13_search/wine_view.html?Idx=173408&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브, 아몬드, 오크","튀김, 샐러드, 치즈",,,,,,,
"라 뚜레즈, 사바냥 레불레","La Touraize, Savagnin Rebelle",https://www.wine21.com/13_search/wine_view.html?Idx=173409&lq=LIST,라 뚜레즈  La Touraize,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브, 아몬드, 오크","튀김, 샐러드, 치즈",,,,,,,
"밥 카브랄 와인즈, 큐베 트루바두르 피노누아 러시안 리버 밸리","Bob Cabral Wines, Cuvee Troubadour Pinot Noir Russian River Valley",https://www.wine21.com/13_search/wine_view.html?Idx=173410&lq=LIST,밥 카브랄 와인즈  Bob Cabral Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 정향, 허브, 버섯","로스트비프, 바비큐, 훈제오리, 닭고기, 연어, 참치, 편육, 수육, 크림파스타, 송이버섯, 치즈, 파르미지아노, 블루치즈, 꽁떼",,,보틀샤크,Californian Pinot Noir,,,
"라 솔가, 벨제 브뤼","La Sorga, Belzebrut",https://www.wine21.com/13_search/wine_view.html?Idx=173411&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),콜롱바르 (Colombard),8~10 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 토스트","해산물, 샐러드, 치즈",,,,,,,
"밥 카브랄 와인즈, 큐베 와일드플라워 드라이 리슬링 소노마 코스트","Bob Cabral Wines, Cuvee Wildflower dry Riesling Sonoma Coast",https://www.wine21.com/13_search/wine_view.html?Idx=173412&lq=LIST,밥 카브랄 와인즈  Bob Cabral Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),리슬링 (Riesling) 100%,10~12 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"백도, 배, 사과, 시트러스, 감귤, 바닐라, 삼나무, 오크","훈제오리, 오리로스, 가금류, 생선구이, 장어구이, 해산물, 편육, 수육, 오일파스타, 탕수육, 양장피, 치즈, 파르미지아노, 그라노파다노, 꽁떼",Sonoma Coast AVA,,보틀샤크,Californian Chardonnay,,17개월 숙성(60% 새 오크) 후 여과 없이 병입,
"라 솔가, 피엔알","La Sorga, PNR",https://www.wine21.com/13_search/wine_view.html?Idx=173413&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 블랑 (Grenache Blanc) / 그르나슈 누아  (Grenache Noir) / 뮈스까 달레산드리  (Muscat d'Alexandrie ),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 복숭아, 배, 시트러스, 열대과일, 꽃, 허브, 아몬드","샐러드, 치즈",,,,,,,
"라 솔가, 이터널 리투어","La Sorga, Eternel Retour",https://www.wine21.com/13_search/wine_view.html?Idx=173414&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),모작 (Mauzac),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 열대과일, 꽃","샐러드, 치즈",,,,,,,
"던 빈야드 & 레트로 셀라즈, 엘리베이션 프티 시라","Dunn Vineyared & Retro Cellars, Elevation Petite Sirah",https://www.wine21.com/13_search/wine_view.html?Idx=173415&lq=LIST,던 빈야드 & 레트로 셀라즈  Dunn Vineyared & Retro Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 하월 마운틴(Howell Mountain),쁘띠 쉬라 (Petit Syrah) / 시라/쉬라즈 (Syrah/Shiraz) / 진판델 (Zinfandel) / 카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 스테이크, 그릴요리, 양갈비, 불고기, 바비큐, 수육, 보쌈, 파스타, 다양한 치즈와  잘 어울린다.",1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 잼, 라벤더, 후추, 생강, 바닐라, 시나몬","소고기, 스테이크, 바비큐, 양갈비, 보쌈, 불고기, 수육, 토마토파스타, 크림파스타, 자두, 치즈, 그라노파다노, 페타, 꽁떼",,,보틀샤크,Californian Red Blend,14~15 %,,
"라 솔가, 퓨 3","La Sorga, Feu III",https://www.wine21.com/13_search/wine_view.html?Idx=173416&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 블랑 (Grenache Blanc) / 그르나슈 그리 (Grenache Gris),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"청사과, 살구, 복숭아, 시트러스, 꽃, 미네랄, 허브, 버섯","샐러드, 치즈",,,,,,,
"라 솔가, 에스엠","La Sorga, SM",https://www.wine21.com/13_search/wine_view.html?Idx=173417&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),소비뇽 블랑 (Sauvignon Blanc) / 마르산느 (Marsanne),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"살구, 복숭아, 시트러스, 열대과일, 꽃, 허브, 버섯","튀김, 샐러드, 치즈",,,,,,,
"라 솔가, 피어 에티크","La Sorga, Fier Heretique",https://www.wine21.com/13_search/wine_view.html?Idx=173418&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 달레산드리  (Muscat d'Alexandrie ) / 뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"청사과, 복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"라 솔가, 데소르드 루즈","La Sorga, Desordre Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173419&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane) / 무르베드르 (Mourvedre) / 카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"돼지고기, 소고기 등과 잘 어울린다.",0/5,0/5,0/5,0/5,"블랙체리, 블랙베리, 꽃, 피망, 후추, 오크, 버섯","소고기, 돼지고기",,,,,,,
"라 솔가, 솔가 아프리카","La Sorga, Sorga Africa",https://www.wine21.com/13_search/wine_view.html?Idx=173420&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),쌩쏘 (Cinsault) / 까리냥 (Carignan/Carignane),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,5/5,3/5,"블랙체리, 블랙베리, 말린과일, 꽃, 허브, 오크, 흙","소고기, 돼지고기",,,,,,,
"라 솔가, 에스프리 아틸라","La Sorga, Esprit Attila",https://www.wine21.com/13_search/wine_view.html?Idx=173421&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane) / 시라/쉬라즈 (Syrah/Shiraz),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙체리, 블랙베리, 블루베리, 꽃, 후추, 오크, 버섯","소고기, 돼지고기",,,,,,,
"라 솔가, 오뷔니트","La Sorga, Aubunite",https://www.wine21.com/13_search/wine_view.html?Idx=173422&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),아라몬 (Aramon) / 까리냥 (Carignan/Carignane),16~18 ℃,"돼지고기, 소고기 등과 잘 어울린다.",0/5,0/5,0/5,0/5,"블랙체리, 블랙베리, 블루베리, 꽃, 허브, 오크, 버섯","소고기, 돼지고기",,,,,,,
"라 솔가, 브루탈","La Sorga, Brutal",https://www.wine21.com/13_search/wine_view.html?Idx=173423&lq=LIST,라 솔가  La Sorga,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot) / 소비뇽 블랑 (Sauvignon Blanc),16~18 ℃,"닭고기, 샐러드 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"딸기, 라스베리, 열대과일, 꽃, 미네랄, 허브, 오크","닭고기, 샐러드",,,,,,,
"던 빈야드 & 레트로 셀라즈, 나파 밸리 카베르네 소비뇽","Dunn Vineyared & Retro Cellars, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=173424&lq=LIST,던 빈야드 & 레트로 셀라즈  Dunn Vineyared & Retro Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 족발, 파스타, 햄버거, 버섯, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 자두, 제비꽃, 꽃, 육두구, 바닐라, 허브, 삼나무, 오크, 흑연","소고기, 스테이크, 바비큐, 양갈비, 불고기, 족발, 파스타, 햄버거, 버섯, 자두, 치즈, 파르미지아노, 그라노파다노, 꽁떼",,,보틀샤크,Napa Valley Cabernet Sauvignon,13~14 %,32개월 오크 배럴에서 숙성(100% 뉴 프렌치 오크),
"던 빈야드 & 레트로 셀라즈, 하웰 마운틴 카베르네 소비뇽","Dunn Vineyared & Retro Cellars, Howell Maountain Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=173425&lq=LIST,던 빈야드 & 레트로 셀라즈  Dunn Vineyared & Retro Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 하월 마운틴(Howell Mountain),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 족발, 파스타, 햄버거, 버섯, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 자두, 제비꽃, 꽃, 육두구, 바닐라, 허브, 삼나무, 오크, 흑연","소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 불고기, 갈비탕, 크림파스타, 리조토, 버섯, 자두, 견과류, 피스타치오, 치즈, 파르미지아노, 그라노파다노, 꽁떼, 스모크",,* 2019 빈티지 - Wine Spectator 선정 'Wine of 2023 #6',보틀샤크,Californian Cabernet Sauvignon,13~14 %,,
"와인즈 바이 비비아나, 알마 드 카틀레야 샤르도네","Wines by Bibiana, Alma De Cattleya Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=173426&lq=LIST,와인즈 바이 비비아나  Wines by Bibiana,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),샤르도네 (Chardonnay),10~12 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"배, 서양배, 사과, 라임, 레몬, 패션프루트, 아카시아, 꽃, 비스켓","오리고기, 오리로스, 치킨, 생선구이, 장어구이, 해산물, 씨푸드, 오일파스타, 샤우르스, 치즈, 그라노파다노, 리코타, 모짜렐라",,,보틀샤크,,,중성 오크통에 8개월 숙성.,
"와인즈 바이 비비아나, 알마 드 카틀레야 피노누아","Wines by Bibiana, Alma De Cattleya Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=173427&lq=LIST,와인즈 바이 비비아나  Wines by Bibiana,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir),12~14 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 바닐라, 정향, 감초, 삼나무, 오크","로스트비프, 바비큐, 훈제오리, 연어, 참치, 편육, 수육, 크림파스타, 송이버섯, 랑그르, 파르미지아노, 꽁떼, 모짜렐라",,,보틀샤크,Californian Pinot Noir,,새 프렌치 오크에서 8개월 숙,
"안드레아 칼렉, 블롱드","Andrea Calek, Blonde",https://www.wine21.com/13_search/wine_view.html?Idx=173428&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),샤르도네 (Chardonnay) / 비오니에 (Viognier),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"청사과, 살구, 복숭아, 시트러스, 열대과일, 꽃, 허브","샐러드, 복숭아, 치즈",,,,,,,
"안드레아 칼렉, 블랑","Andrea Calek, Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173429&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),비오니에 (Viognier) / 샤르도네 (Chardonnay),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"살구, 복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"안드레아 칼렉, 아 투아 누","Andrea Calek, A Toi Nous",https://www.wine21.com/13_search/wine_view.html?Idx=173430&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 꽃, 후추, 오크","소고기, 돼지고기, 양고기",,,,,,,
"안드레아 칼렉, 바비올","Andrea Calek, Babiole",https://www.wine21.com/13_search/wine_view.html?Idx=173431&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 라스베리, 꽃, 허브, 오크","소고기, 돼지고기, 양고기",,,,,,,
"안드레아 칼렉, 샤롱 드 가드","Andrea Calek, Chatons de Garde",https://www.wine21.com/13_search/wine_view.html?Idx=173432&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,5/5,3/5,"블랙체리, 블랙베리, 블루베리, 후추, 오크","소고기, 돼지고기, 양고기",,,,,,,
"안드레아 칼렉, 페닐티엠","Andrea Calek, Penultieme",https://www.wine21.com/13_search/wine_view.html?Idx=173433&lq=LIST,안드레아 칼렉  Andrea Calek,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 후추, 오크","소고기, 돼지고기, 양고기",,,,,,,
"실방 디티에, 라 포테 생 장 소뮈르 상퓌니","Sylvain Dittiere, La Porte Saint Jean Saumur-Champigny",https://www.wine21.com/13_search/wine_view.html?Idx=173434&lq=LIST,실방 디티에  Sylvain Dittiere,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),16~18 ℃,"담백한 닭고기, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"레드커런트, 딸기, 라스베리, 꽃, 미네랄, 오크","닭고기, 치즈",,,,,,,
"까흐나주, 플룩 루즈","Karnage, Plouk Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173435&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),뿔사르 (Poulsard),14~16 ℃,"담백한 닭고기, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"라스베리, 딸기, 꽃, 허브, 오크","닭고기, 치즈",,,,,,,
"까흐나주, 크로세일리","Karnage, Kroseille",https://www.wine21.com/13_search/wine_view.html?Idx=173436&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),그르나슈 (Grenache),16~18 ℃,"돼지고기, 양고기, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크","돼지고기, 양고기, 치즈",,,,,,,
"까흐나주, 카리","Karnage, Kari",https://www.wine21.com/13_search/wine_view.html?Idx=173437&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),까리냥 (Carignan/Carignane),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 꽃, 후추, 오크","소고기, 돼지고기",,,,,,,
"까흐나주, 알리칸테","Karnage, Alicante",https://www.wine21.com/13_search/wine_view.html?Idx=173438&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),알리칸테 부쉐 (Alicante Bouschet),16~18 ℃,"돼지고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,2/5,,"돼지고기, 샐러드, 치즈",,,,,,,
"까흐나주, 콜롱바르","Karnage, Colombard",https://www.wine21.com/13_search/wine_view.html?Idx=173439&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),콜롱바르 (Colombard),16~18 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"배, 복숭아, 시트러스, 열대과일, 꽃","샐러드, 치즈",,,,,,,
"까흐나주, 메를로-가메","Karnage, Merlot-Gamay",https://www.wine21.com/13_search/wine_view.html?Idx=173440&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),메를로 (Merlot) / 가메이 (Gamay),16~18 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙베리, 체리, 딸기, 라스베리, 꽃, 미네랄, 허브, 오크, 젖은흙","닭고기, 샐러드, 치즈",,,,,,,
"까흐나주, 우즈","Karnage, Wouj",https://www.wine21.com/13_search/wine_view.html?Idx=173441&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),피노 누아 (Pinot Noir),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 허브, 오크","닭고기, 샐러드, 치즈",,,,,,,
"벨리 와인 익스페리먼트, 게펜","Belly Wine Experiment, Guefen",https://www.wine21.com/13_search/wine_view.html?Idx=173442&lq=LIST,벨리 와인 익스페리먼트  Belly Wine Experiment,프랑스(France),테레 그리 (Terret Gris) / 리슬링 (Riesling),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 열대과일, 꽃, 미네랄, 흙","샐러드, 치즈",,,,,,,
"벨리 와인 익스페리먼트, 아틀리에 3","Belly Wine Experiment, Atelier 3",https://www.wine21.com/13_search/wine_view.html?Idx=173443&lq=LIST,벨리 와인 익스페리먼트  Belly Wine Experiment,프랑스(France),가메이 (Gamay) / 시라/쉬라즈 (Syrah/Shiraz),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 꽃, 후추, 오크, 흙","소고기, 돼지고기",,,,,,,
"벨리 와인 익스페리먼트, 큐베 익스페리먼트 로제","Belly Wine Experiment, Cuvee Experiment Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173444&lq=LIST,벨리 와인 익스페리먼트  Belly Wine Experiment,프랑스(France),가메이 (Gamay) / 자렐로 (Xarel.lo),16~18 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"구즈베리, 딸기, 라스베리, 꽃, 후추, 흙","해산물, 샐러드, 치즈",,,,,,,
"벨리 와인 익스페리먼트, 멘성주 아 파파 루즈","Belly Wine Experiment, Mensonge a Papa Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173445&lq=LIST,벨리 와인 익스페리먼트  Belly Wine Experiment,프랑스(France),가메이 (Gamay),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크, 흙","닭고기, 샐러드, 치즈",,,,,,,
"르 마젤, 로제","Le Mazel, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173446&lq=LIST,르 마젤  Le Mazel,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 아르데슈(Ardeche),메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 까리냥 (Carignan/Carignane),12~14 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"블랙베리, 딸기, 라스베리, 열대과일, 꽃, 후추","닭고기, 샐러드, 치즈",,,,,,,
"르 마젤, 큐베 라울","Le Mazel, Cuvee Raoul",https://www.wine21.com/13_search/wine_view.html?Idx=173447&lq=LIST,르 마젤  Le Mazel,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 아르데슈(Ardeche),까리냥 (Carignan/Carignane),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,4/5,2/5,"블랙체리, 블랙베리, 라스베리, 꽃, 후추, 오크","소고기, 돼지고기",,,,,,,
"르 마젤, 뱅 드 수아프","Le Mazel, Vin de Soif",https://www.wine21.com/13_search/wine_view.html?Idx=173448&lq=LIST,르 마젤  Le Mazel,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 아르데슈(Ardeche),그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 라스베리, 꽃, 후추, 오크, 흙","소고기, 돼지고기, 양고기",,,,,,,
"르 마젤, 큐베 브리앙","Le Mazel, Cuvee Briand",https://www.wine21.com/13_search/wine_view.html?Idx=173449&lq=LIST,르 마젤  Le Mazel,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 아르데슈(Ardeche),그르나슈 (Grenache),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,3/5,4/5,2/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크, 흙","소고기, 돼지고기, 양고기",,,,,,,
"까흐나주, 사박","Karnage, Savak",https://www.wine21.com/13_search/wine_view.html?Idx=173450&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),10~12 ℃,"아몬드, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,4/5,2/5,"말린무화과, 말린과일, 꽃, 미네랄, 허브, 아몬드, 버섯","샐러드, 견과류, 치즈",,,,,,,
