와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
FCO 피노 비안코 미오,FCO Pinot Bianco Myo,https://www.wine21.com/13_search/wine_view.html?Idx=163623&lq=LIST,조르제틱  Zorzettig,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피노 비앙코 (Pinot Bianco),,,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,,,Friuli Colli Orientali DOC(DOP),,,
"조르제틱, FCO 프리울라노","Zorzettig, FCO Friulano",https://www.wine21.com/13_search/wine_view.html?Idx=163624&lq=LIST,조르제틱  Zorzettig,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),프리울라노 (Friulano),,,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,,Friuli Colli Orientali DOC(DOP),,,
FCO 스키오페티노 미오,FCO Schioppettino Myo,https://www.wine21.com/13_search/wine_view.html?Idx=163625&lq=LIST,조르제틱  Zorzettig,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),스키오페티노 (Schioppettino),,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",Friuli Colli Orientali DOC(DOP),,,
"조르제틱, FCO 레포스코 P.R.","Zorzettig, FCO Refosco P.R.",https://www.wine21.com/13_search/wine_view.html?Idx=163626&lq=LIST,조르제틱  Zorzettig,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),레포스코 (Refosco),,,16~18 ℃,"붉은육류, 스테이크, 버섯, 양고기, 파스타, 햄버거, 리조토 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"햄, 양고기, 버섯",Friuli Colli Orientali DOC(DOP),,,
"마스카 델 타코, 프리미티보 디 만두리아 피아노 츄소 리제르바","Masca del Tacco, Primitivo di Manduria Piano Chiuso Ris.",https://www.wine21.com/13_search/wine_view.html?Idx=163627&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo),,,17~19 ℃,"양갈비, 양고기, 스테이크, 스튜, 블루치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,5/5,4/5,,"살라미, 견과류",Primitivo di Manduria DOC(DOP),,,
"루쩨리, 발도비아데네 브뤼 베키에 비티","Ruggeri, Valdobbiadene Brut Vecchie Viti",https://www.wine21.com/13_search/wine_view.html?Idx=163628&lq=LIST,루쩨리   Ruggeri,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,
"Feudi San Gregorio, Taurasi Piano di Montevergine Ris.","Feudi San Gregorio, Taurasi Piano di Montevergine Ris.",https://www.wine21.com/13_search/wine_view.html?Idx=163629&lq=LIST,페우디 [페우디 디 산 그레고리오]  Feudi [Feudi di San Gregorio],이탈리아(Italy),,,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 바비큐, 양고기, 라자냐, 리조또, 파스타, 다양한 치즈와 잘 어울린다.",,1/5,3/5,5/5,3/5,,"바비큐, 양고기, 치즈",,,,
"조셉 까땅, 알자스 게뷔르츠트라미너 그랑 크뤼 하취부르그","Joseph Cattin, Alsace Gewurztraminer Grand Cru Hatschbourg",https://www.wine21.com/13_search/wine_view.html?Idx=163630&lq=LIST,조셉 까땅  Joseph Cattin,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,Alsace Gewürztraminer,,8~10 ℃,"아시안 푸드, 타이푸드, 커리, 푸아그라, 스프링롤, 매운 소스의 음식, 중국음식, Munster나 Maroilles와 같은 향이 짙은 진한 치즈  등과 잘 어울린다.",더블유에스통상,2/5,4/5,4/5,1/5,"배, 장미, 오크","푸아그라, 중국음식, 치즈","Alsace Grand Cru AOC(AOP), 'Hatschbourg'",*1720년부터 12세대에 걸친 알자스 대표 가족경영 와이너리,,
"조셉 까땅, 알자스 리슬링 그랑 크뤼 하취부르그","Joseph Cattin, Alsace Riesling Grand Cru Hatschbourg",https://www.wine21.com/13_search/wine_view.html?Idx=163631&lq=LIST,조셉 까땅  Joseph Cattin,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,Alsace Riesling,,10~12 ℃,"그릴 구이하거나 소스에 졸인 생선 요리, 랍스터나 갑각류 요리, 오리 가슴살, 훈제 육류, 가금류 스테이크 등과 잘 어울린다.",더블유에스통상,1/5,4/5,3/5,1/5,"꽃, 미네랄, 감초, 오크","가금류, 초밥, 생선회, 참치, 해산물, 랍스터","Alsace Grand Cru AOC(AOP), 'Hatschbourg'",* 1720년부터 12세대에 걸친 알자스 대표 가족경영 와이너리,,
"까땅, 소바주 알자스 리슬링","Cattin, Sauvage Alsace Reisling",https://www.wine21.com/13_search/wine_view.html?Idx=163632&lq=LIST,조셉 까땅  Joseph Cattin,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,Alsace Riesling,,10~12 ℃,"식전 주, 샐러드, 베이컨 및 소시지, 레몬 즙을 겻들인 흰살 생선, 야재구이, 가벼운 스타일의 음식 등과 잘 어울린다.",더블유에스통상,1/5,4/5,3/5,1/5,꽃,샐러드,Alsace AOC(AOP),*1720년부터 12세대에 걸친 알자스 대표 가족경영 와이너리,,"유기농 인증, 비건 인증"
"조셉 까땅, 까땅 소바주 알자스 피노 그리","Joseph Cattin, Cattin Sauvage Alsace Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=163633&lq=LIST,조셉 까땅  Joseph Cattin,프랑스(France) / 알자스(Alsace),피노 그리 (Pinot Gris) 100%,Alsace Pinot Gris,,10~12 ℃,"식전 주, 샐러드, 베이컨 및 소시지, 치즈 플레이트, 뇨끼, 크림 소스 파스타, 가금류 요리 등과 잘 어울린다.",더블유에스통상,1/5,3/5,2/5,1/5,"복숭아, 꽃, 브리오슈","가금류, 파스타, 샐러드, 치즈",Alsace AOC(AOP),*1720년부터 12세대에 걸친 알자스 대표 가족경영 와이너리,,
"조셉 까땅, 까땅 소바주 알자스 게뷔르츠트라미너","Joseph Cattin, Cattin Sauvage Alsace Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=163634&lq=LIST,조셉 까땅  Joseph Cattin,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,Alsace Gewürztraminer,,10~12 ℃,"식전 주, 매운 음식, 숙성이 오래된 치즈 등과 잘 어울린다.",더블유에스통상,2/5,4/5,4/5,1/5,"망고, 흰꽃","아시아요리, 과일, 치즈, 모짜렐라, 크림치즈",Alsace AOC(AOP),*Wine Enthusiast 89점*1720년부터 12세대에 걸친 알자스 대표 가족경영 와이너리,,"유기농 인증, 비건 인증"
"토레스, 뀌베 에스플렌도르 드 바든 케넷","Torres, Cuvee Esplendor de Vardon Kennett",https://www.wine21.com/13_search/wine_view.html?Idx=163635&lq=LIST,미구엘 토레스  Miguel Torres,스페인(Spain) / 페네데스(Penedes),피노 누아 (Pinot Noir) 55% / 샤르도네 (Chardonnay) 40% / 자렐로 (Xarel.lo) 5%,Spanish Sparkling,12 %,6~8 ℃,농어 세비체 등 섬세한 생선 요리 등과 잘 어울린다.,신동와인,1/5,4/5,4/5,1/5,"배, 시트러스, 미네랄, 브리오슈",농어,,*해발 550미터 고도에서 생산된 포도 사용*전통 샴페인 제조 방법 사용*최초의 자렐로 블렌딩 스파클링*2017 디캔터 올해의 인물 시상식 오찬 와인*2019 대한민국 주류대상 대상 수상*바르셀로나에 매료된 전설의 영국 무역상 Vardon Kennett의 영혼을 담아 탄생한 우아하게 물결치는 빈티지 스파클링,,
혼카쿠쇼츄 다카모리토 시게노부,혼카쿠쇼츄 다카모리토 시게노부,https://www.wine21.com/13_search/wine_view.html?Idx=163636&lq=LIST,야마토 주조  Yamato Brewery,일본(Japan),쌀 (Rice) 60% / 고구마 (Sweet Potato) 40%,,25 %,4~16 ℃,"꼬치구이, 닭고기, 닭강정, 회, 초밥, 생선구이, 해산물, 튀김, 아시아요리 와 잘 어울린다.",나라셀라,1/5,1/5,3/5,1/5,,"꼬치구이, 해산물, 아시아요리, 튀김",,,,
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=163637&lq=LIST,더 힐트  The Hilt,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County),샤르도네 (Chardonnay) 100%,Californian Chardonnay,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",나라셀라,1/5,3/5,4/5,1/5,"황도, 복숭아, 시트러스, 오렌지, 비스켓, 삼나무, 버터, 오크, 크림","꼬치구이, 바비큐, 오리로스, 가금류, 생선구이, 생선찜, 해산물, 조개구이, 보쌈, 순대, 수육, 파스타, 피자, 중국요리, 탕수육, 치즈, 파르미지아노, 그라노파다노",Santa Rita Hills AVA,* 2023 대한민국 주류대상 '신대륙 화이트 와인부문 대상' 수상* 2019 빈티지: Jeb Dunnuck 92점* 2015 빈티지: Jeb Dunnuck 92점* 2014 빈티지: Jeb Dunnuck 91점* 연간 생산량: 약 450 케이스,"뉴 프렌치 오크(34%), 중성 프렌치 오크(56%), 스테인리스 스틸(10%) 11개월",
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=163638&lq=LIST,더 힐트  The Hilt,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 리타 힐스(Santa Rita Hills),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",나라셀라,1/5,3/5,3/5,2/5,"레드커런트, 체리, 딸기, 장미, 미네랄, 허브, 세이지, 오크, 흙","로스트비프, 까르파치오, 양꼬치, 건육, 훈제오리, 생선찜, 해산물, 킹크랩, 불고기, 족발, 수육, 파스타, 서양요리, 치즈, 파르미지아노, 고다, 그라노파다노, 콩테",Santa Rita Hills AVA,"*연간 생산량: 약 2,000 케이스","뉴 프렌치 오크(8%), 중성 프렌치 오크(92%) 11개월 숙성.",최대 45년 수령의 포도나무 사용.
"더 힐트, 뱅가르드 피노 누아","The Hilt, Vanguard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=163639&lq=LIST,더 힐트  The Hilt,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 리타 힐스(Santa Rita Hills),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,14.1 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",나라셀라,1/5,3/5,3/5,2/5,"자두, 리치, 감초, 오크",,Santa Rita Hills AVA,"*2011 빈티지: Vinous 95점*2012 빈티지: Robert Parker 93+점, Vinous 93점*2013 빈티지: Robert Parker 91점, Vinous 95점,*2014 빈티지: Robert Parker 93점, Vinous 95점*2015 빈티지: Robert Parker 94점, Vinous 95점, Jeb Dunnuck 94점, Wine Enthusiast 94점*연간 생산량: 약 900 케이스",,
"더 힐트, 올드 가르드 피노 누아","The Hilt, Old Guard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=163640&lq=LIST,더 힐트  The Hilt,미국(U.S.A) / 캘리포니아(California) / 산타 바바라 카운티(Santa Barbara County) / 산타 리타 힐스(Santa Rita Hills),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,14.1 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",나라셀라,1/5,3/5,3/5,2/5,"미네랄, 민트",,Santa Rita Hills AVA,"*2011 빈티지: Vinous 94점*2012 빈티지: Robert Parker 94+점, Vinous 94점*2013 빈티지: Robert Parker 93+점, Vinous 95+점,*2014 빈티지: Robert Parker 92+점, Vinous 95점*2015 빈티지: Robert Parker 93+점, Vinous 96+점, Jeb Dunnuck 94+점, Wine Enthusiast 93점*2016 빈티지: Robert Parker 94+점*연간 생산량: 약 450 케이스",,
엘 그랑 에네미고 괄타라리,El Gran Enemigo Gualtallary,https://www.wine21.com/13_search/wine_view.html?Idx=163641&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina) / 멘도사(Mendoza) / 노던 멘도사(Northern Mendoza),카베르네 프랑 (Cabernet Franc) 85% / 말벡 (Malbec) 15%,,13~14 %,16~18 ℃,"그릴에 구운 고기, 다양한 치즈가 어울린다.",신동와인,1/5,3/5,5/5,4/5,,치즈,,*2013 빈티지: James Suckling 100점*2012 빈티지: Robert Parker 98+ 점*2011 빈티지: Robert Parker 98 점,,
"파미유 페랑, 꼬뜨 뒤 론 빌라쥐","Famille Perrin, Cotes du Rhone Villages",https://www.wine21.com/13_search/wine_view.html?Idx=163642&lq=LIST,파미유 페랑  Famille Perrin,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) 60% / 시라/쉬라즈 (Syrah/Shiraz) 20% / 무르베드르 (Mourvedre) 20%,Southern Rhône Red,,16~18 ℃,"돼지고기, 쇠고기 요리, 스테이크, 바베큐 등과 잘 어울린다.",신동와인,1/5,3/5,3/5,3/5,"체리, 미네랄, 감초",,Côtes du Rhône Villages AOC(AOP),,,
"클라랑스 딜롱, 클라랑델 메독","Clarence Dillon, Clarendelle Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=163643&lq=LIST,클라란스 딜롱 와인즈  Clarence Dillon Wines,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot),Bordeaux Médoc,,15~17 ℃,"그릴에 구운 스테이크, 양념 갈비, 편육 등과 잘 어울린다.",신동와인,1/5,3/5,3/5,3/5,"체리, 꽃, 오크","스테이크, 편육",Médoc AOC(AOP),,,
"클라랑스 딜롱, 클라랑델 쌩-떼밀리옹","Clarence Dillon, Clarendelle Saint-Emilion",https://www.wine21.com/13_search/wine_view.html?Idx=163644&lq=LIST,클라란스 딜롱 와인즈  Clarence Dillon Wines,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Saint-Émilion,,15~17 ℃,"그릴에 구운 스테이크, 양념 갈비, 편육, 하몽/살라미 등 건조 가공육 등과 잘 어울린다.",신동와인,1/5,3/5,3/5,3/5,"체리, 꽃, 후추, 딜","스테이크, 편육",Saint-Émilion AOC(AOP),,,
레 로리에,Les Lauriers,https://www.wine21.com/13_search/wine_view.html?Idx=163645&lq=LIST,바롱 에드몬드 로칠드 [바롱 에드먼드 롯칠드]  Baron Edmond de Rothschild [E. Rothchild],프랑스(France) / 보르도(Bordeaux) / 몽따뉴-생-떼밀리옹(Montagne-Saint-Emilion),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),Bordeaux Saint-Émilion,,16~18 ℃,"그릴에 구운 스테이크, 양념 갈비, 편육 등과 잘 어울린다.",신동와인,1/5,3/5,3/5,3/5,,"스테이크, 편육",Montagne-Saint-Émilion AOC(AOP),,,
오디티 드라이,Oddity Dry,https://www.wine21.com/13_search/wine_view.html?Idx=163646&lq=LIST,로얄 토카이  Royal Tokaji,헝가리(Hungary) / 더 노스이스트(The Northeast) / 토카이-헤갈라야(Tokaj-Hegyalja),푸르민트 (Furmint) / 할스레베루 (Harslevelu) / 뮈스까 (Muscat),,,6~8 ℃,"식전주로 훌륭하며, 시푸드 혹은 흰살 고기류와도 좋은 조화를 이룬다.",신동와인,1/5,3/5,3/5,1/5,"배, 꽃","시푸드, 식전주",,,,
골드 라벨,Gold Label,https://www.wine21.com/13_search/wine_view.html?Idx=163647&lq=LIST,로얄 토카이  Royal Tokaji,헝가리(Hungary) / 더 노스이스트(The Northeast) / 토카이-헤갈라야(Tokaj-Hegyalja),푸르민트 (Furmint) / 할스레베루 (Harslevelu) / 뮈스까 (Muscat),,,6~8 ℃,"거위 간 요리, 초콜릿, 과일 타르트, 블루 치즈, 시가와 잘 어울린다.",신동와인,5/5,2/5,4/5,1/5,"자몽, 미네랄","과일, 치즈, 초콜릿",,,,
"로얄 토카이, 레이트 하비스트","Royal Tokaji, Late Harvest",https://www.wine21.com/13_search/wine_view.html?Idx=163648&lq=LIST,로얄 토카이  Royal Tokaji,헝가리(Hungary) / 더 노스이스트(The Northeast) / 토카이-헤갈라야(Tokaj-Hegyalja),푸르민트 (Furmint) / 할스레베루 (Harslevelu) / 뮈스까 (Muscat),,10 %,10~12 ℃,"아시안 푸드, 매콤한 음식, 거위 간 요리, 초콜릿, 과일 타르트, 블루 치즈, 시가와 잘 어울린다.",신동와인,4/5,3/5,4/5,1/5,민트,"과일, 치즈, 초콜릿",,"*2015 빈티지: Wine Spectator 90점*2012 빈티지: Wine Spectator 91점*2010 빈티지: Gold - Challenge International du Vin, Silver - International Wine Challenge, Silver - Decanter World Wine Awards, Silver - International Wine & Spirit Competition*2008 빈티지: Wine Spectator 92점*2005 빈티지: Wine Spectator 94점*아시아 요리와의 조화가 매력적인 태양빛의 와인",,
오르넬로,Ornello,https://www.wine21.com/13_search/wine_view.html?Idx=163649&lq=LIST,카스텔라레 디 카스텔리나  Castellare di Castellina,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),산지오베제 (Sangiovese) 40% / 카베르네 소비뇽 (Cabernet Sauvignon) 20% / 메를로 (Merlot) 20% / 시라/쉬라즈 (Syrah/Shiraz) 20%,Central Italy Red,14~15 %,15~17 ℃,"육류 요리와 미트 파스타, 숙성된 치즈와 잘 어울린다.",신동와인,1/5,4/5,4/5,3/5,민트,"미트, 파스타, 치즈",Toscana IGT(IGP),"*2017 빈티지: Robert Parker 92점, Wine Spectator 90점, James Suckling 92점*2016 빈티지: Robert Parker 92점, Wine Spectator 90점, James Suckling 92점*2014 빈티지: Wine Spectator 91점*2018 대한미국 주류대상 대상 수상",,
"페우디 델 피시오토, 알베르타 페레티 샤도네이","Feudi del Pisciotto, Alberta Ferretti Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=163650&lq=LIST,카스텔라레 디 카스텔리나  Castellare di Castellina,이탈리아(Italy) / 시칠리아(Sicilia),샤르도네 (Chardonnay) 100%,Southern Italy White,13~14 %,8~10 ℃,"해산물 요리, 또는 애피타이저로 즐기는 것이 좋다.",신동와인,1/5,3/5,3/5,1/5,"복숭아, 꽃",해산물,Terre Siciliane IGT(IGP),*2014 빈티지: Wine Spectator 91점,,
"프레스코발디, 레치오니","Frescobaldi, Leccioni",https://www.wine21.com/13_search/wine_view.html?Idx=163651&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 100%,Central Italy Red,,16~18 ℃,"육류 요리와 미트 파스타, 신선한 치즈와 잘 어울린다.",,1/5,4/5,2/5,2/5,"라스베리, 꽃, 유칼립투스","미트, 파스타, 치즈",,,,
"룽가로티, 루","Lungarotti, L'U",https://www.wine21.com/13_search/wine_view.html?Idx=163652&lq=LIST,룽가로티  Lungarotti,이탈리아(Italy) / 움브리아(Umbria) / 토르지아노(Torgiano),산지오베제 (Sangiovese) / 메를로 (Merlot),Central Italy Red,14 %,16~18 ℃,와인의 신선함과 부드러움이 이태리 전통적인 음식은 물론 여러 나라의 음식과 두루두루 매칭을 이룬다.,신동와인,1/5,3/5,3/5,2/5,,,,,,
"빌라 마리아, 테일러스 패스 소비뇽 블랑","Villa Maria, Taylors Pass Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=163653&lq=LIST,빌라 마리아  Villa Maria,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,New Zealand Sauvignon Blanc,,8~10 ℃,"찌거나 구운 흰살 생선, 볶은 가리비 요리와 잘 어울린다.",신동와인,1/5,5/5,2/5,1/5,미네랄,"생선구이, 생선조림, 생선회, 해산물, 조개구이, 새우, 중국요리, 아시아요리, 치즈, 체다, 고다",,"* 2020 빈티지: Cameron Douglas MS 95점 / Sam Kim 95점 / Wine Orbit 95점* 2016 빈티지: Sunset International Wine Competition - Gold* 2015 빈티지:  Decanter World Wine Awards 2013 (UK) - Gold Trophy / Michael Cooper's Buyer's Guide to New Zealand Wines 2013 -5 Stars / Cuisine Magazine, January 2013 (NZ) - 4 ½ Stars",,
"빌라 마리아, 세든 피노 누아","Villa Maria, Seddon Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=163654&lq=LIST,빌라 마리아  Villa Maria,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir) 100%,New Zealand Pinot Noir,,14~16 ℃,"양고기, 팬에 구운 참치 혹은 연어와 잘 어울린다.",신동와인,1/5,5/5,3/5,3/5,꽃,양고기,,*2014빈티지: Royal Easter Show Wine Awards 2016*2013빈티지: Robert Parker 90+,,
"장 레옹, 3055 멜롯 쁘띠 베르도","Jean Leon, 3055 Merlot Petit Verdot",https://www.wine21.com/13_search/wine_view.html?Idx=163655&lq=LIST,장 레옹  Jean Leon,스페인(Spain) / 페네데스(Penedes),메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),Spanish Red,,16~18 ℃,"생선요리나 고기요리, 둘 다와 잘 어울린다.",신동와인,1/5,3/5,4/5,3/5,"배, 잼, 토스트",,,,,
장레옹 3055 샤도네이,Jean Leon 3055 Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=163656&lq=LIST,장 레옹  Jean Leon,스페인(Spain) / 페네데스(Penedes),샤르도네 (Chardonnay),Spanish Chardonnay,,8~10 ℃,"조개, 문어, 오징어 등 스페인의 타파스 요리와 다채롭게 매칭 가능한 와인이다. 가벼운 소스로 조리한 정어리 등 생선 요리와도 훌륭하게 어우러진다.",신동와인,1/5,3/5,3/5,1/5,"배, 꽃",,,,,
발트라우드,Waltraud,https://www.wine21.com/13_search/wine_view.html?Idx=163657&lq=LIST,미구엘 토레스  Miguel Torres,스페인(Spain) / 페네데스(Penedes),리슬링 (Riesling),,12~13 %,8~10 ℃,"굴이나 조개와 아름답게 어울린다. 생선, 쌀 요리, 파스타, 달콤한 소스를 곁들인 오리 요리와도 훌륭하게 어우러진다.",신동와인,1/5,3/5,2/5,1/5,"레몬, 꿀",파스타,,,,
손스 데 프라데스,Sons de Prades,https://www.wine21.com/13_search/wine_view.html?Idx=163658&lq=LIST,미구엘 토레스  Miguel Torres,스페인(Spain) / 콘카 데 바르베라(Conca de Barbera),샤르도네 (Chardonnay) 100%,Spanish Chardonnay,,8~10 ℃,"해산물 혹은 버섯 리조토. 넙치, 연어 등 지방이 풍부한 생선 요리. 참치 카르파치오.",신동와인,1/5,3/5,2/5,1/5,"배, 시트러스, 파인애플","해산물, 리조토, 버섯",,,,
"로버트 몬다비, 마에스트로","Robert Mondavi, Maestro",https://www.wine21.com/13_search/wine_view.html?Idx=163659&lq=LIST,로버트 몬다비  Robert Mondavi,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),Californian Bordeaux Blend,15~16 %,15~17 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",신동와인,1/5,3/5,5/5,4/5,"자두, 시나몬, 코코아","붉은육류, 햄, 양갈비, 치킨",Napa Valley AVA,*로버트 몬다비 와이너리 설립 50주년 기념 와인,,
"더 프리즈너, 블라인드 폴드 화이트","The Prisoner, Blindfold White Wine",https://www.wine21.com/13_search/wine_view.html?Idx=163660&lq=LIST,더 프리즈너 와인 컴퍼니  The Prisoner Wine Company,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) / 루산느 (Roussanne) / 비오니에 (Viognier) / 뮈스까 (Muscat),Californian White Blend,,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",신동와인,1/5,3/5,4/5,1/5,"복숭아, 리치, 바닐라","바비큐, 수육, 탕수육, 치즈",California AVA,*2015 빈티지: Wine Spectator 89점*클래식한 샤도네이 바탕에 향기로운 론 품종을 더한 와인,,
"더 프리즈너, 살도 진판델","The Prisoner Wine Company, Saldo Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=163661&lq=LIST,더 프리즈너 와인 컴퍼니  The Prisoner Wine Company,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah) / 시라/쉬라즈 (Syrah/Shiraz),Californian Zinfandel,,15~17 ℃,"양갈비, 양고기, 스테이크, 돼지고기, 치즈, 살라미, 파스타, 한국음식 등과 잘 어울린다.",신동와인 / 신세계엘앤비,1/5,3/5,4/5,4/5,"체리, 후추, 감초, 초콜릿, 오크","스테이크, 살라미, 한국음식, 파스타, 치즈",California AVA,*2016빈티지: Wine Spectator 89점*캘리포니아 북부 최고의 진판델 포도밭의 포도를 사용하여 만든 와인,"프렌치, 아메키란 오크 배럴에서 9개월간 숙성하며, 이 중 30%는 새 오크 배럴 사용",
"더 프리즈너, 나파 밸리 레드 블렌드","The Prisoner, Napa Valley Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=163662&lq=LIST,더 프리즈너 와인 컴퍼니  The Prisoner Wine Company,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 샤르보노 (Charbono),,,15~17 ℃,"양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",신동와인,1/5,4/5,5/5,5/5,"체리, 바닐라","스테이크, 불고기, 견과류",California AVA,,,
