생산지역,설명
시갈레스Cigales,시갈레스(Cigales)는 스페인 카스티야 이 레온에 속하는 와인 산지다. 템프라니요로 만든 로제 와인으로 유명했으나 점차 이 지역의 레드 와인도 인기가 높아지고 있다.
시에라 데 말라가Sierras de Malaga,"시에라 델 말라가(Sierras de Malaga)는 스페인 남부 말라가 지역에 자리한 와인 산지다. 매우 아름다운 풍광을 자랑하며, 해발고도 750m에 포도원이 자리한다. 모래가 많은 석회점토질 토양이다"
이슬라 디 마이포Isla de Maipo,
이타타 밸리Itata Valley,"이타타 밸리(Itata Valley)는 칠레 남부 와인 산지다. 이곳은 수백년 전부터 포도 재배가 이루어진 칠레 최초 포도 재배 지역이기도 하다. 이 지역에서는 파이스(Pais)와 모스까델 드 알레한드리아(Moscatel de Alejandria)가 주로 재배되며 이 외 카베르네 소비뇽과 샤르도네 와인을 생산한다. 여름은 덥고 건조하며, 낮과 밤 기온이 차이가 커서 포도 재배에 적합하다."
뉴 사우스 웨일즈New South Wales,"뉴 사우스 웨일즈(New South Wales)는 호주에 위치한 와인 산지다. 뉴 사우스 웨일즈는 호주에서 처음으로 유럽의 식민지가 되었던 주이며, 그로 인해 포도나무가 재배된 첫 번째 주가 되었다."
오카나간 밸리Okanagan Valley,"오카나간 밸리(Okanagan Valley)는 캐나다 와인 산지다. 이 지역은 캐나다 와인으로 유명한 아이스 와인보다는 피노 블랑(Pinot Blanc), 메를로(Merlot), 까베르네 프랑(Cabernet Franc)과 같은 포도 품종으로 만든 일반 테이블 와인의 산지로 더 널리 알려져 있다."
산토리니Santorini,"산토리니(Santorini)는 그리스의 대표 와인 산지다. 산토리니는 반달 모양의 화산섬으로 전세계에서 비슷한 예를 찾을 수 없는 독특한 포도 재배 환경을 지닌다. 토양은 화산토로 유기물이 없으며, 강한 태양과 바람, 강수량이 적은 환경을 지닌다."
센트럴 그리스 앤드 아티카Central Greece and Attica,"센트럴 그리스 아티카(Central Greece and Attica)는 그리스 최대 규모의 와인 산지로 전체 그리스 포도원의 4분의 1이 존재한다. 대부분 평원이며, 점토성 이암 토양으로 영양분이 풍부하며, 기후는 덥고 건조하다. 아티카는 원산지 명칭 통제 PDO를 받지 않는다. 사바티아노 품종 화이트 와인과 송진 와인인 렛치나를 생산한다."
부르겐란트Burgenland,"부르겐란트(Burgenland)는 오스트리아의 동쪽에 위치한 와인 산지로, Neusiedler See 호수 주변에 넓게 펼쳐져 있다. 이 지역은 오스트리아의 다른 와인 산지와는 달리, 상대적으로 따뜻한 기후와 독특한 지형 덕분에 다양한 스타일의 와인을 생산할 수 있다. 특히, 고품질의 디저트 와인과 강렬한 레드 와인으로 유명하다."
바실리카타Basilicata,"바실리카타(Basilicata)는 이탈리아의 와인 산지다. 이곳은 루카니아(Lucania) 라고도 불린다. 바실리카타는 건조한 언덕과 황량한 산들이 있으며, 남부 지역이지만 몹시 춥다. 이런 서늘한 고원 기후는 아주 좋은 향을 갖는 와인 생산에 적합하며, 알리아니코(Aglianico) 품종을 주로 사용하여 좋은 품질의 레드 와인이 생산된다."
남아프리카South Africa,"남아프리카 공화국(South Africa)의 포도 재배와 와인 양조 역사는 1659년으로 거슬러 오를 정도로 오래되었지만, 이 사실을 아는 사람은 적다. 왜냐하면, 남아공 와인 산업이 국영화에서 자유로워진 지 얼마 되지 않아 대부분의 사람들은 신세계 와인 생산국으로 생각하기 때문이다. 와인 산업의 본격적인 발전은 1994년 스텔렌보쉬(Stellenbosh)지역을 중심으로 급속도로 발전됐다."
루에다Rueda,루에다(Rueda)는 스페인의 와인 산지다. 화이트 품종인 베르데호(Verdejo)로 깨끗하고 우아하며 기분 좋은 과일 성분이 느껴지는 와인을 생산한다.
세인트 헬레나St. Helena,"세인트 헬레나(St. Helena)는 미국 캘리포니아주 나파 밸리(Napa Valley)의 북쪽에 위치한 유명한 와인 산지로, 다양한 프리미엄 와인들이 생산되는 지역이다."
KrasKras,
멘도치노 카운티Mendocino County,멘도치노 카운티(Mendocino County)는 미국 캘리포니아에 속하는 와인 산지다. 이 지역에 포도가 처음으로 심어진 것은 황금 탐험기 이후인 1850년이었다. 이후 금주법은 이 지역의 와인 산업을 거의 사라지게 했지만 파두치 가문(Parducci Family)의 숨은 노력으로 와인 생산은 계속 이어질 수 있었다.
꼬뜨 드 본côte de Beaune,"꼬뜨 드 본(Côte de Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본은 해발 고도 400m이상 높은 곳에 위치하며, 습한 바람이 불어와 건조한 지역과는 다른 맛을 내는 와인이 생산된다."
꼬뜨 뒤 론Cotes du Rhone,꼬뜨 뒤 론(Côtes du Rhone)은 거의 모든 론 와인에 대한 명칭이며 120여개 마을이 관련되어 있다. 탄산 침용 방법으로 만들어지는 젊고 과실향이 풍부한 와인부터 오크통 숙성을 시키는 전통적인 와인에 이르기까지 매우 다양한 스타일의 레드 와인이 만들어진다. 대부분 와인은 협동 조합에서 생산된다.
라두와Ladoix,라두와(Ladoix)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본에 속하는 라두와는 피노 누아로 만든 레드 와인과 샤르도네로 만든 화이트 와인을 모두 생산한다
캄포 데 보르하Campo de Borja,"캄포 데 보르하(Campo de Borja)는 스페인 아라곤 지역 내 와인 산지다. 대륙성 기후에 차고 건조한 바람인 시에르조(Cierzo)라는 바람이 불어온다. 가르나차, 템프라니요, 카베르네 소비뇽, 마주엘라 등의 레드 품종과 마카베오와 모스카텔과 같은 화이트 품종이 주로 재배된다."
발데페냐스Valdepenas,"발데페냐스(Valdepenas)는 스페인 카스티야 라 만차에 속하는 와인 산지다. 1861년 해안으로 연결되는 철도가 개통되면서 와인 산업에 활기가 생겼다. 필록세라 후 아이렌(Airen)품종을 심었고, 레드 품종과 화이트 품종을 섞은 로제 와인을 생산한다. 석회암 토양이며, 대륙성 기후는 지닌다. 레드 품종으로는 센시벨과 카베르네 소비뇽, 가르나차 등을 재배한다."
독일Germany,독일(Germany) 와인은 기원전 4~5세기경 고대 로마 시대에 시작됐다. 중세에는 수도원이 좋은 포도원을 조성하고 포도 재배와 와인 양조에 지극한 정성과 노력을 쏟았다. 수도승의 이런 노력은 독일 포도 재배학이 고도로 발달할 수 있는 밑거름이 됐다.
오랴호보Oryahovo,
캐나다Canada,캐나다(Canada)는 와인 생산에 있어 화려한 지역은 아니지만 시간이 지날수록 중요한 와인 생산 지역으로 인정받고 있다. 와인 산업은 1970년대 주정 강화 와인과 스위트 와인 생산으로 시작되었다.
칼차키 밸리Calchaqui Valley,"칼차키 밸리(Calchaqui Valley)는 아르헨티나에 위치한 와인 산지다. 칼차키 밸리는 멘도사에서 북쪽으로 1,000 킬로미터 떨어져 있으며, 살타(Salta)지역 북부 투쿠만(Tucuman)과 카타마르카(Catamarca)를 접하고 있다. 일교차가 커서 포도 재배에 적합하다고 알려져 있으며, 이 지역에서는 카파야떼가 가장 중요한 와인 산지다."
대한민국Korea,"한국(Korea)은 몇 가지 잘 알려진 포도 품종들이 재배되고 있고, 그 중 일부는 와인을 만드는 데 쓰인다. 대체적으로 당도가 충분치 않아 식용으로 많이 사용되고 있지만 설탕을 가미한 달콤한 맛의 한국식 포도주를 만들어 마시기도 한다.."
본Beaune,"본(Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 본은 부르고뉴 와인 거래의 중심이자 꼬뜨 도르(Cote d'Or)지역에서 2번째로 큰 와인 산지다. 1859년부터 오스피스 드 본(Hospices de Beaune)이라는 자선 와인 경매가 열리고 있으며, 이 행사는 지역 중요 행사이자 낙찰 와인 가격은 막 출시되는 햇 와인에 대한 가격 지표로 사용되고 있어 매우 뜻 깊은 행사다."
꼬르나스Cornas,"꼬르나스(Cornas)는 프랑스 남동부의 론(Rhône) 계곡에 위치한 작은 와인 생산 지역으로, 특히 강력하고 풀바디의 레드 와인으로 유명하다. 이 지역은 시라(또는 쉬라즈) 포도로 만든 와인을 전문으로 하며, Cornas AOC(Appellation d'Origine Contrôlée, 원산지 명칭 통제) 법에 따라 와인은 100% 시라 포도로만 만들어져야 한다."
서던 프랑스Southern France,"와인과 관련하여 서던 프랑스(Southern France) 라는 명칭은 행정 구역 상 랑그독(Languedoc), 루씨옹(Roussillon) 등이 대표적이고 론(Rhône)의 일부 지역, 프로방스(Province) 등 프랑스의 최남단 지중해 연안을 따라 형성된 와이너리들을 포함한다."
포르토Porto,포르토(Porto)는 포르투갈에서 두 번째로 큰 도시 포르토(오포르토)의 이름을 딴 와인 산지다. 세계에서 주정 강화 와인으로 가장 유명한 곳이다. 이곳의 편암 토양은 매우 척박한데다 포도 나무가 수직으로 뿌리를 깊이 내릴 수 있도록 해준다고 알려져 있다. 매우 가파른 테라스형 포도원은 아름다운 장관을 이루고 있으며 유네스코 세계 문화유산으로 지정되었다.
콘스탄시아Constantia,"콘스탄시아(Constantia)는 남아프리카 공화국 서부 케이프 주의 케이프타운 남쪽에 위치한 역사적인 와인 생산 지역이다. 이 지역은 17세기로 거슬러 올라가는 오랜 와인 제조 역사로 유명하며, 남반구에서 가장 오래된 와인 생산 지역 중 하나다. 와인 농장들은 인근 대서양으로부터 오는 시원한 바닷바람을 받는 콘스탄티아베르그 산맥의 경사면에 위치하고 있어 포도 재배에 이상적인 기후다."
지브리Givry,"지브리(Givry)는 프랑스 부르고뉴 지방에 속해 있는데, 정확히는 코트 샬로네즈 지역에 위치하고 있다. 이곳은 부르고뉴 와인 중에서도 상대적으로 가성비가 높은 와인을 생산하는 것으로 유명하다. 주로 피노 누아와 샤르도네 포도 품종을 기반으로 레드와 화이트 와인이 생산되는데, Givry 와인은 그 맛이 풍부하고 부드러워 많은 사람들에게 사랑받고 있다."
바르삭Barsac,바르삭(Barsac)은 프랑스 보르도 내 와인 산지다. AOC 바르삭은 복합적인 맛을 지닌 스위트 화이트 와인으로 명성이 높다. 돌로 쌓은 울타리가 세워진 자갈 포도밭이 아름다운 바르삭에는 그랑 크뤼 등급에 속해있는 10개의 스위트 화이트 와인이 있다.
꼬뜨 드 가스꼬뉴Cotes de Gascogne,"꼬뜨 드 가스코뉴(Côtes de Gascogne)는 프랑스 남서부에 위치한 와인 생산 지역이다. 주로 갸스코뉴(Gascony)라고도 불리는 이 지역은 원래 아르마냑 생산으로 유명했으나, 최근에는 품질 좋은 테이블 와인 생산으로도 이름을 넓혀가고 있다."
리아스 바이사스Rias Baixas,"리아스 바이사스(Rias Baixas)는 대서양을 접한 스페인 북서부 와인 산지다. 협동 조합과 작은 와이너리들이 와인을 생산한다. 비가 많이 오고 추운 겨울에 온화한 여름을 보낸다. 알바리뇨가 전체 생산량의 90 퍼센트를 차지하며, 토론테스와 고데요가 주로 재배된다. 레드 품종으로는 멘시아와 브란첼라오(Brancellao)가 재배된다."
꼬뜨 드 루씨옹Cotes de Roussillon,"꼬뜨 드 루씨용(Côtes de Roussillon)은 피레네 산맥과 지중해 사이에 위치해 있어 독특한 지형적 특성을 지닌다. 산악 지대와 해안 평야가 어우러져 있어 와인 재배에 매우 유리한 조건을 제공한다. 이 지역은 오랜 와인 양조 역사를 가지고 있으며, 전통과 현대적 기술이 조화를 이루고 있다."
마디랑Madiran,"마디랑(Madiran)은 은 보르도 남서부의 와인 산지이다. 따낫 품종으로 만든 강인한 레드 와인으로 유명하며, 일부 달콤한 와인, 꼬르부와 쁘띠 만생 품종으로 만든 드라이한 화이트 와인도 생산된다. 국내 수입된 인기가 많은 몽투스(Montus)와인은 바로 이 마디랑 지역의 와인이다."
리락Lirac,"리락(Lirac)은 프랑스 론 밸리의 와인 산지다. 리락은 샤또네프-뒤-빠쁘에서 가까우며, 로제 와인으로 유명하다. 최근엔 즐기기 편안한 풀바디 레드 와인도 점차 인정받는 분위기다."
소노마 마운틴Sonoma Mountain,"소노마 마운틴(Sonoma Mountain)은 미국 캘리포니아 소노마 카운티에 속하는 와인 산지다. 해발고도 250m부터 포도원이 분포하며, 탄닌이 많은 장기 숙성용 카베르네 소비뇽이 생산된다."
라스또Rasteau,"라스또(Rasteau)는 프랑스 남동부의 론 강 유역에 위치한 와인 산지로, 특히 강렬하고 풍부한 적포도주로 유명하다. 이 지역은 1944년에 독자적인 와인 명칭(Côtes du Rhône Rasteau)으로 인정받았으며, 2010년에는 그 품질과 독특함이 인정받아 독립된 아펠라시옹(AOC Rasteau)으로 승격되었다."
어퍼 골번Upper Goulburn,"어퍼 골번(Upper Goulburn)은 호주 빅토리아주에 위치한 고지대 와인 생산 지역이다. 멜버른에서 북동쪽으로 약 100km 정도 떨어진 곳에 자리 잡고 있으며, 해발 250m에서 800m까지 다양한 고도를 가진 지역이다. 이 지역은 Goulburn 강과 그 지류들이 흐르는 계곡과 언덕들로 이루어져 있어, 포도 재배에 이상적인 환경을 제공한다."
부르고뉴 오뜨 꼬뜨 드 뉘Bourgogne Hautes Cotes de Nuits,부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits)는 프랑스 부르고뉴 지역의 와인 산지다. 오뜨 꼬뜨 드 뉘(Nuit)는 뉘(Nuit) 지역 서쪽 능선 구릉 지역을 뜻한다. 피노 누아가 생산되며 생산자를 잘 알고 있다면 가성비 좋은 와인을 만날 수 있다.
꼬뜨 드 루씨옹 빌라쥬Cotes du Roussillon Villages,"꼬뜨 뒤 루씨용(Côtes du Roussillon Villages)은 프랑스 남부의 랑그도크-루시옹(Languedoc-Roussillon) 지역에 위치한 와인 산지이다. 이 지역은 지중해성 기후를 가지고 있어, 여름에는 뜨겁고 건조하며, 겨울에는 온화하고 습한 날씨가 특징이다. 이러한 기후는 포도 재배에 이상적이며, 특히 와인 생산에 적합한 환경을 제공한다."
가이약Gaillac,"가이약(Gaillac)은 프랑스 보르도 남서부에 속하는 와인 산지다. 가이약은 툴루즈 북쪽에 위치하며 화이트 와인이 유명하다. 모작(Mauzac), 소비뇽 블랑, 뮈스까델 등을 사용해 화이트 와인을 만든다. 레드 와인은 보통 8~10년 정도 숙성 잠재력을 지니며, 카베르네 프랑, 카베르네 소비뇽 등으로 만든다. 같은 품종의 로제 와인도 있다."
앙쥬Anjou,"앙주(Anjou)는 프랑스 루아르 밸리에 속하는 와인 산지다. 드라이한 화이트 와인과 레드 와인을 생산한다. 샤르도네 혹은 소비뇽 블랑으로 만든 화이트 와인은 사과와 모과향이 특징이며, 미네랄 풍미가 풍부하다. 때때로 이 두 품종이 블렌딩 되기도 한다. 레드 와인의 경우 카베르네 프랑으로 만들며 부드럽다."
꼬뜨 샬로네즈Cote Chalonnaise,"꼬뜨 샬로네즈(Côte Chalonnaise)는 프랑스 부르고뉴 지역의 와인 산지다. 이 지역은 꼬뜨 도르와 마꼬네 사이에 자리하며, 부즈롱(Bouzeron), 륄리(Rully), 메르큐리(Mercuray), 지브리(Givry), 몽따니(Montagny)의 5개 지역으로 구성된다."
물랭-아-방Moulin-a-Vent,"물랭-아-방(Moulin-a-Vent)은 프랑스 보졸레 지역의 와인 산지다. '보졸레의 왕' 으로 불리는 이 지역 와인은 보졸레 10개의 크뤼 중 가장 긴 숙성 잠재력과 힘을 지닌다고 알려져 있다. 물랭-아-방 와인은 대부분 10년 이상 숙성해야 완전히 발전된 모습을 보여주며, 잘 만들어진 부르고뉴 와인 혹은 론 지역 와인과 닮았다."
블라이 꼬뜨 드 보르도Blaye Cotes de Bordeaux,
까스띠용 꼬뜨 드 보르도Castillon Cotes de Bordeaux,"까스티용 꼬뜨 드 보르도(Castillon Côtes de Bordeaux)은 프랑스 보르도 내 와인 산지다. 까스티용 꼬뜨 드 보르도은 연평균 생산량은 160.000 hl, 재배 면적은 3,000 ha규모로 개성 있고 알콜이 풍부한 레드 와인만 생산한다."
프롱삭Fronsac,"프롱삭(Fronsac)은 프랑스 보르도에 속하는 와인 산지다. 도르도뉴(Dordogne)강과 일(Isle)의 합류점 작은 골짜기들로 이뤄진 오래된 포도원들이 자리한다. 항상 풍부한 물 덕분에, 봄에 밤서리 내릴 확률이 적고, 여름 더위를 누그러뜨릴 수 있다. 포도원은 볕이 좋은 언덕 경사면에 자리잡고 있다."
소테른Sauternes,소테른(Sauternes)은 프랑스 보르도 스위트 화이트 와인으로 유명한 와인 산지다. 소테른 와인은 바르삭을 포함한 5개의 마을에서 생산된다
에덴 밸리Eden Valley,에덴 밸리(Eden Valley)는 호주의 와인 산지다. 에덴 밸리의 구릉 지대는 바로사 밸리와 같이 매우 오랜 포도 재배 역사를 가지고 있다. 1847년 조셉 길버트(Joseph Gilbert)에 의해 이 지역에 첫 번째 포도 나무가 심어졌다. 이곳의 리슬링은 매우 잘 알려져 있는데 클레어 밸리의 리슬링과 우위를 다툰다.
몬페라토Monferrato,몬페라토(Monferrato)는 이탈리아 북서부의 와인 산지로 피에몬테에 속한다. 몬페라토는 타나로 강에 의해 둘로 나뉜다. 바쏘 몬페라토(Basso Monferrato)는 타나로 강과 포 강 사이 구릉 지대와 언덕에 자리한다. 남쪽은 알토 몬페라토(Alto Monferrato)라 불리며 타나로 강 둑에서 시작해 아펜니네스 산으로 이어진다.
퓌스갱-생-떼밀리옹Puisseguin-Saint-Emilion,"퓌스갱-생-떼밀리옹(Puisseguin-Saint-Emilion)은 프랑스 보르도 도르도뉴 강 우안 리부른 지역에 위치한 생-떼밀리옹 위성 와인 산지다. 1936년 아펠라시옹 등급을 받았다. 736 헥타르 포도원은 레드 와인만 생산한다. 주품종은 메를로를 중심으로 카베르네 소비뇽, 카베르네 프랑, 말벡 등을 재배한다."
우티엘 레께나Utiel Requena,"우티엘 레꼐나(Utiel Requena)는 스페인 북동부 와인 산지다. 대륙성 기후에 여름엔 더위를 식혀주는 솔라노(Solano)라는 바람이 분다. 포도원은 대개 해발 고도가 높은 고원에 위치하며, 석회암을 포함한 갈색 토양을 지닌다. 보발(Bobal)품종이 78% 재배되며, 템프라니요, 가르나차가 뒤를 잇는다. 화이트 품종으로는 마카베오, 메르세구에라(Merseguera)등이 재배된다."
스와르트랜드Swartland,"스와르트랜드(Swartland)는 남아프리카 공화국의 중요한 와인 산지 중 하나이다. 이 지역은 서부 케이프 주에 위치해 있으며, 특히 양조자들 사이에서 혁신적인 와인 생산지로 명성을 얻고 있다."
생-로망Saint-Romain,"생 로망(Saint-Romain)은 부르고뉴(Bourgogne) 와인 지역의 한 보석으로, 프랑스 동부에 자리 잡고 있다. 이 지역은 화이트와 레드 와인 모두를 생산하며, 주로 샤르도네와 피노 누아 포도 품종에 초점을 맞춘다. Saint-Romain의 와인들은 그들의 미묘함과 균형 잡힌 특성으로 잘 알려져 있으며, 와인 애호가들 사이에서 높은 평가를 받고 있다."
꼬뜨 드 뉘-빌라쥬Cote de Nuits-Villages,"꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages)는 프랑스 부르고뉴 지역의 와인 생산지로, 코트 드 뉘(Côte de Nuits) 남부와 코트 드 본(Côte de Beaune) 북부 사이에 위치해 있어. 이 지역은 뛰어난 품질의 레드 와인으로 유명하며, 주로 피노 누아(피노 누아) 포도 품종이 재배된다."
사비니-레-본Savigny-les-Beaune,"사비니-레-본(Savigny-les-Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 이 지역 와인은 본 지역 와인만큼 좋다고 알려져 있다. 와인은 대부분 수확 년도에서 3년에서 5년 안에 즐긴다. 레드 와인이 주를 이루며, 화이트는 극소량 생산된다."
꼬뜨 드 본Cote de Beaune,"꼬뜨 드 본(Côte de Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본은 해발 고도 400m이상 높은 곳에 위치하며, 습한 바람이 불어와 건조한 지역과는 다른 맛을 내는 와인이 생산된다."
나파 카운티Napa County,"나파 카운티(Napa County)는 미국 캘리포니아주에 위치한 세계적으로 유명한 와인 생산 지역이다. 이 지역은 특히 고품질의 카베르네 소비뇽, 메를로, 샤도네이, 피노 누아 등 다양한 종류의 와인을 생산하기로 유명하다."
바께이라Vacqueyras,"바께이라(Vacqueyras)는 프랑스 남부 Rhône Valley에 위치한 중요한 와인 산지 중 하나이다. 이 지역은 다양한 기후, 토양, 품종으로 인해 독특하고 풍부한 와인을 생산한다. Gigondas와 Châteauneuf-du-Pape 사이에 위치해 있다. 이 지역은 1990년에 AOC(AOP) 지위를 획득하여, 높은 품질의 와인을 생산하는 지역으로 인정받고 있다."
블라니Blagny,"블라니(Blagny)는 프랑스 부르고뉴 지역의 와인 산지다. 블라니는 뫼르소와 퓔리니 몽라셰의 7개의 프리미에 크뤼를 포함하는 원산지 명칭이다. 주로는 피노 누아로 만든 와인이며, 15%정도는 샤르도네, 피노 블랑, 피노 그리 와인도 생산된다."
꼬뜨 드 뉘Cote de Nuits,"꼬뜨 드 뉘(Côte de Nuits)는 프랑스 부르고뉴 와인 지역의 북부에 위치해 있으며, 세계에서 가장 뛰어난 피노 누아 와인을 생산하는 곳으로 잘 알려져 있다. 이 지역은 디종에서부터 북쪽으로 약 20킬로미터 정도 이어지며, Chambertin, Clos de Vougeot, Romanée-Conti와 같은 명성 높은 와인 생산지를 포함하고 있다."
카스티야 이 레옹Castilla Y Leon,
영천Yeongcheon,"영천(Yeongcheon)은 경상북도에 속하는 와인 산지다. 오랜 역사 만큼 많은 와이너리가 운영 중이다. 주로 MBA품종 혹은 거봉을 쓰거나 이를 블렌딩하여 와인을 만든다. 블렌딩에는 카베르네 소비뇽, 메를로, 샤르도네, 리슬링이 주로 사용된다."
몽바지악Monbazillac,"몽바지악(Monbazillac)은 프랑스 보르도 남서부에 속하는 와인 산지다. 몽바지악은 도르도뉴강 왼쪽에 자리한 와인 산지로 달콤한 와인으로 유명하다. 강의 영향으로 귀부균이 잘 발생하는데, 쎄미용, 소비뇽 블랑, 뮈스까델 품종으로 소테른과 비슷하지만 가격 접근성이 좋은 와인을 생산한다."
버지니아Virginia,
넬슨Nelson,"넬슨(Nelson)은 뉴질랜드 남섬에서 가장 북단에 위치하며, 그 독특한 지리적 위치와 기후 덕분에 고품질 와인을 생산하는 지역이다. 넬슨은 타스만 만(Tasman Bay)을 끼고 있으며, 남섬의 마을 넬슨을 중심으로 와인 생산이 이루어진다. 이 지역은 뉴질랜드에서 가장 일조량이 많아 와인 재배에 매우 유리한 환경을 제공한다."
혹스 베이Hawke's Bay,"혹스베이(Hawke's Bay)는 뉴질랜드 북섬의 와인 산지다. 혹스베이는 다른 지역에 비해 강수량이 적고, 일조량이 가장 많으며, 배수가 잘 되는 자갈 토양을 가지고 있다. 전반적으로 보르도의 기후와 비슷하다고 볼 수 있다. 이 지역의 최고 와인은 카베르네 소비뇽이나 보르도 블렌딩으로 만들어진 와인들이 유명하다."
아마도르 카운티Amador County,
꼬뜨 데 블랑Cote des Blancs,"꼬뜨 데 블랑(Côte des Blancs)은 프랑스 샹파뉴 지역의 와인 산지다. 꼬뜨 데 블랑은 에페르네 남쪽에 위치하며 오직 화이트 품종만 재배한다. 동향 포도원이 주를 이루며, 가장 순수한 백악질 표현력을 지니는 와인이 생산된다."
모닝턴 페닌술라Mornington Peninsula,"모닝턴 페닌슐라(Mornington Peninsula)는 호주 빅토리아주의 와인 산지다. 모닝턴 페닌슐라는 멋진 해안 풍경, 해양 스포츠 그리고 포도원의 독특한 조합을 찾아온 관광객으로 붐비는 곳이다. 서호주에 마가렛 리버가 있다면, 빅토리아엔 모닝턴 페닌슐라가 있다."
에르미타주Hermitage,"에르미타주(Hermitage)는 프랑스 론 밸리의 와인 산지다. 면적은 160헥타르의 포도원이 조성되어 있으며, 시라를 주품종으로 한 레드 와인을 생산한다."
리베라 델 후카르Ribera del Jucar,"리베라 델 후카르(Ribera del Jucar)는 스페인 카스티야 라만차에 속하는 신생 와인 산지다. 500km에 이르는 후카르 강을 따라 포도원이 조성되어있다. 카베르네 소비뇽, 메를로, 시라, 보발, 템프라니요, 쁘띠 베르도 등의 품종이 주로 재배된다."
아벨리노Avellino,
리스트락-메독Listrac-Medoc,리스트락-메독(Listrac-Medoc)은 프랑스 보르도에 속하는 와인 산지다. 리스트락은 메독에서 젊음과 생기를 보유하고 있는 와인을 만든다. 강렬하지만 부담감을 주지는 않으며 유연함을 잘 보여준다. 그리고 이 지역의 와인들은 살아 있는 듯한 생생한 느낌이 많다.
팔미야Palmilla,
요크빌 하이랜즈Yorkville Highlands,"요크빌 하이랜즈(Yorville Highlands)는 미국 캘리포니아(California) 주 북부, Mendocino County에 위치한 독특한 와인 생산지로, 이 지역의 다양한 특징을 통해 뛰어난 품질의 와인을 생산하는 산지로 알려져 있다. Yorville Highlands는 고도가 높은 언덕과 계곡으로 이루어진 지형이 특징이다. 해발 400~900m에 위치한 이 지역은 넓은 포도밭이 언덕을 따라 자리 잡고 있으며, 그 지형 덕분에 일교차가 크다."
픽상Fixin,"픽상(Fixin)은 프랑스 부르고뉴 지역의 와인 산지다. 픽상은 꼬뜨 드 뉘에 속하며, 피노 누아로 만든 레드 와인과 샤르도네, 피노 그리, 피노 블랑으로 만든 화이트 와인이 소량 생산된다. 픽상의 피노 누아는 근육질에 단단하며, 흙내음이 특징적이다."
꼬뜨 로띠Cote-Rotie,"꼬뜨 로띠(Côte-Rotie)는 프랑스 론 지역 북부에 위치한 와인 산지로, 주로 시라와 소량의 비오니에를 재배하는 것으로 유명하다. 이 지역은 약 73킬로미터에 걸쳐 리옹 남쪽에서 시작하여 론 강의 서쪽 기슭을 따라 분포하고 있다."
크로즈-에르미타주Crozes-Hermitage,"크로즈-에르미타주(Crozes-Hermitage)는 프랑스 론 밸리의 와인 산지다. 이곳은 에르미타주 언덕을 둘러싼 매우 완만한 경사면에 크로즈 포도원이 자리한다. 레드 와인에는 시라를, 화이트 와인에는 루산느와 마르산느를 사용한다."
오쎄-뒤레쓰Auxey-Duresses,"오쎄-뒤레쓰(Auxey-Duresses)는 프랑스 부르고뉴 지역의 중심부에 위치한, 와인 애호가들 사이에서 잘 알려진 마을이다. 이곳의 기후는 대체로 온화한 대륙성 기후로, 여름은 따뜻하고 겨울은 춥다. 이런 기후 조건은 포도의 성장에 이상적이며, 특히 늦여름과 초가을에 걸쳐 일교차가 큰 것이 특징이다."
꼬뜨 드 본-빌라쥬Cote de Beaune-Villages,"꼬뜨 드 본-빌라쥬(Côte de Beaune-Villages)는 프랑스 부르고뉴 지방의 중심부에 위치한 와인 생산 지역이다. 이 지역은 세계적으로 유명한 부르고뉴 와인의 핵심을 이루며, 특히 피노 누아와 샤르도네 포도 품종을 사용한 레드와 화이트 와인으로 잘 알려져 있다. Côte de Beaune 지역은 Côte d'Or의 남부에 위치해 있으며, 와인 애호가들 사이에서는 그 특유의 테루아로 인해 높은 평가를 받는다."
몽텔리Monthelie,"몽텔리(Monthelie)는 프랑스 부르고뉴 지역의 와인 산지다. 몽텔리는 작은 마을로 뫼르소와 볼네를 접하는데, '작은 볼네'로 불리기도 한다. 상대적으로 덜 알려진 지역으로 와인 가격이 그리 높지 않다. 좋은 와인은 가파른 언덕 포도원에서 얻는다. 특히 피노 누아로 만든 레드 와인으로 유명한데, 우아하고 향기로우며, 붉은 베리, 체리 및 때로는 흙 냄새나 향신료 향이 느껴진다."
쇼레이 레 본Chorey-les-Beaune,쇼레이-레-본(Chorey-les-Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 쇼레이-레-본은 다소 평평한 지형으로 피노 누아로 만든 단순하고 편안히 즐길 수 있는 와인이 생산된다.
꼬뜨 드 브루이Cote de Brouilly,꼬뜨 드 브루이(Côte de Brouilly)는 프랑스 보졸레 지역의 와인 산지다. 꼬뜨 드 브루이는 보졸레 10개 크뤼 중 하나로 보졸레 지역 중심 브루이산 언덕에 위치한다. 포도원 규모는 300헥타르 정도다. 브루이라는 이름은 2천년 전 이 지역에 포도 나무를 심은 로마 군의 중위 브루일리우스(Bruilius)의 이름을 따랐다.
콜 랜치Cole Ranch,
